#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
1.623372337e+05|4.608524650e+10|4.637551026e+10|4.672118433e+10|0.000000|0.000000|0.000000
2.468856249e+05|4.571680892e+10|4.606288911e+10|4.636279397e+10|0.000000|0.000000|0.000000
2.942596896e+05|4.545798367e+10|4.582566413e+10|4.611465515e+10|0.000000|0.000000|0.000000
3.292846652e+05|4.524240478e+10|4.562278244e+10|4.590907357e+10|0.000000|0.000000|0.000000
3.578053192e+05|4.505164349e+10|4.544075844e+10|4.572767250e+10|0.000000|0.000000|0.000000
3.851015521e+05|4.485627981e+10|4.525269999e+10|4.554222674e+10|0.000000|0.000000|0.000000
4.091692183e+05|4.467364675e+10|4.507584412e+10|4.536907094e+10|0.000000|0.000000|0.000000
4.333864423e+05|4.448006742e+10|4.488761238e+10|4.518567986e+10|0.000000|0.000000|0.000000
4.554782785e+05|4.429489791e+10|4.470703818e+10|4.501034225e+10|0.000000|0.000000|0.000000
4.781745740e+05|4.409614317e+10|4.451283686e+10|4.482219135e+10|0.000000|0.000000|0.000000
4.965516076e+05|4.392889219e+10|4.434922062e+10|4.466387855e+10|0.000000|0.000000|0.000000
5.173808662e+05|4.373249089e+10|4.415695445e+10|4.447796718e+10|0.000000|0.000000|0.000000
5.361822815e+05|4.354898219e+10|4.397724962e+10|4.430423606e+10|0.000000|0.000000|0.000000
5.543239003e+05|4.336631713e+10|4.379836706e+10|4.413126675e+10|0.000000|0.000000|0.000000
5.719539117e+05|4.318354312e+10|4.361941395e+10|4.395814638e+10|0.000000|0.000000|0.000000
5.888113877e+05|4.300393450e+10|4.344362520e+10|4.378796879e+10|0.000000|0.000000|0.000000
6.067927697e+05|4.280713836e+10|4.325111531e+10|4.360143481e+10|0.000000|0.000000|0.000000
6.229564830e+05|4.262564889e+10|4.307369085e+10|4.342933689e+10|0.000000|0.000000|0.000000
6.381414012e+05|4.245119872e+10|4.290326186e+10|4.326384384e+10|0.000000|0.000000|0.000000
6.545093958e+05|4.225887633e+10|4.271551205e+10|4.308131223e+10|0.000000|0.000000|0.000000
6.701562389e+05|4.207088139e+10|4.253213524e+10|4.290279903e+10|0.000000|0.000000|0.000000
6.841840584e+05|4.189889852e+10|4.236450958e+10|4.273941089e+10|0.000000|0.000000|0.000000
6.991171491e+05|4.171224795e+10|4.218273316e+10|4.256199995e+10|0.000000|0.000000|0.000000
7.134947658e+05|4.152906782e+10|4.200448418e+10|4.238779664e+10|0.000000|0.000000|0.000000
7.280180561e+05|4.134057854e+10|4.182122078e+10|4.220844866e+10|0.000000|0.000000|0.000000
7.418084683e+05|4.115839372e+10|4.164423140e+10|4.203500593e+10|0.000000|0.000000|0.000000
7.545395409e+05|4.098743488e+10|4.147827440e+10|4.187216612e+10|0.000000|0.000000|0.000000
7.675130652e+05|4.081048990e+10|4.130663222e+10|4.170353776e+10|0.000000|0.000000|0.000000
7.810761180e+05|4.062256236e+10|4.112447254e+10|4.152434595e+10|0.000000|0.000000|0.000000
7.938546689e+05|4.044275794e+10|4.095031309e+10|4.135280566e+10|0.000000|0.000000|0.000000
8.069182908e+05|4.025619232e+10|4.076973008e+10|4.117471749e+10|0.000000|0.000000|0.000000
8.190425452e+05|4.008055878e+10|4.059984007e+10|4.100697384e+10|0.000000|0.000000|0.000000
8.302688876e+05|3.991580449e+10|4.044056713e+10|4.084954066e+10|0.000000|0.000000|0.000000
8.435204433e+05|3.971870030e+10|4.025013329e+10|4.066109331e+10|0.000000|0.000000|0.000000
8.555621409e+05|3.953712800e+10|4.007480801e+10|4.048739770e+10|0.000000|0.000000|0.000000
8.673027553e+05|3.935784139e+10|3.990177974e+10|4.031579663e+10|0.000000|0.000000|0.000000
8.791565307e+05|3.917457298e+10|3.972499465e+10|4.014029021e+10|0.000000|0.000000|0.000000
8.895456641e+05|3.901209032e+10|3.956832734e+10|3.998460975e+10|0.000000|0.000000|0.000000
9.012812122e+05|3.882646561e+10|3.938941749e+10|3.980666502e+10|0.000000|0.000000|0.000000
9.121595659e+05|3.865242803e+10|3.922173861e+10|3.963974016e+10|0.000000|0.000000|0.000000
9.234741036e+05|3.846940384e+10|3.904546068e+10|3.946410461e+10|0.000000|0.000000|0.000000
9.342153114e+05|3.829376274e+10|3.887634459e+10|3.929546645e+10|0.000000|0.000000|0.000000
9.450414579e+05|3.811487253e+10|3.870414501e+10|3.912362092e+10|0.000000|0.000000|0.000000
9.557580483e+05|3.793595698e+10|3.853196007e+10|3.895166285e+10|0.000000|0.000000|0.000000
9.666266419e+05|3.775264216e+10|3.835557517e+10|3.877538559e+10|0.000000|0.000000|0.000000
9.765746002e+05|3.758321530e+10|3.819257782e+10|3.861238166e+10|0.000000|0.000000|0.000000
9.871382925e+05|3.740158927e+10|3.801786422e+10|3.843755460e+10|0.000000|0.000000|0.000000
9.980763344e+05|3.721167206e+10|3.783519015e+10|3.825465166e+10|0.000000|0.000000|0.000000
1.008324339e+06|3.703202734e+10|3.766240441e+10|3.808155287e+10|0.000000|0.000000|0.000000
1.018211309e+06|3.685714810e+10|3.749420321e+10|3.791296337e+10|0.000000|0.000000|0.000000
1.028067819e+06|3.668128265e+10|3.732504860e+10|3.774334148e+10|0.000000|0.000000|0.000000
1.037179052e+06|3.651736329e+10|3.716737474e+10|3.758516830e+10|0.000000|0.000000|0.000000
1.047546581e+06|3.632926601e+10|3.698642671e+10|3.740357817e+10|0.000000|0.000000|0.000000
1.057297975e+06|3.615081944e+10|3.681473925e+10|3.723121986e+10|0.000000|0.000000|0.000000
1.067173353e+06|3.596859800e+10|3.663939020e+10|3.705513062e+10|0.000000|0.000000|0.000000
1.077048817e+06|3.578486283e+10|3.646254778e+10|3.687749231e+10|0.000000|0.000000|0.000000
1.087116724e+06|3.559599413e+10|3.628071932e+10|3.669480112e+10|0.000000|0.000000|0.000000
1.095776212e+06|3.543229505e+10|3.612308002e+10|3.653638321e+10|0.000000|0.000000|0.000000
1.104257301e+06|3.527084891e+10|3.596756730e+10|3.638007948e+10|0.000000|0.000000|0.000000
1.113637289e+06|3.509100385e+10|3.579427647e+10|3.620588608e+10|0.000000|0.000000|0.000000
1.123342315e+06|3.490350657e+10|3.561354413e+10|3.602419532e+10|0.000000|0.000000|0.000000
1.132408191e+06|3.472705565e+10|3.544339032e+10|3.585312951e+10|0.000000|0.000000|0.000000
1.142114576e+06|3.453674782e+10|3.525979254e+10|3.566854406e+10|0.000000|0.000000|0.000000
1.151504296e+06|3.435128359e+10|3.508077994e+10|3.548857163e+10|0.000000|0.000000|0.000000
1.160376429e+06|3.417481212e+10|3.491036135e+10|3.531724837e+10|0.000000|0.000000|0.000000
1.168873282e+06|3.400468694e+10|3.474598709e+10|3.515201531e+10|0.000000|0.000000|0.000000
1.177288630e+06|3.383511772e+10|3.458206300e+10|3.498725337e+10|0.000000|0.000000|0.000000
1.185528034e+06|3.366805871e+10|3.442047622e+10|3.482486366e+10|0.000000|0.000000|0.000000
1.194450659e+06|3.348599462e+10|3.424426981e+10|3.464781320e+10|0.000000|0.000000|0.000000
1.203906549e+06|3.329174481e+10|3.405614173e+10|3.445882683e+10|0.000000|0.000000|0.000000
1.212577900e+06|3.311243455e+10|3.388235944e+10|3.428429713e+10|0.000000|0.000000|0.000000
1.221074581e+06|3.293564665e+10|3.371090104e+10|3.411214966e+10|0.000000|0.000000|0.000000
1.229014704e+06|3.276946640e+10|3.354961680e+10|3.395026581e+10|0.000000|0.000000|0.000000
1.237561104e+06|3.258954994e+10|3.337487201e+10|3.377492968e+10|0.000000|0.000000|0.000000
1.246076277e+06|3.240921354e+10|3.319957975e+10|3.359911045e+10|0.000000|0.000000|0.000000
1.253831540e+06|3.224403735e+10|3.303889667e+10|3.343800723e+10|0.000000|0.000000|0.000000
1.262074172e+06|3.206750786e+10|3.286703039e+10|3.326576292e+10|0.000000|0.000000|0.000000
1.270917568e+06|3.187699990e+10|3.268138878e+10|3.307980147e+10|0.000000|0.000000|0.000000
1.279127496e+06|3.169911054e+10|3.250788270e+10|3.290608479e+10|0.000000|0.000000|0.000000
1.288376376e+06|3.149752739e+10|3.231107292e+10|3.270914584e+10|0.000000|0.000000|0.000000
1.296000827e+06|3.133040992e+10|3.214775197e+10|3.254581109e+10|0.000000|0.000000|0.000000
1.302850181e+06|3.117955946e+10|3.200019992e+10|3.239832294e+10|0.000000|0.000000|0.000000
1.310590446e+06|3.100826697e+10|3.183250122e+10|3.223078868e+10|0.000000|0.000000|0.000000
1.319126080e+06|3.081836595e+10|3.164639121e+10|3.204498039e+10|0.000000|0.000000|0.000000
1.327485054e+06|3.063137444e+10|3.146292890e+10|3.186194354e+10|0.000000|0.000000|0.000000
1.334895111e+06|3.046476793e+10|3.129929226e+10|3.169879797e+10|0.000000|0.000000|0.000000
1.343257127e+06|3.027580954e+10|3.111349823e+10|3.151369388e+10|0.000000|0.000000|0.000000
1.350846562e+06|3.010344120e+10|3.094382303e+10|3.134477603e+10|0.000000|0.000000|0.000000
1.359134219e+06|2.991427418e+10|3.075739432e+10|3.115932441e+10|0.000000|0.000000|0.000000
1.367440444e+06|2.972370045e+10|3.056934410e+10|3.097241863e+10|0.000000|0.000000|0.000000
1.373993206e+06|2.957266484e+10|3.042013728e+10|3.082423678e+10|0.000000|0.000000|0.000000
1.380292759e+06|2.942689111e+10|3.027598235e+10|3.068117300e+10|0.000000|0.000000|0.000000
1.388037391e+06|2.924690809e+10|3.009779626e+10|3.050447604e+10|0.000000|0.000000|0.000000
1.396611688e+06|2.904665637e+10|2.989927671e+10|3.030780317e+10|0.000000|0.000000|0.000000
1.404711106e+06|2.885654516e+10|2.971054429e+10|3.012101474e+10|0.000000|0.000000|0.000000
1.411786957e+06|2.868970595e+10|2.954469772e+10|2.995703184e+10|0.000000|0.000000|0.000000
1.419702885e+06|2.850222859e+10|2.935808887e+10|2.977269793e+10|0.000000|0.000000|0.000000
1.427257631e+06|2.832248994e+10|2.917893314e+10|2.959590753e+10|0.000000|0.000000|0.000000
1.434772171e+06|2.814292018e+10|2.899969729e+10|2.941921968e+10|0.000000|0.000000|0.000000
1.441349943e+06|2.798509269e+10|2.884195485e+10|2.926387295e+10|0.000000|0.000000|0.000000
1.448935558e+06|2.780233977e+10|2.865905287e+10|2.908393191e+10|0.000000|0.000000|0.000000
1.455283678e+06|2.764879038e+10|2.850516976e+10|2.893269498e+10|0.000000|0.000000|0.000000
1.462084993e+06|2.748366369e+10|2.833946857e+10|2.877000433e+10|0.000000|0.000000|0.000000
1.470490645e+06|2.727870895e+10|2.813348523e+10|2.856800041e+10|0.000000|0.000000|0.000000
1.477935301e+06|2.709637901e+10|2.794994182e+10|2.838822817e+10|0.000000|0.000000|0.000000
1.485766665e+06|2.690376242e+10|2.775573313e+10|2.819824505e+10|0.000000|0.000000|0.000000
1.492623061e+06|2.673444113e+10|2.758474517e+10|2.803118093e+10|0.000000|0.000000|0.000000
1.499279902e+06|2.656943826e+10|2.741787427e+10|2.786832588e+10|0.000000|0.000000|0.000000
1.506290714e+06|2.639501394e+10|2.724121001e+10|2.769611674e+10|0.000000|0.000000|0.000000
1.512639138e+06|2.623649783e+10|2.708041877e+10|2.753956474e+10|0.000000|0.000000|0.000000
1.520305926e+06|2.604434099e+10|2.688519409e+10|2.734972657e+10|0.000000|0.000000|0.000000
1.527293149e+06|2.586853052e+10|2.670627532e+10|2.717597803e+10|0.000000|0.000000|0.000000
1.534673293e+06|2.568212538e+10|2.651625569e+10|2.699169735e+10|0.000000|0.000000|0.000000
1.541503431e+06|2.550896595e+10|2.633944073e+10|2.682045476e+10|0.000000|0.000000|0.000000
