#RRR|U50|U25|U75|Umean|T50|T25|T75|Tmean|P50|P25|P75|Pmean|rho50|rho25|rho75|Pmean|S
1.623372337e+05|2.392393815e+06|2.400291453e+06|2.408226700e+06|2.399257217e+06|3.720782022e+03|3.729931272e+03|3.739116377e+03|3.728697069e+03|4.868104865e+10|4.906249432e+10|4.944632702e+10|4.901242757e+10|8.106678345e+03|8.117299316e+03|8.127950073e+03|8.115865234e+03|1.947624725e+03
2.468856249e+05|2.390089266e+06|2.397205248e+06|2.402843735e+06|2.395940860e+06|3.718110797e+03|3.726356876e+03|3.732886402e+03|3.724852714e+03|4.856984038e+10|4.891337104e+10|4.918589208e+10|4.885211999e+10|8.103574585e+03|8.113150879e+03|8.120729614e+03|8.111403809e+03|1.947624725e+03
2.942596896e+05|2.380627675e+06|2.390677384e+06|2.398213851e+06|2.389011450e+06|3.707034918e+03|3.718792554e+03|3.727525160e+03|3.716778140e+03|4.811142022e+10|4.859820727e+10|4.896208912e+10|4.851689804e+10|8.090731323e+03|8.104369873e+03|8.114508667e+03|8.102033203e+03|1.947624725e+03
3.292846652e+05|2.373209981e+06|2.387210943e+06|2.396660074e+06|2.384399227e+06|3.698309777e+03|3.714769088e+03|3.725725351e+03|3.711356940e+03|4.775175382e+10|4.843094566e+10|4.888703970e+10|4.829331206e+10|8.080606689e+03|8.099690918e+03|8.112416260e+03|8.095745117e+03|1.947624725e+03
3.578053192e+05|2.374628108e+06|2.383054400e+06|2.391327360e+06|2.381899192e+06|3.699978392e+03|3.709887930e+03|3.719545966e+03|3.708429471e+03|4.782047634e+10|4.822919295e+10|4.862957348e+10|4.817224668e+10|8.082543335e+03|8.094035889e+03|8.105240356e+03|8.092347656e+03|1.947624725e+03
3.851015521e+05|2.371434509e+06|2.382635137e+06|2.391968897e+06|2.380731423e+06|3.696220392e+03|3.709395069e+03|3.720289545e+03|3.707066265e+03|4.766573741e+10|4.820884169e+10|4.866053803e+10|4.811572224e+10|8.078185547e+03|8.093467041e+03|8.106108887e+03|8.090765625e+03|1.947624725e+03
4.091692183e+05|2.361949542e+06|2.373943597e+06|2.385831156e+06|2.373183510e+06|3.685006588e+03|3.699173014e+03|3.713151554e+03|3.698162592e+03|4.720562323e+10|4.778730183e+10|4.836402250e+10|4.774956650e+10|8.065170898e+03|8.081611328e+03|8.097815430e+03|8.080437012e+03|1.947624725e+03
4.333864423e+05|2.363855971e+06|2.374765019e+06|2.383136563e+06|2.373548413e+06|3.687283434e+03|3.700139474e+03|3.709984513e+03|3.698645107e+03|4.729856570e+10|4.782711180e+10|4.823318139e+10|4.776773468e+10|8.067808960e+03|8.082729492e+03|8.094150146e+03|8.080996094e+03|1.947624725e+03
4.554782785e+05|2.358967056e+06|2.372690852e+06|2.384212093e+06|2.370310575e+06|3.681443769e+03|3.697698911e+03|3.711248711e+03|3.694773310e+03|4.706032457e+10|4.772659995e+10|4.828539969e+10|4.761019307e+10|8.061041260e+03|8.079899170e+03|8.095609863e+03|8.076505859e+03|1.947624725e+03
4.781745740e+05|2.352269959e+06|2.362298426e+06|2.374973964e+06|2.362540715e+06|3.673439677e+03|3.685423299e+03|3.700385295e+03|3.685597582e+03|4.673433920e+10|4.722262334e+10|4.783723957e+10|4.723319389e+10|8.051762207e+03|8.065652344e+03|8.083015503e+03|8.065861816e+03|1.947624725e+03
4.965516076e+05|2.348052993e+06|2.363705767e+06|2.373724881e+06|2.360872524e+06|3.668396994e+03|3.687104052e+03|3.698915665e+03|3.683606121e+03|4.652930969e+10|4.729124128e+10|4.777670284e+10|4.715206175e+10|8.045913208e+03|8.067599365e+03|8.081311401e+03|8.063551270e+03|1.947624725e+03
5.173808662e+05|2.347735199e+06|2.359922396e+06|2.372217000e+06|2.358701981e+06|3.668016886e+03|3.682585109e+03|3.697141284e+03|3.681029176e+03|4.651386556e+10|4.710685977e+10|4.770364287e+10|4.704657675e+10|8.045469604e+03|8.062367920e+03|8.079252808e+03|8.060562500e+03|1.947624725e+03
5.361822815e+05|2.340612108e+06|2.353794573e+06|2.366050216e+06|2.353544578e+06|3.659462777e+03|3.675262302e+03|3.689881704e+03|3.674853565e+03|4.616718856e+10|4.680850822e+10|4.740507238e+10|4.679553199e+10|8.035545898e+03|8.053876465e+03|8.070818970e+03|8.053402344e+03|1.947624725e+03
5.543239003e+05|2.340786751e+06|2.352658981e+06|2.361665967e+06|2.350480124e+06|3.659674632e+03|3.673904766e+03|3.684667888e+03|3.671199725e+03|4.617573366e+10|4.675326215e+10|4.719180507e+10|4.664653451e+10|8.035789917e+03|8.052304199e+03|8.064775635e+03|8.049163574e+03|1.947624725e+03
5.719539117e+05|2.335551131e+06|2.347411916e+06|2.361124096e+06|2.346841702e+06|3.653321660e+03|3.667630202e+03|3.684020609e+03|3.666812949e+03|4.591970741e+10|4.649815554e+10|4.716540484e+10|4.646918472e+10|8.028431641e+03|8.045024170e+03|8.064028320e+03|8.044076660e+03|1.947624725e+03
5.888113877e+05|2.331071693e+06|2.347668898e+06|2.360195982e+06|2.344746695e+06|3.647883695e+03|3.667937578e+03|3.682911950e+03|3.664276185e+03|4.570092299e+10|4.651064396e+10|4.712018688e+10|4.636700033e+10|8.022133057e+03|8.045379883e+03|8.062744385e+03|8.041136230e+03|1.947624725e+03
6.067927697e+05|2.331611019e+06|2.344620295e+06|2.354825397e+06|2.342983833e+06|3.648538576e+03|3.664290575e+03|3.676494458e+03|3.662205576e+03|4.572725266e+10|4.636253894e+10|4.685866814e+10|4.628149309e+10|8.022892578e+03|8.041146973e+03|8.055304321e+03|8.038734863e+03|1.947624725e+03
6.229564830e+05|2.327239436e+06|2.340449811e+06|2.351611123e+06|2.338155072e+06|3.643229581e+03|3.659265879e+03|3.672651975e+03|3.656324077e+03|4.551389847e+10|4.615924902e+10|4.670229527e+10|4.604550465e+10|8.016733887e+03|8.035319580e+03|8.050852295e+03|8.031917480e+03|1.947624725e+03
6.381414012e+05|2.324709855e+06|2.335879276e+06|2.349852824e+06|2.335254475e+06|3.640156549e+03|3.653719910e+03|3.670549505e+03|3.652851599e+03|4.539055788e+10|4.593574756e+10|4.661679693e+10|4.590433689e+10|8.013167969e+03|8.028897949e+03|8.048408325e+03|8.027890625e+03|1.947624725e+03
6.545093958e+05|2.319761526e+06|2.333449012e+06|2.346146850e+06|2.331706263e+06|3.634127318e+03|3.650770023e+03|3.666116915e+03|3.648547762e+03|4.514908240e+10|4.581700652e+10|4.643668929e+10|4.573115943e+10|8.006171997e+03|8.025476318e+03|8.043268066e+03|8.022899902e+03|1.947624725e+03
6.701562389e+05|2.320761342e+06|2.332627749e+06|2.342761068e+06|2.330370761e+06|3.635357681e+03|3.649772994e+03|3.662065855e+03|3.646930021e+03|4.519814843e+10|4.577689944e+10|4.627226056e+10|4.566604565e+10|8.007598389e+03|8.024320068e+03|8.038558350e+03|8.021022949e+03|1.947624725e+03
6.841840584e+05|2.312130908e+06|2.326770188e+06|2.335793415e+06|2.322496768e+06|3.624720107e+03|3.642659576e+03|3.653615728e+03|3.637306533e+03|4.477462693e+10|4.549101339e+10|4.593154872e+10|4.528090761e+10|7.995281006e+03|8.016072754e+03|8.028776489e+03|8.009869141e+03|1.947624725e+03
6.991171491e+05|2.316100771e+06|2.324647519e+06|2.335713097e+06|2.323679945e+06|3.629615076e+03|3.640080815e+03|3.653518247e+03|3.638796224e+03|4.496936202e+10|4.538751894e+10|4.592762306e+10|4.533921470e+10|8.000950806e+03|8.013079346e+03|8.028663452e+03|8.011594238e+03|1.947624725e+03
7.134947658e+05|2.307118606e+06|2.319877985e+06|2.334304571e+06|2.319151084e+06|3.618537208e+03|3.634270840e+03|3.651808605e+03|3.633220196e+03|4.452900105e+10|4.515480217e+10|4.585879393e+10|4.511735964e+10|7.988112549e+03|8.006339600e+03|8.026678589e+03|8.005132324e+03|1.947624725e+03
7.280180561e+05|2.302066621e+06|2.320802942e+06|2.328916502e+06|2.315614681e+06|3.612302476e+03|3.635408797e+03|3.645266529e+03|3.628881812e+03|4.428172025e+10|4.520018834e+10|4.559572116e+10|4.494423597e+10|7.980880615e+03|8.007656250e+03|8.019097900e+03|8.000103516e+03|1.947624725e+03
7.418084683e+05|2.300072876e+06|2.313159774e+06|2.325486331e+06|2.311308599e+06|3.609840309e+03|3.625988904e+03|3.641099922e+03|3.623594414e+03|4.418419182e+10|4.482508007e+10|4.542841132e+10|4.473339170e+10|7.978028198e+03|7.996750732e+03|8.014264526e+03|7.993975586e+03|1.947624725e+03
7.545395409e+05|2.302851882e+06|2.313058334e+06|2.321817614e+06|2.310596094e+06|3.613271752e+03|3.625863814e+03|3.636642032e+03|3.622738117e+03|4.432014283e+10|4.482010517e+10|4.524961482e+10|4.469873629e+10|7.982009766e+03|7.996603760e+03|8.009091431e+03|7.992982422e+03|1.947624725e+03
7.675130652e+05|2.292195292e+06|2.309795972e+06|2.318923740e+06|2.305486821e+06|3.599982242e+03|3.621840219e+03|3.633094798e+03|3.616397530e+03|4.379621713e+10|4.466016942e+10|4.510793997e+10|4.444798632e+10|7.966615967e+03|7.991943604e+03|8.004978394e+03|7.985633789e+03|1.947624725e+03
7.810761180e+05|2.292365348e+06|2.306591450e+06|2.316989710e+06|2.303593089e+06|3.600195499e+03|3.617886780e+03|3.630710913e+03|3.614048762e+03|4.380459440e+10|4.450318483e+10|4.501299110e+10|4.435504605e+10|7.966860596e+03|7.987361084e+03|8.002216431e+03|7.982912109e+03|1.947624725e+03
7.938546689e+05|2.284353682e+06|2.299336297e+06|2.312858144e+06|2.298145376e+06|3.590145117e+03|3.608930939e+03|3.625616946e+03|3.607261009e+03|4.341028247e+10|4.414818749e+10|4.481028780e+10|4.408733516e+10|7.955217529e+03|7.976971191e+03|7.996322876e+03|7.975048340e+03|1.947624725e+03
8.069182908e+05|2.285403323e+06|2.298326608e+06|2.307247704e+06|2.295354078e+06|3.591462264e+03|3.607669122e+03|3.618696501e+03|3.603798589e+03|4.346190052e+10|4.409846770e+10|4.453532183e+10|4.395034127e+10|7.956744629e+03|7.975511719e+03|7.988300537e+03|7.971034180e+03|1.947624725e+03
8.190425452e+05|2.278262226e+06|2.293491957e+06|2.304893771e+06|2.290922139e+06|3.582498824e+03|3.601608229e+03|3.615791867e+03|3.598258025e+03|4.311097827e+10|4.386010151e+10|4.442007237e+10|4.373235925e+10|7.946348755e+03|7.968493896e+03|7.984933472e+03|7.964616699e+03|1.947624725e+03
8.302688876e+05|2.280618022e+06|2.292335250e+06|2.301510130e+06|2.288664227e+06|3.585456413e+03|3.600157757e+03|3.611615516e+03|3.595439194e+03|4.322667934e+10|4.380311139e+10|4.425449597e+10|4.362141199e+10|7.949779907e+03|7.966820068e+03|7.980089722e+03|7.961350098e+03|1.947624725e+03
8.435204433e+05|2.273002278e+06|2.291215740e+06|2.298489248e+06|2.286300499e+06|3.575799172e+03|3.598753788e+03|3.607872969e+03|3.592485344e+03|4.285051997e+10|4.374796852e+10|4.410649040e+10|4.350521699e+10|7.938597778e+03|7.965189941e+03|7.975745117e+03|7.957925781e+03|1.947624725e+03
8.555621409e+05|2.270209560e+06|2.285957711e+06|2.294427956e+06|2.282155271e+06|3.572238521e+03|3.592157882e+03|3.602781833e+03|3.587261073e+03|4.271233498e+10|4.348916971e+10|4.390622864e+10|4.330089046e+10|7.934472168e+03|7.957550293e+03|7.969852539e+03|7.951874512e+03|1.947624725e+03
8.673027553e+05|2.263959684e+06|2.279949122e+06|2.291368718e+06|2.277060215e+06|3.564267033e+03|3.584616711e+03|3.598945647e+03|3.580808225e+03|4.240343926e+10|4.319381990e+10|4.375550266e+10|4.304945221e+10|7.925238770e+03|7.948803711e+03|7.965410034e+03|7.944401367e+03|1.947624725e+03
8.791565307e+05|2.264647299e+06|2.278148462e+06|2.287724688e+06|2.275057597e+06|3.565144265e+03|3.582352751e+03|3.594374804e+03|3.578296339e+03|4.243739912e+10|4.310531219e+10|4.357610372e+10|4.295092472e+10|7.926258179e+03|7.946178955e+03|7.960120483e+03|7.941490723e+03|1.947624725e+03
8.895456641e+05|2.260772290e+06|2.275079139e+06|2.283347522e+06|2.271110325e+06|3.560200023e+03|3.578446590e+03|3.588882418e+03|3.573283726e+03|4.224609708e+10|4.295335720e+10|4.336081477e+10|4.275603125e+10|7.920523804e+03|7.941659668e+03|7.953749268e+03|7.935682617e+03|1.947624725e+03
9.012812122e+05|2.259788637e+06|2.272235126e+06|2.280477432e+06|2.268314325e+06|3.558944693e+03|3.574821161e+03|3.585279935e+03|3.569733687e+03|4.219756587e+10|4.281255239e+10|4.321977179e+10|4.261799906e+10|7.919071899e+03|7.937467285e+03|7.949574707e+03|7.931570801e+03|1.947624725e+03
9.121595659e+05|2.253276310e+06|2.268736399e+06|2.276230011e+06|2.263563738e+06|3.550556246e+03|3.570359932e+03|3.579913445e+03|3.563657228e+03|4.187465261e+10|4.263947484e+10|4.301037247e+10|4.238301655e+10|7.909357788e+03|7.932298828e+03|7.943354858e+03|7.924531738e+03|1.947624725e+03
9.234741036e+05|2.252339321e+06|2.267617438e+06|2.274569315e+06|2.260982977e+06|3.549341889e+03|3.568932869e+03|3.577796765e+03|3.560310997e+03|4.182805600e+10|4.258415513e+10|4.292810297e+10|4.225483018e+10|7.907954102e+03|7.930646240e+03|7.940904663e+03|7.920658691e+03|1.947624725e+03
9.342153114e+05|2.245510400e+06|2.258823249e+06|2.269995573e+06|2.257203491e+06|3.540488777e+03|3.557712574e+03|3.571965657e+03|3.555478103e+03|4.148881131e+10|4.214994724e+10|4.270175021e+10|4.206781685e+10|7.897706665e+03|7.917644043e+03|7.934159302e+03|7.915062012e+03|1.947624725e+03
9.450414579e+05|2.239379674e+06|2.253656271e+06|2.266437611e+06|2.251294378e+06|3.532536749e+03|3.551048651e+03|3.567428037e+03|3.547832740e+03|4.118481032e+10|4.189355198e+10|4.252584627e+10|4.177459103e+10|7.888491211e+03|7.909928955e+03|7.928905396e+03|7.906208984e+03|1.947624725e+03
9.557580483e+05|2.241601165e+06|2.254438983e+06|2.263180298e+06|2.251271903e+06|3.535418644e+03|3.552062965e+03|3.563272664e+03|3.547861958e+03|4.129489568e+10|4.193248857e+10|4.236495412e+10|4.177411683e+10|7.891831909e+03|7.911100830e+03|7.924088135e+03|7.906241211e+03|1.947624725e+03
9.666266419e+05|2.237623849e+06|2.252081543e+06|2.259714650e+06|2.247583278e+06|3.530256531e+03|3.549007792e+03|3.558850268e+03|3.543078353e+03|4.109779840e+10|4.181523820e+10|4.219391579e+10|4.159098611e+10|7.885845581e+03|7.907569092e+03|7.918963501e+03|7.900701172e+03|1.947624725e+03
9.765746002e+05|2.235823598e+06|2.249904949e+06|2.256334013e+06|2.245289331e+06|3.527904423e+03|3.546186481e+03|3.554518457e+03|3.540112519e+03|4.100826441e+10|4.170704678e+10|4.202679184e+10|4.147718243e+10|7.883124268e+03|7.904304932e+03|7.913943115e+03|7.897267090e+03|1.947624725e+03
9.871382925e+05|2.224736719e+06|2.242809177e+06|2.253212163e+06|2.238954105e+06|3.513289493e+03|3.536985554e+03|3.550473111e+03|3.531818351e+03|4.045468440e+10|4.135479534e+10|4.187146244e+10|4.116175220e+10|7.866215454e+03|7.893647461e+03|7.909263184e+03|7.887665039e+03|1.947624725e+03
9.980763344e+05|2.229216002e+06|2.239610984e+06|2.249044671e+06|2.236506442e+06|3.519195619e+03|3.532836845e+03|3.545071257e+03|3.528612951e+03|4.067813422e+10|4.119626999e+10|4.166430146e+10|4.103985148e+10|7.873052124e+03|7.888839600e+03|7.903011841e+03|7.883953125e+03|1.947624725e+03
1.008324339e+06|2.221037440e+06|2.235971592e+06|2.245522916e+06|2.232502199e+06|3.508410352e+03|3.528099453e+03|3.540505013e+03|3.523401652e+03|4.027035866e+10|4.101566211e+10|4.148943198e+10|4.084083230e+10|7.860564209e+03|7.883350098e+03|7.897723511e+03|7.877919434e+03|1.947624725e+03
1.018211309e+06|2.220556933e+06|2.232074959e+06|2.241474776e+06|2.228950630e+06|3.507776490e+03|3.522964253e+03|3.535254694e+03|3.518740503e+03|4.024643209e+10|4.082089932e+10|4.128863089e+10|4.066392788e+10|7.859824829e+03|7.877409424e+03|7.891637817e+03|7.872522461e+03|1.947624725e+03
1.028067819e+06|2.211847084e+06|2.230707829e+06|2.239708505e+06|2.225927379e+06|3.496177676e+03|3.521162219e+03|3.532963367e+03|3.514735742e+03|3.981058750e+10|4.075261651e+10|4.120110124e+10|4.051291375e+10|7.846405029e+03|7.875325928e+03|7.888982910e+03|7.867885742e+03|1.947624725e+03
1.037179052e+06|2.210790235e+06|2.227929359e+06|2.235554474e+06|2.223456582e+06|3.494759079e+03|3.517499316e+03|3.527549823e+03|3.511487568e+03|3.975750498e+10|4.061392256e+10|4.099480367e+10|4.038979293e+10|7.844764404e+03|7.871088379e+03|7.882713867e+03|7.864125488e+03|1.947624725e+03
1.047546581e+06|2.209396755e+06|2.224272697e+06|2.231795374e+06|2.219941978e+06|3.492888465e+03|3.512677525e+03|3.522595728e+03|3.506831881e+03|3.968754072e+10|4.043155603e+10|4.080693507e+10|4.021424419e+10|7.842594604e+03|7.865508057e+03|7.876985352e+03|7.858736328e+03|1.947624725e+03
1.057297975e+06|2.205175900e+06|2.221379527e+06|2.229116345e+06|2.217051528e+06|3.487221289e+03|3.508861596e+03|3.519064236e+03|3.502964568e+03|3.947579383e+10|4.028739649e+10|4.067315995e+10|4.006928558e+10|7.836037354e+03|7.861083496e+03|7.872897095e+03|7.854261719e+03|1.947624725e+03
1.067173353e+06|2.198639836e+06|2.215237952e+06|2.224916013e+06|2.211292384e+06|3.478442348e+03|3.500728512e+03|3.513525936e+03|3.495285625e+03|3.914842716e+10|3.998101270e+10|4.046362310e+10|3.978112020e+10|7.825867188e+03|7.851664307e+03|7.866484863e+03|7.845371094e+03|1.947624725e+03
1.077048817e+06|2.196303510e+06|2.210031355e+06|2.220855994e+06|2.207787476e+06|3.475292650e+03|3.493740379e+03|3.508171003e+03|3.490599572e+03|3.903128634e+10|3.971939922e+10|4.026132267e+10|3.960553977e+10|7.822222778e+03|7.843583496e+03|7.860285522e+03|7.839946777e+03|1.947624725e+03
1.087116724e+06|2.194246916e+06|2.208899543e+06|2.217968555e+06|2.206712671e+06|3.472484549e+03|3.492220966e+03|3.504361656e+03|3.489184353e+03|3.892731595e+10|3.966258319e+10|4.011759352e+10|3.955201738e+10|7.818979492e+03|7.841827881e+03|7.855869019e+03|7.838308594e+03|1.947624725e+03
1.095776212e+06|2.189091481e+06|2.202229065e+06|2.214686298e+06|2.200513403e+06|3.465443658e+03|3.483263679e+03|3.499988223e+03|3.480813004e+03|3.866699395e+10|3.932812521e+10|3.995327555e+10|3.924053823e+10|7.810833862e+03|7.831457520e+03|7.850809814e+03|7.828619141e+03|1.947624725e+03
1.104257301e+06|2.186551863e+06|2.204332444e+06|2.212205100e+06|2.199278296e+06|3.461974410e+03|3.486088621e+03|3.496658215e+03|3.479147736e+03|3.853892040e+10|3.943351177e+10|3.982857396e+10|3.917850741e+10|7.806820679e+03|7.834730957e+03|7.846955200e+03|7.826691895e+03|1.947624725e+03
1.113637289e+06|2.184070528e+06|2.202437732e+06|2.207941573e+06|2.196185449e+06|3.458584232e+03|3.483543976e+03|3.490934836e+03|3.474962276e+03|3.841389974e+10|3.933857251e+10|3.961450880e+10|3.902295268e+10|7.802895386e+03|7.831780029e+03|7.840335571e+03|7.821850586e+03|1.947624725e+03
1.123342315e+06|2.175512086e+06|2.195893285e+06|2.204487410e+06|2.190460526e+06|3.446845658e+03|3.474732539e+03|3.486296729e+03|3.467159450e+03|3.798233870e+10|3.901054450e+10|3.944127924e+10|3.873447975e+10|7.789307739e+03|7.821574219e+03|7.834967529e+03|7.812821289e+03|1.947624725e+03
1.132408191e+06|2.174717518e+06|2.188448107e+06|2.199771185e+06|2.186694022e+06|3.445741431e+03|3.464564818e+03|3.479962207e+03|3.462049333e+03|3.794195928e+10|3.863454126e+10|3.920504573e+10|3.854501563e+10|7.788030762e+03|7.809820068e+03|7.827632690e+03|7.806906250e+03|1.947624725e+03
1.142114576e+06|2.172603571e+06|2.185965676e+06|2.197345014e+06|2.184364449e+06|3.442803390e+03|3.461173569e+03|3.476702735e+03|3.458856941e+03|3.783458202e+10|3.850937621e+10|3.908365172e+10|3.842751757e+10|7.784637695e+03|7.805895752e+03|7.823853027e+03|7.803210449e+03|1.947624725e+03
1.151504296e+06|2.171449789e+06|2.186719035e+06|2.193575987e+06|2.181977934e+06|3.441199676e+03|3.462202792e+03|3.471568375e+03|3.455592218e+03|3.777600737e+10|3.854734741e+10|3.889341179e+10|3.830710820e+10|7.782778809e+03|7.807086426e+03|7.817915039e+03|7.799433105e+03|1.947624725e+03
1.160376429e+06|2.166006836e+06|2.179823673e+06|2.189324859e+06|2.177357736e+06|3.433632748e+03|3.452780683e+03|3.465762437e+03|3.449220994e+03|3.749999072e+10|3.820014722e+10|3.867876805e+10|3.807344697e+10|7.774026733e+03|7.796177002e+03|7.811204468e+03|7.792062012e+03|1.947624725e+03
1.168873282e+06|2.164662111e+06|2.178047518e+06|2.186896820e+06|2.175367493e+06|3.431762907e+03|3.450353013e+03|3.462445672e+03|3.446490518e+03|3.743188244e+10|3.811083719e+10|3.855631061e+10|3.797297047e+10|7.771863892e+03|7.793362549e+03|7.807370850e+03|7.788901367e+03|1.947624725e+03
1.177288630e+06|2.156547215e+06|2.175811716e+06|2.184857278e+06|2.171610463e+06|3.420435374e+03|3.447262048e+03|3.459659213e+03|3.441275845e+03|3.702045922e+10|3.799756856e+10|3.845352711e+10|3.778254043e+10|7.758750610e+03|7.789788330e+03|7.804140747e+03|7.782870117e+03|1.947624725e+03
1.185528034e+06|2.152010119e+06|2.170780234e+06|2.179928118e+06|2.166006447e+06|3.414012591e+03|3.440268967e+03|3.452923434e+03|3.433472000e+03|3.678861849e+10|3.774202707e+10|3.820540024e+10|3.749830676e+10|7.751331055e+03|7.781706543e+03|7.796338745e+03|7.773839844e+03|1.947624725e+03
1.194450659e+06|2.147936702e+06|2.170798741e+06|2.177369035e+06|2.164339320e+06|3.408244958e+03|3.440294686e+03|3.449424885e+03|3.431147697e+03|3.658078894e+10|3.774296762e+10|3.807671636e+10|3.741378045e+10|7.744658691e+03|7.781736328e+03|7.792288208e+03|7.771149902e+03|1.947624725e+03
1.203906549e+06|2.152164824e+06|2.168362201e+06|2.173942890e+06|2.162035276e+06|3.414231617e+03|3.436907527e+03|3.444664867e+03|3.427935904e+03|3.679651805e+10|3.761936950e+10|3.790260333e+10|3.729684671e+10|7.751580200e+03|7.777818359e+03|7.786789673e+03|7.767435059e+03|1.947624725e+03
1.212577900e+06|2.140506933e+06|2.156034770e+06|2.170845989e+06|2.155388703e+06|3.397721967e+03|3.419710011e+03|3.440360377e+03|3.418603898e+03|3.620250206e+10|3.699425790e+10|3.774536245e+10|3.695882360e+10|7.732475830e+03|7.757910889e+03|7.781814087e+03|7.756638184e+03|1.947624725e+03
1.221074581e+06|2.140439568e+06|2.158697753e+06|2.167336276e+06|2.153400349e+06|3.397626535e+03|3.423465567e+03|3.435481193e+03|3.415787812e+03|3.619907759e+10|3.713011812e+10|3.756735848e+10|3.685730973e+10|7.732361816e+03|7.762253906e+03|7.776171265e+03|7.753382324e+03|1.947624725e+03
1.229014704e+06|2.136817852e+06|2.153149726e+06|2.163492843e+06|2.150209506e+06|3.392427262e+03|3.415625971e+03|3.430136960e+03|3.411308333e+03|3.601322263e+10|3.684681694e+10|3.737267913e+10|3.669502339e+10|7.726354614e+03|7.753193604e+03|7.769983643e+03|7.748199219e+03|1.947624725e+03
1.237561104e+06|2.131054288e+06|2.151410636e+06|2.159890504e+06|2.145269253e+06|3.384110988e+03|3.413163845e+03|3.425126905e+03|3.404263494e+03|3.571693238e+10|3.675801333e+10|3.719045543e+10|3.644256114e+10|7.716741089e+03|7.750347656e+03|7.764178101e+03|7.740048340e+03|1.947624725e+03
1.246076277e+06|2.128543026e+06|2.146798761e+06|2.157325833e+06|2.143203133e+06|3.380486875e+03|3.406633512e+03|3.421537452e+03|3.401344141e+03|3.558802535e+10|3.652278505e+10|3.706028287e+10|3.633728605e+10|7.712548828e+03|7.742794922e+03|7.760023315e+03|7.736670410e+03|1.947624725e+03
1.253831540e+06|2.127133987e+06|2.143597744e+06|2.154012996e+06|2.140114135e+06|3.378453243e+03|3.402100034e+03|3.416848074e+03|3.396960001e+03|3.551575616e+10|3.635974910e+10|3.689091778e+10|3.617959982e+10|7.710199097e+03|7.737545898e+03|7.754603638e+03|7.731600586e+03|1.947624725e+03
1.262074172e+06|2.120408254e+06|2.143244687e+06|2.150730068e+06|2.136536754e+06|3.368731078e+03|3.401599958e+03|3.412200269e+03|3.391792032e+03|3.517097450e+10|3.634178136e+10|3.672327649e+10|3.599583616e+10|7.698940918e+03|7.736968506e+03|7.749233276e+03|7.725623535e+03|1.947624725e+03
1.270917568e+06|2.118915243e+06|2.140161077e+06|2.148756190e+06|2.134577732e+06|3.366543605e+03|3.397232022e+03|3.409405381e+03|3.389019754e+03|3.509377145e+10|3.618491905e+10|3.662257608e+10|3.589594235e+10|7.696411377e+03|7.731904297e+03|7.746000122e+03|7.722416016e+03|1.947624725e+03
1.279127496e+06|2.115018258e+06|2.131548181e+06|2.143823744e+06|2.129124145e+06|3.360833374e+03|3.384823716e+03|3.402420145e+03|3.381150171e+03|3.489248923e+10|3.574229446e+10|3.637125063e+10|3.561605308e+10|7.689811768e+03|7.717568604e+03|7.737916504e+03|7.713312012e+03|1.947624725e+03
1.288376376e+06|2.109050120e+06|2.133379349e+06|2.140396886e+06|2.126446688e+06|3.352086789e+03|3.387466093e+03|3.397566073e+03|3.377278985e+03|3.458482711e+10|3.583637414e+10|3.619690730e+10|3.547859385e+10|7.679689819e+03|7.720620117e+03|7.732294434e+03|7.708834473e+03|1.947624725e+03
