#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
1.623830745e+05|4.448734774e+10|4.457208700e+10|4.472384769e+10|0.000000|0.000000|0.000000
2.470363839e+05|4.418402930e+10|4.426204421e+10|4.437154186e+10|0.000000|0.000000|0.000000
2.939552548e+05|4.395138693e+10|4.403279977e+10|4.413301686e+10|0.000000|0.000000|0.000000
3.284508873e+05|4.375198754e+10|4.383830264e+10|4.393674720e+10|0.000000|0.000000|0.000000
3.598902068e+05|4.354979930e+10|4.364197454e+10|4.374189354e+10|0.000000|0.000000|0.000000
3.868119667e+05|4.336144348e+10|4.345947030e+10|4.356262070e+10|0.000000|0.000000|0.000000
4.135260475e+05|4.316088924e+10|4.326530929e+10|4.337316750e+10|0.000000|0.000000|0.000000
4.390639352e+05|4.295664284e+10|4.306758042e+10|4.318109663e+10|0.000000|0.000000|0.000000
4.611017433e+05|4.277068666e+10|4.288747008e+10|4.300661038e+10|0.000000|0.000000|0.000000
4.832648911e+05|4.257472293e+10|4.269751253e+10|4.282286246e+10|0.000000|0.000000|0.000000
5.060836011e+05|4.236369813e+10|4.249272946e+10|4.262492017e+10|0.000000|0.000000|0.000000
5.257378830e+05|4.217448850e+10|4.230888784e+10|4.244723631e+10|0.000000|0.000000|0.000000
5.459292230e+05|4.197300699e+10|4.211286506e+10|4.225770896e+10|0.000000|0.000000|0.000000
5.639719528e+05|4.178693583e+10|4.193158833e+10|4.208231698e+10|0.000000|0.000000|0.000000
5.830123878e+05|4.158446233e+10|4.173405560e+10|4.189101507e+10|0.000000|0.000000|0.000000
6.002553784e+05|4.139573353e+10|4.154966993e+10|4.171224150e+10|0.000000|0.000000|0.000000
6.184408778e+05|4.119120730e+10|4.134956434e+10|4.151797599e+10|0.000000|0.000000|0.000000
6.350147255e+05|4.099994491e+10|4.116216850e+10|4.133579440e+10|0.000000|0.000000|0.000000
6.520503773e+05|4.079855913e+10|4.096457814e+10|4.114342103e+10|0.000000|0.000000|0.000000
6.676295354e+05|4.061016758e+10|4.077948541e+10|4.096294531e+10|0.000000|0.000000|0.000000
6.834197426e+05|4.041513527e+10|4.058761728e+10|4.077558225e+10|0.000000|0.000000|0.000000
7.003866659e+05|4.020101225e+10|4.037668148e+10|4.056926625e+10|0.000000|0.000000|0.000000
7.150094890e+05|4.001270935e+10|4.019094038e+10|4.038730413e+10|0.000000|0.000000|0.000000
7.290601533e+05|3.982851277e+10|4.000903792e+10|4.020884162e+10|0.000000|0.000000|0.000000
7.425799086e+05|3.964827508e+10|3.983084836e+10|4.003377392e+10|0.000000|0.000000|0.000000
7.567132797e+05|3.945672696e+10|3.964127049e+10|3.984725177e+10|0.000000|0.000000|0.000000
7.715366045e+05|3.925240830e+10|3.943882725e+10|3.964777463e+10|0.000000|0.000000|0.000000
7.858079684e+05|3.905240671e+10|3.924044396e+10|3.945200681e+10|0.000000|0.000000|0.000000
7.985883903e+05|3.887057257e+10|3.905990173e+10|3.927360043e+10|0.000000|0.000000|0.000000
