#R_planet
3.844533156e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
1.706771020e+05|1.796193866e+05|1.311251977e+05|1.383836281e+05|2.356569312e+06|2.367420500e+06|2.376847625e+06|2.367647250e+06|2.353945500e+06|2.381349000e+06|2.868723750e+05|3.061101250e+05|3.290460625e+05|3.090054375e+05|2.829776250e+05|3.350332500e+05|1.956424832e+03|1.959742615e+03|1.962756270e+03|1.959960251e+03|1.955893106e+03|1.964027395e+03|1.041413088e+02|1.074564321e+02|1.104712105e+02|1.076737599e+02|1.036065317e+02|1.117409881e+02|3.694346527e+03|3.715691388e+03|3.730826085e+03|3.715921144e+03|3.691628690e+03|3.740213598e+03|5.376854881e+02|5.690041675e+02|5.967124264e+02|5.706360668e+02|5.343915990e+02|6.068805347e+02|4.577649357e+10|4.598074778e+10|4.612246835e+10|4.596058112e+10|4.575222989e+10|4.616893645e+10|1.658688512e+09|2.475024384e+09|3.419635712e+09|2.628408576e+09|1.573234560e+09|3.683582720e+09|8.006260498e+03|8.009322510e+03|8.014927002e+03|8.009634277e+03|8.004860840e+03|8.014409180e+03
2.592157038e+05|2.608900445e+05|2.031048259e+05|2.186876599e+05|2.349476812e+06|2.361716375e+06|2.374067500e+06|2.362211000e+06|2.347685000e+06|2.376737000e+06|2.874039375e+05|3.075000625e+05|3.299177500e+05|3.096101875e+05|2.844372812e+05|3.347830938e+05|1.956071443e+03|1.960116616e+03|1.964151121e+03|1.960154815e+03|1.955823891e+03|1.964485740e+03|1.037830315e+02|1.078302656e+02|1.118608571e+02|1.078682626e+02|1.035374736e+02|1.121990516e+02|3.686773180e+03|3.708852103e+03|3.731628821e+03|3.709572368e+03|3.683666548e+03|3.735478189e+03|5.423430286e+02|5.680199411e+02|5.974189429e+02|5.711183278e+02|5.371995172e+02|6.050371385e+02|4.548635955e+10|4.567311974e+10|4.587098726e+10|4.567308698e+10|4.545077658e+10|4.589538918e+10|1.593802752e+09|2.601842688e+09|3.438889984e+09|2.657853184e+09|1.502791168e+09|3.812915200e+09|7.995617798e+03|7.999984131e+03|8.005897339e+03|8.001001465e+03|7.995305176e+03|8.006696777e+03
3.076180251e+05|3.086704295e+05|2.465784797e+05|2.702229980e+05|2.346352438e+06|2.359235500e+06|2.368511812e+06|2.358455000e+06|2.344472000e+06|2.372437750e+06|2.886199062e+05|3.095289375e+05|3.305741875e+05|3.104004688e+05|2.866393125e+05|3.341616250e+05|1.956361412e+03|1.960233853e+03|1.964054960e+03|1.960158946e+03|1.955496677e+03|1.964821215e+03|1.040765757e+02|1.079472103e+02|1.117678635e+02|1.078722010e+02|1.032096975e+02|1.125347045e+02|3.683397529e+03|3.706197109e+03|3.723604769e+03|3.704920909e+03|3.679158099e+03|3.730683719e+03|5.455671648e+02|5.678370020e+02|5.979780272e+02|5.715113251e+02|5.394274461e+02|6.035952040e+02|4.533900493e+10|4.547868467e+10|4.563721216e+10|4.549024154e+10|4.531077939e+10|4.566969139e+10|1.701161984e+09|2.640080896e+09|3.785488384e+09|2.712312832e+09|1.587099392e+09|3.837526016e+09|7.990405151e+03|7.993990723e+03|8.000554077e+03|7.995684570e+03|7.989267090e+03|8.002103516e+03
3.460441723e+05|3.466086246e+05|2.642830407e+05|2.888694593e+05|2.342008938e+06|2.349747125e+06|2.363664125e+06|2.352188750e+06|2.338039000e+06|2.366338000e+06|2.932405625e+05|3.120517500e+05|3.358987188e+05|3.147288125e+05|2.906400312e+05|3.388175625e+05|1.956258551e+03|1.959561692e+03|1.963582524e+03|1.959867940e+03|1.955226669e+03|1.964509210e+03|1.039742518e+02|1.072780338e+02|1.112946680e+02|1.075813651e+02|1.029400413e+02|1.122226890e+02|3.679124742e+03|3.693237123e+03|3.718131455e+03|3.696620701e+03|3.670727517e+03|3.722513885e+03|5.434426090e+02|5.733314460e+02|6.020320887e+02|5.752459140e+02|5.434643942e+02|6.070274338e+02|4.504910746e+10|4.522133299e+10|4.536242893e+10|4.522229350e+10|4.502774170e+10|4.541685350e+10|1.786724352e+09|2.909224960e+09|3.813140480e+09|3.000944640e+09|1.742999040e+09|4.258890496e+09|7.982883301e+03|7.986184570e+03|7.992554810e+03|7.988384277e+03|7.981848145e+03|7.994921875e+03
3.749101121e+05|3.751935989e+05|3.021497376e+05|3.334672441e+05|2.332121688e+06|2.341775125e+06|2.353496625e+06|2.343579000e+06|2.330074000e+06|2.357083250e+06|2.757970312e+05|3.001726250e+05|3.332843750e+05|3.041454375e+05|2.731153125e+05|3.351755312e+05|1.952815167e+03|1.957565863e+03|1.962123657e+03|1.957911699e+03|1.953154936e+03|1.962668461e+03|1.005257394e+02|1.052791210e+02|1.098366631e+02|1.056248781e+02|1.008674826e+02|1.103822737e+02|3.659097571e+03|3.679582319e+03|3.701957160e+03|3.682366436e+03|3.657188277e+03|3.707544595e+03|5.217502126e+02|5.541271634e+02|5.913391112e+02|5.588728756e+02|5.195446606e+02|5.982010906e+02|4.488787354e+10|4.504095744e+10|4.520162099e+10|4.504507187e+10|4.484589158e+10|4.524426854e+10|1.226482688e+09|2.695319552e+09|4.032431104e+09|2.721670144e+09|1.246361600e+09|4.196978944e+09|7.979412720e+03|7.984106445e+03|7.991623047e+03|7.986423828e+03|7.978406250e+03|7.994442383e+03
4.020034631e+05|4.025476673e+05|3.299422064e+05|3.589925522e+05|2.331339000e+06|2.340734500e+06|2.353672375e+06|2.342389750e+06|2.327715250e+06|2.357064250e+06|2.860667812e+05|3.094903125e+05|3.311551562e+05|3.099509688e+05|2.822080938e+05|3.376938438e+05|1.953795362e+03|1.958511575e+03|1.962394114e+03|1.958542500e+03|1.953587847e+03|1.963497153e+03|1.015067761e+02|1.062263457e+02|1.101046607e+02|1.062558128e+02|1.013011369e+02|1.112104888e+02|3.660637911e+03|3.679139890e+03|3.703630162e+03|3.682029129e+03|3.655186925e+03|3.708871332e+03|5.367500027e+02|5.662762634e+02|5.926051941e+02|5.664366803e+02|5.310823498e+02|6.017910109e+02|4.470994125e+10|4.488133427e+10|4.516819251e+10|4.490928947e+10|4.466837914e+10|4.515019162e+10|1.722509312e+09|2.864265216e+09|4.064987136e+09|2.952745984e+09|1.544876032e+09|4.360616448e+09|7.973809937e+03|7.979677002e+03|7.987509399e+03|7.981431641e+03|7.972965820e+03|7.989896973e+03
4.278541628e+05|4.282524498e+05|3.621119415e+05|3.839538083e+05|2.325658688e+06|2.338445750e+06|2.349586875e+06|2.337807250e+06|2.323648500e+06|2.351965750e+06|2.804836562e+05|3.091793125e+05|3.321686250e+05|3.078673438e+05|2.766763125e+05|3.390583125e+05|1.954261783e+03|1.958850227e+03|1.962494554e+03|1.958436619e+03|1.953675454e+03|1.963197784e+03|1.019763228e+02|1.065637259e+02|1.102103867e+02|1.061499996e+02|1.013892544e+02|1.109107449e+02|3.655076557e+03|3.678717749e+03|3.696367652e+03|3.676112642e+03|3.650106729e+03|3.702118554e+03|5.306677408e+02|5.612801422e+02|5.999529702e+02|5.635465033e+02|5.241760571e+02|6.029169495e+02|4.455037542e+10|4.473404826e+10|4.484617011e+10|4.469959885e+10|4.449844429e+10|4.490076160e+10|1.463628800e+09|2.905745408e+09|4.388145152e+09|2.876841728e+09|1.278526336e+09|4.475156992e+09|7.968333984e+03|7.973413330e+03|7.979910400e+03|7.975483887e+03|7.967789551e+03|7.983178223e+03
4.500579350e+05|4.496891645e+05|3.850939454e+05|4.124012492e+05|2.321175312e+06|2.330804375e+06|2.341849500e+06|2.332542000e+06|2.318527750e+06|2.346556250e+06|2.793757188e+05|3.052893125e+05|3.259794375e+05|3.056408125e+05|2.765749688e+05|3.347067188e+05|1.953708476e+03|1.957488799e+03|1.961372481e+03|1.957499885e+03|1.952949279e+03|1.962050491e+03|1.014224219e+02|1.052038574e+02|1.090882814e+02|1.052138253e+02|1.006632326e+02|1.097644181e+02|3.646495457e+03|3.666214009e+03|3.686250949e+03|3.667852942e+03|3.642328599e+03|3.693377284e+03|5.262307660e+02|5.573138915e+02|5.873063762e+02|5.587581470e+02|5.212498735e+02|5.962664206e+02|4.435393024e+10|4.455990272e+10|4.475838669e+10|4.455832371e+10|4.432566682e+10|4.479099290e+10|1.525042176e+09|2.859110400e+09|3.868593152e+09|2.895478784e+09|1.435216384e+09|4.355741696e+09|7.964698608e+03|7.970875732e+03|7.980791870e+03|7.972875000e+03|7.964762695e+03|7.980988281e+03
4.721766455e+05|4.726272429e+05|4.049994224e+05|4.179996820e+05|2.317698188e+06|2.331669625e+06|2.344735750e+06|2.331748750e+06|2.316433000e+06|2.347064500e+06|2.848789688e+05|3.054080625e+05|3.348012188e+05|3.074140000e+05|2.792475000e+05|3.355805312e+05|1.953537639e+03|1.958202098e+03|1.961873565e+03|1.958108183e+03|1.953062857e+03|1.963153509e+03|1.012502020e+02|1.059152191e+02|1.095848755e+02|1.058215021e+02|1.007763302e+02|1.108666739e+02|3.641500214e+03|3.666767375e+03|3.689656576e+03|3.667927271e+03|3.640110878e+03|3.695743664e+03|5.329218128e+02|5.574698771e+02|5.876337547e+02|5.617157244e+02|5.248792973e+02|5.985521515e+02|4.423396864e+10|4.443239424e+10|4.465392640e+10|4.444449587e+10|4.419871539e+10|4.469027635e+10|1.484044288e+09|2.716444672e+09|4.041627648e+09|2.916038144e+09|1.401273344e+09|4.430802432e+09|7.959327515e+03|7.965632080e+03|7.977597412e+03|7.968533691e+03|7.959000488e+03|7.978066406e+03
4.930904955e+05|4.926795405e+05|4.421385972e+05|4.631169856e+05|2.314915188e+06|2.326374875e+06|2.341935438e+06|2.328221500e+06|2.313948750e+06|2.342494750e+06|2.849199062e+05|3.026034375e+05|3.265487188e+05|3.053480312e+05|2.782984062e+05|3.323976250e+05|1.954361126e+03|1.958224955e+03|1.963019978e+03|1.958269984e+03|1.953363965e+03|1.963176004e+03|1.020774159e+02|1.059388435e+02|1.107355837e+02|1.059835801e+02|1.010778613e+02|1.108892988e+02|3.641850396e+03|3.660205966e+03|3.690759275e+03|3.663778450e+03|3.637532372e+03|3.690024528e+03|5.352858089e+02|5.605922655e+02|5.859324302e+02|5.592759153e+02|5.275161350e+02|5.910356955e+02|4.403408384e+10|4.427284480e+10|4.445755290e+10|4.425322086e+10|4.402815386e+10|4.447829197e+10|1.321212928e+09|2.596712448e+09|4.260525056e+09|2.802147584e+09|1.228444672e+09|4.375849984e+09|7.954920410e+03|7.958765625e+03|7.968742065e+03|7.962665039e+03|7.954397949e+03|7.970931641e+03
