#RRR|U50|U25|U75|Umean|T50|T25|T75|Tmean|P50|P25|P75|Pmean|rho50|rho25|rho75|Pmean|S
1.700345379e+05|2.176032466e+06|2.178668905e+06|2.181038027e+06|2.178348632e+06|3.370867719e+03|3.373947611e+03|3.376714442e+03|3.373571928e+03|4.383985834e+10|4.397311707e+10|4.409293614e+10|4.395695899e+10|8.043088135e+03|8.046969482e+03|8.050449951e+03|8.046493164e+03|1.899283610e+03
2.590336557e+05|2.169356137e+06|2.171153839e+06|2.173468233e+06|2.171359925e+06|3.363007982e+03|3.365139643e+03|3.367871297e+03|3.365373453e+03|4.350116009e+10|4.359273037e+10|4.371033065e+10|4.360299028e+10|8.033211792e+03|8.035886963e+03|8.039314575e+03|8.036181152e+03|1.899283610e+03
3.079969957e+05|2.163915500e+06|2.165743366e+06|2.168025227e+06|2.165951490e+06|3.356554108e+03|3.358722811e+03|3.361429562e+03|3.358968570e+03|4.322431768e+10|4.331727021e+10|4.343339308e+10|4.332790612e+10|8.025099976e+03|8.027828857e+03|8.031229248e+03|8.028135742e+03|1.899283610e+03
3.446655622e+05|2.160462944e+06|2.161996875e+06|2.163678144e+06|2.162001060e+06|3.352456588e+03|3.354277259e+03|3.356272462e+03|3.354281788e+03|4.304883482e+10|4.312678519e+10|4.321224983e+10|4.312703938e+10|8.019954590e+03|8.022243164e+03|8.024746460e+03|8.022246094e+03|1.899283610e+03
3.788333053e+05|2.155334693e+06|2.156903350e+06|2.159270640e+06|2.157164780e+06|3.346367497e+03|3.348230422e+03|3.351041194e+03|3.348539375e+03|4.278850966e+10|4.286810030e+10|4.298827201e+10|4.288140728e+10|8.012291016e+03|8.014633057e+03|8.018172363e+03|8.015024414e+03|1.899283610e+03
4.091536872e+05|2.151110637e+06|2.152916827e+06|2.154238462e+06|2.152806192e+06|3.341331952e+03|3.343495434e+03|3.345065432e+03|3.343349910e+03|4.257383945e+10|4.266589421e+10|4.273290789e+10|4.265994351e+10|8.005954834e+03|8.008679199e+03|8.010653931e+03|8.008497559e+03|1.899283610e+03
4.372921980e+05|2.146917150e+06|2.148706513e+06|2.150724484e+06|2.149136127e+06|3.336276008e+03|3.338433653e+03|3.340866472e+03|3.338943464e+03|4.235936868e+10|4.245085491e+10|4.255408035e+10|4.247268860e+10|7.999610840e+03|8.002320557e+03|8.005376343e+03|8.002960449e+03|1.899283610e+03
4.632394995e+05|2.142317027e+06|2.143956638e+06|2.145775006e+06|2.144446667e+06|3.330727253e+03|3.332705289e+03|3.334898582e+03|3.333293063e+03|4.212437166e+10|4.220809831e+10|4.230099573e+10|4.223314248e+10|7.992644043e+03|7.995127441e+03|7.997884766e+03|7.995864258e+03|1.899283610e+03
4.894565338e+05|2.137951270e+06|2.139325203e+06|2.140903490e+06|2.139412919e+06|3.325458726e+03|3.327117026e+03|3.329021682e+03|3.327220037e+03|4.190162020e+10|4.197168822e+10|4.205221860e+10|4.197620152e+10|7.986020508e+03|7.988101318e+03|7.990501221e+03|7.988232422e+03|1.899283610e+03
5.122470101e+05|2.134156532e+06|2.135698427e+06|2.137406960e+06|2.136002352e+06|3.320877337e+03|3.322739088e+03|3.324801692e+03|3.323102199e+03|4.170821733e+10|4.178678244e+10|4.187386908e+10|4.180225510e+10|7.980256470e+03|7.982596924e+03|7.985193726e+03|7.983055176e+03|1.899283610e+03
