#RRR|U50|U25|U75|Umean|T50|T25|T75|Tmean|P50|P25|P75|Pmean|rho50|rho25|rho75|Pmean|S
1.721336655e+05|3.626353125e+06|3.686701788e+06|3.719895560e+06|3.668807424e+06|5.973593904e+03|6.064094461e+03|6.112994139e+03|6.036119258e+03|5.856951512e+10|6.082120069e+10|6.205811836e+10|6.015120144e+10|7.733783691e+03|7.794654053e+03|7.827560425e+03|7.775858887e+03|2.272663935e+03
2.618396084e+05|3.605738070e+06|3.677459708e+06|3.717594690e+06|3.652308893e+06|5.942162983e+03|6.050343579e+03|6.109635960e+03|6.010859881e+03|5.779915858e+10|6.047646064e+10|6.197247793e+10|5.953436820e+10|7.712664551e+03|7.785405518e+03|7.825293213e+03|7.758877930e+03|2.272663935e+03
3.120992612e+05|3.611363529e+06|3.681881863e+06|3.715536176e+06|3.652488256e+06|5.950754405e+03|6.056941922e+03|6.106630819e+03|6.010832897e+03|5.800937518e+10|6.064149522e+10|6.189586543e+10|5.953984518e+10|7.718436890e+03|7.789840576e+03|7.823268555e+03|7.758861816e+03|2.272663935e+03
3.482971279e+05|3.626688906e+06|3.680647715e+06|3.714754667e+06|3.655288136e+06|5.974100670e+03|6.055100553e+03|6.105482887e+03|6.015134179e+03|5.858203940e+10|6.059543015e+10|6.186673955e+10|5.964443197e+10|7.734122559e+03|7.788605225e+03|7.822496094e+03|7.761752930e+03|2.272663935e+03
3.792835251e+05|3.604735425e+06|3.678573120e+06|3.715565429e+06|3.646835552e+06|5.940631798e+03|6.052005106e+03|6.106671718e+03|6.001566274e+03|5.776168321e+10|6.051800144e+10|6.189694376e+10|5.932526289e+10|7.711630859e+03|7.786522705e+03|7.823298706e+03|7.752637695e+03|2.272663935e+03
4.084821609e+05|3.602237815e+06|3.659037320e+06|3.694932312e+06|3.639510025e+06|5.936816882e+03|6.022848223e+03|6.076240872e+03|5.991725440e+03|5.766839219e+10|5.978937488e+10|6.112776766e+10|5.905627722e+10|7.709064331e+03|7.766913330e+03|7.802832886e+03|7.746004883e+03|2.272663935e+03
4.324425911e+05|3.611350948e+06|3.678062160e+06|3.701117060e+06|3.651112270e+06|5.950735596e+03|6.051242677e+03|6.085366378e+03|6.008983891e+03|5.800886821e+10|6.049893360e+10|6.135823275e+10|5.948853575e+10|7.718425293e+03|7.786012207e+03|7.808976440e+03|7.757614258e+03|2.272663935e+03
4.578533683e+05|3.623968175e+06|3.657033687e+06|3.693047062e+06|3.642471693e+06|5.969979469e+03|6.019857038e+03|6.073458906e+03|5.996466340e+03|5.848048380e+10|5.971469560e+10|6.105753346e+10|5.916743928e+10|7.731354614e+03|7.764899414e+03|7.800961914e+03|7.749189941e+03|2.272663935e+03
4.813788156e+05|3.598230180e+06|3.649317876e+06|3.674174091e+06|3.624167439e+06|5.930695114e+03|6.008266427e+03|6.045440888e+03|5.967990392e+03|5.751873295e+10|5.942675145e+10|6.035385285e+10|5.848055258e+10|7.704949951e+03|7.757104492e+03|7.782109619e+03|7.730049805e+03|2.272663935e+03
5.029492607e+05|3.605897125e+06|3.658057383e+06|3.687531390e+06|3.636456824e+06|5.942406148e+03|6.021385324e+03|6.065318910e+03|5.987209416e+03|5.780508058e+10|5.975284891e+10|6.085209341e+10|5.894249623e+10|7.712827148e+03|7.765925781e+03|7.795473633e+03|7.742966309e+03|2.272663935e+03
5.242132972e+05|3.580870581e+06|3.645995148e+06|3.682686358e+06|3.621034617e+06|5.903988455e+03|6.003250860e+03|6.058142205e+03|5.963423435e+03|5.686963098e+10|5.930263605e+10|6.067152673e+10|5.836541718e+10|7.686996582e+03|7.753735596e+03|7.790644165e+03|7.726977539e+03|2.272663935e+03
5.466387588e+05|3.600099304e+06|3.631006141e+06|3.658388958e+06|3.618039458e+06|5.933550321e+03|5.980620598e+03|6.021880314e+03|5.959470968e+03|5.758852655e+10|5.874308970e+10|5.976520814e+10|5.825503045e+10|7.706870361e+03|7.738514648e+03|7.766257446e+03|7.724312500e+03|2.272663935e+03
