#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
1.702177195e+05|4.495742017e+10|4.553798350e+10|4.603664688e+10|0.000000|0.000000|0.000000
2.588337490e+05|4.494211162e+10|4.527993946e+10|4.560615650e+10|0.000000|0.000000|0.000000
3.099176496e+05|4.481237520e+10|4.506683986e+10|4.533511121e+10|0.000000|0.000000|0.000000
3.431373201e+05|4.468596938e+10|4.490403496e+10|4.514761296e+10|0.000000|0.000000|0.000000
3.772921090e+05|4.452427313e+10|4.471728093e+10|4.494444639e+10|0.000000|0.000000|0.000000
4.008209960e+05|4.439536554e+10|4.457743931e+10|4.479787147e+10|0.000000|0.000000|0.000000
4.252135679e+05|4.424752604e+10|4.442300279e+10|4.463986215e+10|0.000000|0.000000|0.000000
4.499390447e+05|4.408369143e+10|4.425678285e+10|4.446045053e+10|0.000000|0.000000|2.000000
4.696996887e+05|4.394314631e+10|4.411703851e+10|4.415934267e+10|0.000000|0.000000|2.000000
4.898440016e+05|4.379150388e+10|4.396835539e+10|4.385238856e+10|0.000000|0.000000|2.000000
5.111786280e+05|4.362210461e+10|4.380411896e+10|4.352729675e+10|0.000000|0.000000|2.000000
5.298608409e+05|4.346666496e+10|4.365465257e+10|4.324262176e+10|0.000000|0.000000|2.000000
5.469291914e+05|4.331910188e+10|4.351353905e+10|4.298253841e+10|0.000000|0.000000|2.000000
5.658785242e+05|4.314931850e+10|4.335182897e+10|4.269379312e+10|0.000000|0.000000|2.000000
5.846879587e+05|4.297483756e+10|4.318611647e+10|4.240717956e+10|0.000000|0.000000|2.000000
6.008527256e+05|4.282033824e+10|4.303960828e+10|4.216086480e+10|0.000000|0.000000|2.000000
6.166460666e+05|4.266547501e+10|4.289284349e+10|4.192020973e+10|0.000000|0.000000|2.000000
6.327012157e+05|4.250421540e+10|4.274000616e+10|4.167556530e+10|0.000000|0.000000|2.000000
6.490510695e+05|4.233616269e+10|4.258062323e+10|4.142643023e+10|0.000000|0.000000|2.000000
6.647953560e+05|4.217080040e+10|4.242360502e+10|4.118652265e+10|0.000000|0.000000|2.000000
6.786829445e+05|4.202215077e+10|4.228224341e+10|4.097490697e+10|0.000000|0.000000|2.000000
6.931041470e+05|4.186510416e+10|4.213263228e+10|4.075516022e+10|0.000000|0.000000|2.000000
7.062758215e+05|4.171933844e+10|4.199349157e+10|4.055445347e+10|0.000000|0.000000|2.000000
7.213103867e+05|4.155031501e+10|4.183178204e+10|4.032536044e+10|0.000000|0.000000|2.000000
7.365565311e+05|4.137611268e+10|4.166467045e+10|4.009304342e+10|0.000000|0.000000|2.000000
7.494986149e+05|4.122607961e+10|4.152035797e+10|3.989583512e+10|0.000000|0.000000|2.000000
7.619453889e+05|4.107996265e+10|4.137945326e+10|3.970617422e+10|0.000000|0.000000|2.000000
7.748736891e+05|4.092633626e+10|4.123091261e+10|3.950917595e+10|0.000000|0.000000|2.000000
7.877493659e+05|4.077149142e+10|4.108077468e+10|3.931297954e+10|0.000000|0.000000|2.000000
8.015755659e+05|4.060320557e+10|4.091711831e+10|3.910229928e+10|0.000000|0.000000|2.000000
