#RRR|Lz25|Lz50|Lz75|Lzmean|
1.703186681e+05|1.503997254e+25|3.125290642e+25|4.917077725e+25|3.331940960e+25|3.331940960e+27
2.585947722e+05|4.842801184e+25|7.734896121e+25|9.553443415e+25|7.111714702e+25|7.111714702e+27
3.078937827e+05|5.904543147e+25|1.105547204e+26|1.381834302e+26|9.901348198e+25|9.901348198e+27
3.447679965e+05|9.737693649e+25|1.531518332e+26|1.738317936e+26|1.321680077e+26|1.321680077e+28
3.750212391e+05|9.289198218e+25|1.709104417e+26|2.072225456e+26|1.498864034e+26|1.498864034e+28
4.006047782e+05|1.149748760e+26|1.965869126e+26|2.406096230e+26|1.755186942e+26|1.755186942e+28
4.241544655e+05|1.260871275e+26|2.093150804e+26|2.609973618e+26|1.873110588e+26|1.873110588e+28
4.448201225e+05|1.450400076e+26|2.551840991e+26|2.973590006e+26|2.201914140e+26|2.201914140e+28
4.634400458e+05|1.684718933e+26|2.636994879e+26|3.337054407e+26|2.372451155e+26|2.372451155e+28
4.818642664e+05|1.394592061e+26|2.514349366e+26|3.374543686e+26|2.288476651e+26|2.288476651e+28
4.972852766e+05|2.141648048e+26|3.345345313e+26|3.769776786e+26|2.845711302e+26|2.845711302e+28
5.130573798e+05|2.106536636e+26|3.061309785e+26|3.881599295e+26|2.899260725e+26|2.899260725e+28
5.277834619e+05|1.401581424e+26|3.300567314e+26|4.214558258e+26|2.818872140e+26|2.818872140e+28
5.415537171e+05|2.220566450e+26|3.522520118e+26|4.521162337e+26|3.240403745e+26|3.240403745e+28
5.546820889e+05|2.319833483e+26|3.673524105e+26|4.651988593e+26|3.343205360e+26|3.343205360e+28
5.669959544e+05|2.362660229e+26|4.047284008e+26|4.877974027e+26|3.615270003e+26|3.615270003e+28
5.785619841e+05|1.971638076e+26|4.080546338e+26|5.079267424e+26|3.497971643e+26|3.497971643e+28
5.909645701e+05|2.579365824e+26|3.721800133e+26|5.280324432e+26|3.709609549e+26|3.709609549e+28
6.014964435e+05|2.903149304e+26|4.730143174e+26|5.631097745e+26|4.182922455e+26|4.182922455e+28
6.121406729e+05|2.205556707e+26|4.197509575e+26|5.498706653e+26|3.810556607e+26|3.810556607e+28
6.234626150e+05|3.017144028e+26|4.912857281e+26|5.978764289e+26|4.315997858e+26|4.315997858e+28
6.327404988e+05|2.763251367e+26|4.663172330e+26|5.930229612e+26|4.200489144e+26|4.200489144e+28
6.422529202e+05|3.248920860e+26|5.008235537e+26|6.124091277e+26|4.575176475e+26|4.575176475e+28
6.515535771e+05|3.259884602e+26|5.309266557e+26|6.484358399e+26|4.661425850e+26|4.661425850e+28
6.611153743e+05|2.869693801e+26|5.708744393e+26|6.746631627e+26|4.724480076e+26|4.724480076e+28
6.700457605e+05|3.527436483e+26|5.372302097e+26|7.006291679e+26|4.962169493e+26|4.962169493e+28
6.782760559e+05|3.528508852e+26|5.097180822e+26|6.708850759e+26|4.855303134e+26|4.855303134e+28
6.872801683e+05|3.059959615e+26|5.549728194e+26|7.052152876e+26|4.938061445e+26|4.938061445e+28
6.957716111e+05|3.927596066e+26|6.296408950e+26|7.406374098e+26|5.561689190e+26|5.561689190e+28
7.039848157e+05|3.261517337e+26|6.137745601e+26|7.712584514e+26|5.349422669e+26|5.349422669e+28
7.116701467e+05|4.032405055e+26|6.071595052e+26|7.739922884e+26|5.671203511e+26|5.671203511e+28
7.189450101e+05|3.326501369e+26|5.857707297e+26|7.605655973e+26|5.325580098e+26|5.325580098e+28
7.259787729e+05|3.685488927e+26|6.507191212e+26|8.119424229e+26|5.799182488e+26|5.799182488e+28
7.338314691e+05|4.295703728e+26|7.007444782e+26|8.345700264e+26|5.972453981e+26|5.972453981e+28
7.415778400e+05|3.960551353e+26|6.979759187e+26|8.562851678e+26|5.953458329e+26|5.953458329e+28
7.489233372e+05|3.516773346e+26|6.001158760e+26|8.262233023e+26|5.812244398e+26|5.812244398e+28
7.554087236e+05|4.199710829e+26|6.970784672e+26|9.014615176e+26|6.334584398e+26|6.334584398e+28
7.626337918e+05|4.624686408e+26|7.183466297e+26|8.645788477e+26|6.267366558e+26|6.267366558e+28
7.697644554e+05|4.610321113e+26|7.190248473e+26|8.754472427e+26|6.454976846e+26|6.454976846e+28
7.765474314e+05|3.679355426e+26|6.849414790e+26|9.167713653e+26|6.249488454e+26|6.249488454e+28
7.826107499e+05|4.033721949e+26|7.495298866e+26|9.366647192e+26|6.615779286e+26|6.615779286e+28
7.886457928e+05|4.862208101e+26|8.377626855e+26|9.570210408e+26|7.152852928e+26|7.152852928e+28
7.952745311e+05|4.914290479e+26|8.022051483e+26|9.650771359e+26|7.069866940e+26|7.069866940e+28
8.013581081e+05|5.007169231e+26|7.673274657e+26|9.887545320e+26|7.112363242e+26|7.112363242e+28
8.071700348e+05|4.571063919e+26|8.092870161e+26|9.734378514e+26|7.023858661e+26|7.023858661e+28
8.128876478e+05|4.016964024e+26|7.977775384e+26|1.028474400e+27|7.052822963e+26|7.052822963e+28
8.190736657e+05|4.307812890e+26|7.851988103e+26|1.036062509e+27|7.086626291e+26|7.086626291e+28
8.256385708e+05|5.014533712e+26|8.352897216e+26|1.012890306e+27|7.248748941e+26|7.248748941e+28
8.325628278e+05|4.602048241e+26|7.169626448e+26|1.054109276e+27|7.109655987e+26|7.109655987e+28
8.378938783e+05|5.970195917e+26|9.020525583e+26|1.074863062e+27|7.887277928e+26|7.887277928e+28
8.431050767e+05|6.027700763e+26|8.504320311e+26|1.074401819e+27|7.864699899e+26|7.864699899e+28
8.485745084e+05|5.063159976e+26|8.932134791e+26|1.114564284e+27|7.947268584e+26|7.947268584e+28
8.535658746e+05|4.479141266e+26|9.032247474e+26|1.098952747e+27|7.637111107e+26|7.637111107e+28
8.591535082e+05|5.410258488e+26|9.172645475e+26|1.127266327e+27|8.103397269e+26|8.103397269e+28
8.643201949e+05|6.396952426e+26|1.007931957e+27|1.158596442e+27|8.617690461e+26|8.617690461e+28
8.693769015e+05|5.562259188e+26|9.307194756e+26|1.143286493e+27|8.215448961e+26|8.215448961e+28
8.752554622e+05|5.997832190e+26|9.375794881e+26|1.166301731e+27|8.316952390e+26|8.316952390e+28
8.803009707e+05|5.307589457e+26|8.810927891e+26|1.178905948e+27|8.358515492e+26|8.358515492e+28
8.854587839e+05|5.748440450e+26|8.807849220e+26|1.210652746e+27|8.532264984e+26|8.532264984e+28
8.904861489e+05|7.268316841e+26|1.025917534e+27|1.240092718e+27|9.242516861e+26|9.242516861e+28
8.952217071e+05|5.619562288e+26|9.712925157e+26|1.168134178e+27|8.383119327e+26|8.383119327e+28
8.998512278e+05|3.836220103e+26|9.385794697e+26|1.248351188e+27|8.065519271e+26|8.065519271e+28
9.058903777e+05|4.784577065e+26|9.453823957e+26|1.240098577e+27|8.539045443e+26|8.539045443e+28
9.113193157e+05|5.378069967e+26|1.022036013e+27|1.270250365e+27|8.833101564e+26|8.833101564e+28
9.160883408e+05|5.664999394e+26|9.733263521e+26|1.254503900e+27|8.951619372e+26|8.951619372e+28
