#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
1.703186681e+05|4.548793193e+10|4.626662472e+10|4.688451810e+10|0.000000|0.000000|0.000000
2.585947722e+05|4.557666192e+10|4.595186810e+10|4.629754743e+10|0.000000|0.000000|0.000000
3.078937827e+05|4.548086218e+10|4.572156581e+10|4.597493175e+10|0.000000|0.000000|0.000000
3.447679965e+05|4.535003924e+10|4.552415258e+10|4.573101905e+10|0.000000|0.000000|0.000000
3.750212391e+05|4.520839910e+10|4.534626829e+10|4.552726316e+10|0.000000|0.000000|0.000000
4.012586696e+05|4.506245124e+10|4.518046846e+10|4.534681364e+10|0.000000|0.000000|0.000000
4.268282968e+05|4.490099959e+10|4.500865375e+10|4.516680897e+10|0.000000|0.000000|0.000000
4.499866804e+05|4.473946266e+10|4.484437412e+10|4.499965074e+10|0.000000|0.000000|0.000000
4.725457306e+05|4.456899124e+10|4.467646834e+10|4.483255459e+10|0.000000|0.000000|0.000000
4.944906343e+05|4.439149175e+10|4.450571201e+10|4.466555053e+10|0.000000|0.000000|0.000000
5.140158045e+05|4.422445008e+10|4.434766007e+10|4.449509115e+10|0.000000|0.000000|2.000000
5.345387273e+05|4.404014518e+10|4.417534343e+10|4.416571189e+10|0.000000|0.000000|2.000000
5.531055117e+05|4.386611689e+10|4.401400960e+10|4.386772735e+10|0.000000|0.000000|2.000000
5.711068435e+05|4.369112591e+10|4.385267343e+10|4.357881795e+10|0.000000|0.000000|2.000000
5.901898428e+05|4.349923494e+10|4.367637827e+10|4.327254850e+10|0.000000|0.000000|2.000000
6.063681357e+05|4.333166005e+10|4.352268909e+10|4.301289766e+10|0.000000|0.000000|2.000000
6.247373190e+05|4.313621934e+10|4.334349955e+10|4.271808449e+10|0.000000|0.000000|2.000000
6.401552985e+05|4.296812752e+10|4.318926325e+10|4.247063617e+10|0.000000|0.000000|2.000000
6.555818562e+05|4.279640831e+10|4.303144867e+10|4.222305019e+10|0.000000|0.000000|2.000000
6.716123488e+05|4.261437938e+10|4.286376528e+10|4.196577144e+10|0.000000|0.000000|2.000000
6.879516515e+05|4.242524067e+10|4.268899212e+10|4.170353650e+10|0.000000|0.000000|2.000000
7.025392898e+05|4.225343023e+10|4.252967262e+10|4.146941461e+10|0.000000|0.000000|2.000000
7.166031882e+05|4.208525496e+10|4.237314859e+10|4.124369840e+10|0.000000|0.000000|2.000000
7.310225183e+05|4.191033850e+10|4.220969524e+10|4.101227774e+10|0.000000|0.000000|2.000000
7.454374684e+05|4.173303973e+10|4.204328946e+10|4.078092738e+10|0.000000|0.000000|2.000000
7.594944073e+05|4.155787545e+10|4.187813261e+10|4.055532286e+10|0.000000|0.000000|2.000000
7.741925158e+05|4.137239993e+10|4.170240413e+10|4.031942800e+10|0.000000|0.000000|2.000000
7.867290908e+05|4.121237795e+10|4.155006936e+10|4.011822431e+10|0.000000|0.000000|2.000000
7.990174183e+05|4.105393697e+10|4.139856718e+10|3.992100483e+10|0.000000|0.000000|2.000000
8.109931400e+05|4.089804712e+10|4.124884266e+10|3.972880246e+10|0.000000|0.000000|2.000000
8.246303965e+05|4.071878693e+10|4.107585373e+10|3.950993356e+10|0.000000|0.000000|2.000000
8.390972161e+05|4.052663434e+10|4.088944740e+10|3.927775073e+10|0.000000|0.000000|2.000000
8.506572796e+05|4.037164427e+10|4.073835700e+10|3.909221940e+10|0.000000|0.000000|2.000000
8.621245564e+05|4.021664702e+10|4.058660622e+10|3.890817724e+10|0.000000|0.000000|2.000000
8.737132373e+05|4.005875652e+10|4.043135649e+10|3.872218662e+10|0.000000|0.000000|2.000000
8.858958519e+05|3.989142882e+10|4.026610211e+10|3.852666376e+10|0.000000|0.000000|2.000000
8.973774541e+05|3.973247613e+10|4.010843832e+10|3.834239168e+10|0.000000|0.000000|2.000000
9.113596543e+05|3.953727044e+10|3.991392659e+10|3.811798667e+10|0.000000|0.000000|2.000000
9.221222709e+05|3.938579367e+10|3.976232893e+10|3.794525383e+10|0.000000|0.000000|2.000000
9.325997211e+05|3.923731123e+10|3.961318358e+10|3.777709772e+10|0.000000|0.000000|2.000000
9.430220005e+05|3.908861110e+10|3.946329417e+10|3.760982707e+10|0.000000|0.000000|2.000000
9.541122872e+05|3.892928117e+10|3.930212460e+10|3.743183535e+10|0.000000|0.000000|2.000000
9.660012460e+05|3.875721105e+10|3.912743474e+10|3.724102547e+10|0.000000|0.000000|2.000000
9.778707184e+05|3.858410535e+10|3.895105842e+10|3.705052833e+10|0.000000|0.000000|2.000000
9.888771137e+05|3.842239827e+10|3.878574786e+10|3.687388301e+10|0.000000|0.000000|2.000000
9.987815169e+05|3.827589271e+10|3.863554312e+10|3.671492393e+10|0.000000|0.000000|2.000000
1.008095727e+06|3.813725196e+10|3.849304074e+10|3.656543705e+10|0.000000|0.000000|2.000000
1.018040866e+06|3.798828183e+10|3.833955115e+10|3.640582418e+10|0.000000|0.000000|2.000000
1.029123912e+06|3.782110816e+10|3.816687748e+10|3.622794868e+10|0.000000|0.000000|2.000000
1.040609989e+06|3.764654376e+10|3.798612208e+10|3.604360477e+10|0.000000|0.000000|2.000000
1.051195798e+06|3.748445654e+10|3.781791104e+10|3.587370957e+10|0.000000|0.000000|2.000000
1.060395605e+06|3.734263429e+10|3.767046055e+10|3.572605880e+10|0.000000|0.000000|2.000000
1.070079762e+06|3.719236496e+10|3.751397882e+10|3.557063452e+10|0.000000|0.000000|2.000000
1.079031842e+06|3.705254359e+10|3.736817019e+10|3.542695958e+10|0.000000|0.000000|2.000000
1.088331036e+06|3.690635445e+10|3.721553248e+10|3.527771371e+10|0.000000|0.000000|2.000000
1.098623324e+06|3.674340489e+10|3.704519856e+10|3.511252933e+10|0.000000|0.000000|2.000000
1.109931920e+06|3.656294026e+10|3.685635576e+10|3.493103389e+10|0.000000|0.000000|2.000000
1.120015328e+06|3.640073724e+10|3.668648173e+10|3.476920190e+10|0.000000|0.000000|2.000000
1.129260237e+06|3.625092653e+10|3.652949970e+10|3.462082726e+10|0.000000|0.000000|2.000000
1.137051482e+06|3.612383923e+10|3.639628525e+10|3.449578297e+10|0.000000|0.000000|2.000000
1.145694530e+06|3.598194678e+10|3.624752670e+10|3.435706779e+10|0.000000|0.000000|2.000000
1.155794712e+06|3.581489029e+10|3.607238350e+10|3.419496659e+10|0.000000|0.000000|2.000000
