#RRR|Lz25|Lz50|Lz75|Lzmean|
1.783389356e+05|2.119508058e+25|4.447454487e+25|7.501254283e+25|4.974622986e+25|4.974622986e+27
2.707764267e+05|7.650012392e+25|1.289747033e+26|1.562818747e+26|1.162756825e+26|1.162756825e+28
3.224074798e+05|9.697751462e+25|1.727769347e+26|2.231986638e+26|1.551505462e+26|1.551505462e+28
3.604340729e+05|1.335192506e+26|2.267583460e+26|2.684374555e+26|1.998754207e+26|1.998754207e+28
3.927740972e+05|1.151009316e+26|2.294656948e+26|3.168340460e+26|2.143398121e+26|2.143398121e+28
4.192042356e+05|2.128716819e+26|2.978741693e+26|3.750332117e+26|2.820044780e+26|2.820044780e+28
4.443713845e+05|1.761935803e+26|3.254482965e+26|4.054956758e+26|2.887843258e+26|2.887843258e+28
4.663329798e+05|2.002734438e+26|3.477083802e+26|4.547270570e+26|3.210141588e+26|3.210141588e+28
4.844526878e+05|2.297046027e+26|3.911718482e+26|4.984831153e+26|3.555390676e+26|3.555390676e+28
5.038599626e+05|2.681751470e+26|4.420599680e+26|5.216626350e+26|3.958025841e+26|3.958025841e+28
5.210040897e+05|2.588067819e+26|4.326843031e+26|5.660583998e+26|3.985861768e+26|3.985861768e+28
5.382144869e+05|2.486362014e+26|4.673454807e+26|6.008083855e+26|4.253774248e+26|4.253774248e+28
5.529427281e+05|3.063483072e+26|5.237752207e+26|6.443795325e+26|4.629984476e+26|4.629984476e+28
5.654680828e+05|3.308305845e+26|5.742345679e+26|6.738999314e+26|4.946725451e+26|4.946725451e+28
5.803418572e+05|3.500660673e+26|5.293752912e+26|7.116992084e+26|5.044229199e+26|5.044229199e+28
5.940053131e+05|3.991781861e+26|5.985019028e+26|7.204928739e+26|5.330120764e+26|5.330120764e+28
6.065286059e+05|3.131608332e+26|5.781712540e+26|7.814011730e+26|5.254476878e+26|5.254476878e+28
6.185931439e+05|3.560421759e+26|6.778552534e+26|8.211329840e+26|5.897133061e+26|5.897133061e+28
6.299761897e+05|4.384490245e+26|6.607566890e+26|8.327981666e+26|6.035285639e+26|6.035285639e+28
6.411097163e+05|4.444264002e+26|6.998605615e+26|8.569068445e+26|6.362921053e+26|6.362921053e+28
6.519500100e+05|3.379750628e+26|6.157647269e+26|8.699362060e+26|5.850120073e+26|5.850120073e+28
6.619348861e+05|4.865029613e+26|7.927180080e+26|9.383808873e+26|6.914538787e+26|6.914538787e+28
6.729373720e+05|4.421229749e+26|7.021495458e+26|9.168474688e+26|6.606202190e+26|6.606202190e+28
6.824163646e+05|4.742272509e+26|8.085779478e+26|9.656168793e+26|7.036665371e+26|7.036665371e+28
6.918768880e+05|3.826772207e+26|7.737862353e+26|1.007654077e+27|6.924853770e+26|6.924853770e+28
7.016353790e+05|4.434925668e+26|8.180427624e+26|1.046318487e+27|7.391169026e+26|7.391169026e+28
7.104473057e+05|5.513884906e+26|8.556250670e+26|1.044356039e+27|7.674825765e+26|7.674825765e+28
7.200621709e+05|5.884419022e+26|9.196533250e+26|1.070375852e+27|8.020018573e+26|8.020018573e+28
7.288587542e+05|5.312451220e+26|9.315378346e+26|1.127301057e+27|8.058809086e+26|8.058809086e+28
7.364208731e+05|4.887371953e+26|7.833551186e+26|1.120510997e+27|7.568842248e+26|7.568842248e+28
7.444890088e+05|4.780618242e+26|9.172227496e+26|1.144622632e+27|8.124894730e+26|8.124894730e+28
7.528989814e+05|5.551492767e+26|9.830973717e+26|1.180257379e+27|8.520767409e+26|8.520767409e+28
7.609093578e+05|7.594922546e+26|1.051847673e+27|1.227419107e+27|9.473267592e+26|9.473267592e+28
7.688647890e+05|5.212489859e+26|9.359857351e+26|1.240272204e+27|8.439771042e+26|8.439771042e+28
7.759512302e+05|5.863139814e+26|1.012263405e+27|1.257069294e+27|8.864999127e+26|8.864999127e+28
7.833129663e+05|4.755994200e+26|8.970898365e+26|1.275749614e+27|8.530825664e+26|8.530825664e+28
7.911766471e+05|6.522256539e+26|1.061219222e+27|1.310971500e+27|9.609284817e+26|9.609284817e+28
7.989250617e+05|8.005654414e+26|1.138423312e+27|1.357669018e+27|1.012219071e+27|1.012219071e+29
8.064581855e+05|6.563567403e+26|1.087363694e+27|1.344492470e+27|9.747186213e+26|9.747186213e+28
8.126539562e+05|6.697493708e+26|1.174801072e+27|1.360591155e+27|1.001837319e+27|1.001837319e+29
8.187605071e+05|5.903190612e+26|1.018061904e+27|1.345968087e+27|9.292539856e+26|9.292539856e+28
8.261216010e+05|6.749963683e+26|1.228076276e+27|1.448737150e+27|1.026823969e+27|1.026823969e+29
8.330519767e+05|5.696699880e+26|1.118190072e+27|1.432977608e+27|1.010029975e+27|1.010029975e+29
8.394273143e+05|6.735197288e+26|1.138504903e+27|1.464732594e+27|1.033066848e+27|1.033066848e+29
8.453160333e+05|9.718705034e+26|1.283888340e+27|1.510141619e+27|1.159032817e+27|1.159032817e+29
8.514880804e+05|5.890890140e+26|1.167057906e+27|1.521938184e+27|1.045777334e+27|1.045777334e+29
8.578448285e+05|6.915307003e+26|1.160703981e+27|1.517354444e+27|1.061158742e+27|1.061158742e+29
8.641763457e+05|8.970977881e+26|1.249518714e+27|1.561575318e+27|1.149619136e+27|1.149619136e+29
8.704994517e+05|6.754011573e+26|1.029781658e+27|1.548568475e+27|1.047701389e+27|1.047701389e+29
8.772323219e+05|7.348441062e+26|1.293957451e+27|1.585059237e+27|1.135008837e+27|1.135008837e+29
8.832250989e+05|9.505995368e+26|1.364591447e+27|1.624442663e+27|1.217177972e+27|1.217177972e+29
8.883421065e+05|8.758846767e+26|1.443317102e+27|1.668197297e+27|1.254313339e+27|1.254313339e+29
8.944801257e+05|8.241682392e+26|1.308899264e+27|1.617843359e+27|1.181715594e+27|1.181715594e+29
8.998582980e+05|7.469933562e+26|1.320599278e+27|1.684809263e+27|1.184246388e+27|1.184246388e+29
9.049448671e+05|5.685315931e+26|1.256905907e+27|1.635275457e+27|1.113749584e+27|1.113749584e+29
9.101409388e+05|7.720008404e+26|1.413553933e+27|1.719924063e+27|1.244711624e+27|1.244711624e+29
9.160086958e+05|8.875213011e+26|1.444819913e+27|1.811748657e+27|1.291732258e+27|1.291732258e+29
9.219200036e+05|9.883465751e+26|1.437026031e+27|1.784331405e+27|1.299206295e+27|1.299206295e+29
9.271252649e+05|7.620906286e+26|1.338323239e+27|1.808852805e+27|1.235720339e+27|1.235720339e+29
9.324590051e+05|1.046390322e+27|1.641791446e+27|1.831085587e+27|1.388730539e+27|1.388730539e+29
9.378583900e+05|8.771804803e+26|1.416727675e+27|1.805371845e+27|1.285857926e+27|1.285857926e+29
9.427965106e+05|7.885636013e+26|1.499431487e+27|1.838451181e+27|1.319856444e+27|1.319856444e+29
9.481311294e+05|7.928942157e+26|1.363565949e+27|1.823299099e+27|1.253530417e+27|1.253530417e+29
9.535891986e+05|8.092208213e+26|1.491103959e+27|1.825385953e+27|1.312771904e+27|1.312771904e+29
9.590751009e+05|8.399584357e+26|1.388762351e+27|1.898229538e+27|1.292986366e+27|1.292986366e+29
9.634107066e+05|1.105408059e+27|1.660974663e+27|1.946423046e+27|1.440734606e+27|1.440734606e+29
9.680253831e+05|1.076990979e+27|1.672600523e+27|1.989186575e+27|1.479714460e+27|1.479714460e+29
9.732642710e+05|1.135243870e+27|1.711538506e+27|1.988756142e+27|1.509594430e+27|1.509594430e+29
9.780728139e+05|1.007896268e+27|1.607646171e+27|1.982803112e+27|1.450142737e+27|1.450142737e+29
9.825594302e+05|8.810535529e+26|1.637961469e+27|2.000429462e+27|1.415755955e+27|1.415755955e+29
9.873301032e+05|9.501037814e+26|1.532253009e+27|2.062825763e+27|1.424741577e+27|1.424741577e+29
9.917857477e+05|1.060104699e+27|1.782467311e+27|2.028205888e+27|1.514875211e+27|1.514875211e+29
9.965710320e+05|5.948770629e+26|1.537446652e+27|2.102740117e+27|1.346092113e+27|1.346092113e+29
1.001197587e+06|1.075656961e+27|1.604567797e+27|2.051989740e+27|1.478197659e+27|1.478197659e+29
1.005488855e+06|8.979154908e+26|1.562206814e+27|2.136721230e+27|1.447747207e+27|1.447747207e+29
