#R_planet
4.159177581e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
2.258690422e+06|2.260263002e+06|2.233933500e+06|2.234438434e+06|3.856714562e+06|3.981039875e+06|4.128445875e+06|3.996783250e+06|3.858532750e+06|4.135034500e+06|7.488948750e+05|8.808828750e+05|1.014351875e+06|8.923048750e+05|7.163348750e+05|1.068274750e+06|3.031701156e+03|3.069219543e+03|3.108905437e+03|3.070683657e+03|3.026009318e+03|3.115357996e+03|2.116140373e+02|2.491804671e+02|2.887925625e+02|2.506193767e+02|2.059479609e+02|2.952907926e+02|2.897558888e+03|2.934975323e+03|2.955535977e+03|2.932614047e+03|2.888853791e+03|2.976374304e+03|4.365165765e+02|4.756559942e+02|5.458152410e+02|4.902284768e+02|4.174465221e+02|5.630104316e+02|2.147424307e+10|2.187769446e+10|2.304630477e+10|2.245098291e+10|2.134173491e+10|2.356022682e+10|6.178544896e+09|8.297849856e+09|1.238320230e+10|8.425608192e+09|3.718733824e+09|1.313248256e+10|3.675631104e+03|3.693315552e+03|3.713263550e+03|3.701968994e+03|3.673450684e+03|3.730487305e+03
2.272535633e+06|2.272401774e+06|2.255197453e+06|2.254799338e+06|3.860303688e+06|3.955076750e+06|4.025462188e+06|3.953075250e+06|3.844238500e+06|4.061911250e+06|7.995770000e+05|8.921651250e+05|1.019658250e+06|8.910703125e+05|7.359852500e+05|1.046155188e+06|3.029550349e+03|3.069073648e+03|3.094972194e+03|3.066164010e+03|3.030178744e+03|3.102149275e+03|2.095548984e+02|2.490803113e+02|2.749465070e+02|2.461091104e+02|2.101178763e+02|2.821003445e+02|2.896289201e+03|2.923816238e+03|2.945056768e+03|2.917476249e+03|2.881879573e+03|2.953072925e+03|4.476498320e+02|4.850830073e+02|5.432656136e+02|4.920004773e+02|4.260127783e+02|5.579881764e+02|2.099005645e+10|2.137653043e+10|2.198149990e+10|2.164893901e+10|2.074351821e+10|2.255435776e+10|6.623372800e+09|8.807162880e+09|1.200740403e+10|8.825138176e+09|4.817667072e+09|1.283260723e+10|3.665886414e+03|3.678874634e+03|3.692024536e+03|3.683543213e+03|3.661942139e+03|3.705145020e+03
2.280245864e+06|2.280171093e+06|2.266840727e+06|2.270279842e+06|3.915626000e+06|4.002803000e+06|4.119609375e+06|4.028108750e+06|3.901502500e+06|4.154715250e+06|8.103360625e+05|9.537180000e+05|1.087224625e+06|9.484900625e+05|7.683628750e+05|1.128617250e+06|3.062074982e+03|3.092533151e+03|3.123187744e+03|3.099587121e+03|3.056154632e+03|3.143019609e+03|2.419634159e+02|2.724661989e+02|3.031384724e+02|2.795308484e+02|2.360974671e+02|3.229642297e+02|2.907830127e+03|2.926614399e+03|2.946521998e+03|2.927075136e+03|2.900377720e+03|2.953772552e+03|4.494782662e+02|4.921816187e+02|5.650628760e+02|4.965064157e+02|4.208485962e+02|5.721642351e+02|2.083429990e+10|2.123046195e+10|2.211257907e+10|2.150800589e+10|2.065855078e+10|2.235745894e+10|5.774074624e+09|8.994611200e+09|1.239306112e+10|8.251305984e+09|3.613654272e+09|1.288895898e+10|3.651165833e+03|3.665265869e+03|3.683857117e+03|3.669608398e+03|3.648438232e+03|3.690778809e+03
2.286159729e+06|2.286195002e+06|2.276547126e+06|2.279218085e+06|3.915393312e+06|3.999549625e+06|4.117295062e+06|4.016144000e+06|3.904843000e+06|4.127445750e+06|7.959666250e+05|9.431673750e+05|1.041169438e+06|9.117568125e+05|7.484571250e+05|1.075056500e+06|3.067316454e+03|3.091388570e+03|3.124526469e+03|3.097438922e+03|3.059857630e+03|3.135020214e+03|2.472370269e+02|2.712640764e+02|3.045030457e+02|2.773790302e+02|2.397987010e+02|3.149593594e+02|2.906365812e+03|2.921501533e+03|2.938299948e+03|2.922993865e+03|2.897361516e+03|2.948626214e+03|4.397010843e+02|4.860013712e+02|5.389584735e+02|4.789075724e+02|4.097206776e+02|5.480944672e+02|2.070740378e+10|2.110026240e+10|2.174572442e+10|2.135030989e+10|2.054598656e+10|2.215463117e+10|5.333230080e+09|8.133124096e+09|1.124230323e+10|7.266345984e+09|2.668882688e+09|1.186381210e+10|3.650507751e+03|3.663807983e+03|3.676611084e+03|3.666133057e+03|3.644281494e+03|3.687984375e+03
2.293012859e+06|2.293071639e+06|2.283601914e+06|2.287742099e+06|3.932929688e+06|4.005309625e+06|4.091561125e+06|4.026072000e+06|3.907915500e+06|4.144228750e+06|8.942895625e+05|9.695798750e+05|1.072641500e+06|9.771722500e+05|8.415886250e+05|1.112755875e+06|3.066838787e+03|3.097945180e+03|3.130078890e+03|3.106263911e+03|3.064010941e+03|3.148516881e+03|2.467378264e+02|2.778554599e+02|3.100058114e+02|2.861941089e+02|2.439427387e+02|3.284454792e+02|2.896902864e+03|2.913419012e+03|2.934721544e+03|2.917842708e+03|2.890950069e+03|2.944735347e+03|4.606276197e+02|5.048314646e+02|5.514181172e+02|5.000974882e+02|4.417450114e+02|5.584499649e+02|2.033638246e+10|2.082881434e+10|2.155831040e+10|2.107251917e+10|2.014210458e+10|2.200293581e+10|6.468111104e+09|9.102843392e+09|1.232835840e+10|8.706304000e+09|5.032904704e+09|1.237970227e+10|3.637838562e+03|3.652161865e+03|3.669375732e+03|3.655986816e+03|3.630882812e+03|3.681092529e+03
2.301461076e+06|2.301615071e+06|2.292128251e+06|2.295371068e+06|3.899157250e+06|3.994619250e+06|4.128964625e+06|4.022216000e+06|3.895704000e+06|4.148728000e+06|8.788824375e+05|9.457761250e+05|1.112624375e+06|9.684235000e+05|8.130963750e+05|1.123750625e+06|3.063186630e+03|3.109489119e+03|3.155764971e+03|3.112033054e+03|3.060737884e+03|3.163328224e+03|2.431256605e+02|2.894192388e+02|3.357469221e+02|2.919710572e+02|2.406812824e+02|3.432608319e+02|2.888641738e+03|2.908342197e+03|2.927003803e+03|2.905477628e+03|2.880811329e+03|2.930143926e+03|4.481316081e+02|4.987207870e+02|5.315216886e+02|4.862887003e+02|4.229040945e+02|5.496733060e+02|1.995193088e+10|2.067021926e+10|2.137080525e+10|2.065643930e+10|1.979000627e+10|2.152287642e+10|5.747411712e+09|9.062679552e+09|1.147310592e+10|8.168313856e+09|4.130474240e+09|1.220615475e+10|3.618908936e+03|3.644223755e+03|3.661710510e+03|3.642911133e+03|3.616065430e+03|3.669756836e+03
2.312570549e+06|2.312636415e+06|2.302265873e+06|2.305248855e+06|3.849324688e+06|3.987684125e+06|4.083968375e+06|3.991824000e+06|3.835537500e+06|4.148110750e+06|8.384370625e+05|9.692108750e+05|1.071896438e+06|9.689888750e+05|8.074128125e+05|1.130565000e+06|3.052015778e+03|3.106559390e+03|3.155490293e+03|3.109286248e+03|3.049281316e+03|3.169291180e+03|2.320152401e+02|2.865348499e+02|3.353997150e+02|2.892305261e+02|2.292361322e+02|3.492249200e+02|2.859937221e+03|2.888527385e+03|2.918685580e+03|2.887792469e+03|2.853423422e+03|2.922161516e+03|4.456146365e+02|4.933438058e+02|5.350337183e+02|4.832477651e+02|4.224852154e+02|5.440103148e+02|1.917433446e+10|1.987250893e+10|2.100863590e+10|2.006229197e+10|1.890033459e+10|2.122425139e+10|6.596891136e+09|9.264288256e+09|1.212583501e+10|8.528345088e+09|4.852718080e+09|1.220397056e+10|3.604609619e+03|3.627114746e+03|3.646600647e+03|3.627718018e+03|3.597737793e+03|3.657699707e+03
2.326594763e+06|2.325749184e+06|2.313587262e+06|2.316832655e+06|3.803589312e+06|3.922968250e+06|4.069488875e+06|3.948128250e+06|3.794684250e+06|4.101573750e+06|8.406784375e+05|9.503107500e+05|1.083107000e+06|9.742843125e+05|8.205567500e+05|1.128011750e+06|3.033378618e+03|3.083505086e+03|3.146474340e+03|3.096693002e+03|3.034992856e+03|3.158393148e+03|2.133100446e+02|2.634112652e+02|3.264561444e+02|2.766472382e+02|2.149587445e+02|3.383357319e+02|2.854956936e+03|2.876034149e+03|2.899877060e+03|2.876330614e+03|2.844739370e+03|2.907921857e+03|4.447250042e+02|5.021820482e+02|5.600411482e+02|5.013385251e+02|4.344457191e+02|5.682313311e+02|1.892016077e+10|1.977106739e+10|2.045627341e+10|1.973086003e+10|1.867020288e+10|2.079151309e+10|7.174061312e+09|1.041870899e+10|1.340290816e+10|9.928333312e+09|6.232605184e+09|1.362406195e+10|3.595607361e+03|3.634624146e+03|3.651965454e+03|3.622981445e+03|3.588395020e+03|3.657568359e+03
2.345620860e+06|2.345142557e+06|2.330962245e+06|2.332853709e+06|3.767618375e+06|3.889205000e+06|4.092540000e+06|3.929912750e+06|3.741783000e+06|4.118042500e+06|7.645942500e+05|9.237850000e+05|1.029401562e+06|9.123594375e+05|7.302363125e+05|1.094482500e+06|3.051992807e+03|3.082202573e+03|3.174378256e+03|3.110628412e+03|3.042746811e+03|3.178510012e+03|2.319738417e+02|2.620992610e+02|3.543465178e+02|2.905764325e+02|2.226968310e+02|3.584560340e+02|2.801408030e+03|2.858453720e+03|2.891069180e+03|2.845671208e+03|2.795140527e+03|2.896201889e+03|3.634240929e+02|4.672219414e+02|5.264729945e+02|4.490501480e+02|3.594045260e+02|5.386957701e+02|1.676783437e+10|1.883517440e+10|1.985849446e+10|1.840700826e+10|1.669600358e+10|2.011801395e+10|3.659501312e+09|8.321466880e+09|1.125373696e+10|7.222067712e+09|2.594896128e+09|1.184923750e+10|3.534859070e+03|3.590572266e+03|3.623291748e+03|3.581860352e+03|3.537705322e+03|3.626015625e+03
2.363726007e+06|2.363555795e+06|2.346330848e+06|2.344946167e+06|3.609416250e+06|3.757694375e+06|3.899105500e+06|3.791466000e+06|3.613228750e+06|3.969703000e+06|5.856482500e+05|7.566997500e+05|9.277944375e+05|7.863797500e+05|5.802925000e+05|9.924667500e+05|3.028455522e+03|3.068429820e+03|3.107831062e+03|3.082069302e+03|3.026228390e+03|3.137910214e+03|2.084513132e+02|2.483568911e+02|2.877905321e+02|2.620116236e+02|2.061665533e+02|3.178566939e+02|2.739240500e+03|2.784720906e+03|2.849086894e+03|2.793144307e+03|2.736757437e+03|2.849531178e+03|3.190453427e+02|3.920531032e+02|4.732179811e+02|3.979931387e+02|3.103232608e+02|4.856630166e+02|1.464410931e+10|1.605301811e+10|1.847443610e+10|1.654588416e+10|1.470895514e+10|1.838281728e+10|2.374287104e+09|5.558076928e+09|9.756074240e+09|5.596856832e+09|1.412594688e+09|9.781120000e+09|3.496897766e+03|3.524984131e+03|3.582785339e+03|3.539293701e+03|3.497528076e+03|3.581059570e+03
