#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
1.785913737e+05|4.357456616e+10|4.408273987e+10|4.468180877e+10|0.000000|0.000000|0.000000
2.717128723e+05|4.327395920e+10|4.369494752e+10|4.416959490e+10|0.000000|0.000000|0.000000
3.239186246e+05|4.305768956e+10|4.345033626e+10|4.387663970e+10|0.000000|0.000000|0.000000
3.612836133e+05|4.288244405e+10|4.326187283e+10|4.366131759e+10|0.000000|0.000000|0.000000
3.939892502e+05|4.271528838e+10|4.308715752e+10|4.346768040e+10|0.000000|0.000000|0.000000
4.211692183e+05|4.256672348e+10|4.293472296e+10|4.330240181e+10|0.000000|0.000000|0.000000
4.443969185e+05|4.243288986e+10|4.279906666e+10|4.315762234e+10|0.000000|0.000000|0.000000
4.677423960e+05|4.229204960e+10|4.265757759e+10|4.300851351e+10|0.000000|0.000000|0.000000
4.890385074e+05|4.215807916e+10|4.252390126e+10|4.286911021e+10|0.000000|0.000000|0.000000
5.083463093e+05|4.203211469e+10|4.239882472e+10|4.273975362e+10|0.000000|0.000000|0.000000
5.288276442e+05|4.189383975e+10|4.226203479e+10|4.259927994e+10|0.000000|0.000000|0.000000
5.468144909e+05|4.176847284e+10|4.213835510e+10|4.247302208e+10|0.000000|0.000000|0.000000
5.659526898e+05|4.163106012e+10|4.200305538e+10|4.233558526e+10|0.000000|0.000000|0.000000
5.825753002e+05|4.150835765e+10|4.188239838e+10|4.221352830e+10|0.000000|0.000000|0.000000
6.003898843e+05|4.137340876e+10|4.174980460e+10|4.207985527e+10|0.000000|0.000000|0.000000
6.175584431e+05|4.123998789e+10|4.161876510e+10|4.194814342e+10|0.000000|0.000000|0.000000
6.331098245e+05|4.111629002e+10|4.149728157e+10|4.182632741e+10|0.000000|0.000000|0.000000
6.482503085e+05|4.099326806e+10|4.137643753e+10|4.170538352e+10|0.000000|0.000000|0.000000
6.641902200e+05|4.086099123e+10|4.124644782e+10|4.157549913e+10|0.000000|0.000000|0.000000
6.802340792e+05|4.072499787e+10|4.111272187e+10|4.144206929e+10|0.000000|0.000000|0.000000
