#RRR|Lz25|Lz50|Lz75|Lzmean|
1.779958296e+05|6.165486239e+24|1.311122128e+25|2.188206134e+25|1.407577344e+25|1.407577344e+27
2.711966732e+05|1.793682074e+25|3.295789701e+25|4.102213543e+25|2.974695801e+25|2.974695801e+27
3.225375181e+05|3.211113041e+25|4.904424876e+25|5.734443364e+25|4.287686794e+25|4.287686794e+27
3.602366241e+05|3.111986683e+25|6.304631630e+25|7.575486021e+25|5.440449657e+25|5.440449657e+27
3.927058449e+05|4.401643532e+25|7.066558252e+25|8.761221050e+25|6.450808016e+25|6.450808016e+27
4.196747759e+05|4.566376341e+25|7.783856814e+25|1.030939694e+26|7.017641207e+25|7.017641207e+27
4.431898469e+05|6.067874910e+25|9.100663492e+25|1.124011177e+26|8.258727172e+25|8.258727172e+27
4.658890954e+05|6.223930480e+25|1.091077566e+26|1.270765454e+26|9.360383101e+25|9.360383101e+27
4.859098239e+05|6.682674154e+25|9.716869269e+25|1.333195682e+26|9.324742561e+25|9.324742561e+27
5.037010864e+05|6.625076548e+25|1.201622692e+26|1.491571983e+26|1.023085493e+26|1.023085493e+28
5.201299028e+05|7.080326864e+25|1.276041236e+26|1.600978725e+26|1.133617032e+26|1.133617032e+28
5.373493587e+05|9.817718908e+25|1.381974604e+26|1.693663273e+26|1.276379356e+26|1.276379356e+28
5.528392921e+05|7.597484192e+25|1.396556923e+26|1.684799864e+26|1.212355043e+26|1.212355043e+28
5.670490015e+05|7.662498051e+25|1.445641946e+26|1.892718469e+26|1.275206657e+26|1.275206657e+28
5.803321781e+05|9.245682588e+25|1.653143286e+26|1.957575844e+26|1.419691521e+26|1.419691521e+28
5.928611229e+05|9.741635579e+25|1.711236320e+26|2.093171552e+26|1.483183817e+26|1.483183817e+28
6.055222212e+05|1.140338936e+26|1.705445860e+26|2.128048631e+26|1.569167998e+26|1.569167998e+28
6.194102550e+05|1.093867040e+26|1.780449892e+26|2.218733484e+26|1.622480456e+26|1.622480456e+28
6.298858388e+05|1.049753700e+26|1.855373768e+26|2.326511766e+26|1.638181879e+26|1.638181879e+28
6.409412529e+05|9.984759535e+25|1.788823184e+26|2.260566547e+26|1.592186503e+26|1.592186503e+28
6.522424039e+05|1.229846384e+26|1.966309426e+26|2.472794839e+26|1.768496244e+26|1.768496244e+28
6.617389901e+05|1.092081071e+26|1.942635000e+26|2.497209806e+26|1.766257281e+26|1.766257281e+28
6.720247745e+05|1.587595349e+26|2.347925761e+26|2.710282641e+26|2.052890452e+26|2.052890452e+28
6.818403029e+05|1.195017562e+26|2.164831253e+26|2.674351245e+26|1.921356871e+26|1.921356871e+28
6.928127492e+05|1.355415611e+26|2.128331822e+26|2.800848338e+26|1.972350356e+26|1.972350356e+28
7.023740610e+05|1.536150209e+26|2.285557338e+26|2.802143174e+26|2.062010934e+26|2.062010934e+28
7.106889935e+05|1.377999788e+26|2.237623210e+26|2.952527702e+26|2.062884182e+26|2.062884182e+28
7.191825538e+05|1.132297997e+26|2.153897295e+26|3.024474794e+26|1.999121773e+26|1.999121773e+28
7.281685480e+05|1.499573379e+26|2.566285021e+26|3.107985931e+26|2.229625636e+26|2.229625636e+28
7.361263276e+05|1.538898747e+26|2.576535962e+26|3.156580896e+26|2.274003985e+26|2.274003985e+28
7.442174252e+05|1.598145014e+26|2.510871241e+26|3.192156597e+26|2.327562347e+26|2.327562347e+28
7.523521591e+05|1.900913240e+26|3.017223085e+26|3.369137723e+26|2.527713839e+26|2.527713839e+28
7.607784985e+05|1.602918954e+26|2.719817592e+26|3.465452071e+26|2.445459045e+26|2.445459045e+28
7.689922476e+05|1.617359198e+26|2.687771455e+26|3.339865458e+26|2.351026020e+26|2.351026020e+28
7.775559282e+05|1.679926142e+26|2.830623366e+26|3.547543418e+26|2.511655400e+26|2.511655400e+28
7.847860111e+05|1.414509050e+26|2.805320449e+26|3.509615031e+26|2.467659497e+26|2.467659497e+28
7.912669939e+05|1.952299817e+26|2.900361299e+26|3.611612270e+26|2.583509191e+26|2.583509191e+28
7.980471379e+05|1.860652969e+26|2.929523386e+26|3.762345410e+26|2.679582654e+26|2.679582654e+28
8.052914279e+05|1.564513140e+26|2.987532558e+26|3.783298010e+26|2.606013265e+26|2.606013265e+28
8.117572678e+05|1.940453508e+26|3.258653614e+26|3.856422633e+26|2.837787325e+26|2.837787325e+28
8.190809243e+05|1.693667004e+26|3.083716724e+26|3.933022079e+26|2.761070412e+26|2.761070412e+28
8.256152959e+05|1.854693850e+26|3.112567408e+26|3.947113217e+26|2.854271099e+26|2.854271099e+28
