#RRR|U50|U25|U75|Umean|T50|T25|T75|Tmean|P50|P25|P75|Pmean|rho50|rho25|rho75|Pmean|S
1.792527462e+05|2.954337493e+06|2.961409254e+06|2.967199802e+06|2.960681639e+06|4.803895313e+03|4.814212272e+03|4.822658189e+03|4.813137612e+03|4.919919887e+10|4.949640619e+10|4.973999984e+10|4.946584955e+10|7.764288818e+03|7.772912598e+03|7.779968018e+03|7.772012695e+03|2.142489141e+03
2.731912041e+05|2.945213669e+06|2.950407137e+06|2.955626977e+06|2.950549588e+06|4.790450547e+03|4.798128838e+03|4.805776724e+03|4.798297146e+03|4.881442238e+10|4.903371940e+10|4.925337071e+10|4.903932000e+10|7.753065430e+03|7.759467773e+03|7.765863159e+03|7.759616699e+03|2.142489141e+03
3.253202922e+05|2.939141012e+06|2.944391174e+06|2.951522601e+06|2.944659049e+06|4.781470854e+03|4.789234415e+03|4.799777838e+03|4.789609758e+03|4.855820654e+10|4.877970671e+10|4.908084093e+10|4.879098226e+10|7.745573364e+03|7.752051270e+03|7.760847534e+03|7.752361816e+03|2.142489141e+03
3.627870169e+05|2.932427363e+06|2.939703296e+06|2.945269110e+06|2.939395168e+06|4.771541356e+03|4.782302379e+03|4.790532519e+03|4.781832895e+03|4.827522507e+10|4.858191958e+10|4.881676255e+10|4.856903183e+10|7.737274414e+03|7.746265625e+03|7.753132812e+03|7.745867676e+03|2.142489141e+03
3.969335421e+05|2.926292373e+06|2.932202098e+06|2.940416771e+06|2.932722353e+06|4.762448879e+03|4.771208153e+03|4.783357471e+03|4.771940416e+03|4.801664713e+10|4.826573509e+10|4.861201295e+10|4.828748671e+10|7.729675171e+03|7.736995117e+03|7.747147705e+03|7.737606934e+03|2.142489141e+03
4.279941529e+05|2.918450292e+06|2.926923281e+06|2.935239402e+06|2.927179196e+06|4.750690922e+03|4.763392550e+03|4.775700618e+03|4.763690145e+03|4.768462753e+10|4.804334591e+10|4.839371703e+10|4.805335047e+10|7.719870239e+03|7.730460205e+03|7.740750122e+03|7.730720215e+03|2.142489141e+03
4.564584018e+05|2.915436319e+06|2.921542506e+06|2.928725448e+06|2.922106461e+06|4.746171286e+03|4.755327501e+03|4.766065325e+03|4.756125640e+03|4.755712479e+10|4.781550063e+10|4.811931108e+10|4.783906738e+10|7.716095215e+03|7.723736084e+03|7.732693115e+03|7.724404297e+03|2.142489141e+03
4.853312640e+05|2.907347836e+06|2.914641444e+06|2.921689738e+06|2.914674386e+06|4.734040287e+03|4.744979260e+03|4.755548260e+03|4.744994739e+03|4.721525959e+10|4.752350941e+10|4.782173301e+10|4.752488968e+10|7.705963623e+03|7.715100830e+03|7.723921387e+03|7.715109863e+03|2.142489141e+03
5.103173662e+05|2.901725831e+06|2.908636212e+06|2.918776878e+06|2.910148755e+06|4.725592031e+03|4.735972753e+03|4.751180635e+03|4.738201064e+03|4.697768851e+10|4.726968470e+10|4.769844699e+10|4.733352855e+10|7.698901978e+03|7.707575684e+03|7.720278198e+03|7.709435547e+03|2.142489141e+03
5.354181142e+05|2.894975236e+06|2.902505475e+06|2.911895608e+06|2.902656947e+06|4.715348413e+03|4.726771076e+03|4.740861297e+03|4.726888857e+03|4.669133587e+10|4.701072555e+10|4.740742017e+10|4.701628003e+10|7.690358398e+03|7.699887207e+03|7.711660156e+03|7.699991211e+03|2.142489141e+03
5.603032752e+05|2.888080073e+06|2.895710687e+06|2.906710460e+06|2.894226837e+06|4.704883735e+03|4.716464495e+03|4.733084247e+03|4.714065276e+03|4.639917104e+10|4.672251804e+10|4.718833890e+10|4.665873811e+10|7.681618652e+03|7.691287109e+03|7.705165039e+03|7.689285645e+03|2.142489141e+03
5.821135559e+05|2.882978102e+06|2.891994807e+06|2.902217715e+06|2.892289243e+06|4.697102900e+03|4.710825273e+03|4.726338375e+03|4.711195747e+03|4.618268370e+10|4.656500692e+10|4.699856504e+10|4.657706616e+10|7.675121094e+03|7.686580811e+03|7.699526001e+03|7.686889160e+03|2.142489141e+03
6.038465100e+05|2.876872524e+06|2.883978845e+06|2.895130215e+06|2.884313602e+06|4.687741981e+03|4.698637099e+03|4.715583593e+03|4.698999471e+03|4.592315627e+10|4.622524698e+10|4.669790813e+10|4.623842146e+10|7.667310425e+03|7.676400146e+03|7.690555054e+03|7.676707520e+03|2.142489141e+03
6.267817675e+05|2.869371975e+06|2.877462493e+06|2.888407903e+06|2.874145504e+06|4.676240724e+03|4.688646559e+03|4.705381316e+03|4.683276737e+03|4.560469297e+10|4.594822240e+10|4.641305407e+10|4.580553790e+10|7.657708008e+03|7.668065674e+03|7.682036377e+03|7.663584961e+03|2.142489141e+03
6.471245373e+05|2.865389241e+06|2.872643388e+06|2.882819221e+06|2.872696411e+06|4.670086149e+03|4.681257289e+03|4.696859322e+03|4.681227581e+03|4.543507816e+10|4.574354338e+10|4.617592690e+10|4.574511437e+10|7.652573853e+03|7.661896240e+03|7.674919800e+03|7.661873047e+03|2.142489141e+03
6.656297268e+05|2.861749219e+06|2.870077264e+06|2.877506782e+06|2.869355290e+06|4.664446626e+03|4.677322280e+03|4.688714464e+03|4.676095477e+03|4.527995603e+10|4.563462150e+10|4.595010420e+10|4.560311517e+10|7.647869629e+03|7.658609131e+03|7.668123901e+03|7.657589355e+03|2.142489141e+03
6.864123306e+05|2.852615282e+06|2.862289473e+06|2.868975977e+06|2.859465099e+06|4.650293760e+03|4.665283671e+03|4.675633454e+03|4.660755041e+03|4.489113524e+10|4.530297277e+10|4.558789115e+10|4.518178898e+10|7.636050659e+03|7.648568115e+03|7.657198120e+03|7.644786133e+03|2.142489141e+03
7.057417208e+05|2.846671512e+06|2.854295949e+06|2.863243320e+06|2.853050240e+06|4.641008713e+03|4.652898090e+03|4.666761496e+03|4.650781755e+03|4.463737280e+10|4.496263262e+10|4.534361610e+10|4.490835038e+10|7.628308716e+03|7.638226074e+03|7.649798828e+03|7.636463867e+03|2.142489141e+03
7.242364277e+05|2.845222844e+06|2.852099334e+06|2.862551887e+06|2.851774512e+06|4.638741546e+03|4.649494240e+03|4.665690240e+03|4.648836815e+03|4.457550709e+10|4.486919065e+10|4.531415348e+10|4.485424433e+10|7.626418213e+03|7.635382812e+03|7.648904663e+03|7.634838867e+03|2.142489141e+03
7.420882646e+05|2.836294653e+06|2.844394293e+06|2.853668755e+06|2.843595531e+06|4.624767918e+03|4.637444846e+03|4.651926197e+03|4.636080831e+03|4.419457500e+10|4.454012918e+10|4.493595256e+10|4.450538837e+10|7.614747559e+03|7.625333740e+03|7.637415527e+03|7.624194336e+03|2.142489141e+03
7.598336734e+05|2.829749889e+06|2.837333344e+06|2.848799948e+06|2.837604106e+06|4.614443719e+03|4.626393673e+03|4.644339630e+03|4.626609557e+03|4.391455327e+10|4.423886189e+10|4.472829874e+10|4.424900395e+10|7.606134888e+03|7.616109375e+03|7.631082520e+03|7.616288574e+03|2.142489141e+03
7.780264556e+05|2.823923209e+06|2.831692413e+06|2.837465284e+06|2.828952533e+06|4.605231677e+03|4.617514744e+03|4.626600185e+03|4.613003230e+03|4.366524531e+10|4.399772733e+10|4.424448793e+10|4.387925967e+10|7.598451050e+03|7.608700195e+03|7.616277222e+03|7.604935059e+03|2.142489141e+03
7.950231197e+05|2.820450272e+06|2.827275380e+06|2.838507052e+06|2.827356681e+06|4.599740652e+03|4.610531566e+03|4.628230737e+03|4.610495721e+03|4.351677977e+10|4.380864146e+10|4.428891261e+10|4.381107913e+10|7.593868652e+03|7.602873779e+03|7.617639771e+03|7.602843750e+03|2.142489141e+03
8.117209277e+05|2.814744807e+06|2.822206778e+06|2.833022212e+06|2.822219599e+06|4.590656213e+03|4.602517873e+03|4.619617042e+03|4.602361674e+03|4.327212740e+10|4.359185676e+10|4.405468506e+10|4.359117148e+10|7.586284668e+03|7.596185303e+03|7.610449341e+03|7.596055664e+03|2.142489141e+03
8.281461661e+05|2.809475431e+06|2.816002895e+06|2.826691458e+06|2.816533755e+06|4.582231767e+03|4.592667543e+03|4.609608381e+03|4.593283058e+03|4.304589436e+10|4.332617457e+10|4.378365660e+10|4.334709857e+10|7.579262085e+03|7.587961426e+03|7.602107544e+03|7.588479980e+03|2.142489141e+03
8.446732521e+05|2.801100519e+06|2.809055617e+06|2.817738526e+06|2.805541471e+06|4.568826401e+03|4.581560572e+03|4.595439147e+03|4.575641508e+03|4.268658369e+10|4.302788048e+10|4.340071420e+10|4.287491389e+10|7.568070679e+03|7.578698975e+03|7.590275269e+03|7.573758789e+03|2.142489141e+03
8.603832592e+05|2.795642885e+06|2.803671230e+06|2.813255572e+06|2.802995149e+06|4.560009624e+03|4.572951903e+03|4.588275313e+03|4.571548181e+03|4.245153859e+10|4.279697201e+10|4.320817177e+10|4.276510765e+10|7.560716675e+03|7.571513672e+03|7.584298706e+03|7.570342285e+03|2.142489141e+03
8.764244716e+05|2.791806280e+06|2.798809552e+06|2.810459076e+06|2.798722264e+06|4.553811515e+03|4.565125377e+03|4.583804393e+03|4.564724899e+03|4.228644937e+10|4.258788608e+10|4.308811277e+10|4.258188636e+10|7.555546509e+03|7.564984619e+03|7.580571045e+03|7.564649414e+03|2.142489141e+03
8.918274854e+05|2.784862738e+06|2.793896323e+06|2.802828039e+06|2.793101850e+06|4.542576951e+03|4.557188031e+03|4.571603761e+03|4.555649009e+03|4.198774401e+10|4.237636722e+10|4.276083585e+10|4.233987465e+10|7.546165405e+03|7.558363037e+03|7.570387329e+03|7.557075684e+03|2.142489141e+03
9.073147938e+05|2.778288419e+06|2.787444135e+06|2.797430538e+06|2.785369250e+06|4.531844335e+03|4.546764285e+03|4.562897587e+03|4.543041898e+03|4.170386985e+10|4.209890555e+10|4.252849920e+10|4.200606524e+10|7.537216919e+03|7.549661377e+03|7.563124634e+03|7.546556152e+03|2.142489141e+03
9.213849597e+05|2.772341706e+06|2.781923038e+06|2.790323874e+06|2.778211939e+06|4.522136306e+03|4.537777869e+03|4.551416637e+03|4.531399356e+03|4.144743384e+10|4.186076067e+10|4.222269641e+10|4.169755474e+10|7.529112183e+03|7.542164551e+03|7.553546509e+03|7.536841797e+03|2.142489141e+03
9.362242070e+05|2.767501270e+06|2.775902662e+06|2.787033371e+06|2.772403376e+06|4.514196299e+03|4.527949576e+03|4.546100674e+03|4.521782845e+03|4.123834347e+10|4.160095273e+10|4.208125429e+10|4.144510511e+10|7.522485229e+03|7.533968750e+03|7.549105835e+03|7.528817383e+03|2.142489141e+03
9.526995102e+05|2.760286320e+06|2.770755779e+06|2.777028667e+06|2.763815914e+06|4.502302415e+03|4.519547279e+03|4.529787784e+03|4.507526074e+03|4.092618102e+10|4.137909652e+10|4.164951947e+10|4.107138967e+10|7.512564453e+03|7.526949951e+03|7.535501587e+03|7.516917480e+03|2.142489141e+03
9.654753601e+05|2.757519931e+06|2.765763817e+06|2.780284052e+06|2.767784212e+06|4.497735264e+03|4.511332065e+03|4.535102215e+03|4.514493578e+03|4.080650308e+10|4.116312283e+10|4.178999812e+10|4.124905226e+10|7.508752563e+03|7.520097168e+03|7.539935425e+03|7.522736328e+03|2.142489141e+03
9.799632369e+05|2.750575469e+06|2.759938812e+06|2.770532028e+06|2.756873574e+06|4.486188690e+03|4.501729554e+03|4.519182004e+03|4.496264656e+03|4.050477231e+10|4.091115656e+10|4.136945483e+10|4.077326277e+10|7.499120239e+03|7.512081787e+03|7.526644287e+03|7.507523926e+03|2.142489141e+03
9.939044491e+05|2.741330913e+06|2.751482621e+06|2.763230207e+06|2.745840913e+06|4.470756800e+03|4.487703062e+03|4.507155388e+03|4.477648394e+03|4.010246174e+10|4.054429648e+10|4.105349030e+10|4.028990087e+10|7.486244629e+03|7.500383301e+03|7.516610962e+03|7.491987305e+03|2.142489141e+03
1.007655979e+06|2.734526134e+06|2.746954995e+06|2.759030740e+06|2.741670616e+06|4.459326909e+03|4.480144907e+03|4.500232616e+03|4.470710536e+03|3.980526954e+10|4.034710919e+10|4.087190665e+10|4.010867337e+10|7.476710205e+03|7.494082031e+03|7.510832764e+03|7.486199219e+03|2.142489141e+03
1.021446286e+06|2.727747830e+06|2.739597811e+06|2.751848906e+06|2.735604901e+06|4.447888982e+03|4.467863877e+03|4.488314529e+03|4.460660155e+03|3.950850665e+10|4.002713802e+10|4.056025597e+10|3.984566199e+10|7.467164673e+03|7.483827393e+03|7.500895630e+03|7.477814453e+03|2.142489141e+03
1.035109748e+06|2.726392073e+06|2.736675611e+06|2.749365616e+06|2.731883208e+06|4.445601347e+03|4.462954209e+03|4.484169023e+03|4.454329015e+03|3.944919962e+10|3.989947727e+10|4.045207316e+10|3.968193392e+10|7.465256104e+03|7.479734375e+03|7.497437622e+03|7.472528809e+03|2.142489141e+03
1.049526495e+06|2.716740098e+06|2.729865360e+06|2.739101391e+06|2.723715006e+06|4.429199204e+03|4.451462058e+03|4.467035253e+03|4.440586445e+03|3.902490665e+10|3.960116872e+10|4.000556891e+10|3.932487052e+10|7.451572388e+03|7.470146729e+03|7.483139160e+03|7.461062500e+03|2.142489141e+03
1.061697143e+06|2.714607704e+06|2.722242898e+06|2.737694499e+06|2.722345719e+06|4.425561468e+03|4.438587258e+03|4.464667179e+03|4.438194056e+03|3.893098462e+10|3.926752733e+10|3.994401185e+10|3.926372255e+10|7.448537964e+03|7.459399414e+03|7.481160278e+03|7.459062988e+03|2.142489141e+03
1.074436713e+06|2.703356049e+06|2.716373153e+06|2.734695928e+06|2.712240761e+06|4.406278263e+03|4.428573209e+03|4.459613437e+03|4.420765293e+03|3.843420459e+10|3.900874095e+10|3.981271021e+10|3.881591497e+10|7.432440918e+03|7.451045898e+03|7.476945435e+03|7.444513672e+03|2.142489141e+03
1.086996375e+06|2.700613917e+06|2.709876029e+06|2.724569980e+06|2.707275537e+06|4.401543490e+03|4.417489993e+03|4.442526909e+03|4.412442731e+03|3.831254239e+10|3.872277100e+10|3.936952830e+10|3.859934637e+10|7.428487427e+03|7.441795410e+03|7.462686401e+03|7.437571289e+03|2.142489141e+03
1.101023466e+06|2.696799242e+06|2.707337709e+06|2.723247438e+06|2.699795145e+06|4.394957256e+03|4.413153809e+03|4.440295416e+03|4.399119555e+03|3.814345235e+10|3.861103005e+10|3.931172379e+10|3.826178263e+10|7.422993530e+03|7.438171875e+03|7.460824219e+03|7.426437012e+03|2.142489141e+03
1.113460226e+06|2.690325750e+06|2.699338485e+06|2.709834932e+06|2.699007894e+06|4.383737232e+03|4.399341330e+03|4.417419890e+03|4.398553698e+03|3.785590227e+10|3.825598682e+10|3.872096340e+10|3.823831135e+10|7.413623413e+03|7.426651367e+03|7.441736816e+03|7.425987305e+03|2.142489141e+03
1.125705430e+06|2.684036164e+06|2.694250227e+06|2.705578850e+06|2.689131763e+06|4.372754025e+03|4.390556569e+03|4.410116531e+03|4.380832135e+03|3.757507318e+10|3.803057144e+10|3.853289474e+10|3.779068981e+10|7.404455811e+03|7.419316162e+03|7.435641602e+03|7.411171387e+03|2.142489141e+03
1.137520498e+06|2.674148393e+06|2.686933681e+06|2.701464648e+06|2.684621445e+06|4.355420412e+03|4.377813594e+03|4.403012408e+03|4.373256585e+03|3.713294614e+10|3.770439973e+10|3.835028093e+10|3.759379030e+10|7.389980591e+03|7.408681396e+03|7.429716064e+03|7.404859863e+03|2.142489141e+03
1.149462643e+06|2.672005933e+06|2.679190530e+06|2.694988367e+06|2.675681012e+06|4.351636519e+03|4.364293581e+03|4.391830882e+03|4.357135451e+03|3.703665558e+10|3.735904742e+10|3.806324847e+10|3.718746674e+10|7.386822632e+03|7.397389893e+03|7.420380249e+03|7.391376465e+03|2.142489141e+03
1.161425433e+06|2.663435296e+06|2.676466064e+06|2.688474552e+06|2.672573998e+06|4.336502094e+03|4.359514043e+03|4.380504380e+03|4.352188353e+03|3.665207709e+10|3.723718637e+10|3.777320250e+10|3.705574712e+10|7.374174927e+03|7.393394043e+03|7.410928345e+03|7.387268066e+03|2.142489141e+03
1.174125265e+06|2.656900661e+06|2.668285481e+06|2.688289023e+06|2.666908715e+06|4.324835323e+03|4.345066272e+03|4.380180389e+03|4.342045519e+03|3.635647640e+10|3.686960087e+10|3.776491698e+10|3.679934332e+10|7.364432251e+03|7.381332275e+03|7.410653198e+03|7.378789551e+03|2.142489141e+03
1.185997665e+06|2.652803726e+06|2.662951958e+06|2.676100116e+06|2.657963032e+06|4.317513694e+03|4.335648716e+03|4.358867680e+03|4.325689007e+03|3.617128460e+10|3.663041593e+10|3.722072738e+10|3.638946527e+10|7.358314819e+03|7.373459473e+03|7.392856201e+03|7.365104492e+03|2.142489141e+03
1.196113261e+06|2.648774048e+06|2.659800314e+06|2.672322458e+06|2.656434467e+06|4.310313336e+03|4.330017959e+03|4.352195529e+03|4.323553440e+03|3.598938672e+10|3.648770486e+10|3.705087666e+10|3.632901016e+10|7.352295166e+03|7.368761963e+03|7.387288696e+03|7.363346191e+03|2.142489141e+03
1.208665752e+06|2.640732762e+06|2.655546190e+06|2.668444100e+06|2.648837949e+06|4.295775132e+03|4.322414648e+03|4.345346371e+03|4.309542601e+03|3.562305021e+10|3.629522713e+10|3.687671810e+10|3.597922018e+10|7.340150513e+03|7.362412598e+03|7.381565552e+03|7.351617676e+03|2.142489141e+03
1.221094790e+06|2.629393893e+06|2.641996656e+06|2.651690658e+06|2.639274742e+06|4.275166105e+03|4.298061819e+03|4.315524720e+03|4.292781407e+03|3.510543468e+10|3.568061367e+10|3.612101536e+10|3.555163428e+10|7.322920288e+03|7.342059082e+03|7.356655396e+03|7.337630859e+03|2.142489141e+03
1.230705942e+06|2.627893985e+06|2.639550435e+06|2.658191226e+06|2.636773468e+06|4.272420189e+03|4.293636129e+03|4.327141920e+03|4.287879939e+03|3.503663983e+10|3.556922549e+10|3.641486703e+10|3.543225976e+10|7.320622070e+03|7.338362793e+03|7.366359253e+03|7.333517090e+03|2.142489141e+03
1.241848865e+06|2.623979995e+06|2.637092602e+06|2.650894892e+06|2.631850832e+06|4.265255684e+03|4.289189892e+03|4.314102793e+03|4.278584346e+03|3.485726879e+10|3.545740768e+10|3.608508834e+10|3.520242161e+10|7.314626465e+03|7.334643066e+03|7.355466431e+03|7.325721191e+03|2.142489141e+03
1.253863632e+06|2.616258966e+06|2.627719523e+06|2.640002716e+06|2.623108868e+06|4.251049035e+03|4.272100810e+03|4.294454359e+03|4.262977956e+03|3.450228294e+10|3.502864040e+10|3.558981279e+10|3.480745554e+10|7.302740845e+03|7.320353271e+03|7.339046997e+03|7.312692383e+03|2.142489141e+03
