#RRR|Lz25|Lz50|Lz75|Lzmean|Lzsum|Isum
4.173272031e+04|3.603709368e+23|9.523037234e+23|1.666556397e+24|1.217891439e+24|1.217891439e+26|8.848366669e+29
7.665223342e+04|2.017889028e+24|2.945513880e+24|3.627575476e+24|3.081063723e+24|3.081063723e+26|2.666206566e+30
9.859989524e+04|3.944986843e+24|5.399265512e+24|6.639151621e+24|5.335546665e+24|5.335546665e+26|4.383382708e+30
1.159098252e+05|5.065577629e+24|6.586527817e+24|8.356585970e+24|6.596683484e+24|6.596683484e+26|6.026165269e+30
1.325306578e+05|6.605374905e+24|8.602918554e+24|1.071054622e+25|8.708903839e+24|8.708903839e+26|7.912152064e+30
1.468751304e+05|9.470595450e+24|1.067928971e+25|1.274103346e+25|1.093427382e+25|1.093427382e+27|9.677213629e+30
1.591835314e+05|1.167690567e+25|1.309245599e+25|1.678676610e+25|1.409144761e+25|1.409144761e+27|1.138447786e+31
1.720679588e+05|1.323143510e+25|1.522959510e+25|1.747286280e+25|1.537653984e+25|1.537653984e+27|1.330127428e+31
1.829802430e+05|1.513386223e+25|1.674200006e+25|1.882415817e+25|1.710933229e+25|1.710933229e+27|1.504032808e+31
1.931657820e+05|1.721647692e+25|1.934462340e+25|2.215839239e+25|1.969138741e+25|1.969138741e+27|1.675161207e+31
2.027353783e+05|1.808132914e+25|2.106991331e+25|2.272837989e+25|2.115587611e+25|2.115587611e+27|1.849124766e+31
2.115941991e+05|2.126947359e+25|2.382901391e+25|2.673084646e+25|2.428979651e+25|2.428979651e+27|2.003932671e+31
2.202528027e+05|2.170476711e+25|2.494173715e+25|2.702762487e+25|2.475859371e+25|2.475859371e+27|2.172741146e+31
2.291186192e+05|2.389408832e+25|2.693343515e+25|2.964791302e+25|2.719143066e+25|2.719143066e+27|2.356444375e+31
2.396993076e+05|2.719572352e+25|2.937581223e+25|3.246302862e+25|2.994552203e+25|2.994552203e+27|2.579362008e+31
2.485429962e+05|2.564670650e+25|3.042128431e+25|3.290797695e+25|2.955538942e+25|2.955538942e+27|2.777477772e+31
2.543905321e+05|2.936942246e+25|3.266447201e+25|3.557488281e+25|3.274837905e+25|3.274837905e+27|2.894796610e+31
2.618277129e+05|3.278390496e+25|3.541868318e+25|3.912505496e+25|3.586743300e+25|3.586743300e+27|3.082080060e+31
2.694317604e+05|3.554391270e+25|3.809579482e+25|4.281246087e+25|3.865439561e+25|3.865439561e+27|3.246918095e+31
2.759934955e+05|3.688335533e+25|3.993765169e+25|4.376460499e+25|4.040843395e+25|4.040843395e+27|3.417266348e+31
2.827949204e+05|3.629044519e+25|4.125109851e+25|4.339642560e+25|4.071635317e+25|4.071635317e+27|3.591567968e+31
2.903906040e+05|4.001282757e+25|4.362053258e+25|4.659688005e+25|4.337920309e+25|4.337920309e+27|3.789407668e+31
2.975527846e+05|4.087020428e+25|4.513846519e+25|4.827067802e+25|4.532575329e+25|4.532575329e+27|3.967062480e+31
3.033032387e+05|4.480949043e+25|4.783014427e+25|5.111074402e+25|4.789654453e+25|4.789654453e+27|4.126245375e+31
3.099644877e+05|4.514111139e+25|4.915823021e+25|5.218945050e+25|4.900474670e+25|4.900474670e+27|4.314983896e+31
3.165074218e+05|4.968458858e+25|5.229515066e+25|5.740480711e+25|5.243945351e+25|5.243945351e+27|4.496450920e+31
3.229108527e+05|4.932976199e+25|5.440740442e+25|5.846076868e+25|5.397836935e+25|5.397836935e+27|4.685431577e+31
3.291162914e+05|5.205399861e+25|5.544132705e+25|6.001997300e+25|5.613292904e+25|5.613292904e+27|4.867121726e+31
3.348841212e+05|5.190688335e+25|5.760966868e+25|6.027011821e+25|5.715084714e+25|5.715084714e+27|5.034075836e+31
3.404577240e+05|5.482468174e+25|5.875613009e+25|6.271444397e+25|5.858183359e+25|5.858183359e+27|5.211310518e+31
3.457777489e+05|5.841186334e+25|6.252157661e+25|6.487098975e+25|6.244707418e+25|6.244707418e+27|5.360071426e+31
3.511467490e+05|5.619898894e+25|6.318193770e+25|6.655986810e+25|6.150114453e+25|6.150114453e+27|5.524428197e+31
3.572294058e+05|6.026767331e+25|6.607577431e+25|7.084776278e+25|6.443679837e+25|6.443679837e+27|5.730487636e+31
3.631378708e+05|6.469912466e+25|6.845943369e+25|7.426342088e+25|6.828281011e+25|6.828281011e+27|5.924934909e+31
3.686454527e+05|6.485335329e+25|6.924073674e+25|7.284490047e+25|6.943771073e+25|6.943771073e+27|6.102773938e+31
3.742128511e+05|6.802636907e+25|7.179721531e+25|7.726946571e+25|7.179805989e+25|7.179805989e+27|6.273579864e+31
3.792961151e+05|6.913921823e+25|7.403568181e+25|8.044130567e+25|7.483688345e+25|7.483688345e+27|6.452928781e+31
3.853340123e+05|7.238682904e+25|7.680201303e+25|8.051892134e+25|7.661501156e+25|7.661501156e+27|6.672208103e+31
3.908376501e+05|7.309957495e+25|7.755740339e+25|8.134840157e+25|7.669564702e+25|7.669564702e+27|6.852347015e+31
3.960467824e+05|7.595368444e+25|8.069266399e+25|8.625494065e+25|8.052063290e+25|8.052063290e+27|7.027698765e+31
4.008365638e+05|7.691837223e+25|8.293109708e+25|8.789417807e+25|8.287532816e+25|8.287532816e+27|7.206706625e+31
4.053629931e+05|7.923131365e+25|8.473626449e+25|8.917812957e+25|8.430827008e+25|8.430827008e+27|7.341099490e+31
4.098743426e+05|8.213753948e+25|8.618506690e+25|9.250183215e+25|8.600047851e+25|8.600047851e+27|7.548200067e+31
4.138768711e+05|8.527046588e+25|8.821159824e+25|9.243400038e+25|8.804529716e+25|8.804529716e+27|7.705524008e+31
4.185206184e+05|8.516749584e+25|9.014452346e+25|9.460056213e+25|8.971825121e+25|8.971825121e+27|7.852347747e+31
4.231327280e+05|8.498615633e+25|9.169826676e+25|9.688221769e+25|9.162065974e+25|9.162065974e+27|8.044972080e+31
4.281628271e+05|8.897548837e+25|9.486506896e+25|1.014697318e+26|9.572902764e+25|9.572902764e+27|8.218762641e+31
4.323985595e+05|9.106956397e+25|9.678017257e+25|1.025772861e+26|9.686805817e+25|9.686805817e+27|8.377060445e+31
4.367063153e+05|9.417277158e+25|9.841437617e+25|1.010940021e+26|9.746515029e+25|9.746515029e+27|8.560324160e+31
4.412368397e+05|9.480630441e+25|1.003643008e+26|1.058424506e+26|1.014742545e+26|1.014742545e+28|8.748311558e+31
4.460848678e+05|9.624508056e+25|1.013944837e+26|1.078794235e+26|1.023443596e+26|1.023443596e+28|8.925649727e+31
4.507950566e+05|9.822212121e+25|1.045975721e+26|1.080680955e+26|1.036804206e+26|1.036804206e+28|9.116253622e+31
4.558873652e+05|1.019727373e+26|1.070184943e+26|1.114833223e+26|1.065436935e+26|1.065436935e+28|9.347983713e+31
4.602462193e+05|1.036270757e+26|1.085976143e+26|1.115443343e+26|1.078050763e+26|1.078050763e+28|9.534291915e+31
4.645968225e+05|1.044926551e+26|1.098540866e+26|1.135632525e+26|1.090744064e+26|1.090744064e+28|9.726124476e+31
