#RRR|Lz25|Lz50|Lz75|Lzmean|
1.781471947e+05|1.511273439e+25|3.400931107e+25|5.456769411e+25|3.524330259e+25|3.524330259e+27
2.714872749e+05|4.789605839e+25|8.484564254e+25|1.042814196e+26|7.713358226e+25|7.713358226e+27
3.235378542e+05|7.058097744e+25|1.245577374e+26|1.462592893e+26|1.067045819e+26|1.067045819e+28
3.604922755e+05|9.082239958e+25|1.534080953e+26|1.879488783e+26|1.366695686e+26|1.366695686e+28
3.933300618e+05|9.698945642e+25|1.654327096e+26|2.181758275e+26|1.509728288e+26|1.509728288e+28
4.210614343e+05|1.465789446e+26|2.177418722e+26|2.568674152e+26|1.899464081e+26|1.899464081e+28
4.435723449e+05|1.228453694e+26|2.333474086e+26|2.822944740e+26|2.019907545e+26|2.019907545e+28
4.676600412e+05|1.288048287e+26|2.369654912e+26|3.117150539e+26|2.153054808e+26|2.153054808e+28
4.863655226e+05|1.989501937e+26|3.123729101e+26|3.454415225e+26|2.626741184e+26|2.626741184e+28
5.045458892e+05|1.418836325e+26|2.664690413e+26|3.594890601e+26|2.430359196e+26|2.430359196e+28
5.217652726e+05|2.200232619e+26|3.293193283e+26|3.907696437e+26|2.915491133e+26|2.915491133e+28
5.382361671e+05|1.760851049e+26|3.261036114e+26|4.195400370e+26|2.929350157e+26|2.929350157e+28
5.544517975e+05|1.926146390e+26|3.510645982e+26|4.420703719e+26|3.081149523e+26|3.081149523e+28
5.681579489e+05|2.078494290e+26|3.771895524e+26|4.671120445e+26|3.285135799e+26|3.285135799e+28
5.811730509e+05|2.498580972e+26|3.875163844e+26|4.770426878e+26|3.549053609e+26|3.549053609e+28
5.944119507e+05|2.830171022e+26|4.116152853e+26|5.165164737e+26|3.753729582e+26|3.753729582e+28
6.073156182e+05|2.146396109e+26|3.960976603e+26|5.327190583e+26|3.598655509e+26|3.598655509e+28
6.199541221e+05|2.462590488e+26|4.379114852e+26|5.534913155e+26|3.952276400e+26|3.952276400e+28
6.314991545e+05|2.675001973e+26|4.573435785e+26|5.588446683e+26|4.021230012e+26|4.021230012e+28
6.434751680e+05|3.810004646e+26|5.402938968e+26|6.143702288e+26|4.754076797e+26|4.754076797e+28
6.527588136e+05|2.473112283e+26|4.571095938e+26|6.036893229e+26|4.155902497e+26|4.155902497e+28
6.630896094e+05|2.646811815e+26|4.961439674e+26|6.248027112e+26|4.354820010e+26|4.354820010e+28
6.737994506e+05|2.893335575e+26|5.098683233e+26|6.402193057e+26|4.617726122e+26|4.617726122e+28
6.846610591e+05|3.323773671e+26|5.180923348e+26|6.820439450e+26|4.691127362e+26|4.691127362e+28
6.933860377e+05|3.449388926e+26|6.203380882e+26|7.010271638e+26|5.132726048e+26|5.132726048e+28
7.030914374e+05|3.139885109e+26|5.325129171e+26|7.103147152e+26|4.965456671e+26|4.965456671e+28
7.125362105e+05|3.665698754e+26|6.666391808e+26|7.459851669e+26|5.538205373e+26|5.538205373e+28
7.212202948e+05|3.852240835e+26|6.083374683e+26|7.365845520e+26|5.368994672e+26|5.368994672e+28
7.296408036e+05|3.268818742e+26|5.559972707e+26|7.348184526e+26|5.122801513e+26|5.122801513e+28
7.376615085e+05|3.589536655e+26|6.188267438e+26|7.965020478e+26|5.575091576e+26|5.575091576e+28
7.462079919e+05|3.994557353e+26|6.893216882e+26|8.111339867e+26|5.846856481e+26|5.846856481e+28
7.541395086e+05|4.033086707e+26|6.448234133e+26|7.967657224e+26|5.914416765e+26|5.914416765e+28
7.631157702e+05|3.508542681e+26|6.121908341e+26|8.370056454e+26|5.705931664e+26|5.705931664e+28
7.714032403e+05|4.433648990e+26|6.988403709e+26|8.816453060e+26|6.209378377e+26|6.209378377e+28
7.789457127e+05|4.461454831e+26|7.469610042e+26|8.857593732e+26|6.514205217e+26|6.514205217e+28
7.862956630e+05|3.456047026e+26|6.900713066e+26|8.960355369e+26|6.032953215e+26|6.032953215e+28
7.928959421e+05|4.667333731e+26|7.680898393e+26|9.066042674e+26|6.662072439e+26|6.662072439e+28
