#RRR|Lz25|Lz50|Lz75|Lzmean|Lzsum|Isum
4.152973826e+04|2.514600491e+24|4.943348319e+24|7.657648339e+24|5.184880016e+24|5.184880016e+26|8.747986704e+29
7.902956576e+04|1.188106978e+25|1.544175029e+25|1.965049086e+25|1.591036832e+25|1.591036832e+27|2.837880325e+30
1.050857355e+05|2.380735786e+25|2.777720923e+25|3.191741019e+25|2.762193183e+25|2.762193183e+27|4.985679924e+30
1.241180896e+05|3.428958346e+25|3.686240178e+25|4.125625296e+25|3.733512755e+25|3.733512755e+27|6.909083170e+30
1.400928246e+05|4.537404832e+25|4.953862745e+25|5.315055670e+25|4.867389191e+25|4.867389191e+27|8.831554951e+30
1.550541484e+05|5.538850494e+25|5.998867003e+25|6.306504355e+25|5.945611633e+25|5.945611633e+27|1.081621113e+31
1.678032685e+05|6.424184609e+25|6.902091907e+25|7.508271819e+25|6.819554922e+25|6.819554922e+27|1.255096286e+31
1.787330941e+05|7.571244336e+25|8.146288490e+25|8.607707080e+25|8.111463786e+25|8.111463786e+27|1.430346673e+31
1.908049865e+05|8.800014481e+25|9.242315242e+25|9.822559814e+25|9.296553476e+25|9.296553476e+27|1.640065669e+31
2.025962820e+05|9.961902541e+25|1.030355344e+26|1.083206351e+26|1.036483432e+26|1.036483432e+28|1.844439299e+31
2.131110243e+05|1.097598936e+26|1.146610561e+26|1.194031672e+26|1.149868362e+26|1.149868362e+28|2.034907462e+31
2.231671805e+05|1.193046320e+26|1.251036706e+26|1.306989432e+26|1.243214964e+26|1.243214964e+28|2.237904429e+31
2.336347563e+05|1.278942306e+26|1.342413614e+26|1.409548287e+26|1.352910933e+26|1.352910933e+28|2.445905147e+31
2.423280775e+05|1.416172292e+26|1.455592738e+26|1.511912343e+26|1.443766183e+26|1.443766183e+28|2.640343093e+31
2.502994277e+05|1.512721038e+26|1.572845215e+26|1.611554524e+26|1.560768348e+26|1.560768348e+28|2.816933154e+31
2.591429398e+05|1.598073231e+26|1.670647929e+26|1.712772252e+26|1.654808869e+26|1.654808869e+28|3.005561029e+31
2.669255037e+05|1.716872272e+26|1.765330941e+26|1.805832354e+26|1.754689057e+26|1.754689057e+28|3.190672379e+31
2.745445773e+05|1.798205120e+26|1.853283849e+26|1.910036038e+26|1.850662063e+26|1.850662063e+28|3.383415225e+31
2.831216105e+05|1.912689767e+26|1.990491672e+26|2.057299941e+26|1.976256160e+26|1.976256160e+28|3.591542857e+31
2.908516577e+05|2.023849588e+26|2.106993003e+26|2.152773537e+26|2.084559885e+26|2.084559885e+28|3.799344725e+31
2.976260855e+05|2.138708645e+26|2.203830521e+26|2.258557819e+26|2.203808673e+26|2.203808673e+28|3.977874546e+31
3.052811620e+05|2.247823441e+26|2.339926731e+26|2.379732896e+26|2.298718138e+26|2.298718138e+28|4.173716019e+31
3.137250213e+05|2.395337229e+26|2.453958042e+26|2.513698043e+26|2.450344401e+26|2.450344401e+28|4.425059751e+31
3.210067467e+05|2.507086560e+26|2.578388586e+26|2.619940869e+26|2.562302011e+26|2.562302011e+28|4.632807099e+31
3.269377589e+05|2.605290975e+26|2.673111330e+26|2.717089079e+26|2.655768061e+26|2.655768061e+28|4.797468956e+31
3.329460018e+05|2.667154462e+26|2.745041910e+26|2.855529270e+26|2.752656244e+26|2.752656244e+28|4.986553548e+31
3.382505444e+05|2.769444573e+26|2.845252526e+26|2.887663573e+26|2.827930752e+26|2.827930752e+28|5.144045984e+31
3.447641558e+05|2.888620861e+26|2.966972986e+26|3.019101608e+26|2.960046964e+26|2.960046964e+28|5.349560700e+31
3.506275795e+05|2.998118861e+26|3.090359157e+26|3.159197367e+26|3.074095093e+26|3.074095093e+28|5.524137095e+31
3.571549159e+05|3.074353895e+26|3.163755548e+26|3.240390059e+26|3.141654889e+26|3.141654889e+28|5.718548386e+31
3.629847486e+05|3.208865798e+26|3.301160828e+26|3.371884637e+26|3.300565207e+26|3.300565207e+28|5.926959348e+31
3.689311192e+05|3.311377987e+26|3.398795833e+26|3.471031713e+26|3.401586781e+26|3.401586781e+28|6.106228865e+31
3.759330641e+05|3.435171000e+26|3.522013873e+26|3.579137513e+26|3.493978949e+26|3.493978949e+28|6.339905156e+31
3.815961917e+05|3.528881301e+26|3.620550556e+26|3.686610399e+26|3.614255425e+26|3.614255425e+28|6.513535361e+31
3.874716222e+05|3.659637823e+26|3.733332144e+26|3.795259548e+26|3.730721543e+26|3.730721543e+28|6.730910900e+31
3.936114960e+05|3.751910526e+26|3.841577983e+26|3.926708136e+26|3.833827931e+26|3.833827931e+28|6.961457897e+31
3.991005937e+05|3.836086274e+26|3.950161706e+26|4.021092983e+26|3.932540078e+26|3.932540078e+28|7.153073391e+31
4.043021367e+05|3.945580703e+26|4.035912485e+26|4.106420329e+26|4.017067086e+26|4.017067086e+28|7.336490844e+31
4.093244669e+05|4.101889221e+26|4.177529891e+26|4.233006361e+26|4.165100880e+26|4.165100880e+28|7.515336408e+31
4.146177738e+05|4.211822161e+26|4.314853039e+26|4.399083407e+26|4.302461477e+26|4.302461477e+28|7.724979297e+31
4.198952751e+05|4.287160446e+26|4.399945557e+26|4.478180275e+26|4.360645969e+26|4.360645969e+28|7.885762889e+31
4.248791470e+05|4.337847363e+26|4.465098600e+26|4.556868117e+26|4.439630313e+26|4.439630313e+28|8.079310364e+31
4.298615130e+05|4.515254620e+26|4.604484003e+26|4.679499223e+26|4.590972621e+26|4.590972621e+28|8.283674886e+31
4.352625639e+05|4.631746380e+26|4.721136076e+26|4.783996004e+26|4.703302139e+26|4.703302139e+28|8.522986730e+31
4.399423453e+05|4.727569213e+26|4.823872402e+26|4.882028425e+26|4.790716296e+26|4.790716296e+28|8.676812225e+31
4.444180557e+05|4.833085497e+26|4.937766987e+26|5.034446949e+26|4.910967558e+26|4.910967558e+28|8.853492584e+31
4.496526170e+05|4.934784191e+26|5.017622734e+26|5.129823180e+26|5.017305046e+26|5.017305046e+28|9.105190962e+31
4.554065298e+05|5.029781450e+26|5.137028392e+26|5.230842611e+26|5.128238667e+26|5.128238667e+28|9.318102042e+31
4.602329090e+05|5.167660284e+26|5.246637526e+26|5.366181886e+26|5.258762392e+26|5.258762392e+28|9.528335419e+31
4.656635049e+05|5.278907094e+26|5.374831944e+26|5.455372037e+26|5.354841760e+26|5.354841760e+28|9.715059098e+31
4.695752109e+05|5.376134905e+26|5.451963251e+26|5.550174741e+26|5.458448296e+26|5.458448296e+28|9.884630614e+31
4.731536692e+05|5.413228762e+26|5.552012844e+26|5.641545474e+26|5.557865297e+26|5.557865297e+28|1.003024459e+32
4.770878244e+05|5.557478942e+26|5.663494084e+26|5.739085873e+26|5.643679852e+26|5.643679852e+28|1.019777778e+32
4.819758958e+05|5.630974531e+26|5.744632616e+26|5.808992642e+26|5.721907534e+26|5.721907534e+28|1.039521017e+32
4.866497322e+05|5.750886489e+26|5.847218666e+26|5.969021298e+26|5.827559059e+26|5.827559059e+28|1.061680322e+32
4.911342411e+05|5.856026100e+26|5.973800339e+26|6.074522388e+26|5.961970714e+26|5.961970714e+28|1.083946036e+32
4.952209133e+05|5.988240347e+26|6.091695838e+26|6.163366314e+26|6.067921702e+26|6.067921702e+28|1.101895584e+32
5.000869078e+05|6.107691213e+26|6.203535852e+26|6.333622375e+26|6.177001603e+26|6.177001603e+28|1.121095248e+32
5.043964276e+05|6.181324175e+26|6.323074162e+26|6.423593717e+26|6.297912513e+26|6.297912513e+28|1.140431589e+32
5.097822729e+05|6.312167354e+26|6.460716442e+26|6.590768765e+26|6.413530609e+26|6.413530609e+28|1.164342581e+32
5.147019862e+05|6.455266324e+26|6.579046173e+26|6.655360781e+26|6.545101692e+26|6.545101692e+28|1.186265060e+32
5.181283498e+05|6.499407450e+26|6.617033894e+26|6.735092238e+26|6.621481184e+26|6.621481184e+28|1.203424313e+32
5.219823897e+05|6.653038893e+26|6.772848855e+26|6.856741630e+26|6.752471364e+26|6.752471364e+28|1.226999797e+32
5.257109167e+05|6.730027849e+26|6.862452646e+26|6.983511319e+26|6.840719030e+26|6.840719030e+28|1.241009566e+32
5.305310924e+05|6.867133522e+26|6.987623740e+26|7.106284072e+26|6.987426779e+26|6.987426779e+28|1.266859764e+32
5.353779519e+05|7.001940720e+26|7.134890218e+26|7.207486855e+26|7.126880889e+26|7.126880889e+28|1.289426312e+32
5.395602070e+05|7.085807958e+26|7.231659089e+26|7.295788269e+26|7.207858925e+26|7.207858925e+28|1.303642870e+32
