#RRR|Lz25|Lz50|Lz75|Lzmean|Lzsum|Isum
4.373928786e+04|2.320926210e+24|5.565741182e+24|7.626410645e+24|5.193449613e+24|5.193449613e+26|9.640286362e+29
7.701315153e+04|1.148824210e+25|1.399994139e+25|1.675594374e+25|1.432255611e+25|1.432255611e+27|2.676310093e+30
1.037400670e+05|2.315694335e+25|2.622405136e+25|2.871538814e+25|2.592115544e+25|2.592115544e+27|4.826817488e+30
1.205951504e+05|3.198653346e+25|3.497863222e+25|3.824638019e+25|3.500532805e+25|3.500532805e+27|6.506086670e+30
1.388301242e+05|4.372146653e+25|4.648068530e+25|4.969477338e+25|4.653607189e+25|4.653607189e+27|8.592095723e+30
1.541375763e+05|5.447763207e+25|5.777385575e+25|6.050673118e+25|5.775643881e+25|5.775643881e+27|1.061338183e+31
1.644951408e+05|6.339189663e+25|6.552590448e+25|6.800570010e+25|6.548500964e+25|6.548500964e+27|1.206390700e+31
1.757295905e+05|7.090637989e+25|7.418460382e+25|7.890417713e+25|7.414972554e+25|7.414972554e+27|1.380194771e+31
1.880046959e+05|8.153037442e+25|8.558221500e+25|8.864922200e+25|8.448089482e+25|8.448089482e+27|1.575077557e+31
2.009928446e+05|9.390101201e+25|9.764893472e+25|1.013037517e+26|9.761645442e+25|9.761645442e+27|1.804582529e+31
2.111179036e+05|1.052483039e+26|1.080682120e+26|1.119667838e+26|1.082834358e+26|1.082834358e+28|1.994042812e+31
2.197971764e+05|1.143204073e+26|1.179844840e+26|1.210351494e+26|1.178592680e+26|1.178592680e+28|2.163670510e+31
2.297012071e+05|1.257015279e+26|1.283351687e+26|1.327490251e+26|1.282820140e+26|1.282820140e+28|2.357626609e+31
2.389323652e+05|1.323557934e+26|1.373654046e+26|1.425031790e+26|1.369990082e+26|1.369990082e+28|2.545388534e+31
2.482890333e+05|1.449105939e+26|1.505580963e+26|1.538373037e+26|1.497750677e+26|1.497750677e+28|2.757671214e+31
2.570859025e+05|1.535737847e+26|1.580113414e+26|1.640938903e+26|1.575226549e+26|1.575226549e+28|2.937429487e+31
2.643668028e+05|1.649622291e+26|1.690939557e+26|1.735802941e+26|1.690113348e+26|1.690113348e+28|3.129689767e+31
2.705524134e+05|1.731266602e+26|1.771252984e+26|1.822570506e+26|1.764838035e+26|1.764838035e+28|3.267027583e+31
2.780743010e+05|1.830857648e+26|1.877905761e+26|1.924973697e+26|1.874507689e+26|1.874507689e+28|3.455165799e+31
2.862979857e+05|1.940271986e+26|1.986251996e+26|2.021589834e+26|1.979909491e+26|1.979909491e+28|3.655904817e+31
2.937314798e+05|2.023762943e+26|2.109788980e+26|2.157098029e+26|2.081954008e+26|2.081954008e+28|3.844242502e+31
3.017335237e+05|2.155625684e+26|2.208259675e+26|2.252524373e+26|2.199915331e+26|2.199915331e+28|4.067720828e+31
3.096539879e+05|2.266628115e+26|2.331765926e+26|2.382249889e+26|2.313722083e+26|2.313722083e+28|4.291666162e+31
3.157778442e+05|2.376600036e+26|2.425820017e+26|2.471968360e+26|2.410717819e+26|2.410717819e+28|4.452603949e+31
3.214644513e+05|2.438163415e+26|2.497736045e+26|2.560215614e+26|2.501474770e+26|2.501474770e+28|4.622344258e+31
3.279704545e+05|2.551910070e+26|2.605768579e+26|2.654780223e+26|2.582749626e+26|2.582749626e+28|4.816620377e+31
3.347747328e+05|2.662397356e+26|2.722168753e+26|2.783809040e+26|2.707840081e+26|2.707840081e+28|4.999165697e+31
3.411736543e+05|2.747030090e+26|2.810379555e+26|2.875627372e+26|2.802530902e+26|2.802530902e+28|5.197148760e+31
3.484448959e+05|2.873864136e+26|2.948713668e+26|3.031561309e+26|2.932653759e+26|2.932653759e+28|5.437382174e+31
3.545470473e+05|2.962913170e+26|3.032945082e+26|3.101935994e+26|3.024755346e+26|3.024755346e+28|5.584375096e+31
3.600903782e+05|3.089658397e+26|3.149281023e+26|3.202188381e+26|3.133256898e+26|3.133256898e+28|5.779613978e+31
3.656119648e+05|3.188867623e+26|3.244431674e+26|3.312441253e+26|3.226080293e+26|3.226080293e+28|5.976004101e+31
3.704981898e+05|3.243010813e+26|3.319544764e+26|3.372776541e+26|3.288541580e+26|3.288541580e+28|6.118733021e+31
3.757105589e+05|3.385498841e+26|3.444121592e+26|3.493750969e+26|3.427107929e+26|3.427107929e+28|6.303133600e+31
3.813490108e+05|3.454100019e+26|3.523347089e+26|3.595816773e+26|3.518881076e+26|3.518881076e+28|6.486345741e+31
3.873733117e+05|3.598080680e+26|3.677651316e+26|3.727141001e+26|3.650950399e+26|3.650950399e+28|6.711942314e+31
3.926507570e+05|3.675266610e+26|3.738753001e+26|3.818073792e+26|3.733545727e+26|3.733545727e+28|6.876190679e+31
3.988026054e+05|3.763178806e+26|3.846879193e+26|3.933588044e+26|3.821498619e+26|3.821498619e+28|7.089644156e+31
4.041279214e+05|3.902514953e+26|3.968579213e+26|4.020901736e+26|3.938046271e+26|3.938046271e+28|7.280570900e+31
4.095749874e+05|4.019559340e+26|4.074730783e+26|4.151364983e+26|4.062989205e+26|4.062989205e+28|7.482469987e+31
4.151229862e+05|4.138326280e+26|4.205398990e+26|4.255672595e+26|4.191164788e+26|4.191164788e+28|7.721765314e+31
4.195995653e+05|4.224318825e+26|4.279401398e+26|4.335919383e+26|4.264902833e+26|4.264902833e+28|7.880108179e+31
4.244562174e+05|4.270683031e+26|4.388597986e+26|4.431446781e+26|4.347648370e+26|4.347648370e+28|8.026053615e+31
4.286708516e+05|4.396800923e+26|4.480655511e+26|4.534487297e+26|4.449321496e+26|4.449321496e+28|8.196085925e+31
4.342820137e+05|4.497387289e+26|4.567022215e+26|4.637673366e+26|4.549246941e+26|4.549246941e+28|8.450750497e+31
4.394433728e+05|4.601256947e+26|4.704470085e+26|4.792035515e+26|4.665524254e+26|4.665524254e+28|8.623110996e+31
4.439983375e+05|4.706842510e+26|4.799252351e+26|4.842060892e+26|4.756321465e+26|4.756321465e+28|8.802486104e+31
4.491134209e+05|4.806073181e+26|4.906651484e+26|4.966051146e+26|4.882016582e+26|4.882016582e+28|9.001563371e+31
4.542641505e+05|4.918063347e+26|4.999124130e+26|5.076323867e+26|4.965777501e+26|4.965777501e+28|9.203825336e+31
4.592425418e+05|5.013329407e+26|5.137205913e+26|5.199165600e+26|5.074423017e+26|5.074423017e+28|9.412082248e+31
4.645832192e+05|5.164256438e+26|5.249345242e+26|5.309494795e+26|5.228472310e+26|5.228472310e+28|9.665150293e+31
4.685846888e+05|5.226131051e+26|5.312612899e+26|5.409333224e+26|5.281886060e+26|5.281886060e+28|9.776457661e+31
4.726161654e+05|5.347830085e+26|5.419162254e+26|5.521246412e+26|5.411915477e+26|5.411915477e+28|9.990910595e+31
4.765298439e+05|5.474236165e+26|5.550952050e+26|5.627119564e+26|5.535119868e+26|5.535119868e+28|1.016242542e+32
4.802712689e+05|5.470652061e+26|5.588053530e+26|5.667720283e+26|5.541156104e+26|5.541156104e+28|1.027614460e+32
4.849419363e+05|5.620826630e+26|5.713496342e+26|5.775427092e+26|5.658473209e+26|5.658473209e+28|1.046536332e+32
4.895580036e+05|5.741248976e+26|5.840348438e+26|5.934133890e+26|5.810033785e+26|5.810033785e+28|1.072607997e+32
4.937106833e+05|5.837063043e+26|5.927828734e+26|5.989355792e+26|5.895072666e+26|5.895072666e+28|1.087715149e+32
4.981800893e+05|5.929373864e+26|6.040881739e+26|6.107665531e+26|6.006810216e+26|6.006810216e+28|1.108200885e+32
5.031527354e+05|6.057507109e+26|6.169426508e+26|6.239001838e+26|6.132308922e+26|6.132308922e+28|1.132378336e+32
5.075232160e+05|6.149274256e+26|6.243134332e+26|6.334966306e+26|6.207761537e+26|6.207761537e+28|1.146867767e+32
5.120205985e+05|6.298614781e+26|6.382919909e+26|6.462802094e+26|6.339281614e+26|6.339281614e+28|1.169257767e+32
5.166970849e+05|6.421895249e+26|6.495249362e+26|6.575602327e+26|6.471381890e+26|6.471381890e+28|1.194098380e+32
5.208684392e+05|6.499708167e+26|6.590342127e+26|6.668422542e+26|6.578515721e+26|6.578515721e+28|1.214156889e+32
5.245117072e+05|6.566857969e+26|6.668857670e+26|6.783765406e+26|6.662732922e+26|6.662732922e+28|1.225638413e+32
