#R_planet
4.312324864e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
2.278801014e+06|2.280665070e+06|2.255645665e+06|2.253471222e+06|3.752055125e+06|3.822149750e+06|3.932237250e+06|3.847492250e+06|3.735291500e+06|3.959692500e+06|8.485666250e+05|9.061895000e+05|9.736036875e+05|9.149459375e+05|8.064699375e+05|1.023421750e+06|2.991923481e+03|3.021720375e+03|3.049337675e+03|3.022892062e+03|2.987106631e+03|3.058677494e+03|1.718634722e+02|2.016214485e+02|2.292344505e+02|2.028523527e+02|1.670834936e+02|2.386212118e+02|2.828348585e+03|2.881047997e+03|2.918710715e+03|2.874504931e+03|2.821905671e+03|2.927104191e+03|5.072413755e+02|5.432103327e+02|5.870407813e+02|5.383355115e+02|4.856301382e+02|5.910408848e+02|2.066917632e+10|2.114173235e+10|2.172530637e+10|2.168439398e+10|2.062830592e+10|2.274048614e+10|1.229207347e+10|1.487707597e+10|1.676141901e+10|1.382161818e+10|1.017692262e+10|1.746631270e+10|3.670418335e+03|3.684581909e+03|3.701342468e+03|3.695329590e+03|3.667470215e+03|3.723189697e+03
2.290421526e+06|2.290404296e+06|2.271806187e+06|2.271551503e+06|3.778325125e+06|3.898345750e+06|4.018117062e+06|3.904222500e+06|3.759251250e+06|4.049193000e+06|8.519214375e+05|9.404187500e+05|1.078247875e+06|9.574228750e+05|8.134647500e+05|1.101381125e+06|3.007336551e+03|3.046869220e+03|3.090812987e+03|3.053486533e+03|3.005580797e+03|3.101392269e+03|1.872579720e+02|2.267956082e+02|2.708035625e+02|2.334437539e+02|1.855386931e+02|2.813488147e+02|2.850374190e+03|2.905437350e+03|2.932341187e+03|2.891244472e+03|2.840461642e+03|2.942027302e+03|4.934631065e+02|5.425235915e+02|5.910074220e+02|5.376581433e+02|4.782184324e+02|5.970978542e+02|2.052390400e+10|2.112137216e+10|2.163554611e+10|2.122321920e+10|2.033785651e+10|2.210858803e+10|1.144759194e+10|1.324590797e+10|1.542828237e+10|1.255050752e+10|9.632471040e+09|1.546854195e+10|3.657510254e+03|3.673085083e+03|3.689335632e+03|3.675665283e+03|3.653544922e+03|3.697785889e+03
2.299088954e+06|2.299259235e+06|2.284668405e+06|2.287312988e+06|3.854486688e+06|3.940639375e+06|4.052660188e+06|3.955461750e+06|3.829663250e+06|4.081259750e+06|8.841998750e+05|1.004208125e+06|1.116593188e+06|9.906760000e+05|8.376775000e+05|1.143674625e+06|3.036747479e+03|3.066963673e+03|3.118673635e+03|3.075481106e+03|3.028137187e+03|3.122825025e+03|2.166443556e+02|2.468782488e+02|2.986231884e+02|2.554372283e+02|2.080977074e+02|3.027767492e+02|2.886966646e+03|2.911343821e+03|2.927927016e+03|2.903529372e+03|2.870428412e+03|2.936630331e+03|5.037863820e+02|5.518596845e+02|5.897978815e+02|5.394862111e+02|4.782378211e+02|6.007346012e+02|2.047862579e+10|2.094085632e+10|2.157135258e+10|2.117466931e+10|2.029722214e+10|2.205211443e+10|1.069624038e+10|1.273031373e+10|1.495373414e+10|1.187898573e+10|8.396874240e+09|1.536110080e+10|3.645280029e+03|3.662979004e+03|3.682291199e+03|3.667814453e+03|3.642183105e+03|3.693445557e+03
2.306173431e+06|2.306155591e+06|2.294283574e+06|2.298204287e+06|3.852221312e+06|3.949464500e+06|4.045924812e+06|3.970973500e+06|3.839336250e+06|4.102610500e+06|9.009118750e+05|9.824522500e+05|1.103993000e+06|1.012804750e+06|8.625489375e+05|1.163060500e+06|3.035709522e+03|3.076078396e+03|3.107553493e+03|3.083749694e+03|3.031409472e+03|3.136089916e+03|2.157237952e+02|2.560634950e+02|2.875242365e+02|2.637022643e+02|2.113723409e+02|3.160321878e+02|2.883538117e+03|2.908584032e+03|2.925864970e+03|2.903096601e+03|2.873868687e+03|2.932324515e+03|4.907888003e+02|5.399707181e+02|5.915908951e+02|5.412775126e+02|4.800596629e+02|6.024953623e+02|2.039329178e+10|2.093491507e+10|2.160607488e+10|2.107620557e+10|2.026462822e+10|2.188778086e+10|9.687845888e+09|1.205740083e+10|1.476097715e+10|1.195553894e+10|8.510803968e+09|1.540026880e+10|3.641338440e+03|3.660551270e+03|3.680050415e+03|3.662696533e+03|3.636118408e+03|3.689275391e+03
2.312988907e+06|2.312587080e+06|2.300262939e+06|2.305501624e+06|3.869033250e+06|3.969333750e+06|4.083931125e+06|3.985936000e+06|3.856874500e+06|4.114997000e+06|8.971556250e+05|9.818852500e+05|1.137719250e+06|1.000067188e+06|8.484873750e+05|1.151646750e+06|3.047158449e+03|3.081157500e+03|3.129355152e+03|3.092525582e+03|3.039761281e+03|3.145289883e+03|2.271487197e+02|2.610800078e+02|3.092829095e+02|2.724874219e+02|2.197312785e+02|3.252435653e+02|2.885588361e+03|2.907750329e+03|2.922600115e+03|2.904540994e+03|2.878702717e+03|2.930379270e+03|4.715889183e+02|5.293580063e+02|5.931405993e+02|5.296480742e+02|4.544181607e+02|6.048779876e+02|2.021272320e+10|2.090769613e+10|2.137787136e+10|2.091980186e+10|2.008153498e+10|2.175806874e+10|7.982353408e+09|1.135377101e+10|1.501223654e+10|1.094549402e+10|6.697388544e+09|1.519359898e+10|3.628147949e+03|3.653847168e+03|3.676264404e+03|3.655950684e+03|3.626539307e+03|3.685361572e+03
2.320463559e+06|2.320480059e+06|2.306754581e+06|2.309433486e+06|3.821281688e+06|3.920909250e+06|4.086513250e+06|3.966269000e+06|3.812379500e+06|4.120157750e+06|8.905149375e+05|9.907868750e+05|1.110547188e+06|1.008456562e+06|8.400823750e+05|1.176830750e+06|3.022697734e+03|3.068753869e+03|3.112593813e+03|3.085693569e+03|3.026479053e+03|3.144908085e+03|2.026938275e+02|2.486773093e+02|2.925739496e+02|2.656479142e+02|2.064424159e+02|3.248534125e+02|2.868933295e+03|2.901543140e+03|2.927057834e+03|2.896607100e+03|2.861837115e+03|2.931377084e+03|4.755373910e+02|5.521961274e+02|6.028404819e+02|5.387297400e+02|4.688252737e+02|6.086342064e+02|2.022047744e+10|2.098197914e+10|2.143704627e+10|2.084435149e+10|1.995194573e+10|2.173675725e+10|8.982996224e+09|1.319093760e+10|1.538791885e+10|1.186531226e+10|7.961350656e+09|1.576927232e+10|3.629557129e+03|3.667304321e+03|3.682468567e+03|3.655878174e+03|3.624409912e+03|3.687345947e+03
2.329393206e+06|2.329405306e+06|2.317647463e+06|2.320575946e+06|3.846224188e+06|3.936890250e+06|4.039164125e+06|3.969708750e+06|3.830941750e+06|4.108476750e+06|9.093347500e+05|1.003895375e+06|1.118274812e+06|1.026512812e+06|8.649661875e+05|1.188059500e+06|3.033598959e+03|3.068038102e+03|3.118183168e+03|3.084181126e+03|3.029309010e+03|3.139053242e+03|2.135978078e+02|2.480504826e+02|2.981520397e+02|2.641393180e+02|2.092758269e+02|3.190028092e+02|2.876202133e+03|2.908047005e+03|2.925262046e+03|2.900713913e+03|2.868882496e+03|2.932545330e+03|5.106945354e+02|5.508196804e+02|5.968280704e+02|5.498307635e+02|4.875127610e+02|6.121487661e+02|2.044066355e+10|2.093426483e+10|2.148029952e+10|2.101856870e+10|2.008871526e+10|2.194841600e+10|1.024959258e+10|1.313149338e+10|1.554318182e+10|1.249242624e+10|9.122790400e+09|1.586205901e+10|3.632731812e+03|3.662396973e+03|3.689403259e+03|3.660803711e+03|3.627740234e+03|3.693867188e+03
2.337181729e+06|2.337104203e+06|2.324898311e+06|2.328880939e+06|3.807394250e+06|3.895566750e+06|4.000662312e+06|3.941373500e+06|3.794213500e+06|4.088533500e+06|8.392390625e+05|9.714900000e+05|1.056937062e+06|9.676465000e+05|7.981951875e+05|1.137097625e+06|3.016596519e+03|3.057542383e+03|3.095462093e+03|3.072765033e+03|3.016721537e+03|3.128808529e+03|1.965193825e+02|2.374633519e+02|2.754435690e+02|2.527160190e+02|1.966760237e+02|3.087560143e+02|2.867876572e+03|2.898696347e+03|2.919522398e+03|2.893794032e+03|2.856750429e+03|2.930837636e+03|4.655120406e+02|5.230802640e+02|6.020870643e+02|5.270978101e+02|4.515544881e+02|6.026411321e+02|2.017060762e+10|2.089988608e+10|2.147272346e+10|2.099673498e+10|2.002408448e+10|2.196938342e+10|8.176163328e+09|1.220550605e+10|1.556771482e+10|1.148342682e+10|7.256603136e+09|1.571024896e+10|3.639945923e+03|3.665692139e+03|3.684880066e+03|3.663775391e+03|3.633817139e+03|3.693733643e+03
2.346942538e+06|2.346920989e+06|2.338007915e+06|2.340978118e+06|3.844603875e+06|3.931190750e+06|4.069509062e+06|4.005531250e+06|3.820810000e+06|4.190252250e+06|8.420991875e+05|9.221513750e+05|1.089992938e+06|1.012072812e+06|8.063875000e+05|1.217758125e+06|3.036262167e+03|3.071661633e+03|3.128316953e+03|3.104318516e+03|3.029204946e+03|3.179432085e+03|2.162375188e+02|2.516013277e+02|3.083052721e+02|2.842652057e+02|2.091468342e+02|3.593835772e+02|2.878303722e+03|2.904632868e+03|2.919969455e+03|2.894864293e+03|2.863984589e+03|2.925743997e+03|4.567706467e+02|5.054932400e+02|5.683541765e+02|5.108233900e+02|4.407028702e+02|5.809439099e+02|2.024053197e+10|2.078255821e+10|2.129227571e+10|2.071597261e+10|1.990957261e+10|2.152237261e+10|7.330553344e+09|9.762721792e+09|1.408167578e+10|1.031981466e+10|6.396529664e+09|1.424309862e+10|3.629999146e+03|3.658285400e+03|3.676324158e+03|3.646373535e+03|3.612229004e+03|3.680518555e+03
2.363088662e+06|2.362455821e+06|2.352522039e+06|2.353736148e+06|3.800888562e+06|3.947577500e+06|4.137276812e+06|3.967954250e+06|3.758893750e+06|4.177015000e+06|7.488679375e+05|8.781833750e+05|1.119674500e+06|9.585116250e+05|7.360435000e+05|1.180979750e+06|3.042364622e+03|3.092812209e+03|3.158744765e+03|3.109772191e+03|3.036418226e+03|3.183126155e+03|2.223181653e+02|2.727956038e+02|3.386770329e+02|2.897202404e+02|2.163648861e+02|3.630755947e+02|2.855143513e+03|2.893218998e+03|2.908273213e+03|2.867347527e+03|2.821617253e+03|2.913077802e+03|4.263075442e+02|4.571850069e+02|5.051268613e+02|4.788931139e+02|4.050885937e+02|5.526976342e+02|1.925377126e+10|2.022219571e+10|2.063702272e+10|1.941609882e+10|1.801658368e+10|2.081561395e+10|5.872403456e+09|7.982706176e+09|1.093866803e+10|8.636309504e+09|4.734932992e+09|1.253768602e+10|3.579548035e+03|3.621122681e+03|3.644263184e+03|3.609431885e+03|3.568800537e+03|3.650063721e+03
