#R_planet
1.609408605e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
8.018124793e+04|8.528315722e+04|6.302660518e+04|6.383424409e+04|1.724374469e+06|1.727176750e+06|1.730095375e+06|1.727328375e+06|1.724085500e+06|1.730571000e+06|3.604118750e+04|3.893368750e+04|4.244490625e+04|3.914907422e+04|3.547780859e+04|4.282033984e+04|1.958380587e+03|1.959705503e+03|1.961091131e+03|1.959698602e+03|1.958269360e+03|1.961127844e+03|1.553132402e+01|1.685889823e+01|1.824362677e+01|1.684979469e+01|1.542058549e+01|1.827900388e+01|2.492149502e+03|2.495892428e+03|2.500865431e+03|2.496900799e+03|2.491615618e+03|2.502185980e+03|5.424618172e+01|6.236875791e+01|6.974332453e+01|6.242075738e+01|5.339391663e+01|7.144759813e+01|8.080579712e+09|8.128165632e+09|8.183818624e+09|8.140910592e+09|8.081218048e+09|8.200606208e+09|1.788848640e+08|3.544688640e+08|4.894538240e+08|3.416985280e+08|1.562518560e+08|5.271452480e+08|6.610202759e+03|6.614859131e+03|6.617075806e+03|6.614106934e+03|6.610559570e+03|6.617652344e+03
1.220482284e+05|1.221287642e+05|9.637492477e+04|1.055825169e+05|1.724453156e+06|1.727210000e+06|1.731101406e+06|1.727456000e+06|1.723451000e+06|1.731461125e+06|3.592434375e+04|3.944312500e+04|4.392762500e+04|3.982968750e+04|3.533095703e+04|4.432842188e+04|1.958614552e+03|1.959795037e+03|1.961748736e+03|1.960066616e+03|1.958251767e+03|1.961881465e+03|1.576700863e+01|1.694434167e+01|1.889977441e+01|1.721776006e+01|1.540313503e+01|1.903238508e+01|2.490174610e+03|2.494306097e+03|2.499785210e+03|2.494943081e+03|2.489045308e+03|2.500840854e+03|5.351758379e+01|6.187946532e+01|7.017971755e+01|6.301509994e+01|5.335884593e+01|7.267135395e+01|8.035157120e+09|8.074942464e+09|8.108612864e+09|8.066686464e+09|8.002776576e+09|8.130597888e+09|1.722142720e+08|2.988410880e+08|4.861168640e+08|3.313327680e+08|1.483661440e+08|5.142993600e+08|6.607903442e+03|6.610819824e+03|6.613443359e+03|6.609831055e+03|6.605503906e+03|6.614158691e+03
1.452572650e+05|1.452926973e+05|1.147654075e+05|1.271809621e+05|1.722262406e+06|1.725992188e+06|1.729534281e+06|1.726243375e+06|1.721759500e+06|1.730726750e+06|3.457946875e+04|3.914950000e+04|4.374793750e+04|3.919811719e+04|3.443263281e+04|4.396360547e+04|1.957845865e+03|1.959555368e+03|1.961431079e+03|1.959656592e+03|1.957624687e+03|1.961688497e+03|1.499896905e+01|1.670723595e+01|1.858086558e+01|1.680766627e+01|1.477585831e+01|1.883947424e+01|2.486939621e+03|2.491514053e+03|2.497310483e+03|2.492269320e+03|2.485639622e+03|2.498899018e+03|5.411819287e+01|6.274533378e+01|7.232752537e+01|6.302060165e+01|5.270490204e+01|7.333630126e+01|7.989694976e+09|8.026095104e+09|8.083433088e+09|8.030310912e+09|7.964325376e+09|8.096296448e+09|1.966553600e+08|3.541207040e+08|5.244376320e+08|3.620306560e+08|1.686449280e+08|5.554164480e+08|6.604809814e+03|6.609050293e+03|6.613438843e+03|6.608786133e+03|6.604082031e+03|6.613490723e+03
1.619143443e+05|1.617100522e+05|1.281786502e+05|1.458582165e+05|1.722090000e+06|1.725955375e+06|1.730002094e+06|1.726453750e+06|1.721747625e+06|1.731160000e+06|3.574918750e+04|3.978293750e+04|4.340881250e+04|3.969265234e+04|3.485513672e+04|4.453017188e+04|1.958020394e+03|1.959844883e+03|1.961506530e+03|1.959937388e+03|1.957790694e+03|1.962084082e+03|1.517206982e+01|1.699546350e+01|1.865580766e+01|1.708797782e+01|1.494130669e+01|1.923464896e+01|2.484800503e+03|2.490944736e+03|2.496967165e+03|2.491253119e+03|2.483871993e+03|2.498634246e+03|5.354651977e+01|6.322196578e+01|7.268405680e+01|6.336573559e+01|5.317813555e+01|7.355333563e+01|7.947927552e+09|7.989035520e+09|8.042702208e+09|7.985588224e+09|7.899443200e+09|8.071732224e+09|1.606229760e+08|3.362196480e+08|5.309452800e+08|3.512088640e+08|1.378385440e+08|5.645791360e+08|6.602629028e+03|6.607035889e+03|6.611401367e+03|6.606096191e+03|6.600518555e+03|6.611674805e+03
1.773302573e+05|1.775160239e+05|1.457140667e+05|1.528241966e+05|1.720536312e+06|1.723594438e+06|1.727834281e+06|1.724105250e+06|1.719359000e+06|1.728851500e+06|3.203521875e+04|3.714412500e+04|4.133868750e+04|3.724692188e+04|3.210202734e+04|4.239182031e+04|1.957183061e+03|1.958735484e+03|1.960579964e+03|1.958940100e+03|1.956857550e+03|1.961022651e+03|1.433578057e+01|1.588665895e+01|1.773161736e+01|1.609103177e+01|1.400853347e+01|1.817353008e+01|2.481710191e+03|2.486338100e+03|2.491527463e+03|2.487493259e+03|2.479909243e+03|2.495077275e+03|5.118366463e+01|5.735443278e+01|6.618921435e+01|5.912787865e+01|4.866343071e+01|6.959232658e+01|7.915297792e+09|7.962482688e+09|8.009471744e+09|7.964176384e+09|7.874525696e+09|8.053826560e+09|1.703511040e+08|3.271787520e+08|4.776860160e+08|3.179210880e+08|1.187910720e+08|5.170511360e+08|6.604532593e+03|6.607636719e+03|6.611393433e+03|6.606827637e+03|6.601602051e+03|6.612053711e+03
1.907062855e+05|1.908200896e+05|1.652477246e+05|1.716658254e+05|1.720521344e+06|1.724646250e+06|1.728703031e+06|1.724677250e+06|1.719810250e+06|1.729544000e+06|3.322518750e+04|3.811650000e+04|4.194537500e+04|3.795942578e+04|3.285419531e+04|4.306466016e+04|1.957331627e+03|1.959379162e+03|1.961168878e+03|1.959271532e+03|1.957165012e+03|1.961378051e+03|1.448135228e+01|1.652840125e+01|1.832184789e+01|1.642244227e+01|1.431584947e+01|1.852903508e+01|2.481108261e+03|2.486471143e+03|2.493198744e+03|2.487768465e+03|2.479513958e+03|2.496022971e+03|5.118102338e+01|5.845307613e+01|6.807539864e+01|6.006423932e+01|4.940773407e+01|7.072074457e+01|7.876215424e+09|7.929570816e+09|8.025034240e+09|7.947531776e+09|7.845466112e+09|8.049594880e+09|1.171125760e+08|2.913326080e+08|5.234048000e+08|3.177805120e+08|9.620224000e+07|5.393588480e+08|6.601489868e+03|6.605504150e+03|6.609278687e+03|6.605417969e+03|6.599799316e+03|6.611038086e+03
2.036544205e+05|2.030720192e+05|1.809597141e+05|1.879019541e+05|1.717856688e+06|1.722133875e+06|1.727513406e+06|1.723031625e+06|1.717793750e+06|1.728269750e+06|3.144625000e+04|3.601993750e+04|4.226593750e+04|3.685446094e+04|3.090218945e+04|4.280673828e+04|1.956373126e+03|1.958719775e+03|1.961045944e+03|1.958783523e+03|1.956404085e+03|1.961162960e+03|1.352446127e+01|1.587351695e+01|1.819602648e+01|1.593415725e+01|1.355490365e+01|1.831341084e+01|2.476695373e+03|2.482865911e+03|2.490049433e+03|2.483634116e+03|2.475316824e+03|2.491951407e+03|4.757119494e+01|5.516987850e+01|7.050085695e+01|5.849580479e+01|4.536991607e+01|7.162169350e+01|7.820334080e+09|7.884529664e+09|7.944651904e+09|7.880952832e+09|7.775769600e+09|7.986136576e+09|1.786987520e+08|2.970237440e+08|4.707280640e+08|3.151597760e+08|9.761772800e+07|5.327017280e+08|6.598642090e+03|6.603620850e+03|6.608659668e+03|6.603029785e+03|6.596491699e+03|6.609566895e+03
2.159319267e+05|2.157306272e+05|1.916635925e+05|1.995303011e+05|1.717834250e+06|1.722682312e+06|1.726622594e+06|1.722597250e+06|1.717691625e+06|1.727503375e+06|3.136328125e+04|3.664150000e+04|4.105759375e+04|3.678430078e+04|3.148222266e+04|4.208637109e+04|1.956707721e+03|1.958619229e+03|1.960497227e+03|1.958710836e+03|1.956515011e+03|1.960906662e+03|1.385855889e+01|1.577120747e+01|1.764699905e+01|1.586165834e+01|1.366602163e+01|1.805729504e+01|2.475374030e+03|2.481646140e+03|2.487753167e+03|2.482129410e+03|2.474158649e+03|2.490100172e+03|4.666839309e+01|5.850898657e+01|6.980600605e+01|5.872625775e+01|4.594831486e+01|7.150420064e+01|7.756648704e+09|7.860780032e+09|7.924266368e+09|7.849403904e+09|7.731271680e+09|7.967537152e+09|7.486630400e+07|3.054533120e+08|5.465587200e+08|3.267871360e+08|6.674246800e+07|5.868318080e+08|6.597611694e+03|6.602695312e+03|6.606421875e+03|6.601609863e+03|6.594995117e+03|6.608226074e+03
2.266593079e+05|2.265093055e+05|2.066028633e+05|2.149291654e+05|1.716770875e+06|1.722124125e+06|1.726843000e+06|1.722179375e+06|1.716691875e+06|1.727666875e+06|3.066587500e+04|3.725356250e+04|4.077321875e+04|3.622628125e+04|3.075251172e+04|4.170005078e+04|1.955970393e+03|1.958719696e+03|1.960722956e+03|1.958638666e+03|1.956150968e+03|1.961126365e+03|1.312050909e+01|1.587064016e+01|1.787365015e+01|1.578904512e+01|1.330147918e+01|1.827661107e+01|2.472811805e+03|2.480831290e+03|2.486913754e+03|2.480699010e+03|2.472200942e+03|2.489197077e+03|4.911956607e+01|5.728826440e+01|6.283859756e+01|5.660510137e+01|4.708448410e+01|6.612571863e+01|7.725145728e+09|7.827959808e+09|7.897072512e+09|7.819514368e+09|7.701238272e+09|7.937790464e+09|9.572838400e+07|2.789980160e+08|4.516951040e+08|2.798426560e+08|7.558963200e+07|4.840956800e+08|6.594428345e+03|6.601499756e+03|6.605903564e+03|6.600273926e+03|6.592768555e+03|6.607778320e+03
2.378587898e+05|2.378607919e+05|2.167543090e+05|2.205782121e+05|1.716542250e+06|1.721573000e+06|1.725845344e+06|1.721421000e+06|1.716313000e+06|1.726529125e+06|3.030715625e+04|3.600287500e+04|4.119581250e+04|3.602220312e+04|3.055203516e+04|4.149236719e+04|1.956196020e+03|1.958379504e+03|1.960368703e+03|1.958356129e+03|1.956041684e+03|1.960670575e+03|1.334816458e+01|1.553103522e+01|1.751903332e+01|1.550646536e+01|1.319206417e+01|1.782086655e+01|2.471553753e+03|2.478242847e+03|2.486796755e+03|2.479210578e+03|2.470831076e+03|2.487590079e+03|4.471410093e+01|5.834683250e+01|6.683710907e+01|5.776316819e+01|4.628034393e+01|6.924599245e+01|7.718407424e+09|7.793896192e+09|7.916732928e+09|7.802987008e+09|7.686075392e+09|7.919897088e+09|9.980339200e+07|3.238768640e+08|5.299066880e+08|3.291900800e+08|1.011949280e+08|5.571852800e+08|6.594316284e+03|6.600524902e+03|6.605631104e+03|6.599969238e+03|6.592865723e+03|6.607073730e+03
