#RRR|U50|U25|U75|Umean|T50|T25|T75|Tmean|P50|P25|P75|Pmean|rho50|rho25|rho75|Pmean|S
8.035974095e+04|1.700187770e+06|1.700780170e+06|1.701255451e+06|1.700629570e+06|2.446769113e+03|2.449520538e+03|2.451679467e+03|2.448718198e+03|7.660740685e+09|7.728618210e+09|7.781502402e+09|7.708625966e+09|6.609563843e+03|6.612910156e+03|6.615539551e+03|6.611930664e+03|1.949058380e+03
1.219750327e+05|1.699995494e+06|1.700402691e+06|1.700738525e+06|1.700352362e+06|2.445844001e+03|2.447803473e+03|2.449331433e+03|2.447467414e+03|7.637573743e+09|7.686691268e+09|7.723998056e+09|7.677770961e+09|6.608436523e+03|6.610819824e+03|6.612677612e+03|6.610410645e+03|1.949058380e+03
1.449612924e+05|1.699740507e+06|1.700092437e+06|1.700462439e+06|1.700152534e+06|2.444617525e+03|2.446310393e+03|2.448077993e+03|2.446498416e+03|7.606921386e+09|7.649247308e+09|7.693421436e+09|7.653826954e+09|6.606943481e+03|6.609004639e+03|6.611154785e+03|6.609230469e+03|1.949058380e+03
1.627245738e+05|1.699471829e+06|1.699850090e+06|1.700130407e+06|1.699832329e+06|2.443325673e+03|2.445144559e+03|2.446493091e+03|2.445013704e+03|7.574713825e+09|7.620083925e+09|7.653823378e+09|7.616850739e+09|6.605372437e+03|6.607587402e+03|6.609228516e+03|6.607425781e+03|1.949058380e+03
1.779112772e+05|1.699395648e+06|1.699633623e+06|1.699921444e+06|1.699553287e+06|2.442959470e+03|2.444103550e+03|2.445487775e+03|2.443671770e+03|7.565598301e+09|7.594097759e+09|7.628662740e+09|7.583594239e+09|6.604928711e+03|6.606317871e+03|6.608002930e+03|6.605791016e+03|1.949058380e+03
1.919233247e+05|1.699141020e+06|1.699358501e+06|1.699669699e+06|1.699293187e+06|2.441735742e+03|2.442780917e+03|2.444277021e+03|2.442449129e+03|7.535183887e+09|7.561156109e+09|7.598424521e+09|7.553244153e+09|6.603436768e+03|6.604712891e+03|6.606530396e+03|6.604304199e+03|1.949058380e+03
2.053254939e+05|1.698798436e+06|1.699101726e+06|1.699399686e+06|1.699147908e+06|2.440089980e+03|2.441546934e+03|2.442978878e+03|2.441731752e+03|7.494393067e+09|7.530497740e+09|7.566081244e+09|7.535292423e+09|6.601433472e+03|6.603210449e+03|6.604950195e+03|6.603431152e+03|1.949058380e+03
2.176676605e+05|1.698482825e+06|1.698836916e+06|1.699064316e+06|1.698713341e+06|2.438574484e+03|2.440274798e+03|2.441367191e+03|2.439651198e+03|7.456945670e+09|7.498967421e+09|7.526038041e+09|7.483943531e+09|6.599586426e+03|6.601662842e+03|6.602988159e+03|6.600896484e+03|1.949058380e+03
2.293838655e+05|1.698240438e+06|1.698645870e+06|1.698878895e+06|1.698704915e+06|2.437411043e+03|2.439357308e+03|2.440476434e+03|2.439605236e+03|7.428271580e+09|7.476275327e+09|7.503959853e+09|7.482763499e+09|6.598173096e+03|6.600543213e+03|6.601907715e+03|6.600841309e+03|1.949058380e+03
2.406434543e+05|1.698050804e+06|1.698286976e+06|1.698523719e+06|1.698187933e+06|2.436501082e+03|2.437634391e+03|2.438770811e+03|2.437121652e+03|7.405890067e+09|7.433771118e+09|7.461790442e+09|7.421461884e+09|6.597060181e+03|6.598442383e+03|6.599826538e+03|6.597814453e+03|1.949058380e+03
