#RRR|U50|U25|U75|Umean|T50|T25|T75|Tmean|P50|P25|P75|Pmean|rho50|rho25|rho75|Pmean|S
8.040070628e+04|1.914848410e+06|1.916083402e+06|1.916836361e+06|1.915729864e+06|2.801470847e+03|2.806467145e+03|2.809454710e+03|2.804977123e+03|9.997006513e+09|1.010988075e+10|1.017705858e+10|1.007615416e+10|6.564882690e+03|6.570170898e+03|6.573332520e+03|6.568591797e+03|2.034442046e+03
1.221687344e+05|1.914735261e+06|1.915637510e+06|1.916553267e+06|1.915665813e+06|2.801002213e+03|2.804698900e+03|2.808331226e+03|2.804720071e+03|9.986346130e+09|1.007022365e+10|1.015177056e+10|1.007040227e+10|6.564383545e+03|6.568295166e+03|6.572145386e+03|6.568319336e+03|2.034442046e+03
1.451542109e+05|1.913603774e+06|1.914961566e+06|1.915980867e+06|1.914740157e+06|2.796318623e+03|2.801939568e+03|2.806060468e+03|2.800936301e+03|9.880194262e+09|1.000767682e+10|1.010075327e+10|9.985012931e+09|6.559425049e+03|6.565375732e+03|6.569737427e+03|6.564309570e+03|2.034442046e+03
1.624866195e+05|1.913277048e+06|1.914488995e+06|1.915428045e+06|1.914209666e+06|2.794967141e+03|2.799982402e+03|2.803868376e+03|2.798789728e+03|9.849697077e+09|9.963170316e+09|1.005162200e+10|9.936549024e+09|6.557990845e+03|6.563303955e+03|6.567416626e+03|6.562037109e+03|2.034442046e+03
1.776448477e+05|1.912967501e+06|1.914419761e+06|1.915424293e+06|1.914163538e+06|2.793687159e+03|2.799695742e+03|2.803853600e+03|2.798556208e+03|9.820875846e+09|9.956662229e+09|1.005129199e+10|9.931406552e+09|6.556632324e+03|6.563000244e+03|6.567402344e+03|6.561785645e+03|2.034442046e+03
1.909511605e+05|1.912154265e+06|1.913758238e+06|1.914651383e+06|1.913509677e+06|2.790326044e+03|2.796957699e+03|2.800654838e+03|2.795875427e+03|9.745425108e+09|9.894635608e+09|9.978447422e+09|9.870887950e+09|6.553066772e+03|6.560099609e+03|6.564017700e+03|6.558946289e+03|2.034442046e+03
2.030143419e+05|1.911592231e+06|1.913397959e+06|1.914366231e+06|1.912945332e+06|2.788004712e+03|2.795467234e+03|2.799474118e+03|2.793546198e+03|9.693537083e+09|9.860975356e+09|9.951632493e+09|9.818473895e+09|6.550602295e+03|6.558522705e+03|6.562765625e+03|6.556477051e+03|2.034442046e+03
2.158012735e+05|1.911009698e+06|1.912594885e+06|1.914031526e+06|1.912246486e+06|2.785600031e+03|2.792146778e+03|2.798088628e+03|2.790626728e+03|9.639971080e+09|9.786247213e+09|9.920225616e+09|9.752976702e+09|6.548054688e+03|6.555001221e+03|6.561300537e+03|6.553379395e+03|2.034442046e+03
2.263873198e+05|1.911095909e+06|1.912508607e+06|1.913910576e+06|1.912440545e+06|2.785955826e+03|2.791790197e+03|2.797588070e+03|2.791458754e+03|9.647885014e+09|9.778243810e+09|9.908894213e+09|9.771553026e+09|6.548428589e+03|6.554620117e+03|6.560766113e+03|6.554263672e+03|2.034442046e+03
2.370732966e+05|1.910447643e+06|1.912142146e+06|1.913840292e+06|1.911642417e+06|2.783281158e+03|2.790275972e+03|2.797297224e+03|2.788007730e+03|9.588496584e+09|9.744303744e+09|9.902313711e+09|9.694665983e+09|6.545589722e+03|6.553013916e+03|6.560458130e+03|6.550593262e+03|2.034442046e+03
2.476445948e+05|1.910071794e+06|1.911911183e+06|1.912899386e+06|1.911295193e+06|2.781666577e+03|2.789321903e+03|2.793405490e+03|2.786629700e+03|9.552054930e+09|9.722957729e+09|9.814532235e+09|9.663353008e+09|6.543874878e+03|6.552002686e+03|6.556337524e+03|6.549136719e+03|2.034442046e+03
2.577490066e+05|1.909691634e+06|1.911253378e+06|1.912681169e+06|1.910941937e+06|2.780032305e+03|2.786605774e+03|2.792503426e+03|2.785158769e+03|9.515222024e+09|9.662351646e+09|9.794258274e+09|9.630362088e+09|6.542139893e+03|6.549118896e+03|6.555379883e+03|6.547575684e+03|2.034442046e+03
2.664479203e+05|1.908216154e+06|1.910572293e+06|1.912290789e+06|1.910283671e+06|2.773695373e+03|2.783795318e+03|2.790890106e+03|2.782392553e+03|9.373088122e+09|9.599894834e+09|9.758059973e+09|9.568293492e+09|6.535407104e+03|6.546135986e+03|6.553666748e+03|6.544640137e+03|2.034442046e+03
2.759809587e+05|1.908148524e+06|1.910365171e+06|1.912408786e+06|1.910226636e+06|2.773405140e+03|2.782928212e+03|2.791377681e+03|2.782128180e+03|9.366604454e+09|9.580539110e+09|9.768990153e+09|9.562461557e+09|6.535101074e+03|6.545215088e+03|6.554183960e+03|6.544356934e+03|2.034442046e+03
2.849932950e+05|1.908466202e+06|1.909581566e+06|1.911541630e+06|1.909211865e+06|2.774768615e+03|2.779559252e+03|2.787795776e+03|2.777514472e+03|9.397083675e+09|9.504574050e+09|9.688874709e+09|9.460507398e+09|6.536551636e+03|6.541640381e+03|6.550382568e+03|6.539432617e+03|2.034442046e+03
2.939304878e+05|1.908384215e+06|1.909983585e+06|1.910947358e+06|1.909274762e+06|2.774416684e+03|2.781287317e+03|2.785342773e+03|2.777979219e+03|9.389211552e+09|9.543500873e+09|9.634251755e+09|9.470254788e+09|6.536174561e+03|6.543473389e+03|6.547778564e+03|6.539939941e+03|2.034442046e+03
3.011119437e+05|1.907364466e+06|1.909376487e+06|1.910759282e+06|1.908511508e+06|2.770041894e+03|2.778678000e+03|2.784566733e+03|2.774769725e+03|9.291643970e+09|9.484753962e+09|9.617012129e+09|9.398388320e+09|6.531525635e+03|6.540703857e+03|6.546955322e+03|6.536533691e+03|2.034442046e+03
3.098307269e+05|1.908159795e+06|1.909343678e+06|1.910392869e+06|1.908608793e+06|2.773453510e+03|2.778537047e+03|2.783047345e+03|2.775143586e+03|9.367684836e+09|9.481587424e+09|9.583230825e+09|9.406921089e+09|6.535151978e+03|6.540554199e+03|6.545339600e+03|6.536927734e+03|2.034442046e+03
3.179092693e+05|1.906740109e+06|1.908389682e+06|1.909956917e+06|1.907569515e+06|2.767365578e+03|2.774440158e+03|2.781172668e+03|2.770507395e+03|9.232210990e+09|9.389737561e+09|9.540915761e+09|9.304106095e+09|6.528677124e+03|6.536202148e+03|6.543351074e+03|6.531984375e+03|2.034442046e+03
3.258616161e+05|1.906571850e+06|1.908118467e+06|1.909445870e+06|1.907784597e+06|2.766644629e+03|2.773276161e+03|2.778976132e+03|2.771527902e+03|9.216234568e+09|9.363724142e+09|9.491457297e+09|9.326366009e+09|6.527908447e+03|6.534963623e+03|6.541020874e+03|6.533078613e+03|2.034442046e+03
3.329783991e+05|1.905708953e+06|1.907179422e+06|1.909029270e+06|1.906781261e+06|2.762949292e+03|2.769248503e+03|2.777186380e+03|2.767141689e+03|9.134573587e+09|9.274002263e+09|9.451254135e+09|9.228800603e+09|6.523974243e+03|6.530680420e+03|6.539116333e+03|6.528410156e+03|2.034442046e+03
