#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
8.017335259e+04|8.120286034e+09|8.151528854e+09|8.183542720e+09|0.000000|0.000000|0.000000
1.219001515e+05|8.085126412e+09|8.101420431e+09|8.119430339e+09|0.000000|0.000000|0.000000
1.451267558e+05|8.050042639e+09|8.066253988e+09|8.083857294e+09|0.000000|0.000000|0.000000
1.623066978e+05|8.017781792e+09|8.036775343e+09|8.056635078e+09|0.000000|0.000000|0.000000
1.768438793e+05|7.986626590e+09|8.009479707e+09|8.032606459e+09|0.000000|0.000000|0.000000
1.898144251e+05|7.956040183e+09|7.983277292e+09|8.010169942e+09|0.000000|0.000000|0.000000
2.021380904e+05|7.924685751e+09|7.956745858e+09|7.987814277e+09|0.000000|0.000000|0.000000
2.138949621e+05|7.892803845e+09|7.929932285e+09|7.965411525e+09|0.000000|0.000000|0.000000
2.252917367e+05|7.860157844e+09|7.902525636e+09|7.942581612e+09|0.000000|0.000000|0.000000
2.361175709e+05|7.827638332e+09|7.875190965e+09|7.919789252e+09|0.000000|0.000000|0.000000
2.452438136e+05|7.799133193e+09|7.851155384e+09|7.899678149e+09|0.000000|0.000000|0.000000
2.556969922e+05|7.765309373e+09|7.822501951e+09|7.875573568e+09|0.000000|0.000000|0.000000
2.650567712e+05|7.734001812e+09|7.795821698e+09|7.852971996e+09|0.000000|0.000000|0.000000
2.740407711e+05|7.703078047e+09|7.769297396e+09|7.830332008e+09|0.000000|0.000000|0.000000
2.827509320e+05|7.672308776e+09|7.742721363e+09|7.792273231e+09|0.000000|0.000000|2.000000
2.915461106e+05|7.640477763e+09|7.715022647e+09|7.739893580e+09|0.000000|0.000000|2.000000
2.995684548e+05|7.610796770e+09|7.688998230e+09|7.692116541e+09|0.000000|0.000000|2.000000
3.077695040e+05|7.579834626e+09|7.661642225e+09|7.643275225e+09|0.000000|0.000000|2.000000
3.154130809e+05|7.550427202e+09|7.635459115e+09|7.597753933e+09|0.000000|0.000000|2.000000
3.232557887e+05|7.519715224e+09|7.607903216e+09|7.551046718e+09|0.000000|0.000000|2.000000
3.311870019e+05|7.488114119e+09|7.579322987e+09|7.503812410e+09|0.000000|0.000000|2.000000
3.374254594e+05|7.462881520e+09|7.556337411e+09|7.466659301e+09|0.000000|0.000000|2.000000
3.446870141e+05|7.433100705e+09|7.529020815e+09|7.423413141e+09|0.000000|0.000000|2.000000
3.526809863e+05|7.399813617e+09|7.498249296e+09|7.375805071e+09|0.000000|0.000000|2.000000
3.588117880e+05|7.373932721e+09|7.474152091e+09|7.339293106e+09|0.000000|0.000000|2.000000
3.658308668e+05|7.343930953e+09|7.446032305e+09|7.297491010e+09|0.000000|0.000000|2.000000
3.726382963e+05|7.314458827e+09|7.418218115e+09|7.256949390e+09|0.000000|0.000000|2.000000
3.785276457e+05|7.288665639e+09|7.393723813e+09|7.221875394e+09|0.000000|0.000000|2.000000
3.857331481e+05|7.256736951e+09|7.363210904e+09|7.178963053e+09|0.000000|0.000000|2.000000
3.923586339e+05|7.227019166e+09|7.334624914e+09|7.139504998e+09|0.000000|0.000000|2.000000
3.983259904e+05|7.199959300e+09|7.308444241e+09|7.103966431e+09|0.000000|0.000000|2.000000
4.037503825e+05|7.175119830e+09|7.284288568e+09|7.071661485e+09|0.000000|0.000000|2.000000
4.101325240e+05|7.145599417e+09|7.255432313e+09|7.033652667e+09|0.000000|0.000000|2.000000
4.160248733e+05|7.118060383e+09|7.228372527e+09|6.998560804e+09|0.000000|0.000000|2.000000
4.225140205e+05|7.087415023e+09|7.198107664e+09|6.959914713e+09|0.000000|0.000000|2.000000
4.277371000e+05|7.062505953e+09|7.173394179e+09|6.928808684e+09|0.000000|0.000000|2.000000
4.330247605e+05|7.037066826e+09|7.148054128e+09|6.897318044e+09|0.000000|0.000000|2.000000
4.388523627e+05|7.008769200e+09|7.119752587e+09|6.862611782e+09|0.000000|0.000000|2.000000
4.444596331e+05|6.981280939e+09|7.092151179e+09|6.829217705e+09|0.000000|0.000000|2.000000
4.499182323e+05|6.954273538e+09|7.064933393e+09|6.796709039e+09|0.000000|0.000000|2.000000
4.556082984e+05|6.925857530e+09|7.036196102e+09|6.762821873e+09|0.000000|0.000000|2.000000
4.610895786e+05|6.898226809e+09|7.008160954e+09|6.730178131e+09|0.000000|0.000000|2.000000
4.658351523e+05|6.874098120e+09|6.983609792e+09|6.701915885e+09|0.000000|0.000000|2.000000
4.710052672e+05|6.847589729e+09|6.956567964e+09|6.671125287e+09|0.000000|0.000000|2.000000
4.762637753e+05|6.820388288e+09|6.928749366e+09|6.639808263e+09|0.000000|0.000000|2.000000
4.820740371e+05|6.790047022e+09|6.897643650e+09|6.605205272e+09|0.000000|0.000000|2.000000
4.873576998e+05|6.762190945e+09|6.869022034e+09|6.573738440e+09|0.000000|0.000000|2.000000
4.916487475e+05|6.739379467e+09|6.845542916e+09|6.548183122e+09|0.000000|0.000000|2.000000
4.966883215e+05|6.712369454e+09|6.817700162e+09|6.518169959e+09|0.000000|0.000000|2.000000
5.016428362e+05|6.685580596e+09|6.790045647e+09|6.488663367e+09|0.000000|0.000000|2.000000
5.062347765e+05|6.660540776e+09|6.764165960e+09|6.461316084e+09|0.000000|0.000000|2.000000
5.108118933e+05|6.635375944e+09|6.738131919e+09|6.434057084e+09|0.000000|0.000000|2.000000
5.162251947e+05|6.605343712e+09|6.707035812e+09|6.401818189e+09|0.000000|0.000000|2.000000
5.211608051e+05|6.577701687e+09|6.678395394e+09|6.372424180e+09|0.000000|0.000000|2.000000
5.255769027e+05|6.552754975e+09|6.652536985e+09|6.346124129e+09|0.000000|0.000000|2.000000
5.299507049e+05|6.527844113e+09|6.626710141e+09|6.320075967e+09|0.000000|0.000000|2.000000
5.343077784e+05|6.502824011e+09|6.600768713e+09|6.294127434e+09|0.000000|0.000000|2.000000
5.391860735e+05|6.474564091e+09|6.571471888e+09|6.265074766e+09|0.000000|0.000000|2.000000
5.434030258e+05|6.449921325e+09|6.545932666e+09|6.239960724e+09|0.000000|0.000000|2.000000
5.481703290e+05|6.421818797e+09|6.516821830e+09|6.211569069e+09|0.000000|0.000000|2.000000
5.529622810e+05|6.393305245e+09|6.487306055e+09|6.183030618e+09|0.000000|0.000000|2.000000
5.577088903e+05|6.364793427e+09|6.457818797e+09|6.154762205e+09|0.000000|0.000000|2.000000
5.620043647e+05|6.338756872e+09|6.430919592e+09|6.129180524e+09|0.000000|0.000000|2.000000
5.659074807e+05|6.314901591e+09|6.406301156e+09|6.105935532e+09|0.000000|0.000000|2.000000
5.700273748e+05|6.289514234e+09|6.380133831e+09|6.081399520e+09|0.000000|0.000000|2.000000
5.751576450e+05|6.257597549e+09|6.347289198e+09|6.050846216e+09|0.000000|0.000000|2.000000
5.794187929e+05|6.230826987e+09|6.319790267e+09|6.025468966e+09|0.000000|0.000000|2.000000
5.834322577e+05|6.205391605e+09|6.293708956e+09|6.001566793e+09|0.000000|0.000000|2.000000
5.877401661e+05|6.177847220e+09|6.265519672e+09|5.975911061e+09|0.000000|0.000000|2.000000
5.916447090e+05|6.152660558e+09|6.239796365e+09|5.952657572e+09|0.000000|0.000000|2.000000
5.961139588e+05|6.123567859e+09|6.210150913e+09|5.926040972e+09|0.000000|0.000000|2.000000
6.001540334e+05|6.097022406e+09|6.183167469e+09|5.901980324e+09|0.000000|0.000000|2.000000
6.042947619e+05|6.069568040e+09|6.155330289e+09|5.877320232e+09|0.000000|0.000000|2.000000
6.078070449e+05|6.046080518e+09|6.131574471e+09|5.856402845e+09|0.000000|0.000000|2.000000
6.123318387e+05|6.015546513e+09|6.100776865e+09|5.829455453e+09|0.000000|0.000000|2.000000
6.166552643e+05|5.986076005e+09|6.071147002e+09|5.803707309e+09|0.000000|0.000000|2.000000
6.205912558e+05|5.958990505e+09|6.044000617e+09|5.780266527e+09|0.000000|0.000000|2.000000
6.241610665e+05|5.934210119e+09|6.019238728e+09|5.759006534e+09|0.000000|0.000000|2.000000
6.279807573e+05|5.907465002e+09|5.992595499e+09|5.736258381e+09|0.000000|0.000000|2.000000
6.320053005e+05|5.879023616e+09|5.964358378e+09|5.712290229e+09|0.000000|0.000000|2.000000
6.362863404e+05|5.848469113e+09|5.934136508e+09|5.686794513e+09|0.000000|0.000000|2.000000
6.401219854e+05|5.820825515e+09|5.906897459e+09|5.663951345e+09|0.000000|0.000000|2.000000
6.439664730e+05|5.792859426e+09|5.879443127e+09|5.641055514e+09|0.000000|0.000000|2.000000
6.483796548e+05|5.760431213e+09|5.847740205e+09|5.614772828e+09|0.000000|0.000000|2.000000
6.522761180e+05|5.731505552e+09|5.819583419e+09|5.591567457e+09|0.000000|0.000000|2.000000
6.555463485e+05|5.707012000e+09|5.795832422e+09|5.572091612e+09|0.000000|0.000000|2.000000
6.587775537e+05|5.682613387e+09|5.772258131e+09|5.552848182e+09|0.000000|0.000000|2.000000
6.624609704e+05|5.654557211e+09|5.745255683e+09|5.530911609e+09|0.000000|0.000000|2.000000
6.665089610e+05|5.623420665e+09|5.715422871e+09|5.506803817e+09|0.000000|0.000000|2.000000
6.708542869e+05|5.589637020e+09|5.683215798e+09|5.480925246e+09|0.000000|0.000000|2.000000
6.752132088e+05|5.555365973e+09|5.650718571e+09|5.454965704e+09|0.000000|0.000000|2.000000
6.786083066e+05|5.528403160e+09|5.625276213e+09|5.434746212e+09|0.000000|0.000000|2.000000
6.817870945e+05|5.502940719e+09|5.601351515e+09|5.415814954e+09|0.000000|0.000000|2.000000
6.851974131e+05|5.475386362e+09|5.575573579e+09|5.395504815e+09|0.000000|0.000000|2.000000
6.885759037e+05|5.447843364e+09|5.549923757e+09|5.375384227e+09|0.000000|0.000000|2.000000
6.924673080e+05|5.415810915e+09|5.520241763e+09|5.352208984e+09|0.000000|0.000000|2.000000
6.961355806e+05|5.385308495e+09|5.492127019e+09|5.330362601e+09|0.000000|0.000000|2.000000
6.994982498e+05|5.357081573e+09|5.466240226e+09|5.310336239e+09|0.000000|0.000000|2.000000
7.033055386e+05|5.324810857e+09|5.436799316e+09|5.287661945e+09|0.000000|0.000000|2.000000
7.070997445e+05|5.292316616e+09|5.407321546e+09|5.265065567e+09|0.000000|0.000000|2.000000
7.109531125e+05|5.258968355e+09|5.377243865e+09|5.242116850e+09|0.000000|0.000000|2.000000
7.145184626e+05|5.227795898e+09|5.349289098e+09|5.220883421e+09|0.000000|0.000000|2.000000
7.177670150e+05|5.199124095e+09|5.323713988e+09|5.201536680e+09|0.000000|0.000000|2.000000
7.206703603e+05|5.173278903e+09|5.300772897e+09|5.184245819e+09|0.000000|0.000000|2.000000
7.241848436e+05|5.141711553e+09|5.272897627e+09|5.163315328e+09|0.000000|0.000000|2.000000
7.273062957e+05|5.113412073e+09|5.248043555e+09|5.144725532e+09|0.000000|0.000000|2.000000
7.311853041e+05|5.077895441e+09|5.217032203e+09|5.121624113e+09|0.000000|0.000000|2.000000
7.347347006e+05|5.045052832e+09|5.188534946e+09|5.100485696e+09|0.000000|0.000000|2.000000
7.385503968e+05|5.009373791e+09|5.157771398e+09|5.077761332e+09|0.000000|0.000000|2.000000
7.420204709e+05|4.976586485e+09|5.129679702e+09|5.057095320e+09|0.000000|0.000000|2.000000
7.450948065e+05|4.947263859e+09|5.104700932e+09|5.038786127e+09|0.000000|0.000000|2.000000
7.485591096e+05|4.913908470e+09|5.076452117e+09|5.018154484e+09|0.000000|0.000000|2.000000
7.520140226e+05|4.880308311e+09|5.048173277e+09|4.997578763e+09|0.000000|0.000000|2.000000
7.549686825e+05|4.851304155e+09|5.023905104e+09|4.979982298e+09|0.000000|0.000000|2.000000
7.579766417e+05|4.821518651e+09|4.999120081e+09|4.962068409e+09|0.000000|0.000000|2.000000
7.615936597e+05|4.785352731e+09|4.969211486e+09|4.940527272e+09|0.000000|0.000000|2.000000
7.652157909e+05|4.748748085e+09|4.939146384e+09|4.918955684e+09|0.000000|0.000000|2.000000
7.690464856e+05|4.709607424e+09|4.907226606e+09|4.896141997e+09|0.000000|0.000000|2.000000
7.720770858e+05|4.678325505e+09|4.881884350e+09|4.878093270e+09|0.000000|0.000000|2.000000
7.750402708e+05|4.647465718e+09|4.857029971e+09|4.860446033e+09|0.000000|0.000000|2.000000
7.782734259e+05|4.613481814e+09|4.829826103e+09|4.841190991e+09|0.000000|0.000000|2.000000
7.811060073e+05|4.583492018e+09|4.805934318e+09|4.824321564e+09|1.000000|1.000000|2.000000
