#R_planet
1.636649963e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
8.117657967e+04|8.345990015e+04|6.321187529e+04|6.737864163e+04|1.884049969e+06|1.898450062e+06|1.933468500e+06|1.932080125e+06|1.881655250e+06|1.982505125e+06|2.092669688e+05|2.267183125e+05|2.682945000e+05|2.625377188e+05|2.084114844e+05|3.166640000e+05|2.028467646e+03|2.035659505e+03|2.050169070e+03|2.048277038e+03|2.028297955e+03|2.068256120e+03|8.561790116e+01|9.281269725e+01|1.073208914e+02|1.054294207e+02|8.545019785e+01|1.254086435e+02|2.698487756e+03|2.726882967e+03|2.778142333e+03|2.771019554e+03|2.698861860e+03|2.843177247e+03|3.439745417e+02|3.817605056e+02|4.745998723e+02|4.388785731e+02|3.406087729e+02|5.371483732e+02|8.073245824e+09|8.289950976e+09|8.531408768e+09|8.362265600e+09|8.001491968e+09|8.723039232e+09|2.205965824e+09|2.664522240e+09|3.566528896e+09|3.060823040e+09|2.147673856e+09|3.973972736e+09|6.440609619e+03|6.476682861e+03|6.494580444e+03|6.459050781e+03|6.424485840e+03|6.493615723e+03
1.224888260e+05|1.228604634e+05|9.751548438e+04|1.051736004e+05|1.878118312e+06|1.885733562e+06|1.911389812e+06|1.908560000e+06|1.876805625e+06|1.940314500e+06|2.036181875e+05|2.140220625e+05|2.411112500e+05|2.375279531e+05|2.027741562e+05|2.722817188e+05|2.026658494e+03|2.029282582e+03|2.040993640e+03|2.038826606e+03|2.026052033e+03|2.051601179e+03|8.381284659e+01|8.643403134e+01|9.814811048e+01|9.597916069e+01|8.320432591e+01|1.087539955e+02|2.696102044e+03|2.707141365e+03|2.742224816e+03|2.739338573e+03|2.694071982e+03|2.784605164e+03|3.335163937e+02|3.564619750e+02|4.061692629e+02|3.968405530e+02|3.302213321e+02|4.634597739e+02|8.119944576e+09|8.232604416e+09|8.418534528e+09|8.306774528e+09|8.067233792e+09|8.546315264e+09|2.106804992e+09|2.497211392e+09|3.108524544e+09|2.759459840e+09|2.040923776e+09|3.477995264e+09|6.467970093e+03|6.485403320e+03|6.497523682e+03|6.474990234e+03|6.452919434e+03|6.497062012e+03
1.457907602e+05|1.454509065e+05|1.135818499e+05|1.235364436e+05|1.874993500e+06|1.885640625e+06|1.906481969e+06|1.900512500e+06|1.873328500e+06|1.927697000e+06|2.002515000e+05|2.112108750e+05|2.373684062e+05|2.283255156e+05|1.983998125e+05|2.582511562e+05|2.024772461e+03|2.029576341e+03|2.037726798e+03|2.035536695e+03|2.024591047e+03|2.046482342e+03|8.192326099e+01|8.672881262e+01|9.488146348e+01|9.268923998e+01|8.174337663e+01|1.036351033e+02|2.690365054e+03|2.709227958e+03|2.736180203e+03|2.729035840e+03|2.689244776e+03|2.768826903e+03|3.256938551e+02|3.486062664e+02|3.968124132e+02|3.784466378e+02|3.218291091e+02|4.350641666e+02|8.119553920e+09|8.306418432e+09|8.487256960e+09|8.303972352e+09|8.047577600e+09|8.560366592e+09|2.046382848e+09|2.422396672e+09|2.924144384e+09|2.564747520e+09|1.945027840e+09|3.184467200e+09|6.469786133e+03|6.490852539e+03|6.502777222e+03|6.481352051e+03|6.460491211e+03|6.502211914e+03
1.636979638e+05|1.638493075e+05|1.302993922e+05|1.429875278e+05|1.872061531e+06|1.881518688e+06|1.893643219e+06|1.893715250e+06|1.871574375e+06|1.915856000e+06|1.966010312e+05|2.091235000e+05|2.217890625e+05|2.212002812e+05|1.968482656e+05|2.455522969e+05|2.024237987e+03|2.027886737e+03|2.033330144e+03|2.032858128e+03|2.023583044e+03|2.042133212e+03|8.138764771e+01|8.503863828e+01|9.048440485e+01|9.001028297e+01|8.073510471e+01|9.928546122e+01|2.688675510e+03|2.706631334e+03|2.721274347e+03|2.718822052e+03|2.688629705e+03|2.749014399e+03|3.244168399e+02|3.495502158e+02|3.764508792e+02|3.669927507e+02|3.197135674e+02|4.142719340e+02|8.114568704e+09|8.255797760e+09|8.402668928e+09|8.261335040e+09|8.067223552e+09|8.455448576e+09|1.975156352e+09|2.344680448e+09|2.762696064e+09|2.490144768e+09|1.918659328e+09|3.061630208e+09|6.476228271e+03|6.495707764e+03|6.504804932e+03|6.484469238e+03|6.464303711e+03|6.504635742e+03
1.787206114e+05|1.783855137e+05|1.506090030e+05|1.618235153e+05|1.870077781e+06|1.880689125e+06|1.899859156e+06|1.899307000e+06|1.870720125e+06|1.927893750e+06|1.969829375e+05|2.069886875e+05|2.297210312e+05|2.268150000e+05|1.958472188e+05|2.577827656e+05|2.023732068e+03|2.027418336e+03|2.036346573e+03|2.035171807e+03|2.023603477e+03|2.046740136e+03|8.088511543e+01|8.457176100e+01|9.349738690e+01|9.232424111e+01|8.075568867e+01|1.038927935e+02|2.684074018e+03|2.704007223e+03|2.728825769e+03|2.725608499e+03|2.683981915e+03|2.767235083e+03|3.184456446e+02|3.404234145e+02|3.831539062e+02|3.736450007e+02|3.162174120e+02|4.310725895e+02|8.044394752e+09|8.226834176e+09|8.389510144e+09|8.250121728e+09|7.996783104e+09|8.503461888e+09|1.869176064e+09|2.251319808e+09|2.777530496e+09|2.476442112e+09|1.864068352e+09|3.088815872e+09|6.467134644e+03|6.492858154e+03|6.499556030e+03|6.479315430e+03|6.458363281e+03|6.500268066e+03
1.913789256e+05|1.904486229e+05|1.638181129e+05|1.719511712e+05|1.870254750e+06|1.882628250e+06|1.898304344e+06|1.898348750e+06|1.868956625e+06|1.927741000e+06|1.965880938e+05|2.084716875e+05|2.270971562e+05|2.259984375e+05|1.942989375e+05|2.576979844e+05|2.023976871e+03|2.028223635e+03|2.034481775e+03|2.034876171e+03|2.023114883e+03|2.046637459e+03|8.112970350e+01|8.537625454e+01|9.163502915e+01|9.202827982e+01|8.026674545e+01|1.037898142e+02|2.684018448e+03|2.700943003e+03|2.728725396e+03|2.723564474e+03|2.680273594e+03|2.766855355e+03|3.198128332e+02|3.418983043e+02|3.836770858e+02|3.727978090e+02|3.130379257e+02|4.325576923e+02|8.045088768e+09|8.200589568e+09|8.322016384e+09|8.225671680e+09|8.003253760e+09|8.448089600e+09|1.895342208e+09|2.289216512e+09|2.748398336e+09|2.479915008e+09|1.856960128e+09|3.102870528e+09|6.478279541e+03|6.490884277e+03|6.499055664e+03|6.478708008e+03|6.458415527e+03|6.499001953e+03
2.056569705e+05|2.055923026e+05|1.805237787e+05|1.878315075e+05|1.870726219e+06|1.878143312e+06|1.894370875e+06|1.897309500e+06|1.868421000e+06|1.926198250e+06|1.951690938e+05|2.049396875e+05|2.234199688e+05|2.249602969e+05|1.928643438e+05|2.570562812e+05|2.023300183e+03|2.027333082e+03|2.033112142e+03|2.034511108e+03|2.022754383e+03|2.046267834e+03|8.045441504e+01|8.448281604e+01|9.026869421e+01|9.166321802e+01|7.990568148e+01|1.034207546e+02|2.683047201e+03|2.697726174e+03|2.717964602e+03|2.721016873e+03|2.680065110e+03|2.761968637e+03|3.104287087e+02|3.330354838e+02|3.774518250e+02|3.718698071e+02|3.074935710e+02|4.362460432e+02|8.016018688e+09|8.189647360e+09|8.332587136e+09|8.194010624e+09|7.954270208e+09|8.433752064e+09|1.776325376e+09|2.155003136e+09|2.713990272e+09|2.482692352e+09|1.724899712e+09|3.240484864e+09|6.474276245e+03|6.489831299e+03|6.499135986e+03|6.477772949e+03|6.455620117e+03|6.499926758e+03
2.165835314e+05|2.170671423e+05|1.930124719e+05|2.010460044e+05|1.867529844e+06|1.875248188e+06|1.889025906e+06|1.884694125e+06|1.866013500e+06|1.903375000e+06|1.922119688e+05|2.006643125e+05|2.166663125e+05|2.115538750e+05|1.903094375e+05|2.327983125e+05|2.022382938e+03|2.025923703e+03|2.031510994e+03|2.029729849e+03|2.021860323e+03|2.037599376e+03|7.953655694e+01|8.307642550e+01|8.866279537e+01|8.688193263e+01|7.901165836e+01|9.475220690e+01|2.677962044e+03|2.690495326e+03|2.705285470e+03|2.701551057e+03|2.675768631e+03|2.727333484e+03|3.050621285e+02|3.285688811e+02|3.583856808e+02|3.459129277e+02|3.031847182e+02|3.886411373e+02|7.968086144e+09|8.106505984e+09|8.243152384e+09|8.088856576e+09|7.890465792e+09|8.287250432e+09|1.759459072e+09|2.036895488e+09|2.487699584e+09|2.225896960e+09|1.690158720e+09|2.761635328e+09|6.478438843e+03|6.490148682e+03|6.498862061e+03|6.482053223e+03|6.464576660e+03|6.499531250e+03
2.276602576e+05|2.275753105e+05|2.066678469e+05|2.104539978e+05|1.866515531e+06|1.875988375e+06|1.888238562e+06|1.893480375e+06|1.865731625e+06|1.921228625e+06|1.931519062e+05|2.013536875e+05|2.179799688e+05|2.210185781e+05|1.906317812e+05|2.514053438e+05|2.022275930e+03|2.026084815e+03|2.030661387e+03|2.033163936e+03|2.021953981e+03|2.044373891e+03|7.942638296e+01|8.323479499e+01|8.781338649e+01|9.031606693e+01|7.910623254e+01|1.015259013e+02|2.677182399e+03|2.687969690e+03|2.713153182e+03|2.713585691e+03|2.674643418e+03|2.752527964e+03|3.059262634e+02|3.255161368e+02|3.602978771e+02|3.638005837e+02|3.030956733e+02|4.245054941e+02|7.977356672e+09|8.095873792e+09|8.236141568e+09|8.117708800e+09|7.886050304e+09|8.349368832e+09|1.761214976e+09|2.044662528e+09|2.619736704e+09|2.390886144e+09|1.657577984e+09|3.124194560e+09|6.479755249e+03|6.490181152e+03|6.496588623e+03|6.476589355e+03|6.455146973e+03|6.498032715e+03
2.400010976e+05|2.397916705e+05|2.211520072e+05|2.280768216e+05|1.866281531e+06|1.875128875e+06|1.899143719e+06|1.900864125e+06|1.865993250e+06|1.935735375e+06|1.907665625e+05|1.996744375e+05|2.268164375e+05|2.282232812e+05|1.900445156e+05|2.664020000e+05|2.022762470e+03|2.025993599e+03|2.035541283e+03|2.036277909e+03|2.022170930e+03|2.050384887e+03|7.991650359e+01|8.314584234e+01|9.269596041e+01|9.343016333e+01|7.932298619e+01|1.075373405e+02|2.674025992e+03|2.690385012e+03|2.723800000e+03|2.722627468e+03|2.673823743e+03|2.771431192e+03|3.023579549e+02|3.186929150e+02|3.812527290e+02|3.712559485e+02|2.993516551e+02|4.431602420e+02|7.899172352e+09|8.070445056e+09|8.228969216e+09|8.106461696e+09|7.848100352e+09|8.364823040e+09|1.611358720e+09|1.978047232e+09|2.760083328e+09|2.342774272e+09|1.562508032e+09|3.123040768e+09|6.464609253e+03|6.484908936e+03|6.495656006e+03|6.469953613e+03|6.443490723e+03|6.496414551e+03
