#RRR|Lz25|Lz50|Lz75|Lzmean|Lzsum|Isum
1.744509093e+04|1.867972429e+22|3.368545079e+22|5.224724407e+22|3.521430141e+22|3.521430141e+24|1.152725416e+28
3.183382745e+04|8.508940346e+22|1.097631428e+23|1.321374055e+23|1.078041295e+23|1.078041295e+25|3.492334545e+28
4.218078303e+04|1.664864593e+23|1.801832971e+23|2.052204903e+23|1.843630236e+23|1.843630236e+25|6.082983378e+28
5.036991544e+04|2.518859079e+23|2.677511268e+23|2.823651934e+23|2.661180122e+23|2.661180122e+25|8.656419735e+28
5.648104446e+04|3.136785574e+23|3.353733469e+23|3.458191520e+23|3.312971922e+23|3.312971922e+25|1.087356105e+29
6.157711475e+04|3.802695096e+23|3.946002667e+23|4.131760972e+23|3.947955388e+23|3.947955388e+25|1.292743996e+29
6.711237985e+04|4.485122209e+23|4.745399460e+23|4.932191686e+23|4.701611387e+23|4.701611387e+25|1.534989082e+29
7.238684102e+04|5.214327073e+23|5.411268346e+23|5.678923372e+23|5.434417346e+23|5.434417346e+25|1.785486065e+29
7.742456598e+04|6.026010371e+23|6.286314426e+23|6.530570560e+23|6.278635552e+23|6.278635552e+25|2.042638573e+29
8.198964128e+04|6.766593120e+23|6.985386646e+23|7.138685657e+23|6.965289590e+23|6.965289590e+25|2.290486149e+29
8.597581577e+04|7.512278884e+23|7.638931609e+23|7.854479745e+23|7.684346966e+23|7.684346966e+25|2.518490177e+29
8.973475695e+04|8.237921307e+23|8.407117705e+23|8.611584289e+23|8.465687304e+23|8.465687304e+25|2.743791055e+29
9.320114968e+04|8.865412867e+23|9.064634577e+23|9.300433247e+23|9.090380153e+23|9.090380153e+25|2.959673353e+29
9.688971520e+04|9.529072181e+23|9.701041101e+23|9.978598916e+23|9.763877878e+23|9.763877878e+25|3.198326306e+29
1.011174599e+05|1.037679272e+24|1.060221114e+24|1.090901059e+24|1.062096330e+24|1.062096330e+26|3.483038381e+29
1.050766894e+05|1.127502716e+24|1.146305213e+24|1.166564807e+24|1.147483464e+24|1.147483464e+26|3.761328839e+29
1.082779446e+05|1.193688816e+24|1.219829490e+24|1.240545640e+24|1.224380497e+24|1.224380497e+26|3.993293546e+29
1.114284793e+05|1.275212423e+24|1.298360341e+24|1.327413121e+24|1.300979039e+24|1.300979039e+26|4.228566285e+29
1.143497487e+05|1.336157627e+24|1.352088923e+24|1.377910330e+24|1.358537779e+24|1.358537779e+26|4.453472286e+29
1.171736505e+05|1.403555361e+24|1.420488425e+24|1.445396645e+24|1.422888830e+24|1.422888830e+26|4.676006557e+29
1.197103656e+05|1.469391401e+24|1.493847091e+24|1.517665442e+24|1.492760358e+24|1.492760358e+26|4.881371536e+29
1.225624705e+05|1.542834572e+24|1.561248133e+24|1.595504492e+24|1.567467585e+24|1.567467585e+26|5.116560971e+29
1.255313061e+05|1.615925280e+24|1.639227416e+24|1.659038337e+24|1.637922102e+24|1.637922102e+26|5.368089841e+29
1.285580407e+05|1.693661098e+24|1.715823858e+24|1.742412146e+24|1.717720148e+24|1.717720148e+26|5.629777797e+29
1.312508448e+05|1.769268868e+24|1.790483878e+24|1.815085652e+24|1.795025344e+24|1.795025344e+26|5.866958621e+29
1.338039534e+05|1.845323943e+24|1.868074262e+24|1.889753721e+24|1.865732916e+24|1.865732916e+26|6.097032131e+29
1.363372531e+05|1.906603523e+24|1.935432420e+24|1.952813501e+24|1.935183249e+24|1.935183249e+26|6.331335953e+29
1.388260510e+05|1.978198752e+24|2.003886746e+24|2.025800669e+24|2.003068199e+24|2.003068199e+26|6.563971726e+29
1.415723481e+05|2.055248479e+24|2.089971216e+24|2.118460920e+24|2.091232997e+24|2.091232997e+26|6.825822101e+29
1.443606690e+05|2.146753370e+24|2.177259877e+24|2.201219427e+24|2.172004918e+24|2.172004918e+26|7.098774284e+29
1.469481717e+05|2.217940394e+24|2.246367073e+24|2.277231155e+24|2.244843122e+24|2.244843122e+26|7.354241308e+29
1.493973855e+05|2.293263122e+24|2.318908023e+24|2.350279820e+24|2.321408389e+24|2.321408389e+26|7.601274427e+29
1.516372563e+05|2.385499174e+24|2.404245012e+24|2.425587085e+24|2.403132233e+24|2.403132233e+26|7.831034609e+29
1.537288072e+05|2.430231123e+24|2.462269058e+24|2.490917155e+24|2.459793487e+24|2.459793487e+26|8.049680050e+29
1.558637686e+05|2.507974739e+24|2.528221158e+24|2.557789579e+24|2.528760089e+24|2.528760089e+26|8.275073270e+29
1.578660782e+05|2.560151239e+24|2.586654306e+24|2.631656037e+24|2.592784189e+24|2.592784189e+26|8.488283460e+29
1.600332800e+05|2.643464531e+24|2.668722352e+24|2.700924514e+24|2.670847005e+24|2.670847005e+26|8.722654731e+29
1.621158750e+05|2.714430699e+24|2.739976838e+24|2.774095694e+24|2.741710586e+24|2.741710586e+26|8.950129076e+29
1.642954358e+05|2.776717954e+24|2.805238708e+24|2.833735472e+24|2.804825932e+24|2.804825932e+26|9.192509249e+29
1.665867940e+05|2.857045549e+24|2.888126890e+24|2.912571950e+24|2.885359020e+24|2.885359020e+26|9.451102524e+29
1.691989162e+05|2.955463385e+24|2.985026460e+24|3.010082788e+24|2.981807174e+24|2.981807174e+26|9.751459594e+29
1.715962635e+05|3.033781888e+24|3.068789151e+24|3.095955125e+24|3.069166424e+24|3.069166424e+26|1.002795388e+30
