#RRR|U50|U25|U75|Umean|T50|T25|T75|Tmean|P50|P25|P75|Pmean|rho50|rho25|rho75|Pmean|S
8.027046432e+04|1.811165266e+06|1.811994606e+06|1.813212054e+06|1.812067817e+06|2.637897047e+03|2.641395502e+03|2.646536640e+03|2.641655002e+03|9.132642509e+09|9.215726299e+09|9.338718458e+09|9.222391038e+09|6.601056519e+03|6.605008301e+03|6.610811768e+03|6.605294434e+03|1.993366075e+03
1.220625878e+05|1.810501672e+06|1.812065304e+06|1.812968763e+06|1.811695877e+06|2.635099951e+03|2.641693872e+03|2.645508729e+03|2.640080539e+03|9.066570182e+09|9.222835062e+09|9.314042173e+09|9.185229912e+09|6.597888306e+03|6.605343018e+03|6.609653564e+03|6.603515137e+03|1.993366075e+03
1.450333690e+05|1.810737702e+06|1.812010463e+06|1.812964798e+06|1.811720541e+06|2.636094634e+03|2.641462425e+03|2.645491991e+03|2.640181428e+03|9.090034136e+09|9.217320637e+09|9.313642560e+09|9.187603856e+09|6.599016968e+03|6.605082520e+03|6.609631958e+03|6.603628906e+03|1.993366075e+03
1.623700501e+05|1.810001661e+06|1.811497815e+06|1.812630326e+06|1.811148507e+06|2.632993652e+03|2.639299495e+03|2.644079258e+03|2.637764051e+03|9.017023739e+09|9.165889645e+09|9.279796946e+09|9.130329603e+09|6.595510132e+03|6.602636719e+03|6.608038818e+03|6.600895508e+03|1.993366075e+03
1.773975811e+05|1.809546326e+06|1.811274568e+06|1.812496159e+06|1.811190829e+06|2.631076508e+03|2.638357948e+03|2.643512708e+03|2.637945786e+03|8.972081857e+09|9.143560135e+09|9.266247247e+09|9.134724583e+09|6.593340332e+03|6.601575684e+03|6.607395508e+03|6.601101074e+03|1.993366075e+03
1.906649828e+05|1.809332885e+06|1.810954277e+06|1.812235783e+06|1.810894812e+06|2.630178154e+03|2.637007500e+03|2.642413446e+03|2.636721012e+03|8.951073322e+09|9.111595735e+09|9.239993932e+09|9.105624950e+09|6.592322266e+03|6.600048096e+03|6.606154541e+03|6.599717285e+03|1.993366075e+03
2.037831178e+05|1.808847708e+06|1.810650547e+06|1.811858173e+06|1.810500961e+06|2.628136826e+03|2.635727305e+03|2.640819770e+03|2.635041902e+03|8.903456700e+09|9.081362491e+09|9.202019499e+09|9.065943556e+09|6.590010376e+03|6.598601562e+03|6.604356201e+03|6.597818848e+03|1.993366075e+03
2.154065312e+05|1.809519273e+06|1.810547555e+06|1.811737605e+06|1.810493734e+06|2.630962635e+03|2.635293288e+03|2.640311056e+03|2.635012112e+03|8.969417101e+09|9.071127143e+09|9.189919272e+09|9.065074737e+09|6.593209595e+03|6.598107178e+03|6.603780884e+03|6.597786133e+03|1.993366075e+03
2.263560720e+05|1.809153114e+06|1.810536331e+06|1.811653048e+06|1.810340361e+06|2.629421667e+03|2.635245993e+03|2.639954322e+03|2.634356430e+03|8.933408021e+09|9.070012088e+09|9.181440719e+09|9.049688250e+09|6.591467285e+03|6.598053467e+03|6.603379883e+03|6.597043945e+03|1.993366075e+03
2.374039881e+05|1.808891569e+06|1.810142904e+06|1.811512677e+06|1.810109368e+06|2.628321325e+03|2.633588527e+03|2.639362185e+03|2.633372819e+03|8.907753313e+09|9.030998745e+09|9.167377803e+09|9.026455162e+09|6.590219116e+03|6.596184082e+03|6.602710693e+03|6.595931152e+03|1.993366075e+03
2.475667340e+05|1.809192695e+06|1.810094062e+06|1.811344578e+06|1.810190180e+06|2.629588211e+03|2.633382809e+03|2.638653189e+03|2.633749818e+03|8.937294837e+09|9.026164424e+09|9.150558102e+09|9.035300905e+09|6.591654419e+03|6.595946045e+03|6.601909424e+03|6.596358887e+03|1.993366075e+03
2.573418090e+05|1.809214136e+06|1.810032681e+06|1.811055641e+06|1.809868231e+06|2.629678439e+03|2.633124290e+03|2.637434834e+03|2.632369286e+03|8.939402241e+09|9.020091381e+09|9.121702529e+09|9.002659229e+09|6.591756592e+03|6.595657959e+03|6.600532104e+03|6.594797363e+03|1.993366075e+03
2.669956296e+05|1.808713490e+06|1.809857129e+06|1.810861501e+06|1.809673211e+06|2.627572304e+03|2.632385015e+03|2.636616415e+03|2.631507961e+03|8.890317789e+09|9.002739847e+09|9.102352578e+09|8.982474200e+09|6.589371094e+03|6.594820312e+03|6.599608154e+03|6.593821289e+03|1.993366075e+03
2.761841931e+05|1.808625235e+06|1.809542367e+06|1.810399348e+06|1.809347273e+06|2.627193489e+03|2.631059843e+03|2.634668821e+03|2.630154878e+03|8.881419888e+09|8.971691701e+09|9.056414086e+09|8.950484554e+09|6.588944092e+03|6.593321289e+03|6.597403442e+03|6.592292480e+03|1.993366075e+03
2.848713625e+05|1.808620537e+06|1.809481664e+06|1.810391757e+06|1.809490741e+06|2.627172648e+03|2.630804331e+03|2.634636837e+03|2.630758961e+03|8.880921989e+09|8.965713386e+09|9.055661016e+09|8.964832220e+09|6.588916016e+03|6.593032227e+03|6.597365845e+03|6.592973633e+03|1.993366075e+03
2.931009402e+05|1.808042244e+06|1.809071315e+06|1.810036641e+06|1.808899254e+06|2.624608695e+03|2.629077501e+03|2.633140968e+03|2.628220350e+03|8.819881918e+09|8.925378580e+09|9.020483096e+09|8.904931815e+09|6.586015503e+03|6.591076172e+03|6.595675659e+03|6.590102539e+03|1.993366075e+03
3.019583186e+05|1.808128022e+06|1.809285714e+06|1.810172608e+06|1.809102817e+06|2.624988896e+03|2.629979644e+03|2.633713649e+03|2.629100421e+03|8.828919013e+09|8.946435829e+09|9.033941442e+09|8.925675377e+09|6.586447632e+03|6.592096191e+03|6.596323608e+03|6.591098145e+03|1.993366075e+03
3.100247103e+05|1.807903569e+06|1.808542565e+06|1.809647282e+06|1.808666830e+06|2.623994107e+03|2.626826847e+03|2.631501494e+03|2.627234685e+03|8.805284179e+09|8.872676209e+09|8.982031664e+09|8.881754170e+09|6.585320068e+03|6.588527832e+03|6.593818726e+03|6.588986816e+03|1.993366075e+03
