#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
8.027046432e+04|7.991313680e+09|8.110108015e+09|8.227418004e+09|0.000000|0.000000|0.000000
1.220625878e+05|1.245789180e+10|8.056964012e+09|8.151948118e+09|2.000000|0.000000|0.000000
1.450333690e+05|1.222248861e+10|8.019849834e+09|8.105176987e+09|2.000000|0.000000|0.000000
1.623700501e+05|1.204482333e+10|7.988056022e+09|8.067070059e+09|2.000000|0.000000|0.000000
1.773975811e+05|1.189082209e+10|7.957835089e+09|8.031950540e+09|2.000000|0.000000|0.000000
1.906649828e+05|1.175485855e+10|7.929082322e+09|7.999254888e+09|2.000000|0.000000|0.000000
2.037831178e+05|1.162042468e+10|7.898730088e+09|7.965309715e+09|2.000000|0.000000|0.000000
2.154065312e+05|1.150130863e+10|7.870229532e+09|7.933846982e+09|2.000000|0.000000|0.000000
2.263560720e+05|1.138909839e+10|7.841993669e+09|7.902986909e+09|2.000000|0.000000|0.000000
2.374039881e+05|1.127588001e+10|7.812134039e+09|7.870622658e+09|2.000000|0.000000|0.000000
2.475667340e+05|1.117173279e+10|7.783447171e+09|7.839743183e+09|2.000000|0.000000|0.000000
2.573418090e+05|1.107155841e+10|7.754748437e+09|7.809023822e+09|2.000000|0.000000|0.000000
2.669956296e+05|1.097262663e+10|7.725338271e+09|7.777692949e+09|2.000000|0.000000|0.000000
2.761841931e+05|1.087846278e+10|7.696357902e+09|7.746945454e+09|2.000000|0.000000|0.000000
2.848713625e+05|1.078943718e+10|7.668071354e+09|7.717036779e+09|2.000000|0.000000|0.000000
2.931009402e+05|1.070510096e+10|7.640477782e+09|7.687945508e+09|2.000000|0.000000|0.000000
3.019583186e+05|1.061433108e+10|7.609911569e+09|7.655805532e+09|2.000000|0.000000|0.000000
3.100247103e+05|1.053166717e+10|7.581291487e+09|7.625783582e+09|2.000000|0.000000|0.000000
3.176513005e+05|1.045351033e+10|7.553544297e+09|7.596736298e+09|2.000000|0.000000|0.000000
3.255350838e+05|1.037271779e+10|7.524158425e+09|7.566030753e+09|2.000000|0.000000|0.000000
3.335414825e+05|1.029066869e+10|7.493583771e+09|7.534139944e+09|2.000000|0.000000|0.000000
3.410691386e+05|1.021352572e+10|7.464164530e+09|7.503504686e+09|2.000000|0.000000|0.000000
3.479377648e+05|1.014313645e+10|7.436751862e+09|7.475000399e+09|2.000000|0.000000|0.000000
3.546942139e+05|1.007389676e+10|7.409257155e+09|7.446448729e+09|2.000000|0.000000|0.000000
3.615920795e+05|1.000320785e+10|7.380645062e+09|7.416775172e+09|2.000000|0.000000|0.000000
3.692874101e+05|9.924346558e+09|7.348079183e+09|7.383046975e+09|2.000000|0.000000|0.000000
3.756433196e+05|9.859211576e+09|7.320668138e+09|7.354694239e+09|2.000000|0.000000|0.000000
3.816372544e+05|9.797786090e+09|7.294392822e+09|7.327546988e+09|2.000000|0.000000|0.000000
3.879016070e+05|9.733589378e+09|7.266491118e+09|7.298751846e+09|2.000000|0.000000|0.000000
3.946438826e+05|9.664494939e+09|7.235957522e+09|7.267278520e+09|2.000000|0.000000|0.000000
4.014712486e+05|9.594528500e+09|7.204507462e+09|7.234901878e+09|2.000000|0.000000|0.000000
4.070532588e+05|9.537324391e+09|7.178397389e+09|7.208054485e+09|2.000000|0.000000|0.000000
4.128243303e+05|9.478182795e+09|7.151028146e+09|7.179943643e+09|2.000000|0.000000|0.000000
4.187683811e+05|9.417268516e+09|7.122440623e+09|7.150615998e+09|2.000000|0.000000|0.000000
4.247851906e+05|9.355608611e+09|7.093092443e+09|7.120545099e+09|2.000000|0.000000|0.000000
4.308297116e+05|9.293664720e+09|7.063193584e+09|7.089949181e+09|2.000000|0.000000|0.000000
4.369935917e+05|9.230497644e+09|7.032276087e+09|7.058353237e+09|2.000000|0.000000|0.000000
4.424974365e+05|9.174094571e+09|7.004304403e+09|7.029805552e+09|2.000000|0.000000|0.000000
4.476260020e+05|9.121537337e+09|6.977930637e+09|7.002922221e+09|2.000000|0.000000|0.000000
4.527366109e+05|9.069164121e+09|6.951352838e+09|6.975864466e+09|2.000000|0.000000|0.000000
4.585983626e+05|9.009093239e+09|6.920505051e+09|6.944502716e+09|2.000000|0.000000|0.000000
4.645668654e+05|8.947928378e+09|6.888697004e+09|6.912214281e+09|2.000000|0.000000|0.000000
4.701920487e+05|8.890281835e+09|6.858351325e+09|6.881458329e+09|2.000000|0.000000|0.000000
4.749605997e+05|8.841414008e+09|6.832348274e+09|6.855141875e+09|2.000000|0.000000|0.000000
4.798088323e+05|8.791729610e+09|6.805649179e+09|6.828158413e+09|2.000000|0.000000|0.000000
4.851625948e+05|8.736864571e+09|6.775860373e+09|6.798098039e+09|2.000000|0.000000|0.000000
4.903644265e+05|8.683556509e+09|6.746610195e+09|6.768629140e+09|2.000000|0.000000|0.000000
4.958110338e+05|8.627740002e+09|6.715660396e+09|6.737500814e+09|2.000000|0.000000|0.000000
5.013426835e+05|8.571051986e+09|6.683889728e+09|6.705604773e+09|2.000000|0.000000|0.000000
5.057239629e+05|8.526152896e+09|6.658485257e+09|6.680143170e+09|2.000000|0.000000|0.000000
5.105989903e+05|8.476193905e+09|6.629968156e+09|6.651608545e+09|2.000000|0.000000|0.000000
5.151612116e+05|8.429440534e+09|6.603043185e+09|6.624713156e+09|2.000000|0.000000|0.000000
