#RRR|Lz25|Lz50|Lz75|Lzmean|Lzsum|Isum
1.914535035e+04|2.398613467e+22|8.155095438e+22|1.471054041e+23|9.702404339e+22|9.702404339e+24|1.559682777e+28
3.597353055e+04|1.087254127e+23|2.207624024e+23|2.946513523e+23|2.358751488e+23|2.358751488e+25|5.079626849e+28
4.623903820e+04|2.594396577e+23|3.598056265e+23|5.080735809e+23|3.747431861e+23|3.747431861e+25|8.315576788e+28
5.479001092e+04|3.659253983e+23|5.217672965e+23|6.738976308e+23|5.106014310e+23|5.106014310e+25|1.165641685e+29
6.186081111e+04|5.394180160e+23|6.862375533e+23|8.081346977e+23|6.677868294e+23|6.677868294e+25|1.484869977e+29
6.836239407e+04|6.336387670e+23|8.162165171e+23|1.044541518e+24|8.250036602e+23|8.250036602e+25|1.813408661e+29
7.484018946e+04|7.496171467e+23|9.210531971e+23|1.115687324e+24|9.189643423e+23|9.189643423e+25|2.172342469e+29
8.023797517e+04|8.514037803e+23|1.065509434e+24|1.299592890e+24|1.041318595e+24|1.041318595e+26|2.496473551e+29
8.480207890e+04|8.575162734e+23|1.113051514e+24|1.487050553e+24|1.178947956e+24|1.178947956e+26|2.788155481e+29
8.978301463e+04|1.083534721e+24|1.357835895e+24|1.574609273e+24|1.344767239e+24|1.344767239e+26|3.126071468e+29
9.458949383e+04|1.252814186e+24|1.524850839e+24|1.821154235e+24|1.544735527e+24|1.544735527e+26|3.469766434e+29
9.917086896e+04|1.419419075e+24|1.734774650e+24|2.009420170e+24|1.708922418e+24|1.708922418e+26|3.813585088e+29
1.035693558e+05|1.657411968e+24|1.999886466e+24|2.192182654e+24|1.927243838e+24|1.927243838e+26|4.158120696e+29
1.075674461e+05|1.681405594e+24|1.951294095e+24|2.212496583e+24|1.936074940e+24|1.936074940e+26|4.484565566e+29
1.113992359e+05|1.845650038e+24|2.147251963e+24|2.539933486e+24|2.177301808e+24|2.177301808e+26|4.811099095e+29
1.151444832e+05|1.988261360e+24|2.268926327e+24|2.485893178e+24|2.213669944e+24|2.213669944e+26|5.141213975e+29
1.190492507e+05|2.051766792e+24|2.339783570e+24|2.719202903e+24|2.358144575e+24|2.358144575e+26|5.494893972e+29
1.226895925e+05|2.100105365e+24|2.627953119e+24|2.939340280e+24|2.562116494e+24|2.562116494e+26|5.834563113e+29
1.257959258e+05|2.292340495e+24|2.635375470e+24|2.947669084e+24|2.613536524e+24|2.613536524e+26|6.134052291e+29
1.292236039e+05|2.485957457e+24|2.848708403e+24|3.255056260e+24|2.836299185e+24|2.836299185e+26|6.475111037e+29
1.326544195e+05|2.570609965e+24|2.957620976e+24|3.320087366e+24|2.919037665e+24|2.919037665e+26|6.823213638e+29
1.355654059e+05|2.827361902e+24|3.172673472e+24|3.517997549e+24|3.169801740e+24|3.169801740e+26|7.123094671e+29
1.386300959e+05|2.973970684e+24|3.263387105e+24|3.733392375e+24|3.301472038e+24|3.301472038e+26|7.448598105e+29
1.417712781e+05|3.034436669e+24|3.394236693e+24|3.946141032e+24|3.455597813e+24|3.455597813e+26|7.792079969e+29
1.446448024e+05|3.174748059e+24|3.553013230e+24|3.965196438e+24|3.509295100e+24|3.509295100e+26|8.110385010e+29
1.477296393e+05|3.247792272e+24|3.678631578e+24|4.208848170e+24|3.662874323e+24|3.662874323e+26|8.462424780e+29
1.507326276e+05|3.546017990e+24|3.995889163e+24|4.428242839e+24|4.001363820e+24|4.001363820e+26|8.808030969e+29
