#R_planet
1.557615319e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
9.004037019e+05|9.007181453e+05|8.956939658e+05|8.966046798e+05|2.899228250e+06|2.905482125e+06|2.912322750e+06|2.905960750e+06|2.898745250e+06|2.913177000e+06|5.176350000e+04|7.658237500e+04|9.004450000e+04|7.216410156e+04|5.419726562e+04|9.013093750e+04|2.843182968e+03|2.846018988e+03|2.849039688e+03|2.846257668e+03|2.843042077e+03|2.849473258e+03|2.311812667e+01|2.604373437e+01|2.902896394e+01|2.623077301e+01|2.299933564e+01|2.946221038e+01|2.308434215e+03|2.312278363e+03|2.316804566e+03|2.312683157e+03|2.308173315e+03|2.317193000e+03|3.084859112e+01|7.339312377e+01|8.457360004e+01|6.032582906e+01|3.569909739e+01|8.495256072e+01|4.558730240e+09|4.617019648e+09|4.677421568e+09|4.621776896e+09|4.555286016e+09|4.688266752e+09|-9.347584000e+06|1.666894080e+09|2.038396992e+09|1.092049280e+09|1.550014400e+08|2.029096960e+09|3.224489014e+03|3.226730713e+03|3.229362061e+03|3.226926758e+03|3.224273682e+03|3.229580078e+03
9.034691223e+05|9.035934913e+05|8.991591216e+05|9.005725300e+05|2.897608750e+06|2.906202375e+06|2.909909500e+06|2.905346500e+06|2.896550000e+06|2.914144000e+06|5.121131250e+04|6.920312500e+04|8.718650000e+04|6.950221875e+04|5.040718359e+04|8.859724219e+04|2.842690248e+03|2.846776953e+03|2.848547482e+03|2.846380309e+03|2.842388598e+03|2.850372021e+03|2.260918512e+01|2.681223468e+01|2.853024044e+01|2.635967291e+01|2.235297785e+01|3.036636798e+01|2.306137708e+03|2.311654050e+03|2.314823973e+03|2.311547324e+03|2.306177681e+03|2.316916968e+03|2.985955057e+01|4.331734648e+01|8.347852297e+01|5.592531075e+01|2.930853549e+01|8.254208602e+01|4.509826944e+09|4.572975360e+09|4.622546304e+09|4.564471808e+09|4.492320256e+09|4.636622336e+09|-1.207813120e+08|1.001254400e+08|1.984048448e+09|8.915491200e+08|-1.158215040e+08|1.898919680e+09|3.222155151e+03|3.225036865e+03|3.227488098e+03|3.224779053e+03|3.221677490e+03|3.227881348e+03
9.051026766e+05|9.050656379e+05|9.009693016e+05|9.018531535e+05|2.899093125e+06|2.906357000e+06|2.916802062e+06|2.911547500e+06|2.898162500e+06|2.924932250e+06|5.357925000e+04|7.494625000e+04|9.084787500e+04|7.466910938e+04|5.454173047e+04|9.479649219e+04|2.843722186e+03|2.847032820e+03|2.851705176e+03|2.849085951e+03|2.843180899e+03|2.854991003e+03|2.368155418e+01|2.701121587e+01|3.171522837e+01|2.905440410e+01|2.314129208e+01|3.496751612e+01|2.307347292e+03|2.312305032e+03|2.318859931e+03|2.315416067e+03|2.307000753e+03|2.323831381e+03|3.114149229e+01|5.256125209e+01|7.997879696e+01|5.766242020e+01|3.307267970e+01|8.225216071e+01|4.539359616e+09|4.581703168e+09|4.634945792e+09|4.576089600e+09|4.509566464e+09|4.642612224e+09|-8.317900800e+07|1.158241280e+08|1.873572672e+09|8.147083520e+08|-9.169215200e+07|1.721108736e+09|3.223428772e+03|3.225071045e+03|3.227290649e+03|3.224567383e+03|3.221969482e+03|3.227165039e+03
9.063465122e+05|9.063537378e+05|9.021070663e+05|9.027243456e+05|2.901202688e+06|2.912442375e+06|2.923983250e+06|2.914705250e+06|2.900538500e+06|2.928871750e+06|5.957743750e+04|7.931537500e+04|9.753337500e+04|8.027896875e+04|5.999744531e+04|1.005604766e+05|2.845569352e+03|2.849901661e+03|2.855110349e+03|2.850797272e+03|2.844510902e+03|2.857083642e+03|2.557407170e+01|2.985409697e+01|3.511880702e+01|3.077218200e+01|2.447567982e+01|3.706868419e+01|2.307965530e+03|2.315356161e+03|2.322416069e+03|2.316815577e+03|2.308038868e+03|2.325592285e+03|3.571961658e+01|7.049226188e+01|8.674016088e+01|6.335920713e+01|3.798957374e+01|8.872884051e+01|4.480653440e+09|4.531640064e+09|4.587787264e+09|4.535795712e+09|4.473156096e+09|4.598435840e+09|-9.050419200e+07|1.478313984e+09|1.920927168e+09|9.587120000e+08|6.345758500e+06|1.911078272e+09|3.220398682e+03|3.222531128e+03|3.224834534e+03|3.222673096e+03|3.219992432e+03|3.225353516e+03
9.072939902e+05|9.072580367e+05|9.024658957e+05|9.033903033e+05|2.901203125e+06|2.912213875e+06|2.925574938e+06|2.919056750e+06|2.900856000e+06|2.937258000e+06|5.510156250e+04|8.286425000e+04|1.003516250e+05|8.378853906e+04|5.793448438e+04|1.096426172e+05|2.845408572e+03|2.850184980e+03|2.855969109e+03|2.853009905e+03|2.844914853e+03|2.861104957e+03|2.536410753e+01|3.015644490e+01|3.598269895e+01|3.299257516e+01|2.489461414e+01|4.109053618e+01|2.307898141e+03|2.315164979e+03|2.323361707e+03|2.318779844e+03|2.307728824e+03|2.329830865e+03|3.208511669e+01|7.214026481e+01|8.795004831e+01|6.386704200e+01|3.505128945e+01|9.268279455e+01|4.451582336e+09|4.501368576e+09|4.551404416e+09|4.498457088e+09|4.436288000e+09|4.560627200e+09|-1.421401600e+08|1.297210880e+09|1.879401344e+09|8.582036480e+08|-1.259627440e+08|1.842370176e+09|3.218699402e+03|3.221268311e+03|3.223085327e+03|3.220740967e+03|3.218002441e+03|3.223479004e+03
9.083309288e+05|9.083683333e+05|9.034982595e+05|9.039283321e+05|2.898248125e+06|2.907733625e+06|2.927772688e+06|2.916506000e+06|2.898023750e+06|2.934988250e+06|5.377081250e+04|7.141137500e+04|1.042766250e+05|8.086542969e+04|5.358017969e+04|1.081507031e+05|2.844348531e+03|2.848330125e+03|2.856757299e+03|2.852164939e+03|2.843953124e+03|2.860376755e+03|2.428214887e+01|2.830882846e+01|3.675712740e+01|3.214154490e+01|2.392278101e+01|4.036030879e+01|2.305060917e+03|2.311973082e+03|2.323030501e+03|2.316702832e+03|2.305416892e+03|2.327988772e+03|2.934958488e+01|5.724589292e+01|8.936673413e+01|6.124211114e+01|3.032571960e+01|9.215850267e+01|4.391767296e+09|4.455916544e+09|4.516356864e+09|4.454931968e+09|4.383387648e+09|4.526476288e+09|-1.881990400e+08|1.022039040e+08|1.870467584e+09|7.906574080e+08|-2.227644000e+08|1.804079232e+09|3.217141235e+03|3.219441528e+03|3.221855286e+03|3.219345947e+03|3.216369141e+03|3.222322510e+03
9.095151352e+05|9.095567211e+05|9.052092326e+05|9.061094359e+05|2.907368625e+06|2.921567500e+06|2.943028312e+06|2.931740250e+06|2.905565000e+06|2.957914250e+06|6.629087500e+04|8.940162500e+04|1.152214375e+05|9.705979688e+04|6.451540625e+04|1.296041797e+05|2.848515087e+03|2.854567175e+03|2.864035290e+03|2.859116200e+03|2.847494721e+03|2.870737678e+03|2.851906053e+01|3.448981796e+01|4.400527298e+01|3.910281081e+01|2.747097703e+01|5.073464459e+01|2.310065536e+03|2.319539446e+03|2.332950783e+03|2.325123941e+03|2.309710262e+03|2.340537619e+03|3.870647871e+01|7.204767198e+01|9.894096009e+01|7.151381849e+01|3.987745344e+01|1.031501835e+02|4.382626048e+09|4.438584832e+09|4.502708096e+09|4.439955456e+09|4.371677696e+09|4.508232192e+09|-2.518370560e+08|1.343806976e+09|1.921427072e+09|8.533212160e+08|-1.857787040e+08|1.892421248e+09|3.214862671e+03|3.217601440e+03|3.219429932e+03|3.217052734e+03|3.213903076e+03|3.220202148e+03
9.227638733e+05|9.113198071e+05|9.186121845e+05|9.103019498e+05|2.886845125e+06|2.911379000e+06|2.941255250e+06|2.918038500e+06|2.886237000e+06|2.949840750e+06|5.373025000e+04|7.617475000e+04|1.001141250e+05|8.514057812e+04|5.514419531e+04|1.151369609e+05|2.844921832e+03|2.851110150e+03|2.864000903e+03|2.856334443e+03|2.845055461e+03|2.867613426e+03|2.487229679e+01|3.108399739e+01|4.402049251e+01|3.631275657e+01|2.503739086e+01|4.758812228e+01|2.271297601e+03|2.312482438e+03|2.331269692e+03|2.308159749e+03|2.281035471e+03|2.335284026e+03|3.382497543e+01|4.632944077e+01|7.758331070e+01|5.751987711e+01|3.076396889e+01|8.427578532e+01|2.698291328e+09|4.363809280e+09|4.424224640e+09|3.877333248e+09|3.308201472e+09|4.446464000e+09|-2.981543040e+08|-4.922112000e+06|1.530042176e+09|4.199816000e+08|-3.661831040e+08|1.206146304e+09|3.152765808e+03|3.212971680e+03|3.218078125e+03|3.196165527e+03|3.173998047e+03|3.218333496e+03
9.549659074e+05|9.550731444e+05|9.514188400e+05|9.524733064e+05|2.877635562e+06|2.883861000e+06|2.889977812e+06|2.883192250e+06|2.874020500e+06|2.892364500e+06|5.034300000e+04|6.291275000e+04|6.835200000e+04|6.063463672e+04|4.975801953e+04|7.151124219e+04|2.845856174e+03|2.848502839e+03|2.851512892e+03|2.848219238e+03|2.844041512e+03|2.852396964e+03|2.583913820e+01|2.852526503e+01|3.145714710e+01|2.821795189e+01|2.403698506e+01|3.239891873e+01|2.263096167e+03|2.268200992e+03|2.270827259e+03|2.267005647e+03|2.261916164e+03|2.272095131e+03|3.097448618e+01|3.899084977e+01|4.531289009e+01|3.528355947e+01|2.388719435e+01|4.667992459e+01|2.557080960e+09|2.618493952e+09|2.665642112e+09|2.612151808e+09|2.552369920e+09|2.671933184e+09|-1.593344640e+08|9.555916800e+07|3.081086080e+08|-3.968250400e+07|-4.542523520e+08|3.748873280e+08|3.147086792e+03|3.149614624e+03|3.151826233e+03|3.149504150e+03|3.146764648e+03|3.152243652e+03
9.576346469e+05|9.576197158e+05|9.534036815e+05|9.542918621e+05|2.874064875e+06|2.883223000e+06|2.892882438e+06|2.884720250e+06|2.870587000e+06|2.898855000e+06|4.631906250e+04|6.103737500e+04|7.106325000e+04|6.041458984e+04|4.607807422e+04|7.475110938e+04|2.844521750e+03|2.848329131e+03|2.852409252e+03|2.848918472e+03|2.842549695e+03|2.855287248e+03|2.456194533e+01|2.830675281e+01|3.233943161e+01|2.890967854e+01|2.255210478e+01|3.526725231e+01|2.260386082e+03|2.267494871e+03|2.273290889e+03|2.267072723e+03|2.259624608e+03|2.274520839e+03|2.513124246e+01|3.345779748e+01|4.221036003e+01|3.149244879e+01|1.953558329e+01|4.344931428e+01|2.557820160e+09|2.596373248e+09|2.665307840e+09|2.610138112e+09|2.543780864e+09|2.676495360e+09|-2.690897920e+08|-3.615731200e+07|1.721093760e+08|-2.008393760e+08|-6.194012800e+08|2.177225120e+08|3.147265259e+03|3.149604614e+03|3.152071472e+03|3.149203369e+03|3.146150391e+03|3.152256592e+03
9.594862096e+05|9.595255503e+05|9.550258378e+05|9.555073423e+05|2.877636938e+06|2.888457625e+06|2.895044438e+06|2.892143000e+06|2.873829000e+06|2.910457000e+06|4.641118750e+04|6.429750000e+04|7.540225000e+04|6.848716406e+04|4.781451953e+04|8.915979688e+04|2.845396776e+03|2.850528717e+03|2.853260950e+03|2.852143910e+03|2.843759429e+03|2.860528392e+03|2.535489159e+01|3.046292323e+01|3.324397862e+01|3.211632057e+01|2.373823755e+01|4.049440359e+01|2.264643940e+03|2.269917374e+03|2.274349214e+03|2.269365117e+03|2.262296172e+03|2.276434061e+03|2.800710883e+01|3.717056365e+01|4.655782777e+01|3.561242735e+01|2.124405508e+01|4.998079962e+01|2.573315136e+09|2.623665664e+09|2.688198016e+09|2.642979072e+09|2.566576128e+09|2.719382528e+09|-2.523390720e+08|-4.350579200e+07|2.483107200e+08|-1.007378720e+08|-5.716066560e+08|3.701308160e+08|3.146960999e+03|3.149658325e+03|3.152662659e+03|3.149318115e+03|3.145342529e+03|3.153294434e+03
9.612279293e+05|9.612203971e+05|9.574055856e+05|9.585908456e+05|2.879184750e+06|2.889703625e+06|2.900389375e+06|2.901254500e+06|2.875897500e+06|2.926611500e+06|4.856906250e+04|6.694125000e+04|7.785587500e+04|7.704291406e+04|4.976267578e+04|1.043231484e+05|2.846264786e+03|2.850632639e+03|2.855901449e+03|2.856251914e+03|2.844745015e+03|2.867758814e+03|2.620067954e+01|3.066050824e+01|3.594179856e+01|3.624300705e+01|2.474854569e+01|4.773746842e+01|2.265054821e+03|2.271299247e+03|2.276007095e+03|2.271618122e+03|2.263546845e+03|2.279689399e+03|2.892796478e+01|4.110688414e+01|4.766581276e+01|3.719052667e+01|2.173015736e+01|5.265089598e+01|2.588104704e+09|2.638662272e+09|2.692920128e+09|2.652088320e+09|2.573627648e+09|2.730549504e+09|-1.704670720e+08|1.166357760e+08|2.578508800e+08|-1.239674160e+08|-6.220229760e+08|3.740881600e+08|3.147429504e+03|3.150264648e+03|3.152198486e+03|3.148251465e+03|3.143706299e+03|3.152796143e+03
9.626037546e+05|9.625794624e+05|9.586444066e+05|9.596728066e+05|2.880312250e+06|2.892896625e+06|2.905733938e+06|2.896257000e+06|2.876761500e+06|2.915753000e+06|5.315650000e+04|6.866125000e+04|7.996312500e+04|7.197432812e+04|5.211705859e+04|9.183160156e+04|2.846244820e+03|2.852427885e+03|2.858327285e+03|2.854007394e+03|2.845087973e+03|2.862926816e+03|2.625466997e+01|3.244358805e+01|3.832302546e+01|3.400795134e+01|2.509519713e+01|4.292070556e+01|2.266095666e+03|2.273728757e+03|2.278253268e+03|2.272298814e+03|2.264089441e+03|2.280508187e+03|2.873289788e+01|4.116225110e+01|4.796377483e+01|3.696104662e+01|2.376303691e+01|5.015905633e+01|2.587351296e+09|2.653873408e+09|2.693799872e+09|2.644256512e+09|2.574554112e+09|2.713958656e+09|-1.825831040e+08|5.644134400e+07|2.022613760e+08|-1.583897120e+08|-5.872988800e+08|2.705194240e+08|3.146054749e+03|3.149949097e+03|3.152739319e+03|3.149050293e+03|3.144862549e+03|3.153238037e+03
9.641490504e+05|9.641253908e+05|9.591383122e+05|9.598957894e+05|2.885647375e+06|2.894130375e+06|2.904835875e+06|2.904484750e+06|2.882336000e+06|2.926633000e+06|6.153287500e+04|7.166450000e+04|7.883581250e+04|7.919186719e+04|5.763163672e+04|1.007521016e+05|2.848827974e+03|2.852868233e+03|2.857728030e+03|2.857622257e+03|2.847554425e+03|2.867690089e+03|2.883189532e+01|3.290346742e+01|3.774946610e+01|3.761603256e+01|2.755210281e+01|4.767996230e+01|2.269538670e+03|2.274054211e+03|2.278832559e+03|2.274801620e+03|2.267634522e+03|2.281968718e+03|3.223810263e+01|4.243997711e+01|4.790796622e+01|3.816050335e+01|2.405395189e+01|5.226705481e+01|2.619315328e+09|2.661296640e+09|2.710450432e+09|2.673017600e+09|2.601406720e+09|2.744628480e+09|-2.675417600e+08|7.924377600e+07|2.690768000e+08|-1.888939040e+08|-7.607831680e+08|3.829952960e+08|3.147832886e+03|3.150114380e+03|3.152492615e+03|3.148861816e+03|3.144525635e+03|3.153197754e+03
9.660609943e+05|9.660088498e+05|9.613833611e+05|9.623465753e+05|2.883699188e+06|2.894015625e+06|2.913654938e+06|2.902811000e+06|2.879905500e+06|2.925716750e+06|5.789612500e+04|7.071162500e+04|8.791050000e+04|7.734121875e+04|5.421394141e+04|1.004684922e+05|2.848381174e+03|2.853257977e+03|2.861411238e+03|2.856847494e+03|2.846368530e+03|2.867326458e+03|2.840242117e+01|3.321063646e+01|4.138112198e+01|3.683922653e+01|2.636015070e+01|4.731830237e+01|2.267231689e+03|2.275078976e+03|2.281254533e+03|2.274887120e+03|2.266173559e+03|2.283600681e+03|3.207512214e+01|4.060806285e+01|4.985041938e+01|3.786305799e+01|2.252665720e+01|5.319945878e+01|2.602624064e+09|2.693576960e+09|2.744038336e+09|2.674831104e+09|2.591172096e+09|2.758490112e+09|-2.522072320e+08|4.307609600e+07|2.942412800e+08|-2.028644960e+08|-7.770240000e+08|3.712949760e+08|3.146462036e+03|3.150226562e+03|3.153895691e+03|3.149317383e+03|3.144206055e+03|3.154429688e+03
