#R_planet
1.566456537e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
8.376312868e+04|8.935016156e+04|6.581424945e+04|6.817408183e+04|1.732688438e+06|1.735079750e+06|1.737045500e+06|1.735062750e+06|1.732358125e+06|1.737767875e+06|4.606268750e+04|4.750287500e+04|5.111584375e+04|4.834242969e+04|4.514994922e+04|5.153492188e+04|1.963430364e+03|1.964549137e+03|1.965592232e+03|1.964579386e+03|1.963441885e+03|1.965716887e+03|2.057958263e+01|2.169936975e+01|2.274466779e+01|2.173035416e+01|2.059271218e+01|2.286799614e+01|2.494854201e+03|2.498090238e+03|2.501255077e+03|2.497957387e+03|2.492938396e+03|2.502976377e+03|6.285268551e+01|6.899372095e+01|7.510816921e+01|7.026395106e+01|6.140998220e+01|7.911791993e+01|7.767774720e+09|7.814555392e+09|7.871334144e+09|7.821557760e+09|7.745042432e+09|7.898075136e+09|3.553408000e+07|1.766991360e+08|3.301390080e+08|1.919772480e+08|-3.508244500e+06|3.874627200e+08|6.587027954e+03|6.590367188e+03|6.592015503e+03|6.589770508e+03|6.585737305e+03|6.593803223e+03
1.273716912e+05|1.284829860e+05|1.006586559e+05|1.081362532e+05|1.732557125e+06|1.734691938e+06|1.736934500e+06|1.734888000e+06|1.732304625e+06|1.737471500e+06|4.576378125e+04|4.832337500e+04|5.155996875e+04|4.870980078e+04|4.523698828e+04|5.218260156e+04|1.963725906e+03|1.964675824e+03|1.965730327e+03|1.964796966e+03|1.963648612e+03|1.965945320e+03|2.087819558e+01|2.182733810e+01|2.288068485e+01|2.194784578e+01|2.079946888e+01|2.309622268e+01|2.491284065e+03|2.495236395e+03|2.499693866e+03|2.495512224e+03|2.489818524e+03|2.501205923e+03|6.079175844e+01|7.057568581e+01|8.018801411e+01|7.040058347e+01|5.936658770e+01|8.143457923e+01|7.701630080e+09|7.749352704e+09|7.807630720e+09|7.747373568e+09|7.644523520e+09|7.850223616e+09|-6.154995200e+07|2.315425280e+08|3.637294080e+08|1.821076480e+08|-7.133853600e+07|4.355538560e+08|6.582656982e+03|6.586372070e+03|6.588646973e+03|6.585729980e+03|6.580228027e+03|6.591230469e+03
1.514969707e+05|1.524979975e+05|1.194759277e+05|1.316240525e+05|1.732151094e+06|1.734175125e+06|1.737884625e+06|1.735007250e+06|1.731481750e+06|1.738532625e+06|4.556331250e+04|4.871037500e+04|5.157209375e+04|4.911685938e+04|4.470266016e+04|5.353105859e+04|1.963583035e+03|1.964578961e+03|1.966272900e+03|1.964913893e+03|1.963451169e+03|1.966376617e+03|2.073536275e+01|2.172906231e+01|2.342310070e+01|2.206456376e+01|2.060169342e+01|2.352743411e+01|2.489369373e+03|2.493860728e+03|2.500480624e+03|2.495208127e+03|2.488376738e+03|2.502039517e+03|5.859268141e+01|7.067218258e+01|8.223861310e+01|7.152350250e+01|5.866593616e+01|8.438106883e+01|7.675589376e+09|7.726210304e+09|7.787298688e+09|7.731723776e+09|7.631235072e+09|7.832210432e+09|-5.209049600e+07|1.912675840e+08|4.473655040e+08|2.017830080e+08|-7.020792800e+07|4.737739840e+08|6.581772095e+03|6.585067383e+03|6.588349609e+03|6.584749512e+03|6.579615234e+03|6.589882324e+03
1.698549285e+05|1.697643188e+05|1.390838603e+05|1.500664584e+05|1.731430812e+06|1.734082812e+06|1.736659094e+06|1.734514750e+06|1.731171000e+06|1.737858250e+06|4.531421875e+04|4.852587500e+04|5.192643750e+04|4.882723047e+04|4.460405859e+04|5.305040625e+04|1.963600107e+03|1.964623844e+03|1.965918705e+03|1.964906700e+03|1.963542196e+03|1.966271204e+03|2.075186545e+01|2.177401616e+01|2.306916420e+01|2.205730949e+01|2.069276893e+01|2.342185005e+01|2.487782420e+03|2.491241044e+03|2.496813638e+03|2.492924150e+03|2.486665718e+03|2.499182582e+03|5.955714751e+01|7.036966040e+01|8.144813356e+01|7.021084051e+01|5.740069683e+01|8.302098419e+01|7.627337600e+09|7.669805312e+09|7.705810688e+09|7.677112320e+09|7.591636992e+09|7.762589184e+09|-8.535948800e+07|2.161323520e+08|4.602241280e+08|1.713446080e+08|-1.156358960e+08|4.583251520e+08|6.578122192e+03|6.582264160e+03|6.585220947e+03|6.582074219e+03|6.577136230e+03|6.587013184e+03
1.873759227e+05|1.876091239e+05|1.629798052e+05|1.700721474e+05|1.731734656e+06|1.734252812e+06|1.737928031e+06|1.734860000e+06|1.731203875e+06|1.738516125e+06|4.481962500e+04|4.827300000e+04|5.300284375e+04|4.939770312e+04|4.433364844e+04|5.446176953e+04|1.963873372e+03|1.965089612e+03|1.966394631e+03|1.965288325e+03|1.963720408e+03|1.966856241e+03|2.102683850e+01|2.224102844e+01|2.354527158e+01|2.243914842e+01|2.087135283e+01|2.400694401e+01|2.486171941e+03|2.491841118e+03|2.497549420e+03|2.491688062e+03|2.484357864e+03|2.499018259e+03|5.682369491e+01|6.775814866e+01|8.525467977e+01|7.008052935e+01|5.511774514e+01|8.504331356e+01|7.579903872e+09|7.635636736e+09|7.693976960e+09|7.620847104e+09|7.507534848e+09|7.734159360e+09|-1.255019520e+08|1.212190720e+08|4.451022080e+08|1.424709760e+08|-1.792377600e+08|4.641796800e+08|6.574686646e+03|6.579456055e+03|6.583094116e+03|6.578613281e+03|6.572056641e+03|6.585167480e+03
2.020770232e+05|2.023798019e+05|1.810150889e+05|1.864727174e+05|1.731559500e+06|1.734588188e+06|1.738220562e+06|1.734983500e+06|1.731023000e+06|1.738943875e+06|4.552287500e+04|4.937262500e+04|5.498968750e+04|5.006950391e+04|4.493216016e+04|5.520683984e+04|1.963898288e+03|1.965551888e+03|1.966816445e+03|1.965509150e+03|1.963825689e+03|1.967192611e+03|2.104804916e+01|2.270218534e+01|2.396736067e+01|2.265981239e+01|2.097629916e+01|2.434332563e+01|2.485702277e+03|2.490605521e+03|2.497508301e+03|2.490605995e+03|2.483104615e+03|2.498107374e+03|5.885832472e+01|7.085926135e+01|8.466892750e+01|7.157593872e+01|5.717950515e+01|8.597237229e+01|7.547883776e+09|7.601558784e+09|7.643383040e+09|7.579463168e+09|7.473381888e+09|7.685546496e+09|-5.178931200e+07|2.144629760e+08|4.140741120e+08|1.654162720e+08|-1.297574000e+08|4.605899520e+08|6.573861816e+03|6.577229004e+03|6.580748779e+03|6.576173828e+03|6.570020020e+03|6.582327637e+03
2.164108471e+05|2.166454599e+05|1.934127227e+05|1.996705027e+05|1.731910281e+06|1.733808688e+06|1.737421969e+06|1.734591250e+06|1.730929250e+06|1.738253125e+06|4.523200000e+04|4.894375000e+04|5.343850000e+04|4.956669141e+04|4.445953906e+04|5.467383984e+04|1.963900689e+03|1.965175140e+03|1.966363679e+03|1.965276018e+03|1.963742579e+03|1.966809458e+03|2.105303305e+01|2.232601527e+01|2.351430903e+01|2.242705328e+01|2.089360774e+01|2.396049882e+01|2.484098527e+03|2.490074587e+03|2.496371237e+03|2.490505814e+03|2.483042701e+03|2.497968928e+03|5.716885115e+01|6.855371106e+01|8.536848035e+01|7.103924801e+01|5.535025348e+01|8.672824255e+01|7.525654272e+09|7.568551168e+09|7.678227200e+09|7.593115136e+09|7.480749056e+09|7.705481728e+09|-1.112642560e+08|1.302832640e+08|4.885536000e+08|1.678282880e+08|-1.619067040e+08|4.975632640e+08|6.572567993e+03|6.577321533e+03|6.581171997e+03|6.577269531e+03|6.571218750e+03|6.583320801e+03
2.298696800e+05|2.298871275e+05|2.105766331e+05|2.173346631e+05|1.731485750e+06|1.734260688e+06|1.738825250e+06|1.735115500e+06|1.731179000e+06|1.739052500e+06|4.593865625e+04|4.945356250e+04|5.506462500e+04|5.067943359e+04|4.527691016e+04|5.608196094e+04|1.964247606e+03|1.965653295e+03|1.967359586e+03|1.965786074e+03|1.964127785e+03|1.967444362e+03|2.139725543e+01|2.280455219e+01|2.451023669e+01|2.293722552e+01|2.127901802e+01|2.459543302e+01|2.482249947e+03|2.488680403e+03|2.495464909e+03|2.489176207e+03|2.482081110e+03|2.496271303e+03|5.589891506e+01|7.238158802e+01|8.625932399e+01|7.258081846e+01|5.561614607e+01|8.954549085e+01|7.485434112e+09|7.527408384e+09|7.567388288e+09|7.525698560e+09|7.428890112e+09|7.622506496e+09|-1.877491200e+08|1.614266880e+08|4.652625920e+08|1.716345280e+08|-1.959949440e+08|5.392640640e+08|6.569470581e+03|6.573320801e+03|6.576757324e+03|6.573031250e+03|6.567327637e+03|6.578734863e+03
2.417387249e+05|2.418484547e+05|2.238577893e+05|2.298283770e+05|1.731875562e+06|1.734318625e+06|1.738449156e+06|1.735339875e+06|1.731316375e+06|1.739363000e+06|4.617887500e+04|4.931787500e+04|5.565356250e+04|5.118987109e+04|4.554602344e+04|5.683371094e+04|1.964499213e+03|1.965471984e+03|1.967476667e+03|1.966010041e+03|1.964196252e+03|1.967823831e+03|2.164927667e+01|2.262211586e+01|2.463030422e+01|2.316081951e+01|2.134688241e+01|2.497475661e+01|2.482753733e+03|2.489225859e+03|2.492725816e+03|2.488564805e+03|2.481951512e+03|2.495178098e+03|5.882550971e+01|7.148169740e+01|8.830531214e+01|7.333389740e+01|5.722916664e+01|8.943862816e+01|7.457371008e+09|7.495962112e+09|7.535401344e+09|7.495404032e+09|7.418331648e+09|7.572475904e+09|-1.107056640e+08|2.052413440e+08|4.460634880e+08|1.753407360e+08|-1.609374720e+08|5.116189120e+08|6.567187134e+03|6.571420410e+03|6.575430298e+03|6.571136719e+03|6.565806152e+03|6.576467285e+03
2.546894720e+05|2.543904026e+05|2.377704945e+05|2.418540841e+05|1.730818312e+06|1.733715062e+06|1.737268500e+06|1.734514375e+06|1.730405000e+06|1.738623625e+06|4.537412500e+04|4.934081250e+04|5.490475000e+04|5.071601953e+04|4.483485547e+04|5.659719922e+04|1.964236686e+03|1.965342282e+03|1.967338322e+03|1.965850450e+03|1.964059553e+03|1.967641347e+03|2.138956671e+01|2.249178043e+01|2.448795433e+01|2.300143172e+01|2.121033109e+01|2.479253235e+01|2.479292014e+03|2.485750678e+03|2.490970659e+03|2.485766446e+03|2.478546877e+03|2.492986015e+03|5.768343905e+01|6.960630992e+01|8.330515404e+01|7.226037386e+01|5.464202572e+01|8.987872200e+01|7.404795136e+09|7.445179136e+09|7.493306112e+09|7.439214080e+09|7.342484992e+09|7.535945216e+09|-1.873318400e+08|1.296128000e+08|4.149656320e+08|1.619159520e+08|-2.043876000e+08|5.282195200e+08|6.564732178e+03|6.569526855e+03|6.572592041e+03|6.568640137e+03|6.563060059e+03|6.574221191e+03
