#R_planet
1.831394596e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
1.003020900e+06|1.010489732e+06|9.962266229e+05|1.002432769e+06|3.078118000e+06|3.108975375e+06|3.162960312e+06|3.165289000e+06|3.074270750e+06|3.256307000e+06|2.607236250e+05|2.905726250e+05|3.471775000e+05|3.476434688e+05|2.558735625e+05|4.394133750e+05|2.916806003e+03|2.928872506e+03|2.956234774e+03|2.946361020e+03|2.915527915e+03|2.977194124e+03|9.680292049e+01|1.088537956e+02|1.361590102e+02|1.263245190e+02|9.548762652e+01|1.571614115e+02|2.393343494e+03|2.399887579e+03|2.434210203e+03|2.436850788e+03|2.392307404e+03|2.481394171e+03|1.709338347e+02|1.858237507e+02|2.220981479e+02|2.201522046e+02|1.684455635e+02|2.718588458e+02|4.841943168e+09|4.996468224e+09|5.943417984e+09|6.115239936e+09|4.819684352e+09|7.410798592e+09|2.578013056e+09|3.101337728e+09|4.530959872e+09|4.036267776e+09|2.435200512e+09|5.637336064e+09|3.207482483e+03|3.218087158e+03|3.256543640e+03|3.247579590e+03|3.203977783e+03|3.291181641e+03
1.020025189e+06|1.020107487e+06|1.014039421e+06|1.015265221e+06|3.083535875e+06|3.103404750e+06|3.125941250e+06|3.111754250e+06|3.081752250e+06|3.141756500e+06|2.533727500e+05|2.790466250e+05|2.979605000e+05|2.847029375e+05|2.524390000e+05|3.169668750e+05|2.924542571e+03|2.932956748e+03|2.943136418e+03|2.936723972e+03|2.922968832e+03|2.950479112e+03|1.045838644e+02|1.129452821e+02|1.231281609e+02|1.167017664e+02|1.029594943e+02|1.304440385e+02|2.391248127e+03|2.394863928e+03|2.399994356e+03|2.396489924e+03|2.390927866e+03|2.402051981e+03|1.530754256e+02|1.620821883e+02|1.712005629e+02|1.573921285e+02|1.402223931e+02|1.745618639e+02|4.777063680e+09|4.874389504e+09|4.992493952e+09|4.912347648e+09|4.775374848e+09|5.049320960e+09|1.839204544e+09|2.228482816e+09|2.528670208e+09|1.934612096e+09|1.231932160e+09|2.637292288e+09|3.203468384e+03|3.209544434e+03|3.214920288e+03|3.209340332e+03|3.200978760e+03|3.217701172e+03
1.022649416e+06|1.022475059e+06|1.017252481e+06|1.018464977e+06|3.081756500e+06|3.097580125e+06|3.122926875e+06|3.105654000e+06|3.075598000e+06|3.135710000e+06|2.551028750e+05|2.757177500e+05|2.983868750e+05|2.828482188e+05|2.519598750e+05|3.137365625e+05|2.923860319e+03|2.930781485e+03|2.942206685e+03|2.934202288e+03|2.920975384e+03|2.947429191e+03|1.038487768e+02|1.107720980e+02|1.221487936e+02|1.141890985e+02|1.009660168e+02|1.274121803e+02|2.387966481e+03|2.392286962e+03|2.397532095e+03|2.394919794e+03|2.387538631e+03|2.402300957e+03|1.558063518e+02|1.671852959e+02|1.751481106e+02|1.644371721e+02|1.470174988e+02|1.818568455e+02|4.711092736e+09|4.811841536e+09|4.927211392e+09|4.876841472e+09|4.696673280e+09|5.057009664e+09|2.008092480e+09|2.436742144e+09|2.749416448e+09|2.265860864e+09|1.591737088e+09|2.939984896e+09|3.200948914e+03|3.208570068e+03|3.214594849e+03|3.208979492e+03|3.199804443e+03|3.218154053e+03
1.025970752e+06|1.026000533e+06|1.020915236e+06|1.022375079e+06|3.084154938e+06|3.106483125e+06|3.144525500e+06|3.120981750e+06|3.076928000e+06|3.165035500e+06|2.561053750e+05|2.850712500e+05|3.242528125e+05|2.992972500e+05|2.532249531e+05|3.453695625e+05|2.924745106e+03|2.934679950e+03|2.952397828e+03|2.941230659e+03|2.922078016e+03|2.960383301e+03|1.047119464e+02|1.146960444e+02|1.323484697e+02|1.212166279e+02|1.020631478e+02|1.403701080e+02|2.386914847e+03|2.390771818e+03|2.396709938e+03|2.394676068e+03|2.386241986e+03|2.403110150e+03|1.555429622e+02|1.678190285e+02|1.817979292e+02|1.668351821e+02|1.479320579e+02|1.857383062e+02|4.682210048e+09|4.780695296e+09|4.914050432e+09|4.872213504e+09|4.668308480e+09|5.076119552e+09|2.043990976e+09|2.552721536e+09|2.904000320e+09|2.369496576e+09|1.671893120e+09|3.067099648e+09|3.199084106e+03|3.205343140e+03|3.213832642e+03|3.205745850e+03|3.194576660e+03|3.216915283e+03
1.028909866e+06|1.028883960e+06|1.023411471e+06|1.025341095e+06|3.080420750e+06|3.111081125e+06|3.131287500e+06|3.119779500e+06|3.081065250e+06|3.158494500e+06|2.598520625e+05|2.880260000e+05|3.078527500e+05|2.964917188e+05|2.590044375e+05|3.339790000e+05|2.923530291e+03|2.938307557e+03|2.947842084e+03|2.941685729e+03|2.924086852e+03|2.959284607e+03|1.034974254e+02|1.182594220e+02|1.277818880e+02|1.216680644e+02|1.040670676e+02|1.392690612e+02|2.385201386e+03|2.389174029e+03|2.393424072e+03|2.390192313e+03|2.384472008e+03|2.395912617e+03|1.504503433e+02|1.658470339e+02|1.753092385e+02|1.600499910e+02|1.403269217e+02|1.797730602e+02|4.641540736e+09|4.735003648e+09|4.835841152e+09|4.758701568e+09|4.620072960e+09|4.897331200e+09|1.892851392e+09|2.406480768e+09|2.797434816e+09|2.153348352e+09|1.351167616e+09|2.955529216e+09|3.195279236e+03|3.202968140e+03|3.208314758e+03|3.201117432e+03|3.191123535e+03|3.211110840e+03
1.032651745e+06|1.032485050e+06|1.026388131e+06|1.026634453e+06|3.070220562e+06|3.109004875e+06|3.160498562e+06|3.115114500e+06|3.065636500e+06|3.164593250e+06|2.532850625e+05|2.844200000e+05|3.224765625e+05|2.896923125e+05|2.446341875e+05|3.347504062e+05|2.920195906e+03|2.936852937e+03|2.956338674e+03|2.938868423e+03|2.916899852e+03|2.960836994e+03|1.001697597e+02|1.168265617e+02|1.363151348e+02|1.188499964e+02|9.688619858e+01|1.408137943e+02|2.383888159e+03|2.388104614e+03|2.393724446e+03|2.391678927e+03|2.382514617e+03|2.400843236e+03|1.394769814e+02|1.671466614e+02|1.817451692e+02|1.592465616e+02|1.336196420e+02|1.848734812e+02|4.641923072e+09|4.712683776e+09|4.849240192e+09|4.831221760e+09|4.621725696e+09|5.040716800e+09|9.087457280e+08|2.447395840e+09|3.152738304e+09|2.116235264e+09|1.043162944e+09|3.189307904e+09|3.193936584e+03|3.202469727e+03|3.209888550e+03|3.204954590e+03|3.192019043e+03|3.217890625e+03
1.037278731e+06|1.037404324e+06|1.031133442e+06|1.031738569e+06|3.067089125e+06|3.104828625e+06|3.162727000e+06|3.118003500e+06|3.064006750e+06|3.171999750e+06|2.510291875e+05|2.904066250e+05|3.366620000e+05|2.981187500e+05|2.481685625e+05|3.480689688e+05|2.918514173e+03|2.934032442e+03|2.961349626e+03|2.940582436e+03|2.916366609e+03|2.964798263e+03|9.848769455e+01|1.140588488e+02|1.413168375e+02|1.205765295e+02|9.636840267e+01|1.447846563e+02|2.384039584e+03|2.390505857e+03|2.394430286e+03|2.390748770e+03|2.383670552e+03|2.397826987e+03|1.609551341e+02|1.717138275e+02|1.822781941e+02|1.687461074e+02|1.524310481e+02|1.850611667e+02|4.660024064e+09|4.770226176e+09|4.875822080e+09|4.792353280e+09|4.638436352e+09|4.946270720e+09|2.174575872e+09|2.668615424e+09|3.230414784e+09|2.518132480e+09|1.808353408e+09|3.227911424e+09|3.192999084e+03|3.204853638e+03|3.212629456e+03|3.202815430e+03|3.191679932e+03|3.213950684e+03
1.039461470e+06|1.039339817e+06|1.034071949e+06|1.035444355e+06|3.091674812e+06|3.121349500e+06|3.167835438e+06|3.130926000e+06|3.088162250e+06|3.173689250e+06|2.687968125e+05|2.995370000e+05|3.429492500e+05|3.078616875e+05|2.661225938e+05|3.496008125e+05|2.929851792e+03|2.943265257e+03|2.964225549e+03|2.947078154e+03|2.927821428e+03|2.966334880e+03|1.098000997e+02|1.232182353e+02|1.441925445e+02|1.270622000e+02|1.078146468e+02|1.463097532e+02|2.383664838e+03|2.388524237e+03|2.391345230e+03|2.388817592e+03|2.383446433e+03|2.394188750e+03|1.513219334e+02|1.625410678e+02|1.720544905e+02|1.590819017e+02|1.400591343e+02|1.781046692e+02|4.617105408e+09|4.711125504e+09|4.778321536e+09|4.723826688e+09|4.597301760e+09|4.850352128e+09|1.878114432e+09|2.328263680e+09|2.709490752e+09|2.133370624e+09|1.368768512e+09|2.897972992e+09|3.190626526e+03|3.197580566e+03|3.204301453e+03|3.197412842e+03|3.188178955e+03|3.206646973e+03
1.041268643e+06|1.041309861e+06|1.035872989e+06|1.037280185e+06|3.098376000e+06|3.128506500e+06|3.171790625e+06|3.137600750e+06|3.095087250e+06|3.180114000e+06|2.781790625e+05|3.025986250e+05|3.434615625e+05|3.137899375e+05|2.735339688e+05|3.540458750e+05|2.932733037e+03|2.946625626e+03|2.965930133e+03|2.950667546e+03|2.931321587e+03|2.970013506e+03|1.126577422e+02|1.265663058e+02|1.459072231e+02|1.306476560e+02|1.113104099e+02|1.499849021e+02|2.382844666e+03|2.386504656e+03|2.390034159e+03|2.386172340e+03|2.381874064e+03|2.390470617e+03|1.491395678e+02|1.595441872e+02|1.697163274e+02|1.554085861e+02|1.347997488e+02|1.760174233e+02|4.584956928e+09|4.666138880e+09|4.749635840e+09|4.659851264e+09|4.559198720e+09|4.760503808e+09|1.796191680e+09|2.240227840e+09|2.643202432e+09|2.023597952e+09|1.186251648e+09|2.860944640e+09|3.183607178e+03|3.194823242e+03|3.202150024e+03|3.193296143e+03|3.184300049e+03|3.202292725e+03
1.044001470e+06|1.043567992e+06|1.040492061e+06|1.041728375e+06|3.118098000e+06|3.154609375e+06|3.203485312e+06|3.166679250e+06|3.114521250e+06|3.218837000e+06|2.931228750e+05|3.280752500e+05|3.749992500e+05|3.391498750e+05|2.874641250e+05|3.908356250e+05|2.942400456e+03|2.958261644e+03|2.980689815e+03|2.964229728e+03|2.940412833e+03|2.988046623e+03|1.224342210e+02|1.382741056e+02|1.606690764e+02|1.441998864e+02|1.203965889e+02|1.680031840e+02|2.378836068e+03|2.383229911e+03|2.388408437e+03|2.384683980e+03|2.378687664e+03|2.390680296e+03|1.099997583e+02|1.499917144e+02|1.714945999e+02|1.478909037e+02|1.201197167e+02|1.756620908e+02|4.485679104e+09|4.590320128e+09|4.712363904e+09|4.624478208e+09|4.483399680e+09|4.765556224e+09|9.191270400e+07|1.915405056e+09|2.740611776e+09|1.720577920e+09|5.978459520e+08|2.843309824e+09|3.176577637e+03|3.186786011e+03|3.196667297e+03|3.185966797e+03|3.173249023e+03|3.198684082e+03
