#RRR|Lz25|Lz50|Lz75|Lzmean|Lzsum|Isum
1.905082138e+04|3.520631458e+22|6.867926096e+22|9.955693702e+22|6.986658465e+22|6.986658465e+24|1.584023800e+28
3.603977990e+04|1.670799890e+23|2.147855240e+23|2.573909608e+23|2.164758156e+23|2.164758156e+25|5.093194018e+28
4.530747153e+04|3.022865284e+23|3.357569750e+23|3.774744467e+23|3.391053571e+23|3.391053571e+25|7.985880159e+28
5.377138994e+04|4.398335563e+23|4.907253703e+23|5.510624601e+23|4.927064240e+23|4.927064240e+25|1.124282156e+29
6.147153987e+04|5.849361473e+23|6.258739175e+23|6.585743512e+23|6.251479209e+23|6.251479209e+25|1.466940669e+29
6.735656330e+04|7.067137174e+23|7.628289971e+23|8.233122871e+23|7.705747584e+23|7.705747584e+25|1.761441845e+29
7.410173054e+04|8.462534138e+23|9.163553662e+23|9.684033966e+23|9.069617350e+23|9.069617350e+25|2.130559070e+29
7.990011740e+04|1.014494586e+24|1.081981177e+24|1.130954309e+24|1.080399904e+24|1.080399904e+26|2.477155400e+29
8.450644348e+04|1.128264519e+24|1.170271142e+24|1.239341555e+24|1.183224757e+24|1.183224757e+26|2.770473909e+29
8.891321136e+04|1.258206176e+24|1.308776478e+24|1.386385975e+24|1.315442132e+24|1.315442132e+26|3.066913143e+29
9.387132387e+04|1.398718658e+24|1.473482046e+24|1.530134177e+24|1.468752313e+24|1.468752313e+26|3.419240440e+29
9.848237490e+04|1.554717717e+24|1.625087940e+24|1.695258779e+24|1.627249422e+24|1.627249422e+26|3.761589721e+29
1.024949744e+05|1.681983202e+24|1.757631753e+24|1.830530592e+24|1.761445100e+24|1.761445100e+26|4.075136451e+29
1.059779471e+05|1.800821852e+24|1.857810798e+24|1.961658130e+24|1.878143249e+24|1.878143249e+26|4.356536393e+29
1.097564830e+05|1.905665872e+24|2.014462879e+24|2.121170769e+24|2.008406805e+24|2.008406805e+26|4.672874495e+29
1.138725285e+05|2.073743169e+24|2.149056405e+24|2.246650461e+24|2.163147259e+24|2.163147259e+26|5.029581996e+29
1.181845129e+05|2.260510976e+24|2.363432815e+24|2.448219528e+24|2.363915513e+24|2.363915513e+26|5.418675583e+29
1.215202782e+05|2.406995513e+24|2.481858977e+24|2.600282030e+24|2.489147654e+24|2.489147654e+26|5.727248396e+29
1.245647744e+05|2.504709853e+24|2.589179906e+24|2.680647742e+24|2.585724746e+24|2.585724746e+26|6.017675704e+29
1.278810991e+05|2.669684158e+24|2.734499200e+24|2.821085365e+24|2.736361488e+24|2.736361488e+26|6.343385018e+29
1.312573916e+05|2.805552358e+24|2.904864709e+24|2.992466363e+24|2.896677835e+24|2.896677835e+26|6.682660408e+29
1.347475515e+05|2.930564193e+24|3.058552531e+24|3.153110263e+24|3.043925250e+24|3.043925250e+26|7.043690055e+29
1.379819157e+05|3.078106416e+24|3.183170743e+24|3.295328863e+24|3.191225122e+24|3.191225122e+26|7.384863928e+29
1.406589924e+05|3.235489450e+24|3.308483173e+24|3.420241480e+24|3.307920221e+24|3.307920221e+26|7.676773587e+29
1.433081561e+05|3.320635330e+24|3.451912021e+24|3.561009865e+24|3.442936848e+24|3.442936848e+26|7.964860875e+29
1.458701008e+05|3.482793110e+24|3.580684060e+24|3.644211894e+24|3.565220341e+24|3.565220341e+26|8.251396926e+29
1.485209716e+05|3.584460824e+24|3.672639023e+24|3.810516280e+24|3.682916000e+24|3.682916000e+26|8.554608987e+29
1.514576240e+05|3.740968590e+24|3.857459687e+24|3.965296156e+24|3.844878993e+24|3.844878993e+26|8.897810192e+29
1.550063762e+05|3.909229425e+24|4.033038388e+24|4.151605611e+24|4.031152946e+24|4.031152946e+26|9.318651141e+29
