#R_planet
1.838062130e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
8.382251074e+04|8.882206514e+04|6.657857472e+04|6.844102007e+04|1.768591156e+06|1.771177250e+06|1.773855156e+06|1.771430750e+06|1.768261250e+06|1.774599375e+06|8.131206250e+04|8.406143750e+04|8.773571875e+04|8.436397656e+04|8.062175000e+04|8.810618750e+04|1.979202404e+03|1.980336978e+03|1.981313469e+03|1.980360387e+03|1.979039391e+03|1.981681382e+03|3.635414978e+01|3.748809299e+01|3.846539888e+01|3.751133088e+01|3.619012439e+01|3.883253737e+01|2.547780482e+03|2.552013622e+03|2.556401292e+03|2.552029459e+03|2.546919176e+03|2.557139743e+03|1.149886960e+02|1.219379301e+02|1.317516202e+02|1.227295741e+02|1.131273039e+02|1.323318443e+02|7.984707456e+09|8.011731456e+09|8.048957568e+09|8.016307200e+09|7.980812800e+09|8.051801600e+09|1.836126720e+08|3.418892800e+08|4.907444480e+08|3.465592960e+08|1.489962720e+08|5.441223040e+08|6.569538696e+03|6.570768555e+03|6.572151611e+03|6.570804199e+03|6.569155762e+03|6.572450195e+03
1.274878197e+05|1.284290400e+05|9.965410556e+04|1.058745104e+05|1.768277938e+06|1.771315188e+06|1.773923625e+06|1.770933875e+06|1.767402750e+06|1.774465500e+06|8.103759375e+04|8.474112500e+04|8.747312500e+04|8.451975781e+04|8.051454688e+04|8.852497656e+04|1.979179369e+03|1.980546733e+03|1.981682747e+03|1.980338386e+03|1.978846885e+03|1.981829887e+03|3.633095748e+01|3.769724737e+01|3.883388676e+01|3.748937226e+01|3.599805214e+01|3.898069239e+01|2.545744325e+03|2.550316974e+03|2.554709187e+03|2.549896549e+03|2.544365328e+03|2.555427770e+03|1.144052658e+02|1.235601878e+02|1.314655531e+02|1.236702715e+02|1.132865292e+02|1.340540138e+02|7.942262016e+09|7.965263616e+09|7.999115648e+09|7.967142912e+09|7.932508160e+09|8.001778688e+09|1.581386240e+08|3.518814720e+08|5.246452480e+08|3.740703680e+08|1.596267040e+08|5.885140480e+08|6.566882080e+03|6.568567383e+03|6.569916138e+03|6.568442383e+03|6.566637695e+03|6.570247070e+03
1.519244359e+05|1.529493211e+05|1.193152605e+05|1.302502862e+05|1.768800688e+06|1.771220875e+06|1.773089188e+06|1.770771875e+06|1.768157125e+06|1.773386500e+06|8.215581250e+04|8.439737500e+04|8.672762500e+04|8.433157812e+04|8.142605469e+04|8.723710156e+04|1.979527872e+03|1.980610945e+03|1.981384495e+03|1.980421861e+03|1.979314019e+03|1.981529703e+03|3.667647463e+01|3.776129017e+01|3.853403482e+01|3.757227363e+01|3.646456176e+01|3.867998549e+01|2.545250633e+03|2.549251350e+03|2.551741319e+03|2.548530158e+03|2.544447539e+03|2.552612777e+03|1.143117242e+02|1.230448508e+02|1.304503561e+02|1.221905406e+02|1.129450139e+02|1.314360674e+02|7.905144320e+09|7.929896448e+09|7.954784384e+09|7.929039872e+09|7.899166208e+09|7.958913536e+09|1.607417600e+08|3.418181120e+08|5.196858880e+08|3.331501760e+08|1.211774640e+08|5.451229440e+08|6.564965820e+03|6.566428223e+03|6.567700562e+03|6.566426758e+03|6.564873047e+03|6.567979980e+03
1.695244283e+05|1.696155371e+05|1.337864257e+05|1.462115370e+05|1.766614188e+06|1.769602812e+06|1.773204375e+06|1.769873250e+06|1.766556500e+06|1.773190375e+06|8.092703125e+04|8.445487500e+04|8.828684375e+04|8.455635156e+04|8.069218750e+04|8.842052344e+04|1.978756920e+03|1.980151560e+03|1.981511602e+03|1.980160776e+03|1.978761652e+03|1.981559900e+03|3.590910033e+01|3.730101398e+01|3.866145136e+01|3.731150498e+01|3.591262788e+01|3.871038207e+01|2.541231231e+03|2.546180590e+03|2.550887406e+03|2.546238454e+03|2.541006015e+03|2.551470892e+03|1.174882541e+02|1.263485104e+02|1.325719103e+02|1.252102800e+02|1.145898415e+02|1.358307185e+02|7.860198528e+09|7.887962624e+09|7.926223744e+09|7.892890624e+09|7.858955776e+09|7.926826496e+09|2.333657600e+08|4.289541120e+08|6.457381120e+08|4.293844160e+08|1.952318880e+08|6.635370880e+08|6.563582275e+03|6.565223877e+03|6.566549194e+03|6.565125488e+03|6.563399902e+03|6.566851074e+03
1.848417761e+05|1.849193766e+05|1.439724126e+05|1.598505359e+05|1.766583000e+06|1.768861125e+06|1.771095250e+06|1.769178250e+06|1.766365250e+06|1.771990750e+06|8.018543750e+04|8.357981250e+04|8.602081250e+04|8.349320312e+04|8.001196875e+04|8.697442969e+04|1.978863372e+03|1.979840981e+03|1.980786944e+03|1.979964152e+03|1.978757178e+03|1.981171125e+03|3.601559901e+01|3.699098855e+01|3.793677216e+01|3.711492415e+01|3.590827678e+01|3.832157152e+01|2.540570131e+03|2.543588132e+03|2.547747892e+03|2.544420914e+03|2.540116766e+03|2.548725061e+03|1.118307142e+02|1.220304342e+02|1.305650990e+02|1.216379854e+02|1.116772039e+02|1.315987668e+02|7.840039040e+09|7.862427392e+09|7.884078976e+09|7.863564288e+09|7.834286080e+09|7.892840448e+09|1.513214720e+08|3.349424640e+08|5.027461120e+08|3.563689600e+08|1.453932000e+08|5.673446400e+08|6.562479248e+03|6.564012451e+03|6.565472412e+03|6.564042480e+03|6.562242676e+03|6.565842285e+03
1.977627687e+05|1.971102287e+05|1.638996310e+05|1.739195962e+05|1.765850031e+06|1.768221375e+06|1.771438750e+06|1.768739875e+06|1.765742875e+06|1.771736625e+06|7.964234375e+04|8.351575000e+04|8.593490625e+04|8.325455469e+04|7.938081250e+04|8.712828906e+04|1.978689710e+03|1.979678028e+03|1.981052040e+03|1.979857960e+03|1.978589204e+03|1.981126716e+03|3.584211656e+01|3.682896821e+01|3.820575819e+01|3.700898440e+01|3.574060672e+01|3.827736207e+01|2.539225999e+03|2.542465584e+03|2.547285104e+03|2.543139555e+03|2.538463344e+03|2.547815766e+03|1.113419951e+02|1.209959890e+02|1.324415604e+02|1.213506624e+02|1.096004646e+02|1.331008602e+02|7.820664960e+09|7.838681600e+09|7.863513856e+09|7.840611840e+09|7.810476032e+09|7.870747136e+09|1.231174400e+08|2.962826240e+08|5.955115520e+08|3.579737280e+08|1.093096000e+08|6.066377600e+08|6.561569458e+03|6.562984131e+03|6.564408325e+03|6.563106445e+03|6.561461914e+03|6.564751953e+03
2.102174929e+05|2.107626572e+05|1.816040604e+05|1.941625876e+05|1.766091094e+06|1.769200625e+06|1.771388531e+06|1.768759875e+06|1.765757500e+06|1.771762125e+06|8.010240625e+04|8.242275000e+04|8.592803125e+04|8.321253125e+04|7.938122656e+04|8.704384375e+04|1.978740802e+03|1.980077250e+03|1.980997052e+03|1.979948670e+03|1.978662367e+03|1.981234974e+03|3.589090034e+01|3.722968260e+01|3.814986061e+01|3.709951783e+01|3.581313170e+01|3.838590396e+01|2.538694314e+03|2.543323984e+03|2.546380621e+03|2.542536244e+03|2.537891547e+03|2.547180941e+03|1.105722508e+02|1.184903768e+02|1.303403062e+02|1.205218754e+02|1.086734297e+02|1.323703212e+02|7.795808896e+09|7.823093248e+09|7.849038976e+09|7.820143616e+09|7.787549696e+09|7.852738560e+09|7.498291200e+07|2.724904960e+08|5.188564480e+08|3.316474240e+08|4.977712000e+07|6.135176960e+08|6.560547363e+03|6.561414551e+03|6.563226440e+03|6.561934570e+03|6.560187012e+03|6.563680664e+03
2.226297007e+05|2.229814303e+05|1.914378051e+05|1.982365068e+05|1.764917469e+06|1.767554875e+06|1.769898531e+06|1.767279875e+06|1.764083250e+06|1.770476375e+06|7.957503125e+04|8.269193750e+04|8.604971875e+04|8.292321875e+04|7.894100781e+04|8.690543750e+04|1.978415057e+03|1.979535830e+03|1.980381905e+03|1.979414522e+03|1.978071280e+03|1.980757765e+03|3.556457690e+01|3.668792543e+01|3.753127960e+01|3.656558163e+01|3.522230576e+01|3.790885751e+01|2.534980670e+03|2.540469209e+03|2.543771953e+03|2.539545737e+03|2.534455063e+03|2.544636411e+03|1.114286843e+02|1.239123948e+02|1.324259722e+02|1.232476403e+02|1.106541275e+02|1.358411532e+02|7.754232576e+09|7.786873344e+09|7.820198912e+09|7.786238464e+09|7.749662208e+09|7.822814208e+09|1.733177600e+08|4.274124800e+08|6.728529920e+08|4.399043520e+08|1.495536640e+08|7.302551040e+08|6.559685791e+03|6.561376709e+03|6.562982666e+03|6.561238281e+03|6.559413086e+03|6.563062012e+03
2.332296005e+05|2.334860999e+05|2.073912427e+05|2.188700615e+05|1.763373094e+06|1.767631625e+06|1.771380562e+06|1.767671500e+06|1.763706250e+06|1.771636625e+06|7.873056250e+04|8.227981250e+04|8.631728125e+04|8.235032812e+04|7.782877344e+04|8.687189062e+04|1.977891715e+03|1.979680436e+03|1.981415494e+03|1.979681580e+03|1.977996354e+03|1.981366806e+03|3.504179702e+01|3.683151688e+01|3.856562438e+01|3.683235736e+01|3.514720350e+01|3.851751122e+01|2.533478752e+03|2.539296011e+03|2.545079115e+03|2.539364083e+03|2.533273060e+03|2.545455106e+03|1.079910721e+02|1.172090400e+02|1.286743859e+02|1.184007021e+02|1.060996074e+02|1.307017968e+02|7.728818048e+09|7.760094720e+09|7.789673472e+09|7.763588096e+09|7.728259584e+09|7.798915072e+09|2.651392000e+07|2.884206080e+08|5.314566400e+08|3.013587200e+08|2.815424600e+07|5.745632000e+08|6.557577026e+03|6.559312012e+03|6.561403076e+03|6.559635742e+03|6.557551270e+03|6.561717285e+03
2.438810005e+05|2.429105392e+05|2.160831183e+05|2.223780865e+05|1.763941375e+06|1.767374562e+06|1.769793938e+06|1.767238125e+06|1.763928125e+06|1.770548000e+06|7.883706250e+04|8.273181250e+04|8.579978125e+04|8.257399219e+04|7.860250000e+04|8.654547656e+04|1.978386849e+03|1.979618530e+03|1.980774311e+03|1.979602554e+03|1.978181931e+03|1.981023177e+03|3.553952371e+01|3.676876565e+01|3.792324001e+01|3.675299620e+01|3.533253818e+01|3.817345423e+01|2.532934374e+03|2.538230972e+03|2.541579861e+03|2.537894574e+03|2.532776642e+03|2.543012506e+03|1.113866827e+02|1.207609979e+02|1.299746845e+02|1.201046025e+02|1.082334994e+02|1.319757056e+02|7.708766592e+09|7.735647744e+09|7.760674944e+09|7.734366208e+09|7.702971904e+09|7.765761536e+09|1.551028480e+08|3.677224960e+08|5.722670080e+08|3.510201920e+08|8.602653600e+07|6.160138240e+08|6.556373169e+03|6.558083984e+03|6.560030396e+03|6.558341309e+03|6.556296387e+03|6.560383789e+03
