#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
8.382251074e+04|7.965097582e+09|8.018146374e+09|8.078943532e+09|0.000000|0.000000|0.000000
1.274878197e+05|1.186224042e+10|7.961572216e+09|7.993256703e+09|2.000000|0.000000|0.000000
1.519244359e+05|1.164251360e+10|7.923788860e+09|7.946795556e+09|2.000000|0.000000|0.000000
1.695244283e+05|1.148425969e+10|7.893687626e+09|7.913066003e+09|2.000000|0.000000|0.000000
1.849373562e+05|1.134567120e+10|7.865269480e+09|7.882954860e+09|2.000000|0.000000|0.000000
1.978762973e+05|1.122932808e+10|7.839891018e+09|7.857055053e+09|2.000000|0.000000|0.000000
2.103959626e+05|1.111675496e+10|7.813984477e+09|7.831302933e+09|2.000000|0.000000|0.000000
2.229237376e+05|1.100410891e+10|7.786707130e+09|7.804723392e+09|2.000000|0.000000|0.000000
2.335631201e+05|1.090844274e+10|7.762460632e+09|7.781423352e+09|2.000000|0.000000|0.000000
2.442626079e+05|1.081223611e+10|7.737061558e+09|7.757243790e+09|2.000000|0.000000|0.000000
2.543798334e+05|1.072126502e+10|7.712096079e+09|7.733630251e+09|2.000000|0.000000|0.000000
2.648761962e+05|1.062688483e+10|7.685208999e+09|7.708303973e+09|2.000000|0.000000|0.000000
2.741530400e+05|1.054347020e+10|7.660601012e+09|7.685174826e+09|2.000000|0.000000|0.000000
2.829258419e+05|1.046458777e+10|7.636593880e+09|7.662625311e+09|2.000000|0.000000|0.000000
2.923259856e+05|1.038006446e+10|7.610068952e+09|7.637700374e+09|2.000000|0.000000|0.000000
3.005130290e+05|1.030644899e+10|7.586286654e+09|7.615324502e+09|2.000000|0.000000|0.000000
3.091522093e+05|1.022876804e+10|7.560498986e+09|7.591016162e+09|2.000000|0.000000|0.000000
3.173612348e+05|1.015495491e+10|7.535332624e+09|7.567236107e+09|2.000000|0.000000|0.000000
3.255438611e+05|1.008137916e+10|7.509600573e+09|7.542854010e+09|2.000000|0.000000|0.000000
3.331500392e+05|1.001298666e+10|7.485099117e+09|7.519568655e+09|2.000000|0.000000|0.000000
3.406034019e+05|9.945968233e+09|7.460543053e+09|7.496159737e+09|2.000000|0.000000|0.000000
3.479970648e+05|9.879486606e+09|7.435646410e+09|7.472350520e+09|2.000000|0.000000|0.000000
3.550001577e+05|9.816516869e+09|7.411569429e+09|7.449251598e+09|2.000000|0.000000|0.000000
3.628985570e+05|9.745496802e+09|7.383833618e+09|7.422552582e+09|2.000000|0.000000|0.000000
3.694068402e+05|9.686976247e+09|7.360515046e+09|7.400031814e+09|2.000000|0.000000|0.000000
3.764388290e+05|9.623746687e+09|7.334847098e+09|7.375165376e+09|2.000000|0.000000|0.000000
3.830019014e+05|9.564733484e+09|7.310446289e+09|7.351453784e+09|2.000000|0.000000|0.000000
3.897651725e+05|9.503920154e+09|7.284850990e+09|7.326507635e+09|2.000000|0.000000|0.000000
3.962969036e+05|9.445188763e+09|7.259697189e+09|7.301920870e+09|2.000000|0.000000|0.000000
4.026541445e+05|9.388026336e+09|7.234804270e+09|7.277522847e+09|2.000000|0.000000|0.000000
4.093467668e+05|9.327848258e+09|7.208159103e+09|7.251337937e+09|2.000000|0.000000|0.000000
4.151737312e+05|9.275453920e+09|7.184593076e+09|7.228122285e+09|2.000000|0.000000|0.000000
4.217315900e+05|9.216487597e+09|7.157661593e+09|7.201529959e+09|2.000000|0.000000|0.000000
