#RRR|Lz25|Lz50|Lz75|Lzmean|Lzsum|Isum
2.112813585e+04|5.805772015e+22|1.096127481e+23|1.502099216e+23|1.049683124e+23|1.049683124e+25|2.136659182e+28
3.765591280e+04|2.483970766e+23|3.037577771e+23|3.602080329e+23|3.033464507e+23|3.033464507e+25|6.287665096e+28
4.909034689e+04|4.666224440e+23|5.114466786e+23|5.740136017e+23|5.154211986e+23|5.154211986e+25|1.062430142e+29
5.810049080e+04|6.613415746e+23|7.282579996e+23|7.882825952e+23|7.236829382e+23|7.236829382e+25|1.486195051e+29
6.566145184e+04|8.685473323e+23|9.291754374e+23|9.696613246e+23|9.243655656e+23|9.243655656e+25|1.897309865e+29
7.248473450e+04|1.071487663e+24|1.119577197e+24|1.173442042e+24|1.122954242e+24|1.122954242e+26|2.311600424e+29
7.928354474e+04|1.289447988e+24|1.346828086e+24|1.398404464e+24|1.343366626e+24|1.343366626e+26|2.764393440e+29
8.575195148e+04|1.508444653e+24|1.581233191e+24|1.642132720e+24|1.574782876e+24|1.574782876e+26|3.231822405e+29
9.080949877e+04|1.713214645e+24|1.765680086e+24|1.805456058e+24|1.762043122e+24|1.762043122e+26|3.624311384e+29
9.582816158e+04|1.912190126e+24|1.967590388e+24|2.010401910e+24|1.961394233e+24|1.961394233e+26|4.036221998e+29
1.000686131e+05|2.078723591e+24|2.128017543e+24|2.194621862e+24|2.137435532e+24|2.137435532e+26|4.396141379e+29
1.046880540e+05|2.283784852e+24|2.336483842e+24|2.391008471e+24|2.335586182e+24|2.335586182e+26|4.817278774e+29
1.096238158e+05|2.515642067e+24|2.554761766e+24|2.630024440e+24|2.572116492e+24|2.572116492e+26|5.286937538e+29
1.144747799e+05|2.740362954e+24|2.789826656e+24|2.855677954e+24|2.790678030e+24|2.790678030e+26|5.758362676e+29
1.187094883e+05|2.949098278e+24|3.009485109e+24|3.060004876e+24|3.011860114e+24|3.011860114e+26|6.193797742e+29
1.228015443e+05|3.171815651e+24|3.222414326e+24|3.280453042e+24|3.221248028e+24|3.221248028e+26|6.625805154e+29
1.262415336e+05|3.353607036e+24|3.400701734e+24|3.440108878e+24|3.395435270e+24|3.395435270e+26|6.998233809e+29
1.301156653e+05|3.571386188e+24|3.623973494e+24|3.667616033e+24|3.619139482e+24|3.619139482e+26|7.443274065e+29
1.336082030e+05|3.763361222e+24|3.813499136e+24|3.870722923e+24|3.814765914e+24|3.814765914e+26|7.849081410e+29
1.368883613e+05|3.954483120e+24|4.015727315e+24|4.069998788e+24|4.008449732e+24|4.008449732e+26|8.238186612e+29
1.403730709e+05|4.161850411e+24|4.214986787e+24|4.261929258e+24|4.213167270e+24|4.213167270e+26|8.668343955e+29
1.435313831e+05|4.348397346e+24|4.414041425e+24|4.467665411e+24|4.416677309e+24|4.416677309e+26|9.058191406e+29
1.472400401e+05|4.568106127e+24|4.644902382e+24|4.683327990e+24|4.627741379e+24|4.627741379e+26|9.518969931e+29
1.507003818e+05|4.787213433e+24|4.845518458e+24|4.919300625e+24|4.851614083e+24|4.851614083e+26|9.989652547e+29
1.542988194e+05|5.037016548e+24|5.079446252e+24|5.132352977e+24|5.077806598e+24|5.077806598e+26|1.046226241e+30
1.574302223e+05|5.220549970e+24|5.273157315e+24|5.339750060e+24|5.279814657e+24|5.279814657e+26|1.088303743e+30
1.604730545e+05|5.445715926e+24|5.502132193e+24|5.564070815e+24|5.494538778e+24|5.494538778e+26|1.130467845e+30
1.636439639e+05|5.665116388e+24|5.721646034e+24|5.778140918e+24|5.719545336e+24|5.719545336e+26|1.177930816e+30
1.666259207e+05|5.848577352e+24|5.917581584e+24|5.989705584e+24|5.919673892e+24|5.919673892e+26|1.218487359e+30
1.692256809e+05|6.081560183e+24|6.117673011e+24|6.164363445e+24|6.115127670e+24|6.115127670e+26|1.258966605e+30
1.717988650e+05|6.241994151e+24|6.298286472e+24|6.342890940e+24|6.294878371e+24|6.294878371e+26|1.296615146e+30
1.743070402e+05|6.425081915e+24|6.484936657e+24|6.524312710e+24|6.469410227e+24|6.469410227e+26|1.330977280e+30
1.770555402e+05|6.628782945e+24|6.702990205e+24|6.761215472e+24|6.699450550e+24|6.699450550e+26|1.377567177e+30
1.797511130e+05|6.852882331e+24|6.901739631e+24|6.954343299e+24|6.905448534e+24|6.905448534e+26|1.419856533e+30
1.822384869e+05|7.041462026e+24|7.094830418e+24|7.148668353e+24|7.089436051e+24|7.089436051e+26|1.459044934e+30
1.845564447e+05|7.210043771e+24|7.279583861e+24|7.333689477e+24|7.272592170e+24|7.272592170e+26|1.498102719e+30
1.874120853e+05|7.433293357e+24|7.487405907e+24|7.563293630e+24|7.488131336e+24|7.488131336e+26|1.542638558e+30
1.904946132e+05|7.675963975e+24|7.735092870e+24|7.816922824e+24|7.741642429e+24|7.741642429e+26|1.592883087e+30
1.931753228e+05|7.924080354e+24|7.965269992e+24|8.031399815e+24|7.974683535e+24|7.974683535e+26|1.641373272e+30
1.959641415e+05|8.133372076e+24|8.204346955e+24|8.265765083e+24|8.199657858e+24|8.199657858e+26|1.688369995e+30
1.985253719e+05|8.360013674e+24|8.416310962e+24|8.483550771e+24|8.410900281e+24|8.410900281e+26|1.732727133e+30
2.006530918e+05|8.525954570e+24|8.583730377e+24|8.637764589e+24|8.578397098e+24|8.578397098e+26|1.769262825e+30
2.030216981e+05|8.739977825e+24|8.807108078e+24|8.859078678e+24|8.799206247e+24|8.799206247e+26|1.812211123e+30
2.054138092e+05|8.973651762e+24|9.026669490e+24|9.071112123e+24|9.020023718e+24|9.020023718e+26|1.856206218e+30
2.078297283e+05|9.165130946e+24|9.221090549e+24|9.275723458e+24|9.222396700e+24|9.222396700e+26|1.898888097e+30
2.100973376e+05|9.360299802e+24|9.423702442e+24|9.484348624e+24|9.412743455e+24|9.412743455e+26|1.939165425e+30
2.122618102e+05|9.585175561e+24|9.631822426e+24|9.684570817e+24|9.629348367e+24|9.629348367e+26|1.980915998e+30
2.144458211e+05|9.766161761e+24|9.828885942e+24|9.888388238e+24|9.816891351e+24|9.816891351e+26|2.019652205e+30
2.167721278e+05|9.972218318e+24|1.001709190e+25|1.008059140e+25|1.000450839e+25|1.000450839e+27|2.059046783e+30
2.192272840e+05|1.019588926e+25|1.025398692e+25|1.032777263e+25|1.023911628e+25|1.023911628e+27|2.107448870e+30
2.214971482e+05|1.041384746e+25|1.048688137e+25|1.052743961e+25|1.047295007e+25|1.047295007e+27|2.156929536e+30
2.234098630e+05|1.056930456e+25|1.064265739e+25|1.070844045e+25|1.061276670e+25|1.061276670e+27|2.186405607e+30
