#R_planet
7.797687271e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
9.024930118e+05|9.069973381e+05|4.971212367e+05|4.901118061e+05|2.972464688e+06|2.989248000e+06|3.021940375e+06|3.038318500e+06|2.970844750e+06|3.105792750e+06|1.476287500e+05|1.651945000e+05|2.044042500e+05|2.120520469e+05|1.422909219e+05|2.818131562e+05|2.875924519e+03|2.884315272e+03|2.898823352e+03|2.898705583e+03|2.875410507e+03|2.922000659e+03|5.584291874e+01|6.428346866e+01|7.886118565e+01|7.869429863e+01|5.539247929e+01|1.019961180e+02|2.351287261e+03|2.359886795e+03|2.377544545e+03|2.385619256e+03|2.351273475e+03|2.419965036e+03|1.074911182e+02|1.316472054e+02|1.560418913e+02|1.492587500e+02|1.034576203e+02|1.950598797e+02|4.562016512e+09|4.606721024e+09|4.665621248e+09|5.196318208e+09|4.538321920e+09|5.854314496e+09|1.647911360e+09|2.103156736e+09|2.767777280e+09|2.331215616e+09|1.047061696e+09|3.615369472e+09|3.214127014e+03|3.217448608e+03|3.221458496e+03|3.232240234e+03|3.212251221e+03|3.252229492e+03
9.199818238e+05|9.201811427e+05|5.482171625e+05|5.376263517e+05|2.970045625e+06|2.995201375e+06|3.031747062e+06|3.025439250e+06|2.967850500e+06|3.083028250e+06|1.348005000e+05|1.743478750e+05|2.116876875e+05|1.992744375e+05|1.357605938e+05|2.627882812e+05|2.875024138e+03|2.886462957e+03|2.903403047e+03|2.897833158e+03|2.874342266e+03|2.921324049e+03|5.498106788e+01|6.648410292e+01|8.337121487e+01|7.780793097e+01|5.432645130e+01|1.012894106e+02|2.350288735e+03|2.363252620e+03|2.376313384e+03|2.371313278e+03|2.348868024e+03|2.393758532e+03|1.041219254e+02|1.359276528e+02|1.534073220e+02|1.361620166e+02|9.731892927e+01|1.750051040e+02|4.487297024e+09|4.552832256e+09|4.624754560e+09|4.783629824e+09|4.473655296e+09|5.093603328e+09|1.513777920e+08|2.100567040e+09|2.562074112e+09|1.952061952e+09|8.276868480e+08|3.076437504e+09|3.208626465e+03|3.214747437e+03|3.219415649e+03|3.218018799e+03|3.205875000e+03|3.230163086e+03
9.287694965e+05|9.288638379e+05|5.794301573e+05|5.646769803e+05|2.968226875e+06|2.994528000e+06|3.063804250e+06|3.055874500e+06|2.968946000e+06|3.142803000e+06|1.429245000e+05|1.747301250e+05|2.479332500e+05|2.319277344e+05|1.398032969e+05|3.240521875e+05|2.874363388e+03|2.886998110e+03|2.918464132e+03|2.908612886e+03|2.874908872e+03|2.942316901e+03|5.429850425e+01|6.700268087e+01|9.849562619e+01|8.860531333e+01|5.488848908e+01|1.223221376e+02|2.348943719e+03|2.361874951e+03|2.378373117e+03|2.379952103e+03|2.349438969e+03|2.410465236e+03|1.156502753e+02|1.389392032e+02|1.580467777e+02|1.478071139e+02|1.042391094e+02|1.913751183e+02|4.476146560e+09|4.539126016e+09|4.626383872e+09|4.998111744e+09|4.453776896e+09|5.542446592e+09|1.672675840e+09|2.148818048e+09|2.624847360e+09|2.312773376e+09|1.167123200e+09|3.458423808e+09|3.205698608e+03|3.213975708e+03|3.219721985e+03|3.220704590e+03|3.199551514e+03|3.241858154e+03
9.363474882e+05|9.367110558e+05|6.067956979e+05|5.909370662e+05|2.966015312e+06|2.998015125e+06|3.068928188e+06|3.064525500e+06|2.969984750e+06|3.159066000e+06|1.443921250e+05|1.797771250e+05|2.514703125e+05|2.411827969e+05|1.448008594e+05|3.375647500e+05|2.874131840e+03|2.888423612e+03|2.919598095e+03|2.912777877e+03|2.875492928e+03|2.950062826e+03|5.415086682e+01|6.846610999e+01|9.962245055e+01|9.277320346e+01|5.548683577e+01|1.300595712e+02|2.346997170e+03|2.364469068e+03|2.377586228e+03|2.377374348e+03|2.349621351e+03|2.405127345e+03|1.178129115e+02|1.357982190e+02|1.547528624e+02|1.464622621e+02|1.108394236e+02|1.820851006e+02|4.454041216e+09|4.544748032e+09|4.617265920e+09|4.974163968e+09|4.434028544e+09|5.514299392e+09|1.787919424e+09|2.073374976e+09|2.578050368e+09|2.340312832e+09|1.341763200e+09|3.338862336e+09|3.202991394e+03|3.213590332e+03|3.219101257e+03|3.217394043e+03|3.193241211e+03|3.241548096e+03
9.438923849e+05|9.438787561e+05|6.222189021e+05|6.209492443e+05|2.969886625e+06|3.000402000e+06|3.059884000e+06|3.035471250e+06|2.970371750e+06|3.100570500e+06|1.434731875e+05|1.765920000e+05|2.443046250e+05|2.120117812e+05|1.435961719e+05|2.804273438e+05|2.875459524e+03|2.888805374e+03|2.917568066e+03|2.905379713e+03|2.875619834e+03|2.935139591e+03|5.541075753e+01|6.881789285e+01|9.754967515e+01|8.536337945e+01|5.561311412e+01|1.151136448e+02|2.350628679e+03|2.364590287e+03|2.376062259e+03|2.362979995e+03|2.349849765e+03|2.376110225e+03|1.132290666e+02|1.358643559e+02|1.530768230e+02|1.315709892e+02|1.073592622e+02|1.557827162e+02|4.437981440e+09|4.537734656e+09|4.608732928e+09|4.523743744e+09|4.427161600e+09|4.620326912e+09|1.700973248e+09|2.112829952e+09|2.389606208e+09|1.865548160e+09|1.217720704e+09|2.513376256e+09|3.198233826e+03|3.211933105e+03|3.218666870e+03|3.205263184e+03|3.192069092e+03|3.218457520e+03
9.512505996e+05|9.514400972e+05|6.476676393e+05|6.434518098e+05|2.971571188e+06|3.010047750e+06|3.069296750e+06|3.046350500e+06|2.973741000e+06|3.118959750e+06|1.523775000e+05|1.834981250e+05|2.523381875e+05|2.231561875e+05|1.481338438e+05|2.981785312e+05|2.876192083e+03|2.893012707e+03|2.921197762e+03|2.910351334e+03|2.876962991e+03|2.943739677e+03|5.623570304e+01|7.304278542e+01|1.011220105e+02|9.033825271e+01|5.695836262e+01|1.237181428e+02|2.350785915e+03|2.368124977e+03|2.375772032e+03|2.364177837e+03|2.351553252e+03|2.376802423e+03|1.169317909e+02|1.402547392e+02|1.545621321e+02|1.339809817e+02|1.099221498e+02|1.580398136e+02|4.430164480e+09|4.529284864e+09|4.609709952e+09|4.519695360e+09|4.402196480e+09|4.637193728e+09|1.683155456e+09|2.105247872e+09|2.516079872e+09|1.907844096e+09|1.180876928e+09|2.634811648e+09|3.198738037e+03|3.211160278e+03|3.218707214e+03|3.203090576e+03|3.187807617e+03|3.218372803e+03
9.583134725e+05|9.583931476e+05|6.775488375e+05|6.737627648e+05|2.969298875e+06|3.010767375e+06|3.068959062e+06|3.044355500e+06|2.971154250e+06|3.117557000e+06|1.401307500e+05|1.829807500e+05|2.470620625e+05|2.203520938e+05|1.448213594e+05|2.958828438e+05|2.874635702e+03|2.893184955e+03|2.920924222e+03|2.908628465e+03|2.875842506e+03|2.941414423e+03|5.454248427e+01|7.316087057e+01|1.008564947e+02|8.861862414e+01|5.582853479e+01|1.214087135e+02|2.350626157e+03|2.368003810e+03|2.376964581e+03|2.366206075e+03|2.350075541e+03|2.382336609e+03|1.105269611e+02|1.354867096e+02|1.503744343e+02|1.332257257e+02|1.077179586e+02|1.587334929e+02|4.440811904e+09|4.546049536e+09|4.616304640e+09|4.589961728e+09|4.413918208e+09|4.766003712e+09|1.695941952e+09|2.030487680e+09|2.406721280e+09|1.874589824e+09|1.190699136e+09|2.558480128e+09|3.199491394e+03|3.211937012e+03|3.219070557e+03|3.206366455e+03|3.191477295e+03|3.221255371e+03
9.647677127e+05|9.648757881e+05|7.014430833e+05|6.940803101e+05|2.970037750e+06|3.014784250e+06|3.049757375e+06|3.042621500e+06|2.970598750e+06|3.114644250e+06|1.450693750e+05|1.847172500e+05|2.300523750e+05|2.176080156e+05|1.418524219e+05|2.933635938e+05|2.874608002e+03|2.895700749e+03|2.911563901e+03|2.907730702e+03|2.876046693e+03|2.939414710e+03|5.454934303e+01|7.560887998e+01|9.153367093e+01|8.769946852e+01|5.602706488e+01|1.193718722e+02|2.350865129e+03|2.369391059e+03|2.376835930e+03|2.366883688e+03|2.348127104e+03|2.385640271e+03|1.031785953e+02|1.388157688e+02|1.575394529e+02|1.342847366e+02|9.963755648e+01|1.689319167e+02|4.432245504e+09|4.537518336e+09|4.629372928e+09|4.587674624e+09|4.336846336e+09|4.838502400e+09|1.723578880e+08|2.003189888e+09|2.519229760e+09|1.861227008e+09|8.167246080e+08|2.905729536e+09|3.199981750e+03|3.211343506e+03|3.219819641e+03|3.206645264e+03|3.189500977e+03|3.223790039e+03
9.707978353e+05|9.707356794e+05|7.109857280e+05|7.114481703e+05|2.963741125e+06|3.002562750e+06|3.069426062e+06|3.045886000e+06|2.959960750e+06|3.131811000e+06|1.318969375e+05|1.782383750e+05|2.522905000e+05|2.209400625e+05|1.334669531e+05|3.084131250e+05|2.872755773e+03|2.890730835e+03|2.921849229e+03|2.910773803e+03|2.873148147e+03|2.948399459e+03|5.272986372e+01|7.073762406e+01|1.018670988e+02|9.076624753e+01|5.313804898e+01|1.283944461e+02|2.346099271e+03|2.365924157e+03|2.375738573e+03|2.358061491e+03|2.335759013e+03|2.380363970e+03|9.947810500e+01|1.345896375e+02|1.460117150e+02|1.234560566e+02|9.164133056e+01|1.552707826e+02|4.378837888e+09|4.511650816e+09|4.613592704e+09|4.383467520e+09|4.045486080e+09|4.721449472e+09|2.706453120e+08|1.901992320e+09|2.322144128e+09|1.597942656e+09|6.887713920e+08|2.507113984e+09|3.187040100e+03|3.208470215e+03|3.219308472e+03|3.197168457e+03|3.174290527e+03|3.220046143e+03
9.762719896e+05|9.760417412e+05|7.311361492e+05|7.337015865e+05|2.956533312e+06|2.989488000e+06|3.043185688e+06|3.033003750e+06|2.952007000e+06|3.114000250e+06|1.288246875e+05|1.737153750e+05|2.303797500e+05|2.120713125e+05|1.276890391e+05|2.964536250e+05|2.870054154e+03|2.885184062e+03|2.909748664e+03|2.904466256e+03|2.870681983e+03|2.938250529e+03|5.009745026e+01|6.510806449e+01|8.975038071e+01|8.444790100e+01|5.066054461e+01|1.182352574e+02|2.343314764e+03|2.359646728e+03|2.375097673e+03|2.356454132e+03|2.328360203e+03|2.384548061e+03|9.174574906e+01|1.381776712e+02|1.546912433e+02|1.317927535e+02|9.331557568e+01|1.702699314e+02|4.388733824e+09|4.510757888e+09|4.632354560e+09|4.390905856e+09|3.884891392e+09|4.896920576e+09|1.054959168e+09|2.078121600e+09|2.505298432e+09|2.004810112e+09|1.012115648e+09|2.997504512e+09|3.183637024e+03|3.211977539e+03|3.219497498e+03|3.199757568e+03|3.174301758e+03|3.225212891e+03
