#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
8.733558711e+04|7.590710697e+09|7.675933174e+09|7.772265542e+09|0.000000|0.000000|0.000000
1.331394688e+05|7.585592114e+09|7.649277884e+09|7.718199028e+09|0.000000|0.000000|0.000000
1.582883822e+05|7.559243745e+09|7.614894173e+09|7.674163883e+09|0.000000|0.000000|0.000000
1.782645046e+05|7.527920293e+09|7.578717563e+09|7.632472238e+09|0.000000|0.000000|0.000000
1.960346549e+05|7.493017150e+09|7.540457006e+09|7.590638476e+09|0.000000|0.000000|0.000000
2.134945378e+05|7.452784670e+09|7.497674267e+09|7.545368492e+09|0.000000|0.000000|0.000000
2.278415090e+05|7.415637842e+09|7.458906293e+09|7.505193529e+09|0.000000|0.000000|0.000000
2.429639419e+05|7.372763983e+09|7.414718080e+09|7.460039328e+09|0.000000|0.000000|0.000000
2.561519517e+05|7.332450538e+09|7.373540522e+09|7.418378648e+09|0.000000|0.000000|0.000000
2.691603283e+05|7.290174574e+09|7.330630380e+09|7.375259480e+09|0.000000|0.000000|0.000000
2.818566032e+05|7.246638081e+09|7.286651382e+09|7.331282468e+09|0.000000|0.000000|0.000000
2.936399262e+05|7.204323875e+09|7.244057163e+09|7.288832816e+09|0.000000|0.000000|0.000000
3.047415427e+05|7.162855372e+09|7.202420701e+09|7.247428109e+09|0.000000|0.000000|0.000000
3.159735044e+05|7.119385705e+09|7.158859266e+09|7.204169442e+09|0.000000|0.000000|0.000000
3.271778075e+05|7.074566200e+09|7.114011974e+09|7.159669326e+09|0.000000|0.000000|0.000000
3.366568912e+05|7.035552303e+09|7.075014641e+09|7.120985327e+09|0.000000|0.000000|0.000000
3.473310276e+05|6.990456860e+09|7.029972658e+09|7.076302675e+09|0.000000|0.000000|0.000000
3.569855563e+05|6.948638046e+09|6.988227054e+09|7.034876465e+09|0.000000|0.000000|0.000000
3.659958211e+05|6.908748756e+09|6.948422394e+09|6.995356539e+09|0.000000|0.000000|0.000000
3.753109166e+05|6.866654472e+09|6.906428123e+09|6.953635974e+09|0.000000|0.000000|0.000000
3.844128292e+05|6.824698595e+09|6.864579122e+09|6.912028343e+09|0.000000|0.000000|0.000000
3.937495047e+05|6.780826228e+09|6.820823285e+09|6.868488410e+09|0.000000|0.000000|0.000000
4.019226505e+05|6.741735690e+09|6.781839085e+09|6.829663799e+09|0.000000|0.000000|0.000000
4.095413074e+05|6.704725582e+09|6.744931077e+09|6.792878039e+09|0.000000|0.000000|0.000000
4.185396422e+05|6.660306618e+09|6.700636135e+09|6.748693130e+09|0.000000|0.000000|0.000000
4.274991182e+05|6.615321053e+09|6.655778057e+09|6.703906950e+09|0.000000|0.000000|0.000000
4.351939810e+05|6.576080788e+09|6.616651188e+09|6.664811965e+09|0.000000|0.000000|0.000000
4.414896230e+05|6.543559362e+09|6.584225946e+09|6.632392762e+09|0.000000|0.000000|0.000000
4.497107653e+05|6.500524073e+09|6.541322176e+09|6.589470866e+09|0.000000|0.000000|0.000000
4.576732432e+05|6.458225703e+09|6.499159385e+09|6.547264227e+09|0.000000|0.000000|0.000000
4.658637860e+05|6.414075519e+09|6.455159519e+09|6.503194884e+09|0.000000|0.000000|0.000000
4.730893787e+05|6.374580971e+09|6.415809043e+09|6.463765221e+09|0.000000|0.000000|0.000000
4.789332122e+05|6.342259806e+09|6.383613915e+09|6.431495715e+09|0.000000|0.000000|0.000000
4.859203504e+05|6.303163786e+09|6.344681816e+09|6.392465014e+09|0.000000|0.000000|0.000000
4.941301211e+05|6.256587935e+09|6.298320294e+09|6.345978224e+09|0.000000|0.000000|0.000000
5.014674527e+05|6.214366272e+09|6.256313614e+09|6.303855407e+09|0.000000|0.000000|0.000000
5.075889990e+05|6.178701952e+09|6.220848276e+09|6.268293548e+09|0.000000|0.000000|0.000000
5.144224876e+05|6.138408797e+09|6.180801269e+09|6.228142921e+09|0.000000|0.000000|0.000000
5.202471328e+05|6.103655591e+09|6.146280299e+09|6.193540170e+09|0.000000|0.000000|0.000000
5.272095566e+05|6.061609504e+09|6.104542145e+09|6.151716348e+09|0.000000|0.000000|0.000000
5.349208362e+05|6.014384821e+09|6.057701656e+09|6.104802303e+09|0.000000|0.000000|0.000000
5.412979555e+05|5.974796239e+09|6.018469015e+09|6.065530943e+09|0.000000|0.000000|0.000000
5.465025075e+05|5.942119572e+09|5.986111052e+09|6.033159591e+09|0.000000|0.000000|0.000000
5.527197720e+05|5.902641933e+09|5.947050296e+09|5.994108161e+09|0.000000|0.000000|0.000000
5.586646007e+05|5.864433050e+09|5.909279894e+09|5.956376486e+09|0.000000|0.000000|0.000000
5.650450476e+05|5.822910139e+09|5.868274637e+09|5.915450112e+09|0.000000|0.000000|0.000000
5.720338310e+05|5.776800941e+09|5.822793099e+09|5.870105662e+09|0.000000|0.000000|0.000000
5.785113509e+05|5.733462744e+09|5.780098025e+09|5.827591328e+09|0.000000|0.000000|0.000000
5.830716141e+05|5.702595625e+09|5.749721682e+09|5.797376680e+09|0.000000|0.000000|0.000000
5.880532833e+05|5.668531709e+09|5.716232037e+09|5.764099233e+09|0.000000|0.000000|0.000000
5.945651845e+05|5.623449214e+09|5.671963939e+09|5.720169444e+09|0.000000|0.000000|0.000000
6.008557397e+05|5.579286096e+09|5.628660614e+09|5.677264582e+09|0.000000|0.000000|0.000000
6.069866068e+05|5.535647987e+09|5.585934263e+09|5.635000682e+09|0.000000|0.000000|0.000000
6.129527662e+05|5.492601665e+09|5.543849599e+09|5.593442318e+09|0.000000|0.000000|0.000000
6.179255107e+05|5.456274051e+09|5.508382803e+09|5.558476043e+09|0.000000|0.000000|0.000000
6.227203793e+05|5.420850198e+09|5.473842638e+09|5.524475317e+09|0.000000|0.000000|0.000000
6.277662100e+05|5.383143307e+09|5.437125264e+09|5.488389510e+09|0.000000|0.000000|0.000000
6.335328627e+05|5.339498315e+09|5.394689591e+09|5.446760824e+09|0.000000|0.000000|0.000000
6.402346609e+05|5.288016765e+09|5.344724207e+09|5.397855126e+09|0.000000|0.000000|0.000000
6.464938367e+05|5.239177399e+09|5.297414359e+09|5.351661439e+09|0.000000|0.000000|0.000000
6.514036470e+05|5.200340561e+09|5.259857972e+09|5.315071494e+09|0.000000|0.000000|0.000000
6.552495455e+05|5.169588687e+09|5.230160713e+09|5.286189943e+09|0.000000|0.000000|0.000000
6.601220368e+05|5.130202385e+09|5.192178105e+09|5.249318169e+09|0.000000|0.000000|0.000000
6.651509895e+05|5.089041804e+09|5.152548438e+09|5.210929758e+09|0.000000|0.000000|0.000000
6.706562955e+05|5.043375015e+09|5.108657162e+09|5.168513055e+09|0.000000|0.000000|0.000000
6.779689516e+05|4.981707770e+09|5.049516775e+09|5.111528718e+09|0.000000|0.000000|0.000000
6.836145041e+05|4.933290022e+09|5.003187489e+09|5.067026541e+09|0.000000|0.000000|0.000000
6.878056649e+05|4.896877740e+09|4.968406536e+09|5.033698191e+09|0.000000|0.000000|0.000000
6.916548278e+05|4.863078317e+09|4.936168070e+09|5.002868792e+09|0.000000|0.000000|0.000000
6.954462660e+05|4.829444381e+09|4.904132074e+09|4.972293228e+09|0.000000|0.000000|0.000000
6.994536898e+05|4.793519715e+09|4.869963323e+09|4.939748790e+09|0.000000|0.000000|0.000000
7.055970751e+05|4.737683941e+09|4.816957286e+09|4.889399822e+09|0.000000|0.000000|0.000000
7.116268244e+05|4.681961022e+09|4.764180129e+09|4.839435498e+09|0.000000|0.000000|0.000000
7.180700774e+05|4.621381744e+09|4.706940721e+09|4.785436906e+09|0.000000|0.000000|0.000000
7.235616404e+05|4.568883822e+09|4.657452235e+09|4.738910896e+09|0.000000|0.000000|0.000000
7.270292717e+05|4.535314240e+09|4.625862731e+09|4.709290569e+09|0.000000|0.000000|0.000000
7.302012450e+05|4.504317201e+09|4.596732420e+09|4.682030266e+09|0.000000|0.000000|0.000000
7.338466267e+05|4.468347040e+09|4.562974465e+09|4.650504476e+09|0.000000|0.000000|0.000000
7.386285472e+05|4.420590378e+09|4.518230774e+09|4.608827199e+09|0.000000|0.000000|0.000000
7.453275629e+05|4.352572617e+09|4.454652442e+09|4.549817765e+09|0.000000|0.000000|0.000000
7.511974299e+05|4.291877202e+09|4.398063995e+09|4.497504984e+09|0.000000|0.000000|0.000000
7.560445432e+05|4.240966233e+09|4.350702500e+09|4.453873245e+09|0.000000|0.000000|0.000000
7.600359939e+05|4.198533310e+09|4.311294971e+09|4.400477679e+09|1.000000|1.000000|5.000000
7.626016762e+05|4.170852515e+09|4.285641113e+09|4.385262603e+09|1.000000|1.000000|5.000000
7.653579299e+05|4.141115671e+09|4.258081761e+09|4.368917396e+09|1.000000|1.000000|5.000000
7.688404958e+05|4.103542744e+09|4.223260126e+09|4.348264993e+09|1.000000|1.000000|5.000000
7.738840909e+05|4.049128087e+09|4.172830003e+09|4.318355334e+09|1.000000|1.000000|5.000000
7.872665724e+05|3.904746324e+09|4.039020650e+09|4.238994193e+09|1.000000|1.000000|5.000000
7.933830582e+05|3.838756396e+09|3.977862860e+09|4.202722050e+09|1.000000|1.000000|5.000000
7.956732368e+05|3.814047973e+09|3.954963720e+09|4.189140774e+09|1.000000|1.000000|5.000000
7.974191711e+05|3.795211326e+09|3.937506394e+09|4.178786988e+09|1.000000|1.000000|5.000000
7.989966103e+05|3.778192550e+09|3.921733825e+09|4.169432418e+09|1.000000|1.000000|5.000000
