#RRR|Lz25|Lz50|Lz75|Lzmean|
8.765619537e+04|5.630867987e+23|1.154602196e+24|1.946751017e+24|1.291724982e+24|1.291724982e+26
1.330525175e+05|2.064175058e+24|2.994901872e+24|3.837877759e+24|2.871052766e+24|2.871052766e+26
1.580484122e+05|2.573682414e+24|4.149202140e+24|5.398377315e+24|3.824909681e+24|3.824909681e+26
1.773436366e+05|3.176012999e+24|5.486083854e+24|6.713126318e+24|4.927036361e+24|4.927036361e+26
1.927979886e+05|3.504737645e+24|6.355796515e+24|7.745511369e+24|5.631713654e+24|5.631713654e+26
2.056432665e+05|4.897699000e+24|7.773456077e+24|9.291189424e+24|6.981759092e+24|6.981759092e+26
2.184662258e+05|4.329611622e+24|8.381394528e+24|1.044317826e+25|7.184782998e+24|7.184782998e+26
2.284872458e+05|5.567609306e+24|8.769912928e+24|1.100817501e+25|8.212703518e+24|8.212703518e+26
2.382455188e+05|6.107034685e+24|9.939277867e+24|1.252027062e+25|9.126155462e+24|9.126155462e+26
2.472720931e+05|5.396137310e+24|1.135258471e+25|1.339642079e+25|9.422050310e+24|9.422050310e+26
2.561872184e+05|6.885929885e+24|1.113106234e+25|1.430063844e+25|1.027245650e+25|1.027245650e+27
2.637384996e+05|7.398273360e+24|1.276162110e+25|1.520056315e+25|1.124537490e+25|1.124537490e+27
2.710653682e+05|8.455134887e+24|1.241031514e+25|1.607001807e+25|1.162295713e+25|1.162295713e+27
2.781871351e+05|9.621663249e+24|1.454049334e+25|1.667608041e+25|1.265177868e+25|1.265177868e+27
2.846882038e+05|7.059157807e+24|1.472165347e+25|1.839512127e+25|1.280511158e+25|1.280511158e+27
2.915561844e+05|8.345897471e+24|1.443796675e+25|1.849745872e+25|1.290548136e+25|1.290548136e+27
2.978666165e+05|8.817880486e+24|1.632227550e+25|1.950486214e+25|1.410806615e+25|1.410806615e+27
3.033479307e+05|1.031336620e+25|1.585654157e+25|1.984492346e+25|1.458490399e+25|1.458490399e+27
3.089765041e+05|1.272599136e+25|1.785699381e+25|2.117005165e+25|1.635171789e+25|1.635171789e+27
3.144397594e+05|1.036641895e+25|1.887336737e+25|2.213963727e+25|1.613958182e+25|1.613958182e+27
3.197972319e+05|9.287546621e+24|1.661373215e+25|2.233471908e+25|1.518643699e+25|1.518643699e+27
3.249485983e+05|1.011011601e+25|1.671565888e+25|2.348085799e+25|1.590554069e+25|1.590554069e+27
3.302103316e+05|1.129062290e+25|2.079996104e+25|2.436012028e+25|1.773420799e+25|1.773420799e+27
3.351118667e+05|1.093165789e+25|2.031749581e+25|2.371673384e+25|1.725657476e+25|1.725657476e+27
3.396413962e+05|1.404537330e+25|2.040077970e+25|2.536187504e+25|1.867998295e+25|1.867998295e+27
3.438453525e+05|1.381478150e+25|2.185142240e+25|2.660465111e+25|1.973372598e+25|1.973372598e+27
3.483486494e+05|1.392025713e+25|2.231086331e+25|2.714255906e+25|1.953492724e+25|1.953492724e+27
