#RRR|Lz25|Lz50|Lz75|Lzmean|
8.752119000e+04|5.444025516e+23|1.151295761e+24|1.870969557e+24|1.211311694e+24|1.211311694e+26
1.331921209e+05|1.430689503e+24|2.896099800e+24|3.616424426e+24|2.584594999e+24|2.584594999e+26
1.579842174e+05|2.239938911e+24|3.736874385e+24|5.051059731e+24|3.570978943e+24|3.570978943e+26
1.770189653e+05|3.953144749e+24|5.254806265e+24|6.280398382e+24|4.768896264e+24|4.768896264e+26
1.924756179e+05|2.985788093e+24|5.604044273e+24|7.385240116e+24|5.104841386e+24|5.104841386e+26
2.059876606e+05|4.461216497e+24|7.260478390e+24|8.672697973e+24|6.464244619e+24|6.464244619e+26
2.180497030e+05|4.580865491e+24|7.857023304e+24|9.707417241e+24|6.957191411e+24|6.957191411e+26
2.276754025e+05|4.606598761e+24|7.471263750e+24|1.043869575e+25|7.242647725e+24|7.242647725e+26
2.386193912e+05|5.755823012e+24|9.810016730e+24|1.151585109e+25|8.496166035e+24|8.496166035e+26
2.475697864e+05|6.178498999e+24|1.043315134e+25|1.246793790e+25|9.226390596e+24|9.226390596e+26
2.553135535e+05|6.454997620e+24|1.055502834e+25|1.280413587e+25|9.404082164e+24|9.404082164e+26
2.628112083e+05|6.085294715e+24|1.119523241e+25|1.414049909e+25|9.772123528e+24|9.772123528e+26
2.709877743e+05|6.892395837e+24|1.175706723e+25|1.509429437e+25|1.084037803e+25|1.084037803e+27
2.784109364e+05|7.999690941e+24|1.245940340e+25|1.610430745e+25|1.152721713e+25|1.152721713e+27
2.848374007e+05|8.385965560e+24|1.323650718e+25|1.666158156e+25|1.202750191e+25|1.202750191e+27
2.908671593e+05|6.299710689e+24|1.406254594e+25|1.695383240e+25|1.201913710e+25|1.201913710e+27
2.970910269e+05|7.079371787e+24|1.289967219e+25|1.729649975e+25|1.200505002e+25|1.200505002e+27
3.025361944e+05|1.027970056e+25|1.566231464e+25|1.895004619e+25|1.397629110e+25|1.397629110e+27
3.087014047e+05|1.038195609e+25|1.585424017e+25|1.986651762e+25|1.430386720e+25|1.430386720e+27
3.146102745e+05|8.049636095e+24|1.650420859e+25|2.018745760e+25|1.433069079e+25|1.433069079e+27
3.201083272e+05|1.049653988e+25|1.620802014e+25|2.092268905e+25|1.471532800e+25|1.471532800e+27
3.250181099e+05|9.254236708e+24|1.798376025e+25|2.064102776e+25|1.512421056e+25|1.512421056e+27
3.291257641e+05|1.245959796e+25|1.758975493e+25|2.233179697e+25|1.630912592e+25|1.630912592e+27
3.335658932e+05|9.387829645e+24|1.839985282e+25|2.288541741e+25|1.608786571e+25|1.608786571e+27
3.391017982e+05|1.081399694e+25|1.861859436e+25|2.326087413e+25|1.645568748e+25|1.645568748e+27
3.437863840e+05|1.144895507e+25|1.841277108e+25|2.447645893e+25|1.707282756e+25|1.707282756e+27
3.481982560e+05|1.369024339e+25|2.137872905e+25|2.517863348e+25|1.847875850e+25|1.847875850e+27
3.527704476e+05|1.195193158e+25|2.051914800e+25|2.593378229e+25|1.860196922e+25|1.860196922e+27
3.571596757e+05|1.096524023e+25|1.905834317e+25|2.501130026e+25|1.774763033e+25|1.774763033e+27
3.611598534e+05|1.238750320e+25|2.198157762e+25|2.662282569e+25|1.893779530e+25|1.893779530e+27
3.648237746e+05|1.516506827e+25|2.297242181e+25|2.667637750e+25|2.028781596e+25|2.028781596e+27
3.682780795e+05|1.441816491e+25|2.209876790e+25|2.721586996e+25|1.965784415e+25|1.965784415e+27
3.720177776e+05|1.117875950e+25|2.158724614e+25|2.803663543e+25|1.945943743e+25|1.945943743e+27
3.761087894e+05|1.274857246e+25|2.342636423e+25|2.938024958e+25|2.086846942e+25|2.086846942e+27
3.801118411e+05|1.301519738e+25|2.147776199e+25|2.919171318e+25|2.058182971e+25|2.058182971e+27
