#RRR|U50|U25|U75|Umean|T50|T25|T75|Tmean|P50|P25|P75|Pmean|rho50|rho25|rho75|Pmean|S
8.752119000e+04|1.872969749e+06|1.873578467e+06|1.874095899e+06|1.873528979e+06|2.727067035e+03|2.729686344e+03|2.731847061e+03|2.729418126e+03|9.366042579e+09|9.426518294e+09|9.475886009e+09|9.420064660e+09|6.563650391e+03|6.566493652e+03|6.568843018e+03|6.566202637e+03|2.019389281e+03
1.331921209e+05|1.872433892e+06|1.873102732e+06|1.873648162e+06|1.873023689e+06|2.724762616e+03|2.727639113e+03|2.729986348e+03|2.727265186e+03|9.313045770e+09|9.379228824e+09|9.433461053e+09|9.370742154e+09|6.561145630e+03|6.564270752e+03|6.566818848e+03|6.563863281e+03|2.019389281e+03
1.579842174e+05|1.872160664e+06|1.872609703e+06|1.873086987e+06|1.872670528e+06|2.723588112e+03|2.725518535e+03|2.727571379e+03|2.725762135e+03|9.286109863e+09|9.330408319e+09|9.377666856e+09|9.336161794e+09|6.559871582e+03|6.561967773e+03|6.564195068e+03|6.562230469e+03|2.019389281e+03
1.770189653e+05|1.871968491e+06|1.872576883e+06|1.873127855e+06|1.872598417e+06|2.722762235e+03|2.725377414e+03|2.727747203e+03|2.725449127e+03|9.267200076e+09|9.327165275e+09|9.381721759e+09|9.329000411e+09|6.558971680e+03|6.561814697e+03|6.564387695e+03|6.561890625e+03|2.019389281e+03
1.924756179e+05|1.871456683e+06|1.872057209e+06|1.872646876e+06|1.872064196e+06|2.720563513e+03|2.723143488e+03|2.725678385e+03|2.723163537e+03|9.216979076e+09|9.275926327e+09|9.334082641e+09|9.276664614e+09|6.556582275e+03|6.559385254e+03|6.562141846e+03|6.559406738e+03|2.019389281e+03
2.060103862e+05|1.871169543e+06|1.871764621e+06|1.872318703e+06|1.871771591e+06|2.719330475e+03|2.721886271e+03|2.724267419e+03|2.721913425e+03|9.188893123e+09|9.247170763e+09|9.301682644e+09|9.248018505e+09|6.555238159e+03|6.558020020e+03|6.560608154e+03|6.558047363e+03|2.019389281e+03
2.184238536e+05|1.871068820e+06|1.871668887e+06|1.872371273e+06|1.871707440e+06|2.718898039e+03|2.721474997e+03|2.724493412e+03|2.721631519e+03|9.179056437e+09|9.237776580e+09|9.306867169e+09|9.241646606e+09|6.554767944e+03|6.557573975e+03|6.560853394e+03|6.557741211e+03|2.019389281e+03
2.295141809e+05|1.871020636e+06|1.871536341e+06|1.871939700e+06|1.871521761e+06|2.718691183e+03|2.720905645e+03|2.722638519e+03|2.720841677e+03|9.174353496e+09|9.224782206e+09|9.264369579e+09|9.223522597e+09|6.554544189e+03|6.556955811e+03|6.558837891e+03|6.556883301e+03|2.019389281e+03
2.414551658e+05|1.870746610e+06|1.871247850e+06|1.871874085e+06|1.871302643e+06|2.717514993e+03|2.719666702e+03|2.722356581e+03|2.719892461e+03|9.147642498e+09|9.196546094e+09|9.257921077e+09|9.201988978e+09|6.553267700e+03|6.555604492e+03|6.558532959e+03|6.555850098e+03|2.019389281e+03
2.512729170e+05|1.870643903e+06|1.871126710e+06|1.871609642e+06|1.871161230e+06|2.717074230e+03|2.719146575e+03|2.721220498e+03|2.719291447e+03|9.137645834e+09|9.184709289e+09|9.231966602e+09|9.188304386e+09|6.552785645e+03|6.555040771e+03|6.557297729e+03|6.555196289e+03|2.019389281e+03
2.611739327e+05|1.870141822e+06|1.870753971e+06|1.871121356e+06|1.870650961e+06|2.714920265e+03|2.717546580e+03|2.719123587e+03|2.717098804e+03|9.088896242e+09|9.148359058e+09|9.184186154e+09|9.138436258e+09|6.550442505e+03|6.553299561e+03|6.555014038e+03|6.552810059e+03|2.019389281e+03
2.720825466e+05|1.870045168e+06|1.870572647e+06|1.871223420e+06|1.870714327e+06|2.714505743e+03|2.716768467e+03|2.719561807e+03|2.717360925e+03|9.079534388e+09|9.130715232e+09|9.194158118e+09|9.144460686e+09|6.549989746e+03|6.552451904e+03|6.555493896e+03|6.553095703e+03|2.019389281e+03
2.817685504e+05|1.869736844e+06|1.870228113e+06|1.870854342e+06|1.870236732e+06|2.713183702e+03|2.715290379e+03|2.717977365e+03|2.715298493e+03|9.049717720e+09|9.097260681e+09|9.158136685e+09|9.097640934e+09|6.548550293e+03|6.550846436e+03|6.553769165e+03|6.550851074e+03|2.019389281e+03
2.900242634e+05|1.869750554e+06|1.870131120e+06|1.870685052e+06|1.870179939e+06|2.713242478e+03|2.714874363e+03|2.717250814e+03|2.715071953e+03|9.051041977e+09|9.087859223e+09|9.141650033e+09|9.092478594e+09|6.548616333e+03|6.550390869e+03|6.552980347e+03|6.550603516e+03|2.019389281e+03
2.991105101e+05|1.869342652e+06|1.869861572e+06|1.870452555e+06|1.869997430e+06|2.711494101e+03|2.713718463e+03|2.716253199e+03|2.714280372e+03|9.011705877e+09|9.061770725e+09|9.119043914e+09|9.074658723e+09|6.546707886e+03|6.549132324e+03|6.551895264e+03|6.549742676e+03|2.019389281e+03
3.073336149e+05|1.869336634e+06|1.869820107e+06|1.870359898e+06|1.869994232e+06|2.711468305e+03|2.713540676e+03|2.715855688e+03|2.714268195e+03|9.011125501e+09|9.057762475e+09|9.110046207e+09|9.074458150e+09|6.546681641e+03|6.548939941e+03|6.551459839e+03|6.549728027e+03|2.019389281e+03
3.166727329e+05|1.868690501e+06|1.869316575e+06|1.870008380e+06|1.869215288e+06|2.708622076e+03|2.711382349e+03|2.714347980e+03|2.710867190e+03|8.946422242e+09|9.009194564e+09|9.075972709e+09|8.997261493e+09|6.543580688e+03|6.546587402e+03|6.549816772e+03|6.546024902e+03|2.019389281e+03
3.246356497e+05|1.868798067e+06|1.869292505e+06|1.870088645e+06|1.869349063e+06|2.709103650e+03|2.711279205e+03|2.714692199e+03|2.711454638e+03|8.957439696e+09|9.006877822e+09|9.083744640e+09|9.010640607e+09|6.544104736e+03|6.546477295e+03|6.550191406e+03|6.546665527e+03|2.019389281e+03
