#R_planet
1.982449100e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
9.838758774e+05|9.880091218e+05|9.794462715e+05|9.830761384e+05|3.092543125e+06|3.171534250e+06|3.236857438e+06|3.180727000e+06|3.095995000e+06|3.265459750e+06|2.724740625e+05|3.501008750e+05|4.248152500e+05|3.595870938e+05|2.718265938e+05|4.473476250e+05|2.906723240e+03|2.942618860e+03|2.967681575e+03|2.942006040e+03|2.909084628e+03|2.974927452e+03|8.674309169e+01|1.225902749e+02|1.476656758e+02|1.219912729e+02|8.908657816e+01|1.548959677e+02|2.452707065e+03|2.477989800e+03|2.490632132e+03|2.479418724e+03|2.450305735e+03|2.508531712e+03|2.161242993e+02|2.516523548e+02|2.865168448e+02|2.550836992e+02|2.131169050e+02|2.970504934e+02|7.030339968e+09|7.195731712e+09|7.423936640e+09|7.490905600e+09|6.999420928e+09|7.982387712e+09|4.457633280e+09|4.822335232e+09|5.716622592e+09|5.107970048e+09|4.064323840e+09|6.151616000e+09|3.283875122e+03|3.294505371e+03|3.303417480e+03|3.301251953e+03|3.282361328e+03|3.320143066e+03
1.007170691e+06|1.007352297e+06|1.003230276e+06|1.003451712e+06|3.072869750e+06|3.134647625e+06|3.200451062e+06|3.153974000e+06|3.074489500e+06|3.233459000e+06|2.513179375e+05|3.097631250e+05|3.896780000e+05|3.311924375e+05|2.457064062e+05|4.166785312e+05|2.904608902e+03|2.932052230e+03|2.960769187e+03|2.938290279e+03|2.904123189e+03|2.972457369e+03|8.453570821e+01|1.120767026e+02|1.407730862e+02|1.182572809e+02|8.410493032e+01|1.524096315e+02|2.426590363e+03|2.464655564e+03|2.478277667e+03|2.453335398e+03|2.423419815e+03|2.483250982e+03|1.863211892e+02|2.359512295e+02|2.680600982e+02|2.264916450e+02|1.818971411e+02|2.710861488e+02|6.750324992e+09|6.974574848e+09|7.265387776e+09|6.753027584e+09|6.206887936e+09|7.299165184e+09|2.847065792e+09|4.508096768e+09|5.247438976e+09|4.253995520e+09|3.053382912e+09|5.454607872e+09|3.273360474e+03|3.285863037e+03|3.298481873e+03|3.276531494e+03|3.254298096e+03|3.298765625e+03
1.020249132e+06|1.020403658e+06|1.015276183e+06|1.015829597e+06|3.052328688e+06|3.122750375e+06|3.176207188e+06|3.132993500e+06|3.056451250e+06|3.209535750e+06|2.281303125e+05|3.002843750e+05|3.603033125e+05|3.102548750e+05|2.298572031e+05|3.906525312e+05|2.899423714e+03|2.931712281e+03|2.956657596e+03|2.935900546e+03|2.899316335e+03|2.972484756e+03|7.944690597e+01|1.117397018e+02|1.365142641e+02|1.158839917e+02|7.930135213e+01|1.524666312e+02|2.395636585e+03|2.419007968e+03|2.455848183e+03|2.424520978e+03|2.394945705e+03|2.454096251e+03|1.635335542e+02|1.905106701e+02|2.371652649e+02|1.962262815e+02|1.576609606e+02|2.347916024e+02|5.041035392e+09|6.225258240e+09|6.996736512e+09|6.042119168e+09|5.091810816e+09|6.992426496e+09|2.518369408e+09|3.686237440e+09|4.539809792e+09|3.503358720e+09|2.367491072e+09|4.639225856e+09|3.210098145e+03|3.255608887e+03|3.293603027e+03|3.250472168e+03|3.209331299e+03|3.291613525e+03
1.031534185e+06|1.031671360e+06|1.025143938e+06|1.025660348e+06|3.008968125e+06|3.042745250e+06|3.094749000e+06|3.062633000e+06|3.009506500e+06|3.115759250e+06|1.882820000e+05|2.142467500e+05|2.783747500e+05|2.375340469e+05|1.794230156e+05|2.956450625e+05|2.886550200e+03|2.897518142e+03|2.921428570e+03|2.908762435e+03|2.885504463e+03|2.932020406e+03|6.655644594e+01|7.751730495e+01|1.013896031e+02|8.874406164e+01|6.547638729e+01|1.120117360e+02|2.374466475e+03|2.395160221e+03|2.418906134e+03|2.400045604e+03|2.374458296e+03|2.425632911e+03|1.415271265e+02|1.675356571e+02|1.924908556e+02|1.665995834e+02|1.308448948e+02|2.023542719e+02|4.708005504e+09|5.212202752e+09|6.610810368e+09|5.537695744e+09|4.724130816e+09|6.351260160e+09|2.089147840e+09|2.807690880e+09|3.995436928e+09|2.791460608e+09|1.654305152e+09|3.928616448e+09|3.214544067e+03|3.235299438e+03|3.281000488e+03|3.242269043e+03|3.210168213e+03|3.274369141e+03
1.040691433e+06|1.040710575e+06|1.033257923e+06|1.034762209e+06|3.005916000e+06|3.035527750e+06|3.074431375e+06|3.046983750e+06|3.002530000e+06|3.091437750e+06|1.845110625e+05|2.128332500e+05|2.507206875e+05|2.222535781e+05|1.753275781e+05|2.691795938e+05|2.881798923e+03|2.901803514e+03|2.915565127e+03|2.904629350e+03|2.883897832e+03|2.925360867e+03|6.182456032e+01|8.179599546e+01|9.559400297e+01|8.462009021e+01|6.387806837e+01|1.053621121e+02|2.370930309e+03|2.387254830e+03|2.401205921e+03|2.388625921e+03|2.369094493e+03|2.408157349e+03|1.419950315e+02|1.608956817e+02|1.786428692e+02|1.555515899e+02|1.273082306e+02|1.837949493e+02|4.594405248e+09|4.902179584e+09|5.568368384e+09|5.207389696e+09|4.554585600e+09|5.860193792e+09|1.825799232e+09|2.487307648e+09|3.292805248e+09|2.478791680e+09|1.478005888e+09|3.479577344e+09|3.206860107e+03|3.222598389e+03|3.249216919e+03|3.231548340e+03|3.204562256e+03|3.258535400e+03
1.047118182e+06|1.047334136e+06|1.039973484e+06|1.041264108e+06|3.001211125e+06|3.024799500e+06|3.052396125e+06|3.040168250e+06|3.000338250e+06|3.079998500e+06|1.826597500e+05|2.012185000e+05|2.263621875e+05|2.160873594e+05|1.752489062e+05|2.569258438e+05|2.887543624e+03|2.896947199e+03|2.912041908e+03|2.904556794e+03|2.886644060e+03|2.922469527e+03|6.749954919e+01|7.693839502e+01|9.207707099e+01|8.454789944e+01|6.662893331e+01|1.024668656e+02|2.368164742e+03|2.376784220e+03|2.387334188e+03|2.380376172e+03|2.367202420e+03|2.393549923e+03|1.386791155e+02|1.496408446e+02|1.641605823e+02|1.483872623e+02|1.261789526e+02|1.705955721e+02|4.505755008e+09|4.643949824e+09|4.962238336e+09|4.855471616e+09|4.480462848e+09|5.230480384e+09|1.807070784e+09|2.238523776e+09|2.782465408e+09|2.173888768e+09|1.336071680e+09|3.011705856e+09|3.205027161e+03|3.214992188e+03|3.226672546e+03|3.218976562e+03|3.201319336e+03|3.236632812e+03
1.052225767e+06|1.052171167e+06|1.045752771e+06|1.046957874e+06|2.986710750e+06|3.009165000e+06|3.051927562e+06|3.031627750e+06|2.985525000e+06|3.077731000e+06|1.556153750e+05|1.887778750e+05|2.297471250e+05|2.029605469e+05|1.528044375e+05|2.531165781e+05|2.881669807e+03|2.891749959e+03|2.908869396e+03|2.900946331e+03|2.881232256e+03|2.920660406e+03|6.167848501e+01|7.179906203e+01|8.878548054e+01|8.093057364e+01|6.121900710e+01|1.006421402e+02|2.357869028e+03|2.371636485e+03|2.383261306e+03|2.375827247e+03|2.358472106e+03|2.393182389e+03|9.561137305e+01|1.401169731e+02|1.638930084e+02|1.357343651e+02|1.006779353e+02|1.707907949e+02|4.449371776e+09|4.588444672e+09|4.935308672e+09|4.822193152e+09|4.433420800e+09|5.210964992e+09|2.791920640e+08|1.982146560e+09|2.683973248e+09|1.793291392e+09|5.652951680e+08|3.021287680e+09|3.206301941e+03|3.212923828e+03|3.225407593e+03|3.218810303e+03|3.202231201e+03|3.235389404e+03
1.056810595e+06|1.056818773e+06|1.048645315e+06|1.048563783e+06|2.980154750e+06|3.015539000e+06|3.049954312e+06|3.027300250e+06|2.985962000e+06|3.068639000e+06|1.655140000e+05|1.994466250e+05|2.273978125e+05|2.036870156e+05|1.602316250e+05|2.471424375e+05|2.880992782e+03|2.894770019e+03|2.907961926e+03|2.900446686e+03|2.882672016e+03|2.918221355e+03|6.094410601e+01|7.481523019e+01|8.798138387e+01|8.043884196e+01|6.266383159e+01|9.821385234e+01|2.356194810e+03|2.372622005e+03|2.382881957e+03|2.372509766e+03|2.356992176e+03|2.388027356e+03|1.274518826e+02|1.464843860e+02|1.582731006e+02|1.417507693e+02|1.156253777e+02|1.678761609e+02|4.393061376e+09|4.533147392e+09|4.738051840e+09|4.650594304e+09|4.387055616e+09|4.914132480e+09|1.698081728e+09|2.156888192e+09|2.852106752e+09|2.018591360e+09|1.123128704e+09|2.914053888e+09|3.203820312e+03|3.211926636e+03|3.220830688e+03|3.212889404e+03|3.200376221e+03|3.225402588e+03
1.062403639e+06|1.062116060e+06|1.055145134e+06|1.056608860e+06|2.977973688e+06|3.005606875e+06|3.042588125e+06|3.026149500e+06|2.978389500e+06|3.073908750e+06|1.542944375e+05|1.844321250e+05|2.262355000e+05|2.021650625e+05|1.482048125e+05|2.561252969e+05|2.879271955e+03|2.888732557e+03|2.906364953e+03|2.899180492e+03|2.878576671e+03|2.919784314e+03|5.929098759e+01|6.877235903e+01|8.638032188e+01|7.917066525e+01|5.855992126e+01|9.978140924e+01|2.353825148e+03|2.369678010e+03|2.384021605e+03|2.372272082e+03|2.353669484e+03|2.390874680e+03|1.138014080e+02|1.496774751e+02|1.780009578e+02|1.428125714e+02|1.059795372e+02|1.796456056e+02|4.459591936e+09|4.599491328e+09|4.773108352e+09|4.742477824e+09|4.432215040e+09|5.052740096e+09|1.279777728e+09|2.487359488e+09|3.197951872e+09|2.151275776e+09|9.636181760e+08|3.338933248e+09|3.209113770e+03|3.214747070e+03|3.221960632e+03|3.216511963e+03|3.204125244e+03|3.228899170e+03
1.068964715e+06|1.068750721e+06|1.062504895e+06|1.063686003e+06|2.983274312e+06|3.029858500e+06|3.069831062e+06|3.040939250e+06|2.985307500e+06|3.096571750e+06|1.587888750e+05|2.086667500e+05|2.562143750e+05|2.163634375e+05|1.538045469e+05|2.789223125e+05|2.881393752e+03|2.898814068e+03|2.921784157e+03|2.905878045e+03|2.881836758e+03|2.929919332e+03|6.133916713e+01|7.874198039e+01|1.017769488e+02|8.584659452e+01|6.181270308e+01|1.098804860e+02|2.352499662e+03|2.374961541e+03|2.385750242e+03|2.376055139e+03|2.355278768e+03|2.396831511e+03|1.019752206e+02|1.545187358e+02|1.804815127e+02|1.465633899e+02|1.038700575e+02|1.892567223e+02|4.427429376e+09|4.574225152e+09|4.787241600e+09|4.739339264e+09|4.391623168e+09|5.087055360e+09|1.006933760e+08|2.440614656e+09|3.303756032e+09|2.128600064e+09|8.199376000e+08|3.437262848e+09|3.204984558e+03|3.212832275e+03|3.222108765e+03|3.213970215e+03|3.200674072e+03|3.227266846e+03
