#RRR|U50|U25|U75|Umean|T50|T25|T75|Tmean|P50|P25|P75|Pmean|rho50|rho25|rho75|Pmean|S
8.765932712e+04|1.931727084e+06|1.933500054e+06|1.934553448e+06|1.933103472e+06|2.811782448e+03|2.819200767e+03|2.823614328e+03|2.817524823e+03|9.607039975e+09|9.770787689e+09|9.869053286e+09|9.734277301e+09|6.529401733e+03|6.537173828e+03|6.541794678e+03|6.535413574e+03|2.043343453e+03
1.331544813e+05|1.930785643e+06|1.932703811e+06|1.934068645e+06|1.932345561e+06|2.807848521e+03|2.815867615e+03|2.821582517e+03|2.814282054e+03|9.520681754e+09|9.696993994e+09|9.823737926e+09|9.662613766e+09|6.525280029e+03|6.533683105e+03|6.539666138e+03|6.532013672e+03|2.043343453e+03
1.584365208e+05|1.929755635e+06|1.931807010e+06|1.933810466e+06|1.931700993e+06|2.803406449e+03|2.812116610e+03|2.820500894e+03|2.811542838e+03|9.422159878e+09|9.614379983e+09|9.799670829e+09|9.602164022e+09|6.520620728e+03|6.529753174e+03|6.538534668e+03|6.529142090e+03|2.043343453e+03
1.773063216e+05|1.928885882e+06|1.931071117e+06|1.932899642e+06|1.930830727e+06|2.799598535e+03|2.809041026e+03|2.816687146e+03|2.807848553e+03|9.337613857e+09|9.546825377e+09|9.715104757e+09|9.520406114e+09|6.516626709e+03|6.526526611e+03|6.534540283e+03|6.525270020e+03|2.043343453e+03
1.931551362e+05|1.929537314e+06|1.931451103e+06|1.933049994e+06|1.930994999e+06|2.802450291e+03|2.810628851e+03|2.817316456e+03|2.808542572e+03|9.400885076e+09|9.581691559e+09|9.729026270e+09|9.535815679e+09|6.519617798e+03|6.528191650e+03|6.535199829e+03|6.525998047e+03|2.043343453e+03
2.062535239e+05|1.929143383e+06|1.931076088e+06|1.932865166e+06|1.930830019e+06|2.800725562e+03|2.809061795e+03|2.816542852e+03|2.807850321e+03|9.362586109e+09|9.547281011e+09|9.711914133e+09|9.520493660e+09|6.517808350e+03|6.526549316e+03|6.534389648e+03|6.525271484e+03|2.043343453e+03
2.186420293e+05|1.927378450e+06|1.929495345e+06|1.931980012e+06|1.929690178e+06|2.793006969e+03|2.802266496e+03|2.812839946e+03|2.802915184e+03|9.192435192e+09|9.396797900e+09|9.630273681e+09|9.411693212e+09|6.509705078e+03|6.519423340e+03|6.530510010e+03|6.520091797e+03|2.043343453e+03
2.303538610e+05|1.929323755e+06|1.930892159e+06|1.932138109e+06|1.930433561e+06|2.801515180e+03|2.808293439e+03|2.813501087e+03|2.806172720e+03|9.380106619e+09|9.530432533e+09|9.644817875e+09|9.483468414e+09|6.518635742e+03|6.525743896e+03|6.531203613e+03|6.523513184e+03|2.043343453e+03
2.415034764e+05|1.927423416e+06|1.929833153e+06|1.931449327e+06|1.929532482e+06|2.793203441e+03|2.803746002e+03|2.810621431e+03|2.802275395e+03|9.196740980e+09|9.429722663e+09|9.581528563e+09|9.397576072e+09|6.509910156e+03|6.520975830e+03|6.528184326e+03|6.519423828e+03|2.043343453e+03
2.522565503e+05|1.927750721e+06|1.929871067e+06|1.931392147e+06|1.929568615e+06|2.794633876e+03|2.803912082e+03|2.810382457e+03|2.802420905e+03|9.228135241e+09|9.433422790e+09|9.576276903e+09|9.400824951e+09|6.511413696e+03|6.521148926e+03|6.527936890e+03|6.519575684e+03|2.043343453e+03
