#RRR|Lz25|Lz50|Lz75|Lzmean|Lzsum|Isum
1.923520364e+04|5.616861799e+21|9.386814432e+21|1.660141164e+22|1.223459184e+22|1.223459184e+24|1.730245760e+28
3.321839560e+04|1.360641951e+22|2.270484320e+22|3.445460354e+22|2.453927844e+22|2.453927844e+24|4.832973516e+28
4.463775288e+04|1.439828315e+22|2.947505598e+22|4.283584772e+22|3.280362439e+22|3.280362439e+24|8.649261537e+28
5.362242120e+04|1.281678787e+22|2.604087558e+22|4.729590917e+22|3.704696600e+22|3.704696600e+24|1.242024486e+29
5.926200775e+04|1.319438889e+22|2.696710424e+22|4.416589479e+22|3.595324639e+22|3.595324639e+24|1.515310203e+29
6.490524952e+04|2.407944081e+22|4.245255947e+22|6.258552510e+22|4.744639076e+22|4.744639076e+24|1.824850744e+29
7.093697677e+04|2.267059980e+22|3.928177882e+22|6.131626519e+22|4.663882263e+22|4.663882263e+24|2.180435921e+29
7.674349494e+04|2.287546318e+22|3.959746122e+22|5.775164588e+22|4.530147885e+22|4.530147885e+24|2.550308061e+29
8.175465164e+04|2.499012001e+22|4.456778129e+22|6.297671084e+22|5.002934758e+22|5.002934758e+24|2.890965067e+29
8.654549455e+04|1.987963845e+22|4.275224174e+22|7.391010802e+22|5.292567592e+22|5.292567592e+24|3.242669595e+29
9.082224956e+04|2.672278472e+22|5.937885137e+22|8.877702332e+22|6.264610552e+22|6.264610552e+24|3.569637076e+29
9.550245686e+04|1.882613698e+22|5.721323920e+22|7.777485270e+22|5.991059588e+22|5.991059588e+24|3.938153337e+29
9.866939574e+04|3.072276643e+22|5.219479985e+22|9.510996922e+22|6.710672132e+22|6.710672132e+24|4.195008778e+29
1.021027930e+05|2.849176080e+22|6.218442741e+22|1.073687302e+23|7.773832321e+22|7.773832321e+24|4.510775499e+29
1.060542567e+05|3.261361515e+22|6.456415567e+22|1.040423731e+23|7.765123138e+22|7.765123138e+24|4.861763597e+29
1.100862627e+05|3.302348551e+22|5.243434447e+22|9.140162707e+22|6.799860840e+22|6.799860840e+24|5.254236686e+29
1.139693792e+05|3.544428229e+22|6.844807057e+22|1.000591525e+23|7.782920121e+22|7.782920121e+24|5.614061844e+29
1.179882871e+05|4.298201537e+22|7.586453608e+22|1.250176987e+23|8.853066444e+22|8.853066444e+24|6.001809282e+29
1.214738926e+05|3.118349728e+22|6.246678662e+22|1.130939996e+23|7.656601059e+22|7.656601059e+24|6.384418105e+29
1.243686172e+05|4.432136612e+22|7.421861148e+22|1.177427183e+23|9.062107207e+22|9.062107207e+24|6.688703248e+29
1.273330358e+05|3.523993833e+22|6.157785677e+22|9.950647791e+22|7.740481174e+22|7.740481174e+24|7.004193461e+29
1.302670663e+05|3.400675730e+22|7.199944100e+22|1.128187894e+23|9.086239238e+22|9.086239238e+24|7.349686421e+29
1.332330332e+05|3.808642526e+22|8.646426075e+22|1.446867833e+23|1.082707871e+23|1.082707871e+25|7.704100473e+29
1.360236101e+05|2.812624924e+22|7.030582740e+22|1.396183998e+23|8.993691579e+22|8.993691579e+24|7.996822036e+29
1.383867021e+05|2.960421380e+22|6.593042773e+22|1.404291783e+23|9.899870825e+22|9.899870825e+24|8.251890280e+29
1.410637826e+05|3.516924436e+22|7.527814076e+22|1.382281848e+23|9.968486376e+22|9.968486376e+24|8.614537546e+29
1.438219354e+05|3.666413467e+22|8.303703162e+22|1.473521969e+23|1.014131996e+23|1.014131996e+25|8.944966051e+29
1.465304654e+05|3.140145319e+22|8.109976567e+22|1.467106856e+23|1.115086746e+23|1.115086746e+25|9.280191045e+29
1.494126473e+05|4.136860443e+22|7.480130060e+22|1.585878831e+23|1.040433109e+23|1.040433109e+25|9.673805876e+29
1.521600521e+05|4.471028583e+22|9.846455502e+22|1.686816627e+23|1.370208630e+23|1.370208630e+25|1.003261619e+30
1.548861771e+05|3.107442777e+22|5.986744997e+22|1.313379006e+23|8.661228703e+22|8.661228703e+24|1.036309830e+30
1.575856344e+05|4.754253422e+22|1.069507870e+23|1.804874141e+23|1.270847210e+23|1.270847210e+25|1.072783369e+30
1.601214461e+05|5.117813852e+22|9.943585199e+22|1.658587600e+23|1.315325788e+23|1.315325788e+25|1.105852731e+30
1.625489135e+05|6.212550484e+22|9.806301403e+22|1.614554910e+23|1.235484714e+23|1.235484714e+25|1.136582557e+30
1.646971537e+05|4.898999786e+22|9.043673264e+22|1.895066377e+23|1.230929190e+23|1.230929190e+25|1.169912768e+30
1.672619776e+05|4.193972879e+22|1.060610718e+23|1.770183492e+23|1.339874440e+23|1.339874440e+25|1.211018127e+30
1.696978269e+05|4.743840712e+22|9.805919000e+22|2.006329752e+23|1.275137674e+23|1.275137674e+25|1.246605402e+30
1.720315881e+05|4.456433327e+22|1.131156743e+23|1.731665863e+23|1.382223324e+23|1.382223324e+25|1.283113553e+30
1.739695224e+05|5.204667618e+22|1.221786065e+23|1.940642068e+23|1.486366869e+23|1.486366869e+25|1.312830157e+30
1.762737237e+05|6.104207854e+22|1.038773884e+23|1.636061286e+23|1.318790958e+23|1.318790958e+25|1.338068874e+30
1.783963546e+05|5.419879233e+22|8.262558031e+22|1.665594271e+23|1.168557045e+23|1.168557045e+25|1.374078221e+30
1.804224097e+05|5.832576267e+22|1.145045419e+23|2.008840375e+23|1.482858087e+23|1.482858087e+25|1.404788948e+30
1.827055957e+05|6.022055444e+22|1.170511433e+23|2.008761341e+23|1.329468758e+23|1.329468758e+25|1.442732212e+30
1.852466233e+05|4.055248582e+22|1.051516104e+23|2.198780154e+23|1.446296218e+23|1.446296218e+25|1.485382363e+30
1.873018928e+05|7.725500090e+22|1.245063146e+23|2.058948623e+23|1.625897374e+23|1.625897374e+25|1.521774808e+30
