#R_planet
1.904306113e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
1.070878689e+06|1.076255480e+06|1.064872529e+06|1.066097545e+06|3.300992375e+06|3.354812125e+06|3.405162062e+06|3.361230750e+06|3.303751750e+06|3.418708500e+06|4.888287500e+05|5.426177500e+05|5.894083750e+05|5.469661875e+05|4.912457188e+05|6.026867500e+05|3.022641729e+03|3.044723378e+03|3.066714076e+03|3.046325641e+03|3.021021177e+03|3.071630105e+03|2.026760495e+02|2.243054007e+02|2.467184805e+02|2.262837018e+02|2.009751798e+02|2.515922237e+02|2.384837973e+03|2.398308019e+03|2.445113294e+03|2.413551018e+03|2.383888895e+03|2.443213141e+03|1.719225112e+02|1.956401888e+02|2.444882399e+02|2.078397888e+02|1.715179413e+02|2.441616362e+02|4.625180160e+09|4.942824960e+09|6.079159168e+09|5.323985920e+09|4.604592640e+09|6.043379200e+09|2.799617664e+09|3.540505856e+09|4.606473088e+09|3.671016192e+09|2.662777856e+09|4.679254528e+09|3.152321655e+03|3.163878906e+03|3.212551819e+03|3.178368652e+03|3.147173340e+03|3.209563721e+03
1.082398361e+06|1.082511649e+06|1.075746764e+06|1.077103281e+06|3.271787312e+06|3.334883875e+06|3.402293875e+06|3.339116750e+06|3.266966000e+06|3.411268250e+06|4.548104375e+05|5.133452500e+05|5.862835000e+05|5.229074688e+05|4.526142500e+05|5.932008125e+05|3.010418210e+03|3.039533086e+03|3.070554491e+03|3.041959660e+03|3.009220660e+03|3.074698661e+03|1.904020638e+02|2.194696591e+02|2.504678767e+02|2.219401950e+02|1.892038707e+02|2.546765194e+02|2.379449010e+03|2.385946914e+03|2.392652628e+03|2.389667958e+03|2.378487591e+03|2.400848325e+03|1.601848225e+02|1.787633343e+02|1.932784839e+02|1.775583260e+02|1.562779293e+02|1.988387228e+02|4.501105536e+09|4.651581696e+09|4.808896000e+09|4.742226944e+09|4.478395904e+09|5.006058496e+09|2.334531904e+09|2.933226112e+09|3.330888832e+09|2.859597824e+09|2.124061696e+09|3.595132928e+09|3.139622864e+03|3.157050903e+03|3.171593445e+03|3.157327148e+03|3.139721191e+03|3.174932861e+03
1.086458595e+06|1.086611240e+06|1.080615826e+06|1.081941128e+06|3.296567625e+06|3.342453750e+06|3.391170188e+06|3.346916250e+06|3.280447750e+06|3.413384000e+06|4.683911875e+05|5.219617500e+05|5.774628750e+05|5.293196250e+05|4.617993125e+05|5.968399375e+05|3.023394686e+03|3.042946244e+03|3.066543351e+03|3.046779123e+03|3.016428052e+03|3.077130195e+03|2.032107581e+02|2.229617526e+02|2.465587081e+02|2.267230002e+02|1.963575955e+02|2.570884050e+02|2.376072716e+03|2.381595286e+03|2.387131656e+03|2.383744704e+03|2.375666057e+03|2.391823351e+03|1.546972735e+02|1.684717849e+02|1.864375439e+02|1.700775918e+02|1.465843282e+02|1.935708554e+02|4.423703168e+09|4.547663872e+09|4.676830336e+09|4.602516480e+09|4.412900864e+09|4.792132096e+09|2.123412096e+09|2.697379584e+09|3.307021120e+09|2.620852480e+09|1.786062336e+09|3.455642880e+09|3.136624573e+03|3.148067261e+03|3.159925903e+03|3.149577881e+03|3.134202881e+03|3.164953125e+03
1.089530207e+06|1.089566705e+06|1.083485195e+06|1.084914226e+06|3.284713188e+06|3.332846875e+06|3.374080188e+06|3.336384000e+06|3.268712250e+06|3.404055250e+06|4.676850625e+05|5.212907500e+05|5.613238125e+05|5.213856250e+05|4.542240000e+05|5.885472500e+05|3.018491322e+03|3.041575893e+03|3.059736035e+03|3.042683621e+03|3.012205438e+03|3.073161804e+03|1.984977083e+02|2.210313070e+02|2.397122211e+02|2.225987294e+02|1.921198970e+02|2.530775619e+02|2.375460417e+03|2.377762289e+03|2.381762225e+03|2.380324065e+03|2.374140362e+03|2.386507768e+03|1.592668082e+02|1.743790291e+02|1.924689231e+02|1.757167828e+02|1.526281551e+02|1.988054104e+02|4.408923520e+09|4.461246976e+09|4.553342976e+09|4.521518592e+09|4.377621504e+09|4.665415168e+09|2.342689472e+09|2.940132480e+09|3.633894656e+09|2.872388864e+09|2.063447680e+09|3.681330176e+09|3.137963928e+03|3.147606445e+03|3.159017639e+03|3.148073486e+03|3.134957764e+03|3.161188477e+03
1.092470638e+06|1.092619463e+06|1.086880354e+06|1.087870515e+06|3.254526312e+06|3.327691500e+06|3.405069750e+06|3.333338000e+06|3.260891000e+06|3.405783750e+06|4.467112500e+05|5.124677500e+05|5.877767500e+05|5.194729062e+05|4.475105625e+05|5.914352500e+05|3.005585637e+03|3.039129662e+03|3.073265594e+03|3.041028579e+03|3.008107715e+03|3.073949443e+03|1.856050459e+02|2.189944753e+02|2.533117607e+02|2.209453299e+02|1.880330707e+02|2.538575890e+02|2.374055451e+03|2.379816308e+03|2.386721113e+03|2.381551955e+03|2.373339054e+03|2.389764856e+03|1.597441187e+02|1.746673088e+02|1.967492110e+02|1.798504739e+02|1.568146528e+02|2.028862950e+02|4.376295296e+09|4.509968640e+09|4.668843776e+09|4.551078912e+09|4.359187456e+09|4.742970368e+09|2.395991424e+09|2.989973120e+09|3.683600384e+09|3.015008000e+09|2.246114304e+09|3.783900928e+09|3.136882202e+03|3.148426270e+03|3.161659607e+03|3.149945068e+03|3.134436768e+03|3.165453125e+03
1.095528762e+06|1.095458371e+06|1.090313721e+06|1.091446536e+06|3.249083812e+06|3.308320625e+06|3.377776688e+06|3.317609000e+06|3.246109500e+06|3.389108250e+06|4.339749375e+05|4.952647500e+05|5.619804375e+05|5.034618438e+05|4.332353125e+05|5.736883750e+05|3.002484154e+03|3.030573755e+03|3.061330242e+03|3.034316523e+03|3.001702504e+03|3.066930542e+03|1.824138292e+02|2.105532259e+02|2.412281640e+02|2.142545057e+02|1.816144198e+02|2.468945917e+02|2.373196064e+03|2.377219683e+03|2.383225705e+03|2.379238849e+03|2.371839549e+03|2.386638148e+03|1.655660889e+02|1.798946517e+02|1.944135931e+02|1.774419055e+02|1.567975755e+02|1.980862356e+02|4.354971648e+09|4.448285696e+09|4.585795200e+09|4.496558080e+09|4.324422656e+09|4.668692480e+09|2.571867520e+09|3.104135936e+09|3.664007552e+09|2.972931072e+09|2.248247296e+09|3.697613824e+09|3.137291077e+03|3.150928467e+03|3.165000183e+03|3.150577881e+03|3.134149902e+03|3.167004883e+03
1.099012334e+06|1.098915849e+06|1.092933301e+06|1.094220715e+06|3.232430250e+06|3.302532000e+06|3.385028188e+06|3.311835750e+06|3.231350750e+06|3.392321250e+06|4.199640000e+05|4.824938750e+05|5.676626875e+05|4.995836875e+05|4.197127500e+05|5.794546250e+05|2.995078530e+03|3.027063833e+03|3.065931130e+03|3.032088493e+03|2.995177177e+03|3.068999809e+03|1.750798914e+02|2.070558008e+02|2.459429753e+02|2.120324626e+02|1.751599498e+02|2.489049754e+02|2.373052696e+03|2.376931164e+03|2.381235475e+03|2.377287630e+03|2.371034313e+03|2.383540947e+03|1.676196598e+02|1.806215757e+02|1.964720150e+02|1.805323613e+02|1.619695455e+02|1.990951770e+02|4.349734016e+09|4.441907456e+09|4.541767040e+09|4.450579456e+09|4.305199616e+09|4.595959296e+09|2.748864384e+09|3.201091968e+09|3.750277120e+09|3.133172992e+09|2.486082816e+09|3.780263680e+09|3.134414917e+03|3.154610962e+03|3.165677124e+03|3.149666260e+03|3.132252197e+03|3.167080078e+03
1.102720097e+06|1.102833126e+06|1.096773768e+06|1.097508977e+06|3.254808625e+06|3.324543625e+06|3.393449062e+06|3.325738500e+06|3.251760750e+06|3.399717500e+06|4.431754375e+05|5.070358750e+05|5.766976250e+05|5.113664688e+05|4.389238125e+05|5.838092500e+05|3.006673437e+03|3.038767194e+03|3.071235676e+03|3.038300572e+03|3.004230799e+03|3.072370344e+03|1.866092704e+02|2.187283455e+02|2.512157264e+02|2.182549312e+02|1.841921072e+02|2.523177551e+02|2.371933128e+03|2.378061945e+03|2.383663438e+03|2.377984181e+03|2.370709643e+03|2.385258719e+03|1.560357817e+02|1.752974322e+02|1.907742921e+02|1.736717530e+02|1.530219587e+02|1.943215473e+02|4.324430208e+09|4.468761088e+09|4.599002368e+09|4.467384832e+09|4.298963968e+09|4.635806720e+09|2.300321024e+09|2.971466880e+09|3.601440960e+09|2.862803200e+09|2.120041600e+09|3.605564672e+09|3.132378662e+03|3.150325195e+03|3.162303528e+03|3.147689941e+03|3.130924316e+03|3.164456055e+03
1.106117030e+06|1.105999380e+06|1.101685147e+06|1.104060157e+06|3.256628688e+06|3.306570750e+06|3.370376875e+06|3.321161000e+06|3.249071250e+06|3.393250000e+06|4.393053750e+05|4.921280000e+05|5.542223125e+05|5.071330312e+05|4.367600938e+05|5.775060000e+05|3.007064017e+03|3.029982381e+03|3.060633865e+03|3.036704459e+03|3.003911515e+03|3.069497402e+03|1.870187667e+02|2.099312176e+02|2.405926007e+02|2.166465765e+02|1.838560875e+02|2.494370656e+02|2.371178221e+03|2.375866524e+03|2.379940332e+03|2.375468992e+03|2.369578578e+03|2.381359406e+03|1.618316008e+02|1.768904505e+02|1.937539896e+02|1.744087117e+02|1.532985815e+02|1.955188419e+02|4.308964352e+09|4.418750208e+09|4.510784000e+09|4.408801792e+09|4.272227328e+09|4.545377280e+09|2.528823808e+09|3.007524864e+09|3.709181760e+09|2.911141120e+09|2.143166592e+09|3.679116032e+09|3.137042236e+03|3.147988159e+03|3.159037659e+03|3.145979736e+03|3.131199951e+03|3.160759277e+03
1.112032352e+06|1.110431683e+06|1.108310001e+06|1.108652339e+06|3.313340812e+06|3.378238125e+06|3.436212000e+06|3.378515250e+06|3.301985000e+06|3.455046500e+06|4.975891250e+05|5.570888750e+05|6.174535625e+05|5.623876250e+05|4.847855312e+05|6.399898125e+05|3.033383481e+03|3.065037301e+03|3.089020027e+03|3.063930712e+03|3.029020097e+03|3.098841327e+03|2.133830038e+02|2.447840313e+02|2.689416660e+02|2.438339721e+02|2.089741071e+02|2.786938371e+02|2.364776867e+03|2.372354845e+03|2.378116467e+03|2.370194587e+03|2.360751817e+03|2.379637357e+03|1.431329553e+02|1.667249600e+02|1.823244848e+02|1.634256385e+02|1.362938169e+02|1.905574600e+02|4.159891072e+09|4.336374016e+09|4.469363200e+09|4.288206848e+09|4.071191296e+09|4.505222656e+09|1.823824960e+09|2.726855168e+09|3.295338048e+09|2.537427712e+09|1.600320256e+09|3.474534144e+09|3.116799744e+03|3.130281250e+03|3.143646362e+03|3.129311279e+03|3.112791260e+03|3.145831787e+03
