#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
8.763234714e+04|8.489870930e+09|8.563542722e+09|8.678075320e+09|0.000000|0.000000|0.000000
1.333250461e+05|8.451098548e+09|8.517809080e+09|8.600162827e+09|0.000000|0.000000|0.000000
1.584802140e+05|8.414570297e+09|8.481307525e+09|8.554281279e+09|0.000000|0.000000|0.000000
1.771729518e+05|8.380698631e+09|8.449129358e+09|8.518619534e+09|0.000000|0.000000|0.000000
1.932517356e+05|8.347093117e+09|8.418073384e+09|8.486788830e+09|0.000000|0.000000|0.000000
2.066810876e+05|8.315924935e+09|8.389780408e+09|8.459334942e+09|0.000000|0.000000|0.000000
2.195959311e+05|8.283341464e+09|8.360579855e+09|8.432150808e+09|0.000000|0.000000|0.000000
2.325574718e+05|8.248116022e+09|8.329337626e+09|8.404064210e+09|0.000000|0.000000|0.000000
2.441297973e+05|8.214568530e+09|8.299826867e+09|8.378280605e+09|0.000000|0.000000|0.000000
2.552414802e+05|8.180527640e+09|8.270073571e+09|8.352873061e+09|0.000000|0.000000|0.000000
2.667154115e+05|8.143529935e+09|8.237911286e+09|8.325946831e+09|0.000000|0.000000|0.000000
2.768521079e+05|8.109309827e+09|8.208295544e+09|8.301557579e+09|0.000000|0.000000|0.000000
2.864228841e+05|8.075701437e+09|8.179310358e+09|8.277998030e+09|0.000000|0.000000|0.000000
2.963580983e+05|8.039500830e+09|8.148182153e+09|8.252980950e+09|0.000000|0.000000|0.000000
3.057591261e+05|8.004035734e+09|8.117763359e+09|8.228770648e+09|0.000000|0.000000|0.000000
3.147180077e+05|7.969160953e+09|8.087912084e+09|8.205200776e+09|0.000000|0.000000|0.000000
3.229219411e+05|7.936317048e+09|8.059844981e+09|8.183181712e+09|0.000000|0.000000|0.000000
3.317570853e+05|7.899990676e+09|8.028844321e+09|8.158993748e+09|0.000000|0.000000|0.000000
3.399656007e+05|7.865366701e+09|7.999330074e+09|8.136071799e+09|0.000000|0.000000|0.000000
3.485373368e+05|7.828326600e+09|7.967784887e+09|8.111664810e+09|0.000000|0.000000|0.000000
3.560373324e+05|7.795188477e+09|7.939582160e+09|8.089908153e+09|0.000000|0.000000|0.000000
3.635123904e+05|7.761493864e+09|7.910919678e+09|8.067845043e+09|0.000000|0.000000|0.000000
3.716162041e+05|7.724224867e+09|7.879227786e+09|8.043492192e+09|0.000000|0.000000|0.000000
3.790728158e+05|7.689262808e+09|7.849503799e+09|8.020679327e+09|0.000000|0.000000|0.000000
3.864045100e+05|7.654270877e+09|7.819756451e+09|7.997864585e+09|0.000000|0.000000|0.000000
3.935621233e+05|7.619530229e+09|7.790221261e+09|7.975219030e+09|0.000000|0.000000|0.000000
4.003244266e+05|7.586190426e+09|7.761872707e+09|7.953481537e+09|0.000000|0.000000|0.000000
4.074149538e+05|7.550700491e+09|7.731688346e+09|7.930326790e+09|0.000000|0.000000|0.000000
4.146809977e+05|7.513776227e+09|7.700272775e+09|7.906209306e+09|0.000000|0.000000|0.000000
4.213820913e+05|7.479232355e+09|7.670869400e+09|7.883613081e+09|0.000000|0.000000|0.000000
4.273584523e+05|7.448033627e+09|7.644300565e+09|7.863170812e+09|0.000000|0.000000|0.000000
4.343175214e+05|7.411247835e+09|7.612955933e+09|7.839018879e+09|0.000000|0.000000|0.000000
4.410446484e+05|7.375228283e+09|7.582243244e+09|7.815311711e+09|0.000000|0.000000|0.000000
4.470893207e+05|7.342483688e+09|7.554303161e+09|7.793704217e+09|0.000000|0.000000|0.000000
4.536622638e+05|7.306476841e+09|7.523555765e+09|7.769876797e+09|0.000000|0.000000|0.000000
4.599531432e+05|7.271630780e+09|7.493774149e+09|7.746745041e+09|0.000000|0.000000|0.000000
