#RRR|Lz25|Lz50|Lz75|Lzmean|
8.769291984e+04|5.644534473e+21|9.916259374e+21|1.832062401e+22|1.382474117e+22|1.382474117e+24
1.337521772e+05|6.855901322e+21|1.472760039e+22|3.059148382e+22|2.132914575e+22|2.132914575e+24
1.585714351e+05|8.729827072e+21|2.248703832e+22|4.042604598e+22|3.052707889e+22|3.052707889e+24
1.779263600e+05|1.149693623e+22|2.789173477e+22|4.314032873e+22|3.685281985e+22|3.685281985e+24
1.931854001e+05|1.512787364e+22|3.194805235e+22|5.720554507e+22|3.926360252e+22|3.926360252e+24
2.070126318e+05|1.478170718e+22|3.469941587e+22|6.308411038e+22|5.730136819e+22|5.730136819e+24
2.183069468e+05|1.723298451e+22|3.661060694e+22|6.935390826e+22|4.726760748e+22|4.726760748e+24
2.294778278e+05|1.906540595e+22|4.831016458e+22|7.872234744e+22|5.161764412e+22|5.161764412e+24
2.388909021e+05|1.874516252e+22|4.119278565e+22|7.382799811e+22|5.345218752e+22|5.345218752e+24
2.481662632e+05|2.068639932e+22|5.457224383e+22|1.014256642e+23|6.748882300e+22|6.748882300e+24
2.566902836e+05|3.029304276e+22|6.333391002e+22|1.107471604e+23|7.330669681e+22|7.330669681e+24
2.644519521e+05|1.518227300e+22|5.498390721e+22|9.628012086e+22|6.426486272e+22|6.426486272e+24
2.719079064e+05|2.152577767e+22|5.522183852e+22|8.959830067e+22|6.537766359e+22|6.537766359e+24
2.785890491e+05|1.962810391e+22|4.978258858e+22|1.161857326e+23|7.279201774e+22|7.279201774e+24
2.858972316e+05|2.013802515e+22|5.886556525e+22|1.375053062e+23|8.248256015e+22|8.248256015e+24
2.924324407e+05|3.288362475e+22|5.559164353e+22|9.802220310e+22|7.517761320e+22|7.517761320e+24
2.984564610e+05|2.526472241e+22|6.474383018e+22|1.095305913e+23|7.987963547e+22|7.987963547e+24
3.044437634e+05|3.455047200e+22|6.998285637e+22|1.220664445e+23|8.913258439e+22|8.913258439e+24
