#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
8.740715770e+04|9.169808639e+09|9.319231913e+09|9.421990306e+09|0.000000|0.000000|0.000000
1.330164657e+05|9.112507591e+09|9.266575607e+09|9.392912915e+09|0.000000|0.000000|0.000000
1.581711883e+05|9.076959393e+09|9.228588112e+09|9.359545971e+09|0.000000|0.000000|0.000000
1.769677191e+05|9.047673981e+09|9.195851919e+09|9.327399423e+09|0.000000|0.000000|0.000000
1.928292114e+05|9.020790487e+09|9.165256145e+09|9.295815461e+09|0.000000|0.000000|0.000000
2.069757876e+05|8.994927034e+09|9.135631050e+09|9.264409344e+09|0.000000|0.000000|0.000000
2.203595048e+05|8.968669264e+09|9.105545231e+09|9.232038031e+09|0.000000|0.000000|0.000000
2.324837836e+05|8.943271780e+09|9.076542577e+09|9.200591900e+09|0.000000|0.000000|0.000000
2.449810628e+05|8.915392990e+09|9.044891202e+09|9.166169016e+09|0.000000|0.000000|0.000000
2.559057327e+05|8.889537647e+09|9.015750150e+09|9.134482144e+09|0.000000|0.000000|0.000000
2.673880716e+05|8.860803908e+09|8.983630543e+09|9.099644552e+09|0.000000|0.000000|0.000000
2.772677664e+05|8.834755591e+09|8.954764168e+09|9.068463496e+09|0.000000|0.000000|0.000000
2.873836933e+05|8.806773791e+09|8.924023446e+09|9.035427498e+09|0.000000|0.000000|0.000000
2.973238474e+05|8.777950945e+09|8.892645579e+09|9.001913795e+09|0.000000|0.000000|0.000000
3.064882580e+05|8.750183564e+09|8.862684903e+09|8.970126133e+09|0.000000|0.000000|0.000000
3.159224781e+05|8.720376538e+09|8.830806123e+09|8.936543345e+09|0.000000|0.000000|0.000000
3.247507413e+05|8.691340149e+09|8.800021566e+09|8.904355141e+09|0.000000|0.000000|0.000000
3.334611640e+05|8.661589610e+09|8.768743818e+09|8.871898323e+09|0.000000|0.000000|0.000000
3.417666673e+05|8.632188401e+09|8.738083451e+09|8.840324831e+09|0.000000|0.000000|0.000000
3.495168008e+05|8.603831953e+09|8.708736809e+09|8.810328376e+09|0.000000|0.000000|0.000000
3.580511914e+05|8.571566016e+09|8.675598515e+09|8.776717316e+09|0.000000|0.000000|0.000000
3.662318378e+05|8.539604501e+09|8.643025964e+09|8.743945852e+09|0.000000|0.000000|0.000000
3.733751426e+05|8.510862218e+09|8.613938089e+09|8.714898930e+09|0.000000|0.000000|0.000000
3.804268846e+05|8.481721029e+09|8.584633735e+09|8.685840058e+09|0.000000|0.000000|0.000000
3.881275796e+05|8.449022441e+09|8.551965231e+09|8.653681279e+09|0.000000|0.000000|0.000000
3.960199997e+05|8.414556741e+09|8.517762386e+09|8.620271743e+09|0.000000|0.000000|0.000000
4.030998541e+05|8.382815521e+09|8.486461821e+09|8.589923224e+09|0.000000|0.000000|0.000000
4.099260512e+05|8.351471670e+09|8.455730169e+09|8.560330243e+09|0.000000|0.000000|0.000000
4.160031200e+05|8.322955371e+09|8.427916255e+09|8.533716022e+09|0.000000|0.000000|0.000000
4.229585748e+05|8.289608865e+09|8.395558242e+09|8.502949774e+09|0.000000|0.000000|0.000000
4.301189467e+05|8.254489799e+09|8.361665234e+09|8.470942806e+09|0.000000|0.000000|0.000000
4.369653490e+05|8.220161376e+09|8.328709062e+09|8.440027597e+09|0.000000|0.000000|0.000000
4.434871062e+05|8.186780413e+09|8.296818668e+09|8.410299488e+09|0.000000|0.000000|0.000000
4.495537315e+05|8.155134185e+09|8.266720668e+09|8.382405207e+09|0.000000|0.000000|0.000000
4.553857665e+05|8.124172523e+09|8.237394943e+09|8.355373509e+09|0.000000|0.000000|0.000000
4.622767081e+05|8.086910190e+09|8.202252590e+09|8.323163989e+09|0.000000|0.000000|0.000000
4.686432491e+05|8.051832319e+09|8.169313659e+09|8.293148779e+09|0.000000|0.000000|0.000000
4.748400536e+05|8.017091779e+09|8.136821291e+09|8.263699300e+09|0.000000|0.000000|0.000000
4.802398728e+05|7.986340774e+09|8.108162816e+09|8.237850353e+09|0.000000|0.000000|0.000000
4.857256456e+05|7.954646343e+09|8.078721151e+09|8.211412840e+09|0.000000|0.000000|0.000000
4.917724755e+05|7.919183330e+09|8.045888897e+09|8.182065862e+09|0.000000|0.000000|0.000000
4.980144862e+05|7.881999788e+09|8.011582413e+09|8.151546709e+09|0.000000|0.000000|0.000000
5.039830401e+05|7.845902232e+09|7.978388040e+09|8.122151839e+09|0.000000|0.000000|0.000000
5.093400977e+05|7.813054508e+09|7.948271620e+09|8.095592038e+09|0.000000|0.000000|0.000000
5.146915248e+05|7.779821151e+09|7.917884137e+09|8.068893777e+09|0.000000|0.000000|0.000000
5.201522216e+05|7.745479976e+09|7.886566635e+09|8.041479154e+09|0.000000|0.000000|0.000000
5.254354718e+05|7.711845764e+09|7.855971518e+09|8.014790813e+09|0.000000|0.000000|0.000000
