#R_planet
1.933292875e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
1.068938615e+06|1.080396856e+06|1.062013494e+06|1.070349427e+06|3.179452562e+06|3.216061875e+06|3.273975312e+06|3.287716500e+06|3.172130250e+06|3.403302500e+06|3.618752500e+05|4.024033750e+05|4.577790000e+05|4.709570000e+05|3.549356250e+05|5.869783750e+05|2.960886103e+03|2.976826395e+03|3.002639150e+03|2.996009105e+03|2.958896179e+03|3.033122030e+03|1.409092340e+02|1.568705192e+02|1.826843129e+02|1.759894132e+02|1.388982758e+02|2.130805506e+02|2.399980929e+03|2.412318821e+03|2.486323087e+03|2.461619729e+03|2.399047440e+03|2.524192018e+03|1.790055313e+02|2.101502298e+02|2.706405792e+02|2.477137754e+02|1.800537929e+02|3.153737578e+02|4.980730112e+09|5.276990720e+09|7.222133888e+09|6.646953984e+09|4.961273856e+09|8.332635648e+09|2.729614080e+09|3.942953472e+09|5.244778880e+09|4.685389312e+09|2.774973440e+09|6.595805184e+09|3.196089783e+03|3.210598267e+03|3.276240051e+03|3.247307617e+03|3.194642578e+03|3.299972412e+03
1.086718438e+06|1.086703881e+06|1.078014091e+06|1.077678362e+06|3.135979188e+06|3.184727875e+06|3.222311750e+06|3.189247250e+06|3.136936000e+06|3.241559000e+06|3.240727500e+05|3.677775000e+05|4.069320000e+05|3.733360312e+05|3.211819688e+05|4.254900938e+05|2.948385947e+03|2.971360930e+03|2.986293105e+03|2.971526482e+03|2.948143591e+03|2.994909372e+03|1.284180081e+02|1.510606339e+02|1.662565384e+02|1.514815254e+02|1.281280909e+02|1.748349599e+02|2.393350953e+03|2.397504577e+03|2.401060677e+03|2.399284153e+03|2.392753935e+03|2.405814370e+03|1.700912015e+02|1.827915924e+02|2.019702703e+02|1.883888525e+02|1.678555192e+02|2.089221858e+02|4.835220736e+09|4.926275584e+09|5.008137088e+09|4.970370048e+09|4.813490688e+09|5.127249408e+09|2.520789312e+09|3.000165632e+09|3.691116736e+09|3.112642048e+09|2.389710336e+09|3.835573760e+09|3.187679016e+03|3.197215942e+03|3.204318665e+03|3.196661621e+03|3.184728760e+03|3.208594727e+03
1.089412960e+06|1.089224387e+06|1.082365313e+06|1.083116881e+06|3.158192688e+06|3.198672625e+06|3.239853750e+06|3.208779000e+06|3.155604250e+06|3.261954250e+06|3.392158750e+05|3.834066250e+05|4.310201250e+05|3.929898125e+05|3.376082812e+05|4.483713125e+05|2.957956695e+03|2.976176351e+03|2.996151697e+03|2.980627032e+03|2.956368625e+03|3.004885439e+03|1.379177757e+02|1.561344599e+02|1.760999258e+02|1.606177932e+02|1.363589479e+02|1.848766384e+02|2.392700241e+03|2.397088625e+03|2.401246339e+03|2.398477289e+03|2.391905479e+03|2.405049100e+03|1.678153294e+02|1.855976974e+02|2.064621075e+02|1.876082687e+02|1.667127567e+02|2.085037808e+02|4.810328064e+09|4.914222848e+09|5.009372416e+09|4.950832128e+09|4.791323648e+09|5.110339584e+09|2.406014272e+09|3.085119744e+09|3.845901312e+09|3.119292416e+09|2.343023360e+09|3.895561728e+09|3.181659241e+03|3.189907227e+03|3.200012024e+03|3.191979492e+03|3.179659668e+03|3.204298340e+03
1.091544535e+06|1.091549237e+06|1.085471242e+06|1.086334306e+06|3.165437000e+06|3.199953375e+06|3.237416438e+06|3.217392000e+06|3.162329250e+06|3.272454750e+06|3.464485000e+05|3.798333750e+05|4.205015625e+05|3.999702812e+05|3.424785312e+05|4.574620938e+05|2.960382738e+03|2.976725227e+03|2.995127161e+03|2.984614445e+03|2.959517522e+03|3.009711367e+03|1.403797342e+02|1.563590095e+02|1.751616256e+02|1.645610441e+02|1.394826797e+02|1.896394085e+02|2.392868911e+03|2.396539552e+03|2.401799658e+03|2.398243250e+03|2.391556233e+03|2.404930268e+03|1.656904768e+02|1.760002103e+02|2.006750900e+02|1.844818778e+02|1.619520307e+02|2.070117248e+02|4.813687040e+09|4.901576192e+09|5.028576000e+09|4.943287808e+09|4.782746112e+09|5.103831040e+09|2.319735808e+09|2.698063104e+09|3.587367680e+09|2.953620480e+09|2.143767808e+09|3.763472896e+09|3.183152710e+03|3.191275757e+03|3.198101868e+03|3.190000000e+03|3.177309082e+03|3.202691650e+03
1.093490950e+06|1.093479289e+06|1.087506955e+06|1.089124866e+06|3.168501125e+06|3.204028875e+06|3.250809625e+06|3.217808750e+06|3.169197500e+06|3.266419000e+06|3.509458125e+05|3.844321250e+05|4.320686250e+05|3.995050000e+05|3.489343125e+05|4.500757500e+05|2.962215841e+03|2.979204036e+03|3.000486028e+03|2.984940729e+03|2.962644897e+03|3.007236561e+03|1.421920886e+02|1.591416640e+02|1.804559961e+02|1.649024131e+02|1.426129604e+02|1.871918659e+02|2.392378933e+03|2.395698494e+03|2.401167214e+03|2.397665397e+03|2.390559494e+03|2.404771300e+03|1.640455915e+02|1.733270429e+02|1.949360779e+02|1.807730595e+02|1.598923916e+02|2.016537274e+02|4.803121024e+09|4.882217984e+09|5.011046016e+09|4.929053184e+09|4.759456256e+09|5.098651648e+09|2.230474496e+09|2.586352896e+09|3.405649216e+09|2.827704832e+09|2.079014144e+09|3.576395776e+09|3.178663147e+03|3.190459961e+03|3.197924255e+03|3.189261230e+03|3.177268066e+03|3.201254639e+03
1.095198057e+06|1.095144883e+06|1.091219667e+06|1.092830016e+06|3.187330188e+06|3.217504500e+06|3.253427375e+06|3.223544250e+06|3.174548250e+06|3.272540250e+06|3.667072500e+05|3.971430000e+05|4.406889375e+05|4.042676875e+05|3.544939062e+05|4.540413750e+05|2.970184663e+03|2.984114886e+03|3.001148402e+03|2.987771023e+03|2.965434817e+03|3.010107229e+03|1.501379876e+02|1.640936314e+02|1.811297883e+02|1.677206844e+02|1.454139645e+02|1.900274044e+02|2.391721305e+03|2.396532437e+03|2.400021574e+03|2.396660908e+03|2.390849092e+03|2.402472724e+03|1.622276251e+02|1.726701021e+02|2.010404000e+02|1.786434709e+02|1.552986018e+02|2.019883399e+02|4.786957440e+09|4.900311040e+09|4.980596096e+09|4.904860160e+09|4.766321664e+09|5.043397632e+09|2.191137984e+09|2.561793664e+09|3.622824640e+09|2.750407424e+09|1.870770048e+09|3.630043904e+09|3.178832520e+03|3.188040894e+03|3.195542236e+03|3.187080322e+03|3.175774414e+03|3.198386230e+03
1.097335242e+06|1.097250207e+06|1.092152536e+06|1.093329660e+06|3.180466438e+06|3.210575125e+06|3.247745875e+06|3.220451250e+06|3.171759000e+06|3.269143000e+06|3.655407500e+05|3.956780000e+05|4.324080000e+05|4.051237500e+05|3.563748750e+05|4.538725938e+05|2.966933323e+03|2.982253006e+03|2.999539341e+03|2.986659533e+03|2.964035446e+03|3.009283621e+03|1.469579142e+02|1.622206132e+02|1.795737200e+02|1.666130790e+02|1.439887192e+02|1.892374388e+02|2.389316126e+03|2.393004384e+03|2.398777707e+03|2.395117244e+03|2.388474355e+03|2.401760134e+03|1.663290938e+02|1.838446523e+02|2.047731822e+02|1.866220273e+02|1.649318158e+02|2.083122388e+02|4.727717376e+09|4.816124672e+09|4.955750528e+09|4.869738496e+09|4.710110720e+09|5.029366784e+09|2.391037696e+09|3.105258880e+09|3.856556352e+09|3.098685696e+09|2.330013952e+09|3.867357440e+09|3.176043030e+03|3.184410156e+03|3.196098572e+03|3.186124023e+03|3.173153809e+03|3.199093750e+03
1.099514917e+06|1.099412463e+06|1.093885803e+06|1.095110164e+06|3.163536625e+06|3.206310625e+06|3.251946500e+06|3.217203250e+06|3.160233250e+06|3.274173000e+06|3.518267500e+05|3.891885000e+05|4.272270000e+05|3.996555312e+05|3.454622500e+05|4.538487188e+05|2.961113386e+03|2.980111515e+03|3.002518692e+03|2.985395369e+03|2.959171524e+03|3.011619213e+03|1.411165254e+02|1.601124068e+02|1.824552687e+02|1.653671666e+02|1.391379640e+02|1.915963693e+02|2.388771416e+03|2.393602371e+03|2.398591462e+03|2.394324243e+03|2.388308482e+03|2.400340004e+03|1.631783760e+02|1.800731355e+02|1.988713045e+02|1.796059192e+02|1.583595128e+02|2.008523256e+02|4.715197312e+09|4.835005696e+09|4.950150656e+09|4.849858560e+09|4.706840064e+09|4.992877056e+09|2.264107264e+09|2.871644672e+09|3.573437696e+09|2.846531840e+09|2.041846016e+09|3.651218688e+09|3.175790710e+03|3.188919800e+03|3.197833557e+03|3.185931152e+03|3.172113525e+03|3.199748779e+03
1.101803977e+06|1.101732277e+06|1.097821103e+06|1.099274563e+06|3.158064188e+06|3.200091625e+06|3.263521312e+06|3.215572500e+06|3.155485750e+06|3.275659000e+06|3.421317500e+05|3.800897500e+05|4.407884375e+05|3.981737188e+05|3.388927500e+05|4.574548125e+05|2.959995986e+03|2.978573832e+03|3.007854582e+03|2.984862196e+03|2.957565910e+03|3.012158483e+03|1.400009930e+02|1.586173012e+02|1.878294423e+02|1.648401771e+02|1.375367518e+02|1.921436024e+02|2.388784139e+03|2.392553144e+03|2.398137348e+03|2.393288303e+03|2.388056451e+03|2.398520155e+03|1.644630815e+02|1.806378764e+02|1.960539793e+02|1.789781886e+02|1.583816513e+02|1.995747260e+02|4.716433536e+09|4.809992960e+09|4.939165440e+09|4.824577024e+09|4.700683776e+09|4.948469760e+09|2.306975552e+09|2.995999616e+09|3.522670464e+09|2.838427136e+09|2.056506752e+09|3.620347136e+09|3.174285828e+03|3.186037231e+03|3.196959961e+03|3.185169678e+03|3.173011475e+03|3.197328125e+03
1.106386111e+06|1.105386300e+06|1.101826575e+06|1.103245653e+06|3.168646188e+06|3.196951000e+06|3.249844125e+06|3.215245000e+06|3.164602000e+06|3.265887250e+06|3.521816875e+05|3.762871250e+05|4.259708750e+05|3.957381562e+05|3.471374062e+05|4.443391250e+05|2.963516971e+03|2.976203558e+03|2.999824600e+03|2.984791435e+03|2.961845900e+03|3.007736970e+03|1.435307111e+02|1.561555586e+02|1.797633618e+02|1.647682046e+02|1.418354174e+02|1.877009918e+02|2.388729098e+03|2.392876369e+03|2.395994648e+03|2.392834107e+03|2.386927582e+03|2.398740633e+03|1.634945635e+02|1.783912941e+02|1.915032033e+02|1.740116621e+02|1.510398914e+02|1.969834328e+02|4.714487552e+09|4.815088128e+09|4.887402752e+09|4.813612544e+09|4.673968128e+09|4.953257472e+09|2.241744320e+09|2.883419776e+09|3.393073728e+09|2.646633472e+09|1.768518656e+09|3.524748288e+09|3.176219421e+03|3.187774414e+03|3.194923279e+03|3.184743408e+03|3.173500244e+03|3.195985840e+03
