#RRR|Lz25|Lz50|Lz75|Lzmean|Lzsum|Isum
2.071053944e+04|5.054222753e+22|9.780925498e+22|1.567746402e+23|1.022534933e+23|1.022534933e+25|2.123111983e+28
3.820268639e+04|2.618551222e+23|2.988208412e+23|3.721344978e+23|3.125547441e+23|3.125547441e+25|6.476466529e+28
4.825283778e+04|4.456106378e+23|4.942122475e+23|5.420572087e+23|4.941324321e+23|4.941324321e+25|1.025985095e+29
5.746316752e+04|6.537919449e+23|6.990960128e+23|7.451654269e+23|6.999408180e+23|6.999408180e+25|1.455527158e+29
6.508573342e+04|8.362828112e+23|9.037554084e+23|9.614638598e+23|9.100498016e+23|9.100498016e+25|1.863168594e+29
7.214099936e+04|1.041408818e+24|1.097454837e+24|1.165337250e+24|1.105591150e+24|1.105591150e+26|2.290502473e+29
7.836225696e+04|1.230133640e+24|1.297697096e+24|1.349363217e+24|1.291549610e+24|1.291549610e+26|2.702711637e+29
8.465632444e+04|1.455886453e+24|1.528646308e+24|1.589873834e+24|1.527263791e+24|1.527263791e+26|3.153751038e+29
9.007717182e+04|1.638057676e+24|1.718784451e+24|1.789367187e+24|1.712581500e+24|1.712581500e+26|3.569835421e+29
9.540026337e+04|1.853201071e+24|1.920025536e+24|1.996497801e+24|1.928632502e+24|1.928632502e+26|3.999998642e+29
1.000015653e+05|2.021286941e+24|2.082661501e+24|2.172992597e+24|2.097311108e+24|2.097311108e+26|4.399406591e+29
1.046613527e+05|2.228636285e+24|2.317629613e+24|2.401600471e+24|2.325059921e+24|2.325059921e+26|4.813999869e+29
1.093784847e+05|2.464000017e+24|2.530213895e+24|2.616660736e+24|2.536925686e+24|2.536925686e+26|5.254880748e+29
1.132253841e+05|2.630322193e+24|2.718308738e+24|2.792321457e+24|2.714152087e+24|2.714152087e+26|5.631235366e+29
1.174603052e+05|2.854554405e+24|2.904394073e+24|2.973994314e+24|2.900707583e+24|2.900707583e+26|6.069209513e+29
1.218944148e+05|3.065099275e+24|3.145114875e+24|3.203445448e+24|3.129384924e+24|3.129384924e+26|6.529430221e+29
1.253968931e+05|3.240178010e+24|3.317484338e+24|3.421392758e+24|3.319510442e+24|3.319510442e+26|6.910024377e+29
1.289580118e+05|3.415169931e+24|3.516119218e+24|3.622952537e+24|3.514313324e+24|3.514313324e+26|7.315515832e+29
1.325722298e+05|3.637234722e+24|3.706131317e+24|3.809083993e+24|3.723008873e+24|3.723008873e+26|7.729495261e+29
1.357402502e+05|3.767396017e+24|3.858268998e+24|3.970599031e+24|3.862454530e+24|3.862454530e+26|8.104645319e+29
1.394512709e+05|4.008969813e+24|4.118532188e+24|4.215246383e+24|4.118954816e+24|4.118954816e+26|8.555547405e+29
1.430138768e+05|4.243215638e+24|4.322884098e+24|4.436492985e+24|4.332420218e+24|4.332420218e+26|8.996935484e+29
1.457559266e+05|4.402998958e+24|4.508786348e+24|4.594318057e+24|4.518482715e+24|4.518482715e+26|9.339628544e+29
1.492691983e+05|4.582465460e+24|4.717750950e+24|4.810315761e+24|4.684032535e+24|4.684032535e+26|9.796837338e+29
1.528902373e+05|4.812413217e+24|4.915342144e+24|5.033242538e+24|4.926389266e+24|4.926389266e+26|1.028187254e+30
1.561142840e+05|5.048277172e+24|5.131574160e+24|5.256784015e+24|5.151665257e+24|5.151665257e+26|1.072052701e+30
1.593746944e+05|5.256530286e+24|5.364265476e+24|5.466537697e+24|5.359152911e+24|5.359152911e+26|1.117346423e+30
