#RRR|U50|U25|U75|Umean|T50|T25|T75|Tmean|P50|P25|P75|Pmean|rho50|rho25|rho75|Pmean|S
8.741869532e+04|1.908011719e+06|1.908357078e+06|1.908647126e+06|1.908312753e+06|2.796040715e+03|2.797429472e+03|2.798596148e+03|2.797251583e+03|1.012025193e+10|1.015181967e+10|1.017838702e+10|1.014782591e+10|6.577355591e+03|6.578831543e+03|6.580071777e+03|6.578643555e+03|2.030954919e+03
1.329644802e+05|1.907389350e+06|1.907824767e+06|1.908283015e+06|1.907822927e+06|2.793539154e+03|2.795289128e+03|2.797131612e+03|2.795282494e+03|1.006354468e+10|1.010319334e+10|1.014504380e+10|1.010315072e+10|6.574692993e+03|6.576557861e+03|6.578517700e+03|6.576547363e+03|2.030954919e+03
1.582105678e+05|1.906770482e+06|1.907228110e+06|1.907764653e+06|1.907258913e+06|2.791053074e+03|2.792891294e+03|2.795047483e+03|2.793015038e+03|1.000738681e+10|1.004889119e+10|1.009771263e+10|1.005180892e+10|6.572045532e+03|6.574003906e+03|6.576296875e+03|6.574134766e+03|2.030954919e+03
1.765872772e+05|1.906338236e+06|1.906643362e+06|1.907091799e+06|1.906757660e+06|2.789317516e+03|2.790542590e+03|2.792343675e+03|2.791001734e+03|9.968299502e+09|9.995879920e+09|1.003651542e+10|1.000634230e+10|6.570195557e+03|6.571500000e+03|6.573421753e+03|6.571991211e+03|2.030954919e+03
1.927531478e+05|1.905909383e+06|1.906322486e+06|1.906780374e+06|1.906328669e+06|2.787596262e+03|2.789254291e+03|2.791092800e+03|2.789266831e+03|9.929629507e+09|9.966877416e+09|1.000828276e+10|9.967163885e+09|6.568362915e+03|6.570129639e+03|6.572086914e+03|6.570143066e+03|2.030954919e+03
2.059981966e+05|1.905109968e+06|1.905875695e+06|1.906394276e+06|1.905806459e+06|2.784301917e+03|2.787461076e+03|2.789542489e+03|2.787134334e+03|9.854888574e+09|9.926596375e+09|9.973360773e+09|9.918948992e+09|6.564855469e+03|6.568218506e+03|6.570436523e+03|6.567871094e+03|2.030954919e+03
2.189502168e+05|1.905055298e+06|1.905464479e+06|1.906057695e+06|1.905602055e+06|2.784074109e+03|2.785779431e+03|2.788191455e+03|2.786303413e+03|9.849704502e+09|9.888552463e+09|9.942990885e+09|9.900182015e+09|6.564611206e+03|6.566427979e+03|6.568998169e+03|6.566986328e+03|2.030954919e+03
2.308199010e+05|1.904531606e+06|1.905127957e+06|1.905602773e+06|1.905105562e+06|2.781892528e+03|2.784376874e+03|2.786355948e+03|2.784259945e+03|9.800150025e+09|9.856594429e+09|9.901707944e+09|9.853915805e+09|6.562288330e+03|6.564934082e+03|6.567040649e+03|6.564809570e+03|2.030954919e+03
2.425338832e+05|1.904207235e+06|1.904745650e+06|1.905381577e+06|1.904839772e+06|2.780541832e+03|2.782784053e+03|2.785433872e+03|2.783158575e+03|9.769549118e+09|9.820381661e+09|9.880672557e+09|9.828931409e+09|6.560846680e+03|6.563241211e+03|6.566062866e+03|6.563636230e+03|2.030954919e+03
2.538296213e+05|1.903701750e+06|1.904383869e+06|1.905261289e+06|1.904515502e+06|2.778437817e+03|2.781277293e+03|2.784932523e+03|2.781811046e+03|9.721960685e+09|9.786203821e+09|9.869247616e+09|9.798448368e+09|6.558609375e+03|6.561632080e+03|6.565525635e+03|6.562200684e+03|2.030954919e+03
