#RRR|Lz25|Lz50|Lz75|Lzmean|
2.954273745e+05|2.995015847e+25|6.511711332e+25|1.162800665e+26|7.636442290e+25|7.636442290e+27
4.482967941e+05|8.351775601e+25|1.530048733e+26|2.386502339e+26|1.627271282e+26|1.627271282e+28
5.344143039e+05|1.070102895e+26|2.028054705e+26|2.900157547e+26|2.185029084e+26|2.185029084e+28
5.967962260e+05|1.264873449e+26|2.813239166e+26|3.973561838e+26|2.770934858e+26|2.770934858e+28
6.508690578e+05|1.507610676e+26|2.624765205e+26|4.068799786e+26|3.034557642e+26|3.034557642e+28
6.938978580e+05|1.898993441e+26|3.882666977e+26|5.612196330e+26|3.821908204e+26|3.821908204e+28
7.359803815e+05|1.906102530e+26|3.840448037e+26|5.953976846e+26|4.162687463e+26|4.162687463e+28
7.711897997e+05|1.898680987e+26|3.926486855e+26|5.892573700e+26|4.148004951e+26|4.148004951e+28
8.039752298e+05|3.101733076e+26|4.871145325e+26|8.234179461e+26|5.352844569e+26|5.352844569e+28
8.326295514e+05|2.307667011e+26|4.968183095e+26|8.428401921e+26|5.396128793e+26|5.396128793e+28
8.639911079e+05|2.146376328e+26|5.506161874e+26|8.613178385e+26|5.816857740e+26|5.816857740e+28
8.911162711e+05|2.837099648e+26|4.729236781e+26|7.895904007e+26|5.584973678e+26|5.584973678e+28
9.146004120e+05|2.802944022e+26|6.238169773e+26|1.081651691e+27|6.944958658e+26|6.944958658e+28
9.366849556e+05|3.888088397e+26|6.888690928e+26|1.067314828e+27|7.202162853e+26|7.202162853e+28
9.603744039e+05|3.571265496e+26|7.313937795e+26|1.134074355e+27|7.910685957e+26|7.910685957e+28
9.831781275e+05|3.405538683e+26|7.559861570e+26|1.200247391e+27|7.896777480e+26|7.896777480e+28
1.005698272e+06|3.170284311e+26|5.465753732e+26|8.878144881e+26|6.682431281e+26|6.682431281e+28
1.025294735e+06|3.422904320e+26|7.033855635e+26|1.213983076e+27|8.368611163e+26|8.368611163e+28
1.042609847e+06|4.092755383e+26|7.269011146e+26|1.227076630e+27|8.584135998e+26|8.584135998e+28
1.060283325e+06|5.196132476e+26|9.241210102e+26|1.483339839e+27|9.761589809e+26|9.761589809e+28
1.078654948e+06|5.391582040e+26|7.867438125e+26|1.547322598e+27|1.011369765e+27|1.011369765e+29
1.096669140e+06|4.276746139e+26|9.209827260e+26|1.464148126e+27|1.005551903e+27|1.005551903e+29
1.114916699e+06|3.442051831e+26|7.888529412e+26|1.387351781e+27|8.909161722e+26|8.909161722e+28
1.131594580e+06|4.952910625e+26|7.734211784e+26|1.333011474e+27|9.569378231e+26|9.569378231e+28
1.147501525e+06|4.866957544e+26|9.608937463e+26|1.801988329e+27|1.113611862e+27|1.113611862e+29
1.162180248e+06|5.766009035e+26|9.498685057e+26|1.553653984e+27|1.089196687e+27|1.089196687e+29
1.175369182e+06|5.367226738e+26|1.075627130e+27|1.891622041e+27|1.214156081e+27|1.214156081e+29
