#R_planet
6.599195671e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
3.412914504e+06|3.414126795e+06|3.391133760e+06|3.397768477e+06|9.528603000e+06|9.664214500e+06|9.817566000e+06|9.641727000e+06|9.443160000e+06|9.840296000e+06|4.161375000e+05|6.626110000e+05|2.631870125e+06|1.215053000e+06|3.745680938e+05|2.055537750e+06|2.977607858e+03|2.998225741e+03|3.014682315e+03|2.997097865e+03|2.973972544e+03|3.020223187e+03|1.577678457e+02|1.781457141e+02|1.946697688e+02|1.771573793e+02|1.540565046e+02|2.002582539e+02|3.712490451e+03|3.771020478e+03|3.814271388e+03|3.762993625e+03|3.699476293e+03|3.826510957e+03|3.564255069e+02|4.351014884e+02|5.935583206e+02|4.609495175e+02|3.465718224e+02|5.753272126e+02|1.505338491e+11|1.530899988e+11|1.548710871e+11|1.524074578e+11|1.490421678e+11|1.557727642e+11|-1.890316288e+09|2.341519360e+09|4.659173990e+10|1.562401280e+10|-2.604642048e+09|3.385266995e+10|5.428285400e+03|5.447181641e+03|5.462554077e+03|5.442521973e+03|5.414848633e+03|5.470195801e+03
3.423102647e+06|3.423011230e+06|3.400282131e+06|3.403960944e+06|9.361111750e+06|9.537849500e+06|9.662542500e+06|9.464038000e+06|9.250362000e+06|9.677715000e+06|2.551720000e+05|5.140475000e+05|2.204539250e+06|1.036961625e+06|2.139806250e+05|1.859942750e+06|2.981465728e+03|2.998202440e+03|3.022941591e+03|3.000073092e+03|2.974300645e+03|3.025845538e+03|1.614865181e+02|1.782188008e+02|2.030299942e+02|1.801381845e+02|1.543648934e+02|2.059114756e+02|3.696722435e+03|3.755235772e+03|3.816756886e+03|3.751554955e+03|3.681486622e+03|3.821623289e+03|3.547744660e+02|4.243724855e+02|5.378851326e+02|4.494597579e+02|3.388039840e+02|5.601155317e+02|1.464167997e+11|1.497648742e+11|1.514210058e+11|1.481957540e+11|1.444833034e+11|1.519082209e+11|-4.776710144e+09|-1.360322560e+09|3.863908966e+10|1.140394291e+10|-6.405497856e+09|2.921338675e+10|5.390606323e+03|5.417793213e+03|5.434269897e+03|5.405446289e+03|5.373608887e+03|5.437283691e+03
3.430091691e+06|3.430093999e+06|3.406440268e+06|3.415314541e+06|9.347428500e+06|9.497777500e+06|9.614999500e+06|9.433994000e+06|9.226932000e+06|9.641058000e+06|1.820465000e+05|3.719245000e+05|5.972717500e+05|5.809761875e+05|9.351097656e+04|1.068441375e+06|2.962817500e+03|2.988459879e+03|3.022971730e+03|2.995041871e+03|2.962778597e+03|3.027305144e+03|1.429504918e+02|1.686490873e+02|2.030086624e+02|1.751024459e+02|1.428512857e+02|2.073536061e+02|3.659015807e+03|3.729395579e+03|3.814943626e+03|3.738729051e+03|3.656245171e+03|3.821212931e+03|3.059254788e+02|3.713173108e+02|4.750227387e+02|3.950748094e+02|2.936743285e+02|4.964752902e+02|1.463736934e+11|1.491814400e+11|1.506191852e+11|1.478593741e+11|1.444515348e+11|1.512671805e+11|-6.223822848e+09|-3.817660416e+09|3.409264640e+08|1.472343680e+09|-8.581538304e+09|1.152622694e+10|5.388346558e+03|5.415658203e+03|5.428683594e+03|5.403111816e+03|5.372965820e+03|5.433258789e+03
3.434822900e+06|3.434660328e+06|3.414334485e+06|3.417823312e+06|9.320326500e+06|9.407708500e+06|9.560989500e+06|9.400746000e+06|9.238022000e+06|9.563471000e+06|1.549297500e+05|3.737800000e+05|2.195522000e+06|8.958598125e+05|1.162557578e+05|1.675464000e+06|2.963705977e+03|2.992474373e+03|3.015841107e+03|2.993710894e+03|2.963962349e+03|3.023459439e+03|1.436528730e+02|1.725109990e+02|1.959453117e+02|1.737470906e+02|1.439764705e+02|2.035177106e+02|3.663694278e+03|3.726394572e+03|3.793904777e+03|3.732641026e+03|3.659705542e+03|3.805576510e+03|3.040050598e+02|3.949423709e+02|5.350243010e+02|4.231172638e+02|2.979430910e+02|5.482914365e+02|1.460524524e+11|1.480905032e+11|1.495730422e+11|1.472057508e+11|1.444793713e+11|1.499321303e+11|-6.753431552e+09|-3.610869760e+09|3.817329050e+10|8.655771648e+09|-7.875877888e+09|2.518742016e+10|5.385606812e+03|5.405683350e+03|5.419971191e+03|5.397711426e+03|5.373024414e+03|5.422397461e+03
3.439381065e+06|3.439201236e+06|3.416464036e+06|3.422505736e+06|9.225642250e+06|9.361008000e+06|9.467742500e+06|9.308250000e+06|9.121899000e+06|9.494601000e+06|1.269872500e+05|2.992235000e+05|2.187963375e+06|8.561926250e+05|6.582435938e+04|1.646560750e+06|2.962470053e+03|2.988840245e+03|3.016391954e+03|2.990090482e+03|2.959182539e+03|3.020998424e+03|1.424753625e+02|1.688487280e+02|1.965879356e+02|1.701389650e+02|1.392256606e+02|2.010522694e+02|3.646656510e+03|3.712533114e+03|3.777699318e+03|3.716267862e+03|3.641206809e+03|3.791328915e+03|3.002665804e+02|3.991248789e+02|5.216178169e+02|4.115854520e+02|2.892260496e+02|5.339448544e+02|1.434847969e+11|1.459872072e+11|1.482454385e+11|1.453741998e+11|1.421539410e+11|1.485944586e+11|-7.672696832e+09|-4.413251584e+09|3.812070605e+10|8.022644736e+09|-9.115110400e+09|2.516039475e+10|5.363352417e+03|5.387342529e+03|5.405470947e+03|5.381916992e+03|5.353372559e+03|5.410461426e+03
3.445384175e+06|3.445505741e+06|3.424018540e+06|3.429069940e+06|9.172613500e+06|9.338813500e+06|9.489972750e+06|9.306821000e+06|9.109055000e+06|9.504588000e+06|6.479650000e+04|3.393825000e+05|2.263280500e+06|8.839496875e+05|1.129929980e+04|1.756600375e+06|2.967048019e+03|2.997955228e+03|3.023713164e+03|2.998007778e+03|2.964326404e+03|3.031689153e+03|1.471084257e+02|1.778993352e+02|2.037972715e+02|1.780671020e+02|1.443848795e+02|2.117493245e+02|3.662522330e+03|3.730512252e+03|3.801004248e+03|3.732137579e+03|3.648319180e+03|3.815955978e+03|2.997460365e+02|4.111913300e+02|5.508916631e+02|4.304368700e+02|2.954894483e+02|5.653842918e+02|1.426791424e+11|1.455148810e+11|1.475265167e+11|1.447905526e+11|1.415890862e+11|1.479919862e+11|-9.474629632e+09|-4.989968384e+09|3.887495782e+10|8.093665792e+09|-1.051799859e+10|2.670533018e+10|5.359264526e+03|5.380892578e+03|5.398865112e+03|5.375725098e+03|5.347732422e+03|5.403716797e+03
3.451593398e+06|3.451407858e+06|3.429701153e+06|3.432568157e+06|8.957185250e+06|9.158946000e+06|9.357820250e+06|9.136346000e+06|8.889385000e+06|9.383305000e+06|1.429125000e+04|3.131985000e+05|2.176508375e+06|8.721930625e+05|-1.063106875e+05|1.850696625e+06|2.954702633e+03|2.981850971e+03|3.018771133e+03|2.989006972e+03|2.954528844e+03|3.023485101e+03|1.346745313e+02|1.619429395e+02|1.986833457e+02|1.690587906e+02|1.345703841e+02|2.035471971e+02|3.607505169e+03|3.690366164e+03|3.769790260e+03|3.697193026e+03|3.606426887e+03|3.787959164e+03|2.716329710e+02|3.893863976e+02|5.260134075e+02|4.108650059e+02|2.693183596e+02|5.524116522e+02|1.393222656e+11|1.426416681e+11|1.447765893e+11|1.415799276e+11|1.379025060e+11|1.452573327e+11|-1.048893440e+10|-5.718212608e+09|3.819593933e+10|8.461181440e+09|-1.264533606e+10|2.956769690e+10|5.331206421e+03|5.358691650e+03|5.374999390e+03|5.348029785e+03|5.317176270e+03|5.378883789e+03
3.460090140e+06|3.459920896e+06|3.444093393e+06|3.450660399e+06|8.884859250e+06|9.029182500e+06|9.215551000e+06|9.044062000e+06|8.819570000e+06|9.268552000e+06|-2.463722500e+05|4.728000000e+03|1.854542750e+06|5.379047500e+05|-2.858307500e+05|1.361640375e+06|2.961053544e+03|2.978468872e+03|3.006100796e+03|2.984949348e+03|2.953767100e+03|3.016131597e+03|1.410407433e+02|1.585758385e+02|1.861270854e+02|1.650092370e+02|1.338222816e+02|1.961961923e+02|3.621896787e+03|3.664662836e+03|3.733521351e+03|3.679638516e+03|3.600292395e+03|3.758984636e+03|2.554903947e+02|3.180289103e+02|4.729798885e+02|3.698992583e+02|2.378326382e+02|5.019658783e+02|1.370585334e+11|1.394825380e+11|1.419703501e+11|1.397932196e+11|1.362511544e+11|1.433352602e+11|-1.520718848e+10|-1.093165875e+10|3.093281178e+10|1.218324480e+09|-1.603953869e+10|1.847618765e+10|5.309984619e+03|5.329663330e+03|5.352439331e+03|5.332445801e+03|5.302089844e+03|5.362801758e+03
3.472223865e+06|3.470817868e+06|3.450406970e+06|3.456934867e+06|8.614130250e+06|8.819855000e+06|9.138383500e+06|8.878566000e+06|8.596809000e+06|9.160321000e+06|-4.018610000e+05|1.180790000e+05|1.850765000e+06|6.481016250e+05|-3.668342500e+05|1.663037500e+06|2.949149650e+03|2.965910044e+03|2.999012718e+03|2.982363020e+03|2.947539673e+03|3.017186366e+03|1.292789783e+02|1.459288162e+02|1.791305395e+02|1.624319501e+02|1.276130161e+02|1.972508842e+02|3.564040035e+03|3.616911848e+03|3.717111759e+03|3.658052567e+03|3.562699206e+03|3.753405928e+03|2.107384572e+02|3.794163423e+02|4.886489401e+02|3.752332976e+02|2.283582374e+02|5.221083577e+02|1.322342564e+11|1.361227039e+11|1.391074714e+11|1.362478776e+11|1.319268516e+11|1.405689364e+11|-1.728866509e+10|-1.038662861e+10|3.200506470e+10|3.885509632e+09|-1.778254643e+10|2.555356365e+10|5.266074341e+03|5.298145020e+03|5.321508667e+03|5.300169434e+03|5.263627930e+03|5.336710449e+03
3.581026693e+06|3.590023408e+06|3.561341969e+06|3.569967506e+06|7.426568625e+06|7.522345000e+06|7.610171500e+06|7.554754500e+06|7.338316000e+06|7.771190000e+06|-1.548245625e+06|1.924465000e+05|5.355826250e+05|-2.995447812e+05|-1.207215625e+06|6.081260000e+05|2.983126900e+03|3.002119344e+03|3.017774624e+03|3.003022235e+03|2.978959331e+03|3.027085139e+03|1.632252313e+02|1.822334644e+02|1.976903564e+02|1.830869138e+02|1.590240271e+02|2.071498006e+02|3.507549631e+03|3.545672760e+03|3.591449359e+03|3.548956960e+03|3.484403461e+03|3.613510459e+03|2.158594108e+02|3.220890540e+02|3.884924373e+02|3.027584942e+02|2.036260567e+02|4.018909317e+02|1.035479695e+11|1.047176028e+11|1.059240591e+11|1.055084052e+11|1.016002806e+11|1.094165545e+11|-4.667593318e+10|-4.798705664e+09|5.798666240e+08|-1.838094541e+10|-3.875292365e+10|1.991028736e+09|4.972911377e+03|4.984517090e+03|4.997910156e+03|4.991460449e+03|4.951130859e+03|5.031790039e+03
