#RRR|U50|U25|U75|Umean|T50|T25|T75|Tmean|P50|P25|P75|Pmean|rho50|rho25|rho75|Pmean|S
2.955064620e+05|7.304815148e+06|7.333746263e+06|7.381285030e+06|7.339718751e+06|5.750578931e+03|5.759355096e+03|5.773710913e+03|5.761111612e+03|3.030764299e+11|3.045414359e+11|3.069507292e+11|3.048452494e+11|1.190136108e+04|1.191486279e+04|1.193696851e+04|1.191757715e+04|1.846313723e+03
4.476663105e+05|7.275542373e+06|7.303230325e+06|7.347665501e+06|7.307257939e+06|5.741675192e+03|5.750097445e+03|5.763564352e+03|5.751263933e+03|3.015940571e+11|3.029961802e+11|3.052469797e+11|3.032011413e+11|1.188765698e+04|1.190061963e+04|1.192134033e+04|1.190242383e+04|1.846313723e+03
5.340313109e+05|7.223338414e+06|7.264560555e+06|7.295287209e+06|7.262086895e+06|5.725724226e+03|5.738329252e+03|5.747683256e+03|5.737527055e+03|2.989524431e+11|3.010378790e+11|3.025939674e+11|3.009139550e+11|1.186315015e+04|1.188250830e+04|1.189690771e+04|1.188129492e+04|1.846313723e+03
5.962159042e+05|7.215825434e+06|7.248673447e+06|7.273347092e+06|7.242369681e+06|5.723422043e+03|5.733476746e+03|5.741006584e+03|5.731517236e+03|2.985723206e+11|3.002341798e+11|3.014828869e+11|2.999158539e+11|1.185960645e+04|1.187505957e+04|1.188663062e+04|1.187205469e+04|1.846313723e+03
6.514913694e+05|7.184402209e+06|7.221325776e+06|7.249903609e+06|7.214543018e+06|5.713771267e+03|5.725107643e+03|5.733852756e+03|5.722971771e+03|2.969831194e+11|2.988506192e+11|3.002964101e+11|2.985085724e+11|1.184478931e+04|1.186219678e+04|1.187563843e+04|1.185893262e+04|1.846313723e+03
6.950092225e+05|7.149360282e+06|7.183176384e+06|7.215789418e+06|7.185025327e+06|5.702970018e+03|5.713393965e+03|5.723411004e+03|5.713910088e+03|2.952118882e+11|2.969211575e+11|2.985704981e+11|2.970157240e+11|1.182821411e+04|1.184420898e+04|1.185959497e+04|1.184501660e+04|1.846313723e+03
7.389461136e+05|7.142180960e+06|7.176996562e+06|7.202632079e+06|7.174020375e+06|5.700753084e+03|5.711491263e+03|5.719375683e+03|5.710540808e+03|2.948489757e+11|2.966088532e+11|2.979046998e+11|2.964589769e+11|1.182480615e+04|1.184129102e+04|1.185338623e+04|1.183983789e+04|1.846313723e+03
7.803750736e+05|7.105784013e+06|7.140718626e+06|7.174536181e+06|7.142213692e+06|5.689478589e+03|5.700301354e+03|5.710733363e+03|5.700687946e+03|2.930103538e+11|2.947750477e+11|2.964844901e+11|2.948521270e+11|1.180751831e+04|1.182411230e+04|1.184012866e+04|1.182472754e+04|1.846313723e+03
8.174289404e+05|7.073484816e+06|7.125551204e+06|7.159359550e+06|7.122214395e+06|5.679439580e+03|5.695608697e+03|5.706055378e+03|5.694505168e+03|2.913788337e+11|2.940086562e+11|2.957173764e+11|2.938415185e+11|1.179213208e+04|1.181691113e+04|1.183294507e+04|1.181524414e+04|1.846313723e+03
8.562706357e+05|7.057801951e+06|7.096949246e+06|7.126927905e+06|7.099355326e+06|5.674550896e+03|5.686735413e+03|5.696035252e+03|5.687432896e+03|2.905873229e+11|2.925641209e+11|2.940781680e+11|2.926865593e+11|1.178464429e+04|1.180331396e+04|1.181757178e+04|1.180439648e+04|1.846313723e+03
