#R_planet
1.140568037e+07
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
3.656279428e+06|3.661805418e+06|3.540581810e+06|3.533129034e+06|1.000273000e+07|1.026666350e+07|1.062013950e+07|1.030244500e+07|9.968734000e+06|1.063615400e+07|3.446125125e+06|4.034073000e+06|4.862256375e+06|3.959083000e+06|2.994190750e+06|4.923974500e+06|3.372055835e+03|3.408665314e+03|3.451395496e+03|3.415418459e+03|3.363525288e+03|3.467311629e+03|5.520372814e+02|5.887703878e+02|6.314387274e+02|5.954447275e+02|5.435461046e+02|6.473433505e+02|4.328564171e+03|4.363614213e+03|4.398072514e+03|4.364817650e+03|4.326978726e+03|4.402656573e+03|1.217531592e+03|1.281081022e+03|1.383658806e+03|1.290691866e+03|1.167219652e+03|1.414164080e+03|1.308075848e+11|1.356543427e+11|1.404413829e+11|1.358074102e+11|1.304946770e+11|1.411201106e+11|3.484153856e+10|4.614247629e+10|6.486799565e+10|4.575296307e+10|2.338942566e+10|6.811648410e+10|5.181845215e+03|5.224016357e+03|5.267311646e+03|5.227241699e+03|5.179020020e+03|5.275463867e+03
3.684531264e+06|3.683955046e+06|3.594087992e+06|3.586068659e+06|9.908452250e+06|1.021731300e+07|1.044398650e+07|1.021749200e+07|9.862988000e+06|1.057199700e+07|3.355450125e+06|4.049676500e+06|4.876800000e+06|4.029071000e+06|2.930956500e+06|5.127184500e+06|3.395384044e+03|3.444889374e+03|3.497139905e+03|3.454728496e+03|3.394161712e+03|3.515295280e+03|5.754803676e+02|6.249136308e+02|6.771274883e+02|6.347403271e+02|5.741740306e+02|6.953066235e+02|4.301012300e+03|4.327353193e+03|4.357059291e+03|4.332144710e+03|4.298056356e+03|4.366233064e+03|1.172683472e+03|1.249018908e+03|1.374765702e+03|1.279249145e+03|1.136628209e+03|1.421870082e+03|1.268523377e+11|1.303245455e+11|1.345038787e+11|1.311313265e+11|1.265070244e+11|1.357556122e+11|2.890175283e+10|4.295021773e+10|6.378002739e+10|4.455289651e+10|1.997173146e+10|6.913406566e+10|5.136680908e+03|5.165638672e+03|5.200938110e+03|5.175434570e+03|5.135184082e+03|5.215684570e+03
3.700161872e+06|3.699882857e+06|3.614406075e+06|3.614193809e+06|9.771890000e+06|1.013104550e+07|1.051117550e+07|1.018976800e+07|9.757635000e+06|1.062190100e+07|3.221174625e+06|4.083253750e+06|4.888137125e+06|3.966141750e+06|2.963070000e+06|4.969214000e+06|3.400822766e+03|3.454283482e+03|3.530870657e+03|3.471272717e+03|3.393670240e+03|3.548875194e+03|5.807076595e+02|6.343107391e+02|7.108994445e+02|6.513102567e+02|5.736797104e+02|7.289408030e+02|4.285200070e+03|4.317823794e+03|4.344383831e+03|4.319032008e+03|4.283943120e+03|4.354120897e+03|1.157898467e+03|1.247414697e+03|1.388338028e+03|1.263543605e+03|1.128635006e+03|1.398452203e+03|1.247315558e+11|1.290820649e+11|1.325591982e+11|1.293384172e+11|1.246876467e+11|1.339892122e+11|2.702031053e+10|4.124493005e+10|6.387527987e+10|4.198062490e+10|1.810587443e+10|6.585537331e+10|5.122185669e+03|5.145532715e+03|5.181389648e+03|5.154963867e+03|5.117136719e+03|5.192791504e+03
3.711898684e+06|3.711539956e+06|3.637497463e+06|3.636857656e+06|9.780806250e+06|1.010160850e+07|1.042123025e+07|1.013257300e+07|9.729625000e+06|1.053552200e+07|3.300536875e+06|4.027849500e+06|4.780962750e+06|3.915370500e+06|2.884762500e+06|4.945979000e+06|3.425286697e+03|3.488220890e+03|3.556711431e+03|3.493703402e+03|3.420746373e+03|3.566660432e+03|6.053569037e+02|6.683003225e+02|7.367347507e+02|6.737367992e+02|6.007691781e+02|7.467044204e+02|4.272942300e+03|4.296846644e+03|4.326927678e+03|4.299348025e+03|4.265365263e+03|4.333330787e+03|1.148080735e+03|1.218199433e+03|1.349935003e+03|1.247587767e+03|1.107740126e+03|1.387435408e+03|1.231016796e+11|1.262005862e+11|1.302283305e+11|1.265326408e+11|1.222090588e+11|1.308562145e+11|2.592963379e+10|3.662093517e+10|5.913797427e+10|3.934583603e+10|1.496348774e+10|6.372819354e+10|5.095893799e+03|5.122677490e+03|5.151471191e+03|5.123282715e+03|5.087655762e+03|5.158910156e+03
3.723147452e+06|3.723350356e+06|3.659483767e+06|3.668939499e+06|9.684247000e+06|9.907213000e+06|1.048764450e+07|1.008296400e+07|9.645181000e+06|1.052074800e+07|2.934016375e+06|4.048677250e+06|4.755739625e+06|3.829554250e+06|2.695026250e+06|4.964082000e+06|3.412831842e+03|3.472614491e+03|3.557790889e+03|3.493971695e+03|3.409449666e+03|3.578493724e+03|5.927693825e+02|6.527132411e+02|7.378873798e+02|6.739988916e+02|5.894494302e+02|7.585483530e+02|4.258829615e+03|4.288165896e+03|4.323964661e+03|4.297247142e+03|4.256311642e+03|4.338182641e+03|1.112418105e+03|1.232608733e+03|1.359940835e+03|1.243706062e+03|1.083774782e+03|1.403637341e+03|1.211434824e+11|1.252254106e+11|1.298545684e+11|1.254529352e+11|1.209972081e+11|1.299086705e+11|2.111157862e+10|4.208212378e+10|6.076501299e+10|3.743083315e+10|1.007711130e+10|6.478454784e+10|5.077158936e+03|5.119245605e+03|5.141327515e+03|5.112695801e+03|5.076038574e+03|5.149352051e+03
3.733225785e+06|3.732886836e+06|3.678078631e+06|3.683155081e+06|9.653009000e+06|1.000555800e+07|1.055822425e+07|1.008579300e+07|9.603316000e+06|1.056826800e+07|3.157057375e+06|3.926159250e+06|4.421791625e+06|3.717292250e+06|2.718570250e+06|4.716014500e+06|3.423175536e+03|3.482486896e+03|3.607369138e+03|3.508184446e+03|3.415384068e+03|3.600984823e+03|6.033133927e+02|6.625190844e+02|7.873893242e+02|6.882104210e+02|5.954071364e+02|7.810137057e+02|4.254647639e+03|4.278492806e+03|4.318474123e+03|4.284517219e+03|4.248371368e+03|4.320663070e+03|1.111789035e+03|1.210348479e+03|1.293791697e+03|1.216400035e+03|1.078276095e+03|1.354523975e+03|1.207478743e+11|1.238936658e+11|1.288483635e+11|1.245108961e+11|1.200398336e+11|1.289819259e+11|2.059705754e+10|3.744253542e+10|5.322498355e+10|3.392143974e+10|8.442357760e+09|5.940051968e+10|5.069843628e+03|5.097898438e+03|5.131696045e+03|5.100520508e+03|5.066441406e+03|5.134600098e+03
3.743511273e+06|3.743660580e+06|3.691881238e+06|3.713165538e+06|9.644620500e+06|9.905255000e+06|1.024247075e+07|9.942983000e+06|9.553026000e+06|1.033294000e+07|3.192840625e+06|3.947625500e+06|4.525522750e+06|3.759312000e+06|2.743642250e+06|4.774982500e+06|3.442221532e+03|3.495104908e+03|3.563798827e+03|3.505734395e+03|3.430084229e+03|3.581384560e+03|6.223511005e+02|6.751593014e+02|7.437270645e+02|6.857575083e+02|6.101037981e+02|7.614112186e+02|4.237136655e+03|4.263214761e+03|4.290628452e+03|4.262068087e+03|4.228680345e+03|4.295455829e+03|1.119312770e+03|1.211059551e+03|1.292074077e+03|1.213959867e+03|1.079025182e+03|1.348894552e+03|1.185262981e+11|1.217633280e+11|1.253545062e+11|1.216995656e+11|1.175001334e+11|1.258989978e+11|2.174032486e+10|3.690820813e+10|5.300182323e+10|3.524022272e+10|1.147378176e+10|5.900666470e+10|5.041033569e+03|5.076117432e+03|5.101716797e+03|5.072813477e+03|5.035727051e+03|5.109899414e+03
3.754303330e+06|3.754140138e+06|3.703691500e+06|3.718406482e+06|9.551096000e+06|9.875319500e+06|1.025298375e+07|9.933299000e+06|9.529686000e+06|1.033691000e+07|3.272702250e+06|3.909672500e+06|4.650024000e+06|3.841012500e+06|2.798690250e+06|4.883334000e+06|3.439618010e+03|3.503776677e+03|3.589239696e+03|3.518343854e+03|3.434357758e+03|3.602329950e+03|6.195790505e+02|6.838592701e+02|7.691673470e+02|6.983685810e+02|6.143744858e+02|7.823626761e+02|4.234565704e+03|4.251472330e+03|4.277555775e+03|4.261806760e+03|4.224272646e+03|4.299340873e+03|1.113415069e+03|1.216894651e+03|1.335121638e+03|1.227906640e+03|1.081675530e+03|1.374137749e+03|1.182434365e+11|1.203920732e+11|1.234428867e+11|1.206013460e+11|1.169541284e+11|1.242485391e+11|2.034197094e+10|4.018221875e+10|5.926674125e+10|3.620740710e+10|1.080879616e+10|6.160601907e+10|5.036272949e+03|5.064305908e+03|5.087861084e+03|5.059417969e+03|5.027894531e+03|5.090940430e+03
3.766988704e+06|3.766709594e+06|3.716816129e+06|3.742412043e+06|9.367342500e+06|9.748734000e+06|1.003559275e+07|9.771410000e+06|9.356536000e+06|1.018628300e+07|3.170283125e+06|3.844353250e+06|4.841017125e+06|3.834715000e+06|2.855422000e+06|4.814007500e+06|3.438877406e+03|3.493295430e+03|3.562172676e+03|3.508814847e+03|3.422518343e+03|3.595111352e+03|6.188591968e+02|6.731729315e+02|7.421073214e+02|6.888193183e+02|6.025064907e+02|7.751321459e+02|4.208575668e+03|4.236044810e+03|4.258320361e+03|4.240848521e+03|4.201710102e+03|4.279986941e+03|1.114041525e+03|1.228451450e+03|1.346204881e+03|1.222817265e+03|1.084732589e+03|1.360901941e+03|1.149674537e+11|1.183761039e+11|1.209815265e+11|1.178630881e+11|1.142090957e+11|1.215170806e+11|2.055240499e+10|4.053424947e+10|5.878790349e+10|3.689255731e+10|1.222787482e+10|6.155723571e+10|5.011489380e+03|5.036875977e+03|5.061042358e+03|5.033415527e+03|5.001076172e+03|5.065755371e+03
3.780140496e+06|3.780456695e+06|3.727140590e+06|3.734049689e+06|9.253337000e+06|9.554733500e+06|9.940003750e+06|9.583698000e+06|9.191859000e+06|9.975535000e+06|3.061717500e+06|3.843790500e+06|4.454293375e+06|3.746603000e+06|2.741839000e+06|4.751367000e+06|3.414669825e+03|3.491463327e+03|3.572546137e+03|3.501687113e+03|3.411652358e+03|3.591721868e+03|5.946365453e+02|6.715959052e+02|7.526360748e+02|6.817038952e+02|5.916626494e+02|7.717451410e+02|4.183473490e+03|4.202243400e+03|4.236677439e+03|4.209150211e+03|4.175357394e+03|4.242943028e+03|1.082573933e+03|1.201966231e+03|1.311350103e+03|1.205951782e+03|1.057183096e+03|1.354720467e+03|1.119180554e+11|1.139325297e+11|1.177115505e+11|1.144474337e+11|1.110011003e+11|1.178937590e+11|1.651206144e+10|3.882020864e+10|5.684683776e+10|3.576224973e+10|1.132941312e+10|6.019508224e+10|4.966473145e+03|4.997032959e+03|5.027645630e+03|4.999459473e+03|4.965345703e+03|5.033574219e+03
