#RRR|Lz25|Lz50|Lz75|Lzmean|
2.955715195e+05|2.542802777e+26|5.677227467e+26|8.395773737e+26|5.893914102e+26|5.893914102e+28
4.491118082e+05|9.243386708e+26|1.455661166e+27|1.834101941e+27|1.365437598e+27|1.365437598e+29
5.352961560e+05|1.136637250e+27|2.035076355e+27|2.579439601e+27|1.835592398e+27|1.835592398e+29
5.974584728e+05|1.498477030e+27|2.546292817e+27|3.142072112e+27|2.294088714e+27|2.294088714e+29
6.516222433e+05|1.929603954e+27|3.270480112e+27|3.926980602e+27|2.874606574e+27|2.874606574e+29
6.951474625e+05|1.896041149e+27|3.296204379e+27|4.297399742e+27|3.052627262e+27|3.052627262e+29
7.348235126e+05|2.326523624e+27|3.846980877e+27|4.790589259e+27|3.456558574e+27|3.456558574e+29
7.743171785e+05|2.668943156e+27|4.788464406e+27|5.535754622e+27|4.104705284e+27|4.104705284e+29
8.036302609e+05|2.654434559e+27|4.494898811e+27|5.793423192e+27|4.115669492e+27|4.115669492e+29
8.341354339e+05|2.770741728e+27|4.879055352e+27|6.195831357e+27|4.360188297e+27|4.360188297e+29
8.639348588e+05|3.726164788e+27|5.712222918e+27|6.912835254e+27|5.038202613e+27|5.038202613e+29
8.908658212e+05|3.726500582e+27|5.737600015e+27|7.292027156e+27|5.179566314e+27|5.179566314e+29
9.158492699e+05|3.223522455e+27|5.647644955e+27|7.547230080e+27|5.246778099e+27|5.246778099e+29
9.395025359e+05|3.697198806e+27|6.359093411e+27|7.797859276e+27|5.618658836e+27|5.618658836e+29
9.611192192e+05|4.157323104e+27|6.939295382e+27|8.253595540e+27|6.056785196e+27|6.056785196e+29
9.832217248e+05|3.861649794e+27|7.175632820e+27|8.882473567e+27|6.310850281e+27|6.310850281e+29
1.005105401e+06|4.133392470e+27|7.539206157e+27|9.213754031e+27|6.548519202e+27|6.548519202e+29
1.025883887e+06|4.568652965e+27|7.640119526e+27|9.782062749e+27|6.824197949e+27|6.824197949e+29
1.045052322e+06|5.102951002e+27|7.772614414e+27|9.938871564e+27|7.096578693e+27|7.096578693e+29
1.061224803e+06|4.396498142e+27|8.195880096e+27|1.007792197e+28|7.208352210e+27|7.208352210e+29
1.079075319e+06|5.001144992e+27|8.810517465e+27|1.071554416e+28|7.735927258e+27|7.735927258e+29
1.097112374e+06|5.370200444e+27|8.637799352e+27|1.058404182e+28|7.855035863e+27|7.855035863e+29
1.116049209e+06|4.175059315e+27|8.234929882e+27|1.120379039e+28|7.562523674e+27|7.562523674e+29
1.131723757e+06|5.125455051e+27|9.951878508e+27|1.156996566e+28|8.155115739e+27|8.155115739e+29
1.148315230e+06|6.982299197e+27|1.063386994e+28|1.216486734e+28|9.219039864e+27|9.219039864e+29
1.161680991e+06|6.338721618e+27|9.298359123e+27|1.231421906e+28|8.662859155e+27|8.662859155e+29
1.177671920e+06|5.596762525e+27|9.919066450e+27|1.210807372e+28|8.828474172e+27|8.828474172e+29
1.192418693e+06|6.489148634e+27|1.002477773e+28|1.264047220e+28|9.238806684e+27|9.238806684e+29
1.206939475e+06|5.711974802e+27|1.081438343e+28|1.294516518e+28|9.097400830e+27|9.097400830e+29
1.220639870e+06|6.865954487e+27|1.178682268e+28|1.383690570e+28|1.009720680e+28|1.009720680e+30
1.233802231e+06|5.669665577e+27|1.085793674e+28|1.378491077e+28|9.403219854e+27|9.403219854e+29
1.248104073e+06|7.287019509e+27|1.025360008e+28|1.348820697e+28|9.763695300e+27|9.763695300e+29
1.262079634e+06|6.267421674e+27|1.216713998e+28|1.444924145e+28|1.038053865e+28|1.038053865e+30
1.274874007e+06|7.469707823e+27|1.304927513e+28|1.508618535e+28|1.092988660e+28|1.092988660e+30
1.287639386e+06|6.786147701e+27|1.124271873e+28|1.462223706e+28|1.026655579e+28|1.026655579e+30
1.299939303e+06|7.779804303e+27|1.294598796e+28|1.538678910e+28|1.125253618e+28|1.125253618e+30
1.311475184e+06|7.794546304e+27|1.238695388e+28|1.530505348e+28|1.102770627e+28|1.102770627e+30
1.323462098e+06|8.084881717e+27|1.283561070e+28|1.579335905e+28|1.155212666e+28|1.155212666e+30
1.334226726e+06|8.132494476e+27|1.300160110e+28|1.625320439e+28|1.189246947e+28|1.189246947e+30
1.345939534e+06|7.742205461e+27|1.303275272e+28|1.565429711e+28|1.121721612e+28|1.121721612e+30
1.357919141e+06|6.468660011e+27|1.211153422e+28|1.683740682e+28|1.126027998e+28|1.126027998e+30
1.369762698e+06|8.500668123e+27|1.441258313e+28|1.733781391e+28|1.234616720e+28|1.234616720e+30
1.381305974e+06|7.592553237e+27|1.459469962e+28|1.687182319e+28|1.229696851e+28|1.229696851e+30
1.392011805e+06|8.822191393e+27|1.291382011e+28|1.804889506e+28|1.240888496e+28|1.240888496e+30
1.402673868e+06|8.412656788e+27|1.468713691e+28|1.822761099e+28|1.278979889e+28|1.278979889e+30
1.412839008e+06|8.066570173e+27|1.306207902e+28|1.735651636e+28|1.224913349e+28|1.224913349e+30
1.424027834e+06|1.095355586e+28|1.629345803e+28|1.845601308e+28|1.409949227e+28|1.409949227e+30
1.433106748e+06|8.077559557e+27|1.477485973e+28|1.830340184e+28|1.307258461e+28|1.307258461e+30
1.442441910e+06|1.046664887e+28|1.597296484e+28|1.912256107e+28|1.400676794e+28|1.400676794e+30
1.453707580e+06|8.669666803e+27|1.444350004e+28|1.784139867e+28|1.311543805e+28|1.311543805e+30
1.463368863e+06|7.539879868e+27|1.589313594e+28|1.952626725e+28|1.354731159e+28|1.354731159e+30
1.472469700e+06|9.986505639e+27|1.673176671e+28|1.961652154e+28|1.447729110e+28|1.447729110e+30
1.482257728e+06|7.057464203e+27|1.448707753e+28|1.919789869e+28|1.290586826e+28|1.290586826e+30
1.491997268e+06|9.858941234e+27|1.575828699e+28|2.013062964e+28|1.402126322e+28|1.402126322e+30
1.500784645e+06|7.999742633e+27|1.693247342e+28|2.086659369e+28|1.438153646e+28|1.438153646e+30
1.510286360e+06|1.067900461e+28|1.836526536e+28|2.106452722e+28|1.570717338e+28|1.570717338e+30
1.520458029e+06|1.096003252e+28|1.768935972e+28|2.151843817e+28|1.525528675e+28|1.525528675e+30
1.530005663e+06|1.167402914e+28|1.621450057e+28|2.048887670e+28|1.521603131e+28|1.521603131e+30
1.538323960e+06|9.945797428e+27|1.741351756e+28|2.150133600e+28|1.558690766e+28|1.558690766e+30
1.547487858e+06|1.038618906e+28|1.771701846e+28|2.197315269e+28|1.558403058e+28|1.558403058e+30
1.555725566e+06|8.924956121e+27|1.657943981e+28|2.095120362e+28|1.514454843e+28|1.514454843e+30
1.563931458e+06|9.111404187e+27|1.711562699e+28|2.179241782e+28|1.528980491e+28|1.528980491e+30
1.572119711e+06|9.817829439e+27|1.793786687e+28|2.261793162e+28|1.588529408e+28|1.588529408e+30
1.580534061e+06|1.131073514e+28|1.878741386e+28|2.253931077e+28|1.617977453e+28|1.617977453e+30
1.588975908e+06|1.093160590e+28|1.859562028e+28|2.275521193e+28|1.665600879e+28|1.665600879e+30
1.597449977e+06|1.053564186e+28|1.771665041e+28|2.327913897e+28|1.634252617e+28|1.634252617e+30
1.605128399e+06|1.251545453e+28|1.982827613e+28|2.401415672e+28|1.719595622e+28|1.719595622e+30
1.613581074e+06|1.002002662e+28|1.936343438e+28|2.349268292e+28|1.636170439e+28|1.636170439e+30
1.622014996e+06|8.795944772e+27|1.565169673e+28|2.213866418e+28|1.515363653e+28|1.515363653e+30
1.631737071e+06|1.600835181e+28|2.152563901e+28|2.440355379e+28|1.872599457e+28|1.872599457e+30
1.639610856e+06|1.191580223e+28|1.984933552e+28|2.376176405e+28|1.735908728e+28|1.735908728e+30
1.646976303e+06|1.157550020e+28|2.092920242e+28|2.468210338e+28|1.737013183e+28|1.737013183e+30
1.653613409e+06|1.087956076e+28|1.803110386e+28|2.434336963e+28|1.677124401e+28|1.677124401e+30
1.661220957e+06|1.126056568e+28|1.864038248e+28|2.453615535e+28|1.718518936e+28|1.718518936e+30
1.668403656e+06|1.306904002e+28|2.176436671e+28|2.571113305e+28|1.927265065e+28|1.927265065e+30
1.676323870e+06|1.639200701e+28|2.094110828e+28|2.565946604e+28|1.964229449e+28|1.964229449e+30
1.684298231e+06|1.163667323e+28|2.118299463e+28|2.530620924e+28|1.813075221e+28|1.813075221e+30
1.691647882e+06|1.137876048e+28|2.041312220e+28|2.566631484e+28|1.815790233e+28|1.815790233e+30
1.698810678e+06|1.156474268e+28|1.988811392e+28|2.565162632e+28|1.817628053e+28|1.817628053e+30
1.705547782e+06|1.014789497e+28|1.972263017e+28|2.607723953e+28|1.785557845e+28|1.785557845e+30
1.712871212e+06|1.271232088e+28|2.110833865e+28|2.654803159e+28|1.870795842e+28|1.870795842e+30
1.720098882e+06|1.232061088e+28|2.251920101e+28|2.751001578e+28|1.966864222e+28|1.966864222e+30
1.727420321e+06|1.349121226e+28|2.224220393e+28|2.689594997e+28|1.932704297e+28|1.932704297e+30
1.734838402e+06|1.151910256e+28|2.013297346e+28|2.677756335e+28|1.836001771e+28|1.836001771e+30
1.742736304e+06|1.236870138e+28|2.273484201e+28|2.753126379e+28|1.989290534e+28|1.989290534e+30
1.749794562e+06|1.487801278e+28|2.357966926e+28|2.808005045e+28|2.080618972e+28|2.080618972e+30
1.755899880e+06|1.192368536e+28|2.141718680e+28|2.824752577e+28|1.946850296e+28|1.946850296e+30
1.762956729e+06|1.053491702e+28|2.288461017e+28|2.690563854e+28|1.913358597e+28|1.913358597e+30
1.769579983e+06|1.440926302e+28|2.311313268e+28|2.879193713e+28|2.051973858e+28|2.051973858e+30
1.776475735e+06|1.359681412e+28|2.323851162e+28|2.887258548e+28|2.096128171e+28|2.096128171e+30
1.782987319e+06|1.282043301e+28|2.256166207e+28|2.842891546e+28|2.005672612e+28|2.005672612e+30
1.789849958e+06|1.379952601e+28|2.460545147e+28|2.932638203e+28|2.065030328e+28|2.065030328e+30
1.796411174e+06|1.688110396e+28|2.247171508e+28|2.921595808e+28|2.130198882e+28|2.130198882e+30
1.803272245e+06|1.095189611e+28|2.333881950e+28|2.850851373e+28|2.031457109e+28|2.031457109e+30
1.809926949e+06|1.360145737e+28|2.364569917e+28|2.825907616e+28|2.091410855e+28|2.091410855e+30
1.815757742e+06|1.571186511e+28|2.425035078e+28|3.034603781e+28|2.190607932e+28|2.190607932e+30
1.821674924e+06|1.393467626e+28|2.432467440e+28|3.042523669e+28|2.221807487e+28|2.221807487e+30
1.828663728e+06|1.400442618e+28|2.244182549e+28|3.023419171e+28|2.110589365e+28|2.110589365e+30
1.835185157e+06|1.475545673e+28|2.486555902e+28|3.019386729e+28|2.154086042e+28|2.154086042e+30
1.841289583e+06|1.361894640e+28|2.532546585e+28|3.131318357e+28|2.202378963e+28|2.202378963e+30
1.847506322e+06|1.397273211e+28|2.367007842e+28|2.986220800e+28|2.112455035e+28|2.112455035e+30
1.853218264e+06|1.165437127e+28|2.502320080e+28|3.043947386e+28|2.121353858e+28|2.121353858e+30
1.860016937e+06|1.478800899e+28|2.627241486e+28|3.135373722e+28|2.276086120e+28|2.276086120e+30
1.866935224e+06|1.791068131e+28|2.583254411e+28|3.138081088e+28|2.328262643e+28|2.328262643e+30
1.872991098e+06|1.137604822e+28|2.603192989e+28|3.146672460e+28|2.154565002e+28|2.154565002e+30
1.878778125e+06|1.049591114e+28|2.526709908e+28|3.318403063e+28|2.244995321e+28|2.244995321e+30
1.884344812e+06|1.504914583e+28|2.567608084e+28|3.169290506e+28|2.271368894e+28|2.271368894e+30
1.890501702e+06|1.786617908e+28|2.635784408e+28|3.238495329e+28|2.399122342e+28|2.399122342e+30
1.897269878e+06|1.790194596e+28|2.830204739e+28|3.283773875e+28|2.521170790e+28|2.521170790e+30
1.903426189e+06|1.597601639e+28|2.526645427e+28|3.233318014e+28|2.290209218e+28|2.290209218e+30
1.909675373e+06|1.426150731e+28|2.530280412e+28|3.217243192e+28|2.265684712e+28|2.265684712e+30
1.915107520e+06|1.411544820e+28|2.450346472e+28|3.186182488e+28|2.221001384e+28|2.221001384e+30
1.920593606e+06|1.785940224e+28|2.856869515e+28|3.396011224e+28|2.515168257e+28|2.515168257e+30
1.925799503e+06|1.595646717e+28|2.728765277e+28|3.364654950e+28|2.405029062e+28|2.405029062e+30
1.931191573e+06|1.336588339e+28|2.427019293e+28|3.262126823e+28|2.261853312e+28|2.261853312e+30
1.936792875e+06|1.682097105e+28|2.609349997e+28|3.391749292e+28|2.412597636e+28|2.412597636e+30
1.942372141e+06|1.453262888e+28|2.747076976e+28|3.315181329e+28|2.433838892e+28|2.433838892e+30
1.947649244e+06|1.654141785e+28|3.008566332e+28|3.498806989e+28|2.544703969e+28|2.544703969e+30
1.954430260e+06|1.664013362e+28|2.747298187e+28|3.449805656e+28|2.496517423e+28|2.496517423e+30
1.959937019e+06|1.886881165e+28|2.911750270e+28|3.564178926e+28|2.597774183e+28|2.597774183e+30
1.965466341e+06|1.407183017e+28|2.657978699e+28|3.471800205e+28|2.437043394e+28|2.437043394e+30
1.971405038e+06|1.588790872e+28|2.591077481e+28|3.445744514e+28|2.396401440e+28|2.396401440e+30
1.976899709e+06|1.579823425e+28|2.737518748e+28|3.448401045e+28|2.459229799e+28|2.459229799e+30
1.982989697e+06|1.500903942e+28|3.004395905e+28|3.591192307e+28|2.543618697e+28|2.543618697e+30
1.987868850e+06|1.433297870e+28|3.120065762e+28|3.559180359e+28|2.551527094e+28|2.551527094e+30
1.993237521e+06|1.781530076e+28|2.793107198e+28|3.492650358e+28|2.513886226e+28|2.513886226e+30
1.998649234e+06|1.818317940e+28|2.790145265e+28|3.486506869e+28|2.515098553e+28|2.515098553e+30
2.004903695e+06|1.614277535e+28|3.109944812e+28|3.735438514e+28|2.594726118e+28|2.594726118e+30
2.010939799e+06|1.716153330e+28|2.839693255e+28|3.596222571e+28|2.638449228e+28|2.638449228e+30
2.015854586e+06|1.480590005e+28|3.135317132e+28|3.687104131e+28|2.553747965e+28|2.553747965e+30
2.020743225e+06|1.970535943e+28|3.105749966e+28|3.757764466e+28|2.733650360e+28|2.733650360e+30
2.025554822e+06|2.139084762e+28|3.027599412e+28|3.605178207e+28|2.757332100e+28|2.757332100e+30
2.030673562e+06|1.953254634e+28|3.146320145e+28|3.772360551e+28|2.771548685e+28|2.771548685e+30
2.035723517e+06|1.503869818e+28|2.732319614e+28|3.684401380e+28|2.588195302e+28|2.588195302e+30
2.041124126e+06|1.787081850e+28|3.176638754e+28|3.848162475e+28|2.767642409e+28|2.767642409e+30
2.046079039e+06|1.876955562e+28|3.096876336e+28|3.750010821e+28|2.748700042e+28|2.748700042e+30
2.052087880e+06|1.622582947e+28|2.706198618e+28|3.538349617e+28|2.492339591e+28|2.492339591e+30
2.056707559e+06|1.997962471e+28|3.252193322e+28|3.893479991e+28|2.875824940e+28|2.875824940e+30
2.061993835e+06|1.560362454e+28|3.087922537e+28|3.899584709e+28|2.722731887e+28|2.722731887e+30
2.066437840e+06|1.694083657e+28|2.949933510e+28|3.618817615e+28|2.633863142e+28|2.633863142e+30
2.071429537e+06|1.528551172e+28|3.057791754e+28|3.870447018e+28|2.716966940e+28|2.716966940e+30
2.076225131e+06|1.715054495e+28|2.962452562e+28|3.796370208e+28|2.660489697e+28|2.660489697e+30
2.081541103e+06|1.882564121e+28|3.221244919e+28|3.887987396e+28|2.754326558e+28|2.754326558e+30
2.086474513e+06|1.968371277e+28|3.229082104e+28|3.950328212e+28|2.904866922e+28|2.904866922e+30
2.091686342e+06|2.010908624e+28|3.100188217e+28|3.806979039e+28|2.821345114e+28|2.821345114e+30
2.096540170e+06|1.605957378e+28|3.323930033e+28|4.028552904e+28|2.805216941e+28|2.805216941e+30
2.101126155e+06|1.913180373e+28|3.325811015e+28|4.133385709e+28|2.962184681e+28|2.962184681e+30
2.106591575e+06|2.143941726e+28|3.384304606e+28|3.992509337e+28|3.036197496e+28|3.036197496e+30
2.111449351e+06|1.468463787e+28|3.026373518e+28|4.082169504e+28|2.729484327e+28|2.729484327e+30
2.116984665e+06|1.987309337e+28|3.344130939e+28|4.071398004e+28|2.864488398e+28|2.864488398e+30
2.122233972e+06|1.889018636e+28|3.088882543e+28|4.002796951e+28|2.877098220e+28|2.877098220e+30
2.127434067e+06|2.100413764e+28|3.430725883e+28|4.030996034e+28|2.941350401e+28|2.941350401e+30
2.131767847e+06|2.257408478e+28|3.572140850e+28|4.157176896e+28|2.974633411e+28|2.974633411e+30
2.135731176e+06|1.812312239e+28|2.542178569e+28|3.924381264e+28|2.709071346e+28|2.709071346e+30
2.140776753e+06|2.139258966e+28|3.587055126e+28|4.094126029e+28|3.060777325e+28|3.060777325e+30
2.145375910e+06|2.303848355e+28|3.213023689e+28|3.973565000e+28|3.002717547e+28|3.002717547e+30
2.149901193e+06|1.627664810e+28|2.808289778e+28|4.018932793e+28|2.701843735e+28|2.701843735e+30
2.155289383e+06|2.393787499e+28|3.552065479e+28|4.282709250e+28|3.224303758e+28|3.224303758e+30
2.159840251e+06|1.756583481e+28|3.147149051e+28|4.119073824e+28|2.934375430e+28|2.934375430e+30
2.164569968e+06|2.359466993e+28|3.475689662e+28|4.362189564e+28|3.166739216e+28|3.166739216e+30
2.169069521e+06|2.081996734e+28|3.404409434e+28|4.293276782e+28|3.057302125e+28|3.057302125e+30
2.173627515e+06|2.434099281e+28|3.449620875e+28|4.160694694e+28|3.174072235e+28|3.174072235e+30
2.177956748e+06|1.718032230e+28|2.840749612e+28|4.224686289e+28|2.882816936e+28|2.882816936e+30
2.182459195e+06|2.370979315e+28|3.789455524e+28|4.373330109e+28|3.290149367e+28|3.290149367e+30
2.186967715e+06|2.355101475e+28|3.614097683e+28|4.330803753e+28|3.232333216e+28|3.232333216e+30
2.191663963e+06|1.713897551e+28|3.228192314e+28|4.247076456e+28|2.931773694e+28|2.931773694e+30
2.196634303e+06|1.845746177e+28|3.021742927e+28|4.337649123e+28|2.925227987e+28|2.925227987e+30
2.201195733e+06|2.103068961e+28|3.581642383e+28|4.427853261e+28|3.185521507e+28|3.185521507e+30
2.205207104e+06|1.751994738e+28|3.111770067e+28|4.293174940e+28|2.933919829e+28|2.933919829e+30
2.209591680e+06|2.289220333e+28|3.692421695e+28|4.469423626e+28|3.167113052e+28|3.167113052e+30
2.213778506e+06|2.149098405e+28|3.589071917e+28|4.361488466e+28|3.145709406e+28|3.145709406e+30
