#RRR|Lz25|Lz50|Lz75|Lzmean|Lzsum|Isum
6.547479920e+04|1.193651754e+25|3.234901996e+25|4.747240822e+25|3.336324273e+25|3.336324273e+27|1.475033207e+31
1.197427261e+05|6.619936119e+25|8.492472382e+25|1.061932627e+26|8.605519007e+25|8.605519007e+27|4.416882156e+31
1.547410178e+05|1.309141598e+26|1.473445721e+26|1.742162238e+26|1.510267574e+26|1.510267574e+28|7.329384156e+31
1.841703484e+05|1.867133320e+26|2.098708628e+26|2.339893441e+26|2.021814417e+26|2.021814417e+28|1.036444137e+32
2.076979009e+05|2.369067850e+26|2.654759999e+26|2.981157956e+26|2.723467025e+26|2.723467025e+28|1.316826251e+32
2.306130897e+05|3.107973225e+26|3.332267383e+26|3.731908570e+26|3.423896659e+26|3.423896659e+28|1.622770292e+32
2.504360100e+05|3.657552826e+26|3.904080281e+26|4.292711257e+26|3.906994459e+26|3.906994459e+28|1.913250923e+32
2.686139411e+05|4.265777453e+26|4.573494709e+26|4.898943538e+26|4.504737405e+26|4.504737405e+28|2.202513083e+32
2.855017163e+05|4.764879827e+26|5.098531081e+26|5.482205096e+26|5.116643814e+26|5.116643814e+28|2.485756200e+32
3.042357695e+05|5.351355194e+26|5.870593302e+26|6.230304159e+26|5.720301335e+26|5.720301335e+28|2.823176404e+32
3.190651720e+05|6.030094911e+26|6.336238571e+26|6.615634913e+26|6.256919747e+26|6.256919747e+28|3.105968845e+32
3.335500662e+05|6.561735789e+26|6.960739357e+26|7.330180309e+26|6.858962296e+26|6.858962296e+28|3.392612390e+32
3.476535710e+05|6.985681403e+26|7.422809898e+26|8.003279390e+26|7.350942852e+26|7.350942852e+28|3.686325764e+32
3.615456639e+05|7.780047340e+26|8.229652587e+26|8.689830413e+26|8.080464478e+26|8.080464478e+28|3.985262594e+32
3.751155719e+05|8.382025411e+26|8.916318185e+26|9.461378665e+26|8.885929815e+26|8.885929815e+28|4.287985491e+32
3.880905602e+05|9.093939981e+26|9.474560116e+26|9.844680489e+26|9.574682596e+26|9.574682596e+28|4.594452398e+32
3.999087965e+05|9.425553238e+26|9.998650331e+26|1.054423848e+27|9.856973989e+26|9.856973989e+28|4.873728376e+32
4.119551228e+05|1.027014490e+27|1.067142351e+27|1.106338095e+27|1.064014665e+27|1.064014665e+29|5.175836508e+32
4.221788709e+05|1.065627110e+27|1.121720837e+27|1.162421575e+27|1.115803656e+27|1.115803656e+29|5.438254171e+32
4.330119937e+05|1.120249382e+27|1.185667845e+27|1.226072912e+27|1.175213287e+27|1.175213287e+29|5.715993380e+32
4.451930774e+05|1.181195436e+27|1.243711362e+27|1.277159561e+27|1.212727095e+27|1.212727095e+29|6.041651779e+32
4.568969171e+05|1.234961398e+27|1.306028844e+27|1.353966091e+27|1.299572918e+27|1.299572918e+29|6.363736819e+32
4.661532792e+05|1.299722555e+27|1.361879632e+27|1.396642559e+27|1.353852155e+27|1.353852155e+29|6.627273607e+32
4.758350942e+05|1.378894092e+27|1.424872121e+27|1.480305286e+27|1.418694810e+27|1.418694810e+29|6.903026790e+32
4.872422517e+05|1.429138738e+27|1.486362154e+27|1.542230881e+27|1.469683038e+27|1.469683038e+29|7.243504788e+32
4.967802314e+05|1.479463809e+27|1.542380926e+27|1.578776008e+27|1.530374579e+27|1.530374579e+29|7.529346320e+32
5.085936733e+05|1.526655952e+27|1.624885260e+27|1.668971062e+27|1.590441162e+27|1.590441162e+29|7.892821692e+32
5.173659663e+05|1.660315413e+27|1.697821763e+27|1.756978045e+27|1.695451193e+27|1.695451193e+29|8.155122952e+32
5.259148238e+05|1.667470221e+27|1.725504309e+27|1.800879703e+27|1.724733480e+27|1.724733480e+29|8.427209459e+32
5.345768401e+05|1.725552310e+27|1.789567340e+27|1.845438978e+27|1.762189713e+27|1.762189713e+29|8.719028633e+32
5.443768631e+05|1.795957464e+27|1.866276953e+27|1.926849867e+27|1.871726741e+27|1.871726741e+29|9.038666466e+32
5.525379796e+05|1.862468187e+27|1.915668875e+27|1.985119178e+27|1.938768982e+27|1.938768982e+29|9.313743338e+32
5.616861583e+05|1.918529271e+27|1.978928257e+27|2.034687213e+27|1.954208113e+27|1.954208113e+29|9.612736022e+32
5.704452753e+05|1.977016115e+27|2.047327290e+27|2.127820904e+27|2.051735277e+27|2.051735277e+29|9.914636048e+32
5.785256449e+05|2.011257356e+27|2.080078393e+27|2.153650557e+27|2.073819778e+27|2.073819778e+29|1.020615293e+33
5.881881653e+05|2.077524636e+27|2.156236059e+27|2.238976817e+27|2.146111402e+27|2.146111402e+29|1.054591612e+33
5.962209695e+05|2.183902617e+27|2.243517710e+27|2.307389362e+27|2.225703926e+27|2.225703926e+29|1.084050087e+33
6.039489835e+05|2.193481885e+27|2.274018102e+27|2.364707354e+27|2.276924306e+27|2.276924306e+29|1.112371375e+33
6.110694141e+05|2.270575609e+27|2.335602029e+27|2.422706146e+27|2.341385555e+27|2.341385555e+29|1.138260908e+33
6.184399391e+05|2.326663218e+27|2.391751457e+27|2.471832096e+27|2.386574595e+27|2.386574595e+29|1.166448217e+33
