#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
2.947411673e+05|3.093161073e+11|3.107346257e+11|3.118716139e+11|0.000000|0.000000|0.000000
4.483777868e+05|3.069813370e+11|3.083231650e+11|3.095958858e+11|0.000000|0.000000|0.000000
5.329546683e+05|3.053040711e+11|3.066003623e+11|3.079189121e+11|0.000000|0.000000|0.000000
5.966510947e+05|3.038596934e+11|3.051209755e+11|3.064621898e+11|0.000000|0.000000|0.000000
6.483712085e+05|3.025734660e+11|3.038061956e+11|3.051590063e+11|0.000000|0.000000|0.000000
6.948484210e+05|3.013316007e+11|3.025387665e+11|3.038972055e+11|0.000000|0.000000|0.000000
7.336634500e+05|3.002325021e+11|3.014184984e+11|3.027784084e+11|0.000000|0.000000|0.000000
7.700298288e+05|2.991518891e+11|3.003182779e+11|3.016770768e+11|0.000000|0.000000|0.000000
8.035074732e+05|2.981138753e+11|2.992624651e+11|3.006182455e+11|0.000000|0.000000|0.000000
8.370148625e+05|2.970336650e+11|2.981647308e+11|2.995156941e+11|0.000000|0.000000|0.000000
8.664128709e+05|2.960521051e+11|2.971680731e+11|2.985134207e+11|0.000000|0.000000|0.000000
8.978856153e+05|2.949664129e+11|2.960665404e+11|2.974045274e+11|0.000000|0.000000|0.000000
9.260027947e+05|2.939661404e+11|2.950524276e+11|2.963827324e+11|0.000000|0.000000|0.000000
9.556150748e+05|2.928818872e+11|2.939539438e+11|2.952751032e+11|0.000000|0.000000|0.000000
9.831029007e+05|2.918472889e+11|2.929064772e+11|2.942182429e+11|0.000000|0.000000|0.000000
1.008582856e+06|2.908641915e+11|2.919117640e+11|2.932140968e+11|0.000000|0.000000|0.000000
1.036553200e+06|2.897584699e+11|2.907936572e+11|2.920848882e+11|0.000000|0.000000|0.000000
1.063454351e+06|2.886689412e+11|2.896925970e+11|2.909724670e+11|0.000000|0.000000|0.000000
1.087067550e+06|2.876916096e+11|2.887054647e+11|2.899748522e+11|0.000000|0.000000|0.000000
1.109922023e+06|2.867270965e+11|2.877317631e+11|2.889905856e+11|0.000000|0.000000|0.000000
1.136155884e+06|2.855975321e+11|2.865920252e+11|2.878382531e+11|0.000000|0.000000|0.000000
1.160178873e+06|2.845422283e+11|2.855277672e+11|2.867620618e+11|0.000000|0.000000|0.000000
1.183349474e+06|2.835054976e+11|2.844827381e+11|2.857051948e+11|0.000000|0.000000|0.000000
1.206137794e+06|2.824678790e+11|2.834372906e+11|2.846478214e+11|0.000000|0.000000|0.000000
1.226702634e+06|2.815162524e+11|2.824788890e+11|2.836784410e+11|0.000000|0.000000|0.000000
1.249697716e+06|2.804351101e+11|2.813905042e+11|2.825775640e+11|0.000000|0.000000|0.000000
1.271652111e+06|2.793861656e+11|2.803349798e+11|2.815099261e+11|0.000000|0.000000|0.000000
1.293174406e+06|2.783420728e+11|2.792847604e+11|2.804476794e+11|0.000000|0.000000|0.000000
1.315008496e+06|2.772669479e+11|2.782037533e+11|2.793543413e+11|0.000000|0.000000|0.000000
1.334186914e+06|2.763094306e+11|2.772413506e+11|2.783810189e+11|0.000000|0.000000|0.000000
1.353223974e+06|2.753468506e+11|2.762741848e+11|2.774029488e+11|0.000000|0.000000|0.000000
1.373623440e+06|2.743020350e+11|2.752247508e+11|2.763417759e+11|0.000000|0.000000|0.000000
1.393898954e+06|2.732499432e+11|2.741683749e+11|2.752736955e+11|0.000000|0.000000|0.000000
1.415241890e+06|2.721278538e+11|2.730421096e+11|2.741350899e+11|0.000000|0.000000|0.000000
1.432620611e+06|2.712031597e+11|2.721142706e+11|2.731972022e+11|0.000000|0.000000|0.000000
1.451681650e+06|2.701776252e+11|2.710855528e+11|2.721574770e+11|0.000000|0.000000|0.000000
1.470425638e+06|2.691576403e+11|2.700627109e+11|2.711238389e+11|0.000000|0.000000|0.000000
1.488117047e+06|2.681845078e+11|2.690871322e+11|2.701381086e+11|0.000000|0.000000|0.000000
1.506943008e+06|2.671378954e+11|2.680381857e+11|2.690784131e+11|0.000000|0.000000|0.000000
1.525424601e+06|2.660993688e+11|2.669976388e+11|2.680273808e+11|0.000000|0.000000|0.000000
1.543703610e+06|2.650614944e+11|2.659580318e+11|2.669774811e+11|0.000000|0.000000|0.000000
1.560904172e+06|2.640751480e+11|2.649702972e+11|2.659801427e+11|0.000000|0.000000|0.000000
1.578256618e+06|2.630705955e+11|2.639645831e+11|2.649648305e+11|0.000000|0.000000|0.000000
1.594848766e+06|2.621011728e+11|2.629942747e+11|2.639854388e+11|0.000000|0.000000|0.000000
1.612960837e+06|2.610330717e+11|2.619254583e+11|2.629068230e+11|0.000000|0.000000|0.000000
1.630849526e+06|2.599680693e+11|2.608600078e+11|2.618318231e+11|0.000000|0.000000|0.000000
1.647836319e+06|2.589475332e+11|2.598392842e+11|2.608021602e+11|0.000000|0.000000|0.000000
1.664042043e+06|2.579655785e+11|2.588573666e+11|2.598118397e+11|0.000000|0.000000|0.000000
1.680729880e+06|2.569459311e+11|2.578379782e+11|2.587839344e+11|0.000000|0.000000|0.000000
1.697016334e+06|2.559425462e+11|2.568350619e+11|2.577728471e+11|0.000000|0.000000|0.000000
1.711668267e+06|2.550329153e+11|2.559260344e+11|2.568565940e+11|0.000000|0.000000|0.000000
1.727513284e+06|2.540418387e+11|2.549358041e+11|2.558586900e+11|0.000000|0.000000|0.000000
1.746147094e+06|2.528665624e+11|2.537617802e+11|2.546758372e+11|0.000000|0.000000|0.000000
1.762092039e+06|2.518525344e+11|2.527490439e+11|2.536557217e+11|0.000000|0.000000|0.000000
1.777475658e+06|2.508669414e+11|2.517648890e+11|2.526646075e+11|0.000000|0.000000|0.000000
1.792479071e+06|2.498988647e+11|2.507983959e+11|2.516914845e+11|0.000000|0.000000|0.000000
1.807718562e+06|2.489086657e+11|2.498099875e+11|2.506965065e+11|0.000000|0.000000|0.000000
1.821489495e+06|2.480079387e+11|2.489110359e+11|2.497917660e+11|0.000000|0.000000|0.000000
1.837778969e+06|2.469352172e+11|2.478406066e+11|2.487146757e+11|0.000000|0.000000|0.000000
1.853666948e+06|2.458813850e+11|2.467892094e+11|2.476569826e+11|0.000000|0.000000|0.000000
1.868538762e+06|2.448882261e+11|2.457985075e+11|2.466605727e+11|0.000000|0.000000|0.000000
1.883249764e+06|2.438994328e+11|2.448123123e+11|2.456689125e+11|0.000000|0.000000|0.000000
1.899488000e+06|2.428006575e+11|2.437165976e+11|2.445673806e+11|0.000000|0.000000|0.000000
1.913724479e+06|2.418310322e+11|2.427498207e+11|2.435956940e+11|0.000000|0.000000|0.000000
1.928122761e+06|2.408444238e+11|2.417662490e+11|2.426073422e+11|0.000000|0.000000|0.000000
1.941608875e+06|2.399149024e+11|2.408397130e+11|2.416765019e+11|0.000000|0.000000|0.000000
1.955623089e+06|2.389434524e+11|2.398715088e+11|2.407040058e+11|0.000000|0.000000|0.000000
1.969788428e+06|2.379558219e+11|2.388873066e+11|2.397156566e+11|0.000000|0.000000|0.000000
1.986270467e+06|2.367994794e+11|2.377351379e+11|2.385589099e+11|0.000000|0.000000|0.000000
1.999761790e+06|2.358472290e+11|2.367864506e+11|2.376066771e+11|0.000000|0.000000|0.000000
2.015353468e+06|2.347403339e+11|2.356838361e+11|2.365001960e+11|0.000000|0.000000|0.000000
2.030474227e+06|2.336603483e+11|2.346081666e+11|2.354210176e+11|0.000000|0.000000|0.000000
2.042376465e+06|2.328057442e+11|2.337570729e+11|2.345673316e+11|0.000000|0.000000|0.000000
2.055580118e+06|2.318530785e+11|2.328084166e+11|2.336159772e+11|0.000000|0.000000|0.000000
2.068562066e+06|2.309116921e+11|2.318710891e+11|2.326761819e+11|0.000000|0.000000|0.000000
2.080891112e+06|2.300133375e+11|2.309766955e+11|2.317796168e+11|0.000000|0.000000|0.000000
2.093409585e+06|2.290968976e+11|2.300643819e+11|2.308652723e+11|0.000000|0.000000|0.000000
2.109323621e+06|2.279256747e+11|2.288985546e+11|2.296971198e+11|0.000000|0.000000|0.000000
2.124423376e+06|2.268079882e+11|2.277861407e+11|2.285827694e+11|0.000000|0.000000|0.000000
2.137658611e+06|2.258232185e+11|2.268061134e+11|2.276012637e+11|0.000000|0.000000|0.000000
2.151841217e+06|2.247626998e+11|2.257507998e+11|2.265445961e+11|0.000000|0.000000|0.000000
2.164362259e+06|2.238219228e+11|2.248147225e+11|2.256075237e+11|0.000000|0.000000|0.000000
2.177111385e+06|2.228596875e+11|2.238573715e+11|2.246493549e+11|0.000000|0.000000|0.000000
2.189060020e+06|2.219539267e+11|2.229562777e+11|2.237476754e+11|0.000000|0.000000|0.000000
2.201415832e+06|2.210133044e+11|2.220205708e+11|2.228115490e+11|0.000000|0.000000|0.000000
2.213454538e+06|2.200929307e+11|2.211050724e+11|2.218958254e+11|0.000000|0.000000|0.000000
2.226069269e+06|2.191244143e+11|2.201417542e+11|2.209324677e+11|0.000000|0.000000|0.000000
2.238564630e+06|2.181609383e+11|2.191835160e+11|2.199743904e+11|0.000000|0.000000|0.000000
2.254117359e+06|2.169560105e+11|2.179852284e+11|2.187765841e+11|0.000000|0.000000|0.000000
2.269227110e+06|2.157793684e+11|2.168151629e+11|2.176072878e+11|0.000000|0.000000|0.000000
2.281305851e+06|2.148345042e+11|2.158756428e+11|2.166685985e+11|0.000000|0.000000|0.000000
2.294992139e+06|2.137593402e+11|2.148066253e+11|2.156007565e+11|0.000000|0.000000|0.000000
2.306257488e+06|2.128707491e+11|2.139231645e+11|2.147184513e+11|0.000000|0.000000|0.000000
2.316661854e+06|2.120471867e+11|2.131043958e+11|2.139009019e+11|0.000000|0.000000|0.000000
2.327852677e+06|2.111582920e+11|2.122207156e+11|2.130186973e+11|0.000000|0.000000|0.000000
2.340304927e+06|2.101654643e+11|2.112337598e+11|2.120335846e+11|0.000000|0.000000|0.000000
2.353115425e+06|2.091399828e+11|2.102143935e+11|2.110163372e+11|0.000000|0.000000|0.000000
2.365892084e+06|2.081130970e+11|2.091936796e+11|2.099979635e+11|0.000000|0.000000|0.000000
2.377910531e+06|2.071434174e+11|2.082298705e+11|2.090365638e+11|0.000000|0.000000|0.000000
2.391774733e+06|2.060203436e+11|2.071136440e+11|2.079233691e+11|0.000000|0.000000|0.000000
2.405789162e+06|2.048802530e+11|2.059805543e+11|2.067936208e+11|0.000000|0.000000|0.000000
2.417634259e+06|2.039128580e+11|2.050191364e+11|2.058352455e+11|0.000000|0.000000|0.000000
2.428887497e+06|2.029906056e+11|2.041026115e+11|2.049217976e+11|0.000000|0.000000|0.000000
2.440328319e+06|2.020498022e+11|2.031676784e+11|2.039901801e+11|0.000000|0.000000|0.000000
2.450510568e+06|2.012098104e+11|2.023329499e+11|2.031585620e+11|0.000000|0.000000|0.000000
2.461263810e+06|2.003199813e+11|2.014487174e+11|2.022777784e+11|0.000000|0.000000|0.000000
2.473748456e+06|1.992833717e+11|2.004186530e+11|2.012519305e+11|0.000000|0.000000|0.000000
2.485349832e+06|1.983167379e+11|1.994581448e+11|2.002955461e+11|0.000000|0.000000|0.000000
2.497582319e+06|1.972940272e+11|1.984419363e+11|1.992839012e+11|0.000000|0.000000|0.000000
2.509048789e+06|1.963321198e+11|1.974861624e+11|1.983326070e+11|0.000000|0.000000|0.000000
2.522003096e+06|1.952416452e+11|1.964026595e+11|1.972544010e+11|0.000000|0.000000|0.000000
2.535373520e+06|1.941119859e+11|1.952802401e+11|1.961377125e+11|0.000000|0.000000|0.000000
2.548084063e+06|1.930341850e+11|1.942093607e+11|1.950725307e+11|0.000000|0.000000|0.000000
2.559431549e+06|1.920687740e+11|1.932501589e+11|1.941186219e+11|0.000000|0.000000|0.000000
2.569229278e+06|1.912328010e+11|1.924195680e+11|1.932927585e+11|0.000000|0.000000|0.000000
2.579275182e+06|1.903733427e+11|1.915656471e+11|1.924438364e+11|0.000000|0.000000|0.000000
2.589200761e+06|1.895218906e+11|1.907196835e+11|1.916029633e+11|0.000000|0.000000|0.000000
2.600400547e+06|1.885584131e+11|1.897624183e+11|1.906516232e+11|0.000000|0.000000|0.000000
2.611877156e+06|1.875681439e+11|1.887785340e+11|1.896740105e+11|0.000000|0.000000|0.000000
2.623309465e+06|1.865787146e+11|1.877954821e+11|1.886974078e+11|0.000000|0.000000|0.000000
2.637314353e+06|1.853626009e+11|1.865872010e+11|1.874973025e+11|0.000000|0.000000|0.000000
2.649356988e+06|1.843133441e+11|1.855446943e+11|1.864620694e+11|0.000000|0.000000|0.000000
2.661179041e+06|1.832801437e+11|1.845181312e+11|1.854428661e+11|0.000000|0.000000|0.000000
2.673229137e+06|1.822238050e+11|1.834685663e+11|1.844010272e+11|0.000000|0.000000|0.000000
2.683519732e+06|1.813191568e+11|1.825697077e+11|1.835089461e+11|0.000000|0.000000|0.000000
2.693191757e+06|1.804667543e+11|1.817227492e+11|1.826685091e+11|0.000000|0.000000|0.000000
2.703685492e+06|1.795396064e+11|1.808015090e+11|1.817545105e+11|0.000000|0.000000|0.000000
2.714463597e+06|1.785848238e+11|1.798527935e+11|1.808134129e+11|0.000000|0.000000|0.000000
2.724641201e+06|1.776809125e+11|1.789546090e+11|1.799225900e+11|0.000000|0.000000|0.000000
2.734084062e+06|1.768402466e+11|1.781192530e+11|1.790942102e+11|0.000000|0.000000|0.000000
2.745214540e+06|1.758468651e+11|1.771321240e+11|1.781154852e+11|0.000000|0.000000|0.000000
2.756976952e+06|1.747941905e+11|1.760860474e+11|1.770785027e+11|0.000000|0.000000|0.000000
2.767515602e+06|1.738485233e+11|1.751462813e+11|1.761470707e+11|0.000000|0.000000|0.000000
2.780851074e+06|1.726485027e+11|1.739537104e+11|1.749652983e+11|0.000000|0.000000|0.000000
2.793382557e+06|1.715174029e+11|1.728295904e+11|1.738515833e+11|0.000000|0.000000|0.000000
2.804288121e+06|1.705303723e+11|1.718486147e+11|1.728798658e+11|0.000000|0.000000|0.000000
2.814855998e+06|1.695715312e+11|1.708956220e+11|1.719360253e+11|0.000000|0.000000|0.000000
2.825715253e+06|1.685838318e+11|1.699139105e+11|1.709639036e+11|0.000000|0.000000|0.000000
2.834891021e+06|1.677473497e+11|1.690824691e+11|1.701407120e+11|0.000000|0.000000|0.000000
2.844247970e+06|1.668925634e+11|1.682328039e+11|1.692995977e+11|0.000000|0.000000|0.000000
2.853809992e+06|1.660171870e+11|1.673626392e+11|1.684383157e+11|0.000000|0.000000|0.000000
2.864433942e+06|1.650424041e+11|1.663936196e+11|1.674793363e+11|0.000000|0.000000|0.000000
2.873974474e+06|1.641650735e+11|1.655214381e+11|1.666163248e+11|0.000000|0.000000|0.000000
2.885936917e+06|1.630628964e+11|1.644256876e+11|1.655322401e+11|1.000000|1.000000|1.000000
