#RRR|Lz25|Lz50|Lz75|Lzmean|Lzsum|Isum
6.535929227e+04|1.652183656e+24|4.191385734e+24|7.410935145e+24|5.237730379e+24|5.237730379e+26|1.460481664e+31
1.194331094e+05|1.081030985e+25|1.479248733e+25|1.804578304e+25|1.660479971e+25|1.660479971e+27|4.388100581e+31
1.556322451e+05|2.000382460e+25|2.462028488e+25|2.822858377e+25|2.472163300e+25|2.472163300e+27|7.422129832e+31
1.845129253e+05|2.844916808e+25|3.531907043e+25|4.114657046e+25|3.570836381e+25|3.570836381e+27|1.040558665e+32
2.093758530e+05|3.991748362e+25|4.614514836e+25|5.106140077e+25|4.666751379e+25|4.666751379e+27|1.339213022e+32
2.275190893e+05|4.488854183e+25|5.246969496e+25|5.861131200e+25|5.395729827e+25|5.395729827e+27|1.581023133e+32
2.473872072e+05|5.573391943e+25|6.107592289e+25|6.922322152e+25|6.300018622e+25|6.300018622e+27|1.869328785e+32
2.706937079e+05|6.914173147e+25|7.627204669e+25|8.417841939e+25|7.608569294e+25|7.608569294e+27|2.236964795e+32
2.866635810e+05|7.713581025e+25|8.430449674e+25|9.172283740e+25|8.781522925e+25|8.781522925e+27|2.508617333e+32
3.040705731e+05|8.414307720e+25|9.407323174e+25|1.017636539e+26|9.353282502e+25|9.353282502e+27|2.822771881e+32
3.193326909e+05|9.046077702e+25|1.027949010e+26|1.118021890e+26|9.942325720e+25|9.942325720e+27|3.112321530e+32
3.333602563e+05|1.042612115e+26|1.154393144e+26|1.258435317e+26|1.149550153e+26|1.149550153e+28|3.391230263e+32
3.467457182e+05|1.137299449e+26|1.239364868e+26|1.347079464e+26|1.256313340e+26|1.256313340e+28|3.669002912e+32
3.606438880e+05|1.198619739e+26|1.319917966e+26|1.448543870e+26|1.384256418e+26|1.384256418e+28|3.966926221e+32
3.742517351e+05|1.357289417e+26|1.472988406e+26|1.589371728e+26|1.484696167e+26|1.484696167e+28|4.275157662e+32
3.871529136e+05|1.410408419e+26|1.526798098e+26|1.631507011e+26|1.514634627e+26|1.514634627e+28|4.574244956e+32
3.993384989e+05|1.536444105e+26|1.679153370e+26|1.786265013e+26|1.676892502e+26|1.676892502e+28|4.865786387e+32
4.104500445e+05|1.623012298e+26|1.720922748e+26|1.870580607e+26|1.787482041e+26|1.787482041e+28|5.140253114e+32
4.230028940e+05|1.739287228e+26|1.873295110e+26|1.943782173e+26|1.857193731e+26|1.857193731e+28|5.459727120e+32
4.344047349e+05|1.806383547e+26|1.943367506e+26|2.067597983e+26|1.947932788e+26|1.947932788e+28|5.757583934e+32
4.452350624e+05|1.890832111e+26|2.015598289e+26|2.175042490e+26|2.012272661e+26|2.012272661e+28|6.045614739e+32
4.555759463e+05|1.989801406e+26|2.105617903e+26|2.263809326e+26|2.108834383e+26|2.108834383e+28|6.332567246e+32
4.665353636e+05|2.057663768e+26|2.208000949e+26|2.336168386e+26|2.185674690e+26|2.185674690e+28|6.640901699e+32
4.781109626e+05|2.241719747e+26|2.392937986e+26|2.504074787e+26|2.412044953e+26|2.412044953e+28|6.974963638e+32
4.883295733e+05|2.298935220e+26|2.435511604e+26|2.571882926e+26|2.427445022e+26|2.427445022e+28|7.275837333e+32
4.978334354e+05|2.382444020e+26|2.528865469e+26|2.667856191e+26|2.548161508e+26|2.548161508e+28|7.561260290e+32
5.057101936e+05|2.497095669e+26|2.643256939e+26|2.773955936e+26|2.646128549e+26|2.646128549e+28|7.802678631e+32
5.155926369e+05|2.570719547e+26|2.696157994e+26|2.877763547e+26|2.734252682e+26|2.734252682e+28|8.111104053e+32
5.255521197e+05|2.654604946e+26|2.853496277e+26|2.999347494e+26|2.835934745e+26|2.835934745e+28|8.423530563e+32
5.348242873e+05|2.771326981e+26|2.931764961e+26|3.106142271e+26|3.003569695e+26|3.003569695e+28|8.727489733e+32
5.443617888e+05|2.926550049e+26|3.058688687e+26|3.245237291e+26|3.062698798e+26|3.062698798e+28|9.041198647e+32
5.526070562e+05|2.996270027e+26|3.175258734e+26|3.310386508e+26|3.179564529e+26|3.179564529e+28|9.316758657e+32
5.604410235e+05|2.969409213e+26|3.201306791e+26|3.396608395e+26|3.248600029e+26|3.248600029e+28|9.583259853e+32
5.696177110e+05|3.144510241e+26|3.324867343e+26|3.516680343e+26|3.342653975e+26|3.342653975e+28|9.898950866e+32
5.781320957e+05|3.298303181e+26|3.463016119e+26|3.619443820e+26|3.487588209e+26|3.487588209e+28|1.019832403e+33
5.870077636e+05|3.334389800e+26|3.576358590e+26|3.771583111e+26|3.565642122e+26|3.565642122e+28|1.051315553e+33
5.949231578e+05|3.479672779e+26|3.647753837e+26|3.795858099e+26|3.640770726e+26|3.640770726e+28|1.079811942e+33
6.023880223e+05|3.493319265e+26|3.675826709e+26|3.906621862e+26|3.684309829e+26|3.684309829e+28|1.107036929e+33
6.105444382e+05|3.643009021e+26|3.803429791e+26|3.992308347e+26|3.814253584e+26|3.814253584e+28|1.136698852e+33
6.189980532e+05|3.752965721e+26|3.933705668e+26|4.144990958e+26|3.950008063e+26|3.950008063e+28|1.168935766e+33
6.271290460e+05|3.808702674e+26|4.000478871e+26|4.183110378e+26|3.971271388e+26|3.971271388e+28|1.199874001e+33
6.344921267e+05|3.883089043e+26|4.105259873e+26|4.318422962e+26|4.115882319e+26|4.115882319e+28|1.228152927e+33
6.419100178e+05|4.057108874e+26|4.268650905e+26|4.480506750e+26|4.289262232e+26|4.289262232e+28|1.257112806e+33
6.495143796e+05|4.173089647e+26|4.339435700e+26|4.575297307e+26|4.364220607e+26|4.364220607e+28|1.286957912e+33
