#RRR|U50|U25|U75|Umean|T50|T25|T75|Tmean|P50|P25|P75|Pmean|rho50|rho25|rho75|Pmean|S
3.086657520e+05|1.112164709e+07|1.115211019e+07|1.118815439e+07|1.115363219e+07|1.251207863e+04|1.252852143e+04|1.254792446e+04|1.252930333e+04|3.511538213e+11|3.524967634e+11|3.540869373e+11|3.525647306e+11|1.175349194e+04|1.176534277e+04|1.177933984e+04|1.176591113e+04|2.317035365e+03
4.699239654e+05|1.105633522e+07|1.108976469e+07|1.113787908e+07|1.109420264e+07|1.247669941e+04|1.249482191e+04|1.252085173e+04|1.249717455e+04|3.482772139e+11|3.497494654e+11|3.518689852e+11|3.499459688e+11|1.172801147e+04|1.174106104e+04|1.175981323e+04|1.174276270e+04|2.317035365e+03
5.588173195e+05|1.100713932e+07|1.104288340e+07|1.108080629e+07|1.104172664e+07|1.244991393e+04|1.246938150e+04|1.248996847e+04|1.246868862e+04|3.461138129e+11|3.476856322e+11|3.493548991e+11|3.476361679e+11|1.170874902e+04|1.172274561e+04|1.173757324e+04|1.172226172e+04|2.317035365e+03
6.253921565e+05|1.097345675e+07|1.100113155e+07|1.104660567e+07|1.100316094e+07|1.243153253e+04|1.244663866e+04|1.247140691e+04|1.244768017e+04|3.446331976e+11|3.458496643e+11|3.478493324e+11|3.459402799e+11|1.169553076e+04|1.170639502e+04|1.172420825e+04|1.170715137e+04|2.317035365e+03
6.795060440e+05|1.095045170e+07|1.098338365e+07|1.101385566e+07|1.098115536e+07|1.241893544e+04|1.243695759e+04|1.245357440e+04|1.243568300e+04|3.436232195e+11|3.450693160e+11|3.464091413e+11|3.449728200e+11|1.168648633e+04|1.169942822e+04|1.171138208e+04|1.169852344e+04|2.317035365e+03
7.293659584e+05|1.090564420e+07|1.094087404e+07|1.097023526e+07|1.093874360e+07|1.239436041e+04|1.241368687e+04|1.242976933e+04|1.241247281e+04|3.416563476e+11|3.432027572e+11|3.444917588e+11|3.431101641e+11|1.166883423e+04|1.168271143e+04|1.169426685e+04|1.168184766e+04|2.317035365e+03
7.688146237e+05|1.087603224e+07|1.091829741e+07|1.094611133e+07|1.091489672e+07|1.237805827e+04|1.240130546e+04|1.241655721e+04|1.239938840e+04|3.403581740e+11|3.422117337e+11|3.434326778e+11|3.420636192e+11|1.165714160e+04|1.167382178e+04|1.168478174e+04|1.167245410e+04|2.317035365e+03
8.063362239e+05|1.086725256e+07|1.089314802e+07|1.092296590e+07|1.089704342e+07|1.237321832e+04|1.238748784e+04|1.240386681e+04|1.238958427e+04|3.399733902e+11|3.411083176e+11|3.424166595e+11|3.412802814e+11|1.165367236e+04|1.166389795e+04|1.167565845e+04|1.166541602e+04|2.317035365e+03
8.437763726e+05|1.083156031e+07|1.086071283e+07|1.089574797e+07|1.086113525e+07|1.235352158e+04|1.236961187e+04|1.238891886e+04|1.236979989e+04|3.384093159e+11|3.396867878e+11|3.412222996e+11|3.397062061e+11|1.163953857e+04|1.165108008e+04|1.166492822e+04|1.165122168e+04|2.317035365e+03
8.739685107e+05|1.081480191e+07|1.084627064e+07|1.087962628e+07|1.084263084e+07|1.234425127e+04|1.236164348e+04|1.238003896e+04|1.235957991e+04|3.376754819e+11|3.390539131e+11|3.405156853e+11|3.388955837e+11|1.163289380e+04|1.164536816e+04|1.165856201e+04|1.164389453e+04|2.317035365e+03
9.028645829e+05|1.078941265e+07|1.081664767e+07|1.085365071e+07|1.081889643e+07|1.233017408e+04|1.234527399e+04|1.236571608e+04|1.234647270e+04|3.365646476e+11|3.377562477e+11|3.393773186e+11|3.378558296e+11|1.162281836e+04|1.163363037e+04|1.164829102e+04|1.163449707e+04|2.317035365e+03
9.313291168e+05|1.077210876e+07|1.080054979e+07|1.083556001e+07|1.080135564e+07|1.232057010e+04|1.233635121e+04|1.235573047e+04|1.233675703e+04|3.358076420e+11|3.370519233e+11|3.385845643e+11|3.370880405e+11|1.161593872e+04|1.162723975e+04|1.164112183e+04|1.162753711e+04|2.317035365e+03
9.595057571e+05|1.075118338e+07|1.077731164e+07|1.081153760e+07|1.078019826e+07|1.230894550e+04|1.232345863e+04|1.234244232e+04|1.232502514e+04|3.348922737e+11|3.360352573e+11|3.375326584e+11|3.361622022e+11|1.160760864e+04|1.161801025e+04|1.163160352e+04|1.161913379e+04|2.317035365e+03
9.876530587e+05|1.071773039e+07|1.074281269e+07|1.077439308e+07|1.074706335e+07|1.229029931e+04|1.230428874e+04|1.232183837e+04|1.230661230e+04|3.334306936e+11|3.345262554e+11|3.359075768e+11|3.347131653e+11|1.159426929e+04|1.160427979e+04|1.161684717e+04|1.160595117e+04|2.317035365e+03
1.011866086e+06|1.070995482e+07|1.073612204e+07|1.076436134e+07|1.073511079e+07|1.228595914e+04|1.230055873e+04|1.231626756e+04|1.229993909e+04|3.330911042e+11|3.342340123e+11|3.354687096e+11|3.341911084e+11|1.159116797e+04|1.160161084e+04|1.161285498e+04|1.160117773e+04|2.317035365e+03
1.036687199e+06|1.068570192e+07|1.071890103e+07|1.075148246e+07|1.071613907e+07|1.227241126e+04|1.229095260e+04|1.230911166e+04|1.228936730e+04|3.320319204e+11|3.334818253e+11|3.349053558e+11|3.333620595e+11|1.158147754e+04|1.159474072e+04|1.160772705e+04|1.159361328e+04|2.317035365e+03
1.059727652e+06|1.066021842e+07|1.069462789e+07|1.072596225e+07|1.069435934e+07|1.225814713e+04|1.227739922e+04|1.229489239e+04|1.227720972e+04|3.309195822e+11|3.324217180e+11|3.337902544e+11|3.324107614e+11|1.157128125e+04|1.158504688e+04|1.159755493e+04|1.158491797e+04|2.317035365e+03
1.086186487e+06|1.064107635e+07|1.067064419e+07|1.071449622e+07|1.067452396e+07|1.224740181e+04|1.226399193e+04|1.228849426e+04|1.226609702e+04|3.300848654e+11|3.313743608e+11|3.332894419e+11|3.315452185e+11|1.156360864e+04|1.157545117e+04|1.159298779e+04|1.157697461e+04|2.317035365e+03
1.110409935e+06|1.062220199e+07|1.065569470e+07|1.068269834e+07|1.064791755e+07|1.223679705e+04|1.225560865e+04|1.227073234e+04|1.225119724e+04|3.292619007e+11|3.307223189e+11|3.319007592e+11|3.303840946e+11|1.155603491e+04|1.156947119e+04|1.158027686e+04|1.156632617e+04|2.317035365e+03
1.133515005e+06|1.059532209e+07|1.062208533e+07|1.065711979e+07|1.062343569e+07|1.222167764e+04|1.223673148e+04|1.225640839e+04|1.223744920e+04|3.280899903e+11|3.292568147e+11|3.307844622e+11|3.293164723e+11|1.154523096e+04|1.155598682e+04|1.157004370e+04|1.155650488e+04|2.317035365e+03
1.154471460e+06|1.058776908e+07|1.060572465e+07|1.063865682e+07|1.060996114e+07|1.221742017e+04|1.222753121e+04|1.224604290e+04|1.222986955e+04|3.277609726e+11|3.285435241e+11|3.299793707e+11|3.287291336e+11|1.154219751e+04|1.154941357e+04|1.156263477e+04|1.155109375e+04|2.317035365e+03
1.176165945e+06|1.056182306e+07|1.058985490e+07|1.062872318e+07|1.059000749e+07|1.220276498e+04|1.221859752e+04|1.224046214e+04|1.221862839e+04|3.266315084e+11|3.278517727e+11|3.295462456e+11|3.278597524e+11|1.153174707e+04|1.154303467e+04|1.155865259e+04|1.154307031e+04|2.317035365e+03
1.198899961e+06|1.054232529e+07|1.057028489e+07|1.059089498e+07|1.056909937e+07|1.219173986e+04|1.220754652e+04|1.221918341e+04|1.220683234e+04|3.257828191e+11|3.269998338e+11|3.278970935e+11|3.269491383e+11|1.152388232e+04|1.153515771e+04|1.154345312e+04|1.153465527e+04|2.317035365e+03
1.221415476e+06|1.052316940e+07|1.055462223e+07|1.058662723e+07|1.055150753e+07|1.218089790e+04|1.219869443e+04|1.221677559e+04|1.219688200e+04|3.249490780e+11|3.263180647e+11|3.277112651e+11|3.261834849e+11|1.151615112e+04|1.152884473e+04|1.154173608e+04|1.152755469e+04|2.317035365e+03
1.244864011e+06|1.049208121e+07|1.052552794e+07|1.055456768e+07|1.052192777e+07|1.216324735e+04|1.218223336e+04|1.219866360e+04|1.218013790e+04|3.235975941e+11|3.250517296e+11|3.263156903e+11|3.248963719e+11|1.150357373e+04|1.151709961e+04|1.152882324e+04|1.151561523e+04|2.317035365e+03
1.263211201e+06|1.045933783e+07|1.051004181e+07|1.053109695e+07|1.049822197e+07|1.214461637e+04|1.217345434e+04|1.218538599e+04|1.216668360e+04|3.221748283e+11|3.243781062e+11|3.252941198e+11|3.238655634e+11|1.149030151e+04|1.151084424e+04|1.151934863e+04|1.150603027e+04|2.317035365e+03
1.284025960e+06|1.045095374e+07|1.047850741e+07|1.051198948e+07|1.047973325e+07|1.213984104e+04|1.215552747e+04|1.217456069e+04|1.215618344e+04|3.218105378e+11|3.230077478e+11|3.244627500e+11|3.230617986e+11|1.148690308e+04|1.149807324e+04|1.151163062e+04|1.149854590e+04|2.317035365e+03
1.301993128e+06|1.043254397e+07|1.047060821e+07|1.050521802e+07|1.046964194e+07|1.212933832e+04|1.215103257e+04|1.217071389e+04|1.215042643e+04|3.210111504e+11|3.226645212e+11|3.241684670e+11|3.226236387e+11|1.147942627e+04|1.149487695e+04|1.150888818e+04|1.149445117e+04|2.317035365e+03
1.322886248e+06|1.041599881e+07|1.044078417e+07|1.047657277e+07|1.044292186e+07|1.211987614e+04|1.213404400e+04|1.215442672e+04|1.213520677e+04|3.202934068e+11|3.213688087e+11|3.229236828e+11|3.214629551e+11|1.147269995e+04|1.148277637e+04|1.149729150e+04|1.148361328e+04|2.317035365e+03
