#RRR|Lz25|Lz50|Lz75|Lzmean|Lzsum|Isum
7.082939805e+04|4.936738766e+25|8.919176861e+25|1.520634305e+26|9.699119830e+25|9.699119830e+27|1.975640362e+31
1.334786803e+05|2.106513918e+26|2.968988568e+26|3.625911420e+26|2.872449380e+26|2.872449380e+28|6.260845015e+31
1.715051302e+05|4.338898924e+26|4.810084800e+26|5.499769974e+26|4.785974893e+26|4.785974893e+28|1.022880123e+32
2.026185333e+05|5.960699024e+26|6.661586848e+26|7.130796286e+26|6.604114834e+26|6.604114834e+28|1.429397509e+32
2.290516859e+05|7.466337635e+26|8.321002103e+26|9.243336960e+26|8.265966604e+26|8.265966604e+28|1.823901113e+32
2.515211979e+05|9.189317480e+26|1.014241304e+27|1.095753126e+27|1.011459163e+27|1.011459163e+29|2.195362652e+32
2.756737931e+05|1.123779222e+27|1.216821656e+27|1.300639424e+27|1.210392917e+27|1.210392917e+29|2.637176259e+32
2.972030085e+05|1.335828417e+27|1.436695349e+27|1.506648211e+27|1.433362943e+27|1.433362943e+29|3.070722388e+32
3.161523298e+05|1.485598307e+27|1.587367886e+27|1.699942666e+27|1.595716626e+27|1.595716626e+29|3.474348377e+32
3.356613709e+05|1.716290128e+27|1.801233281e+27|1.884519948e+27|1.793496759e+27|1.793496759e+29|3.912185463e+32
3.533502614e+05|1.895504247e+27|1.994420729e+27|2.102955237e+27|1.991647269e+27|1.991647269e+29|4.332850048e+32
3.686839352e+05|2.097803486e+27|2.159529181e+27|2.296197821e+27|2.197831066e+27|2.197831066e+29|4.718992861e+32
3.818732990e+05|2.148313538e+27|2.311755753e+27|2.437504866e+27|2.304642347e+27|2.304642347e+29|5.065507590e+32
3.973545256e+05|2.435430387e+27|2.559486841e+27|2.670649914e+27|2.559620451e+27|2.559620451e+29|5.487009732e+32
4.120864725e+05|2.624512741e+27|2.740963590e+27|2.855723476e+27|2.762862501e+27|2.762862501e+29|5.892743485e+32
4.267253974e+05|2.817855608e+27|2.889504794e+27|3.040276071e+27|2.887254281e+27|2.887254281e+29|6.318624801e+32
4.396728300e+05|2.992595583e+27|3.114269060e+27|3.214949610e+27|3.106903905e+27|3.106903905e+29|6.717926933e+32
4.527282396e+05|3.195376277e+27|3.310312516e+27|3.435125316e+27|3.287800734e+27|3.287800734e+29|7.112274378e+32
4.655523662e+05|3.402392636e+27|3.494136537e+27|3.633122092e+27|3.520349126e+27|3.520349126e+29|7.531602148e+32
4.775758949e+05|3.534581681e+27|3.644837487e+27|3.764342070e+27|3.650969515e+27|3.650969515e+29|7.922123853e+32
4.912698507e+05|3.721044110e+27|3.892541829e+27|4.061925949e+27|3.892200365e+27|3.892200365e+29|8.382397236e+32
5.043039373e+05|3.928628447e+27|4.069553181e+27|4.237971871e+27|4.105554782e+27|4.105554782e+29|8.829573872e+32
5.174599091e+05|4.209313479e+27|4.367666548e+27|4.497570516e+27|4.351390513e+27|4.351390513e+29|9.305142184e+32
5.270810429e+05|4.363101226e+27|4.484784761e+27|4.601499077e+27|4.459046593e+27|4.459046593e+29|9.644613785e+32
5.380347701e+05|4.483505936e+27|4.664703400e+27|4.832107237e+27|4.635022111e+27|4.635022111e+29|1.004922812e+33
5.479669769e+05|4.718729939e+27|4.861852174e+27|5.022163880e+27|4.871296223e+27|4.871296223e+29|1.043428038e+33
5.573371999e+05|4.838094469e+27|5.024745565e+27|5.135401307e+27|4.993718621e+27|4.993718621e+29|1.079897241e+33
5.681185510e+05|5.088171065e+27|5.196571416e+27|5.307957102e+27|5.202927237e+27|5.202927237e+29|1.118838601e+33
5.796171749e+05|5.207502710e+27|5.428474739e+27|5.563446426e+27|5.384827089e+27|5.384827089e+29|1.166282700e+33
5.900914848e+05|5.434255169e+27|5.623220827e+27|5.826789076e+27|5.626858860e+27|5.626858860e+29|1.210598883e+33
6.001735940e+05|5.636777185e+27|5.800596628e+27|5.931080859e+27|5.781328415e+27|5.781328415e+29|1.251733149e+33
