#R_planet
8.861297759e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
3.089623437e+05|3.262851901e+05|2.419182072e+05|2.412809945e+05|7.899456750e+06|7.966585250e+06|8.019175625e+06|7.957060500e+06|7.888917000e+06|8.025204000e+06|7.852906250e+05|9.290462500e+05|9.995850000e+05|9.236407500e+05|7.924702500e+05|1.054811125e+06|1.996479055e+03|2.008511856e+03|2.017840988e+03|2.008076737e+03|1.996958122e+03|2.019195352e+03|1.806625111e+02|1.927067614e+02|2.020347611e+02|1.922702513e+02|1.811532138e+02|2.033872888e+02|7.274006626e+03|7.415332324e+03|7.521909845e+03|7.412178632e+03|7.278985642e+03|7.545371622e+03|1.868186187e+03|1.984223014e+03|2.092659145e+03|1.983341197e+03|1.848075573e+03|2.118606822e+03|2.986064036e+11|2.994879201e+11|3.003975270e+11|2.995683983e+11|2.985071411e+11|3.006295900e+11|-9.738731520e+08|4.411195392e+09|8.165056512e+09|4.331538944e+09|-1.802941184e+09|1.046601933e+10|1.170291797e+04|1.171275537e+04|1.172223999e+04|1.171124902e+04|1.169927344e+04|1.172322266e+04
4.704267233e+05|4.721409825e+05|3.746512995e+05|4.090041800e+05|7.852944625e+06|7.925964750e+06|7.991284125e+06|7.928035000e+06|7.848430000e+06|8.007641000e+06|7.664976250e+05|9.568497500e+05|1.125422250e+06|9.670987500e+05|7.607976250e+05|1.173399875e+06|1.999090647e+03|2.012942932e+03|2.024199808e+03|2.011840744e+03|1.998220613e+03|2.025460875e+03|1.832858332e+02|1.971453863e+02|2.083952812e+02|1.960346288e+02|1.824153376e+02|2.096539200e+02|7.286265104e+03|7.449634374e+03|7.584607210e+03|7.437795058e+03|7.275966156e+03|7.599623960e+03|1.891355885e+03|2.014252213e+03|2.174687651e+03|2.030847405e+03|1.861501428e+03|2.200193382e+03|2.961409556e+11|2.970960855e+11|2.981559419e+11|2.972231926e+11|2.960588145e+11|2.983876362e+11|-5.259886592e+09|5.415911424e+09|1.369470566e+10|5.663525888e+09|-3.948816640e+09|1.527586918e+10|1.167081177e+04|1.168513330e+04|1.169972705e+04|1.168483105e+04|1.166836914e+04|1.170129590e+04
5.598736295e+05|5.629756776e+05|4.226829201e+05|4.647163959e+05|7.846610750e+06|7.923290500e+06|7.998150875e+06|7.929188500e+06|7.842569000e+06|8.015807500e+06|8.778033750e+05|1.030414250e+06|1.145361375e+06|1.040990750e+06|8.382290625e+05|1.243752375e+06|2.002654401e+03|2.018147262e+03|2.030243912e+03|2.017002432e+03|2.002817133e+03|2.031187732e+03|1.868463793e+02|2.023415164e+02|2.144396573e+02|2.011975081e+02|1.870120205e+02|2.153829957e+02|7.316093632e+03|7.499760181e+03|7.648197327e+03|7.488400272e+03|7.317836278e+03|7.658964265e+03|1.969422323e+03|2.099391860e+03|2.233437278e+03|2.103226484e+03|1.924088608e+03|2.282364359e+03|2.948492902e+11|2.958038794e+11|2.969329828e+11|2.960097608e+11|2.946705326e+11|2.973489889e+11|1.228963840e+08|6.977060864e+09|1.516090163e+10|8.144329216e+09|-1.280286336e+09|1.756894413e+10|1.165379736e+04|1.166742822e+04|1.167792212e+04|1.166752734e+04|1.165209082e+04|1.168296484e+04
6.252604281e+05|6.244055970e+05|5.100998768e+05|5.707376507e+05|7.818950375e+06|7.919776500e+06|7.972484000e+06|7.904992500e+06|7.816016000e+06|7.993970500e+06|8.362135000e+05|1.008029000e+06|1.210550125e+06|1.027882812e+06|7.808698125e+05|1.274895875e+06|2.003783888e+03|2.020316097e+03|2.030579594e+03|2.018359794e+03|2.002875194e+03|2.033844394e+03|1.879845396e+02|2.045064632e+02|2.147752624e+02|2.025532769e+02|1.870696853e+02|2.180368685e+02|7.324251024e+03|7.510180934e+03|7.646515254e+03|7.492329725e+03|7.307409448e+03|7.677250001e+03|1.947606461e+03|2.116608978e+03|2.292196895e+03|2.110867024e+03|1.906127710e+03|2.315606339e+03|2.933578711e+11|2.944423363e+11|2.955237949e+11|2.944944374e+11|2.932567900e+11|2.957321830e+11|-3.868319744e+09|4.970774528e+09|1.658811187e+10|7.184611840e+09|-4.211281152e+09|1.858050458e+10|1.163712573e+04|1.164973486e+04|1.166385962e+04|1.165151367e+04|1.163328711e+04|1.166974219e+04
6.825210467e+05|6.861415966e+05|5.254615903e+05|5.702968400e+05|7.829165625e+06|7.895555000e+06|7.961296125e+06|7.891592500e+06|7.805596000e+06|7.977589000e+06|8.923285000e+05|1.099386000e+06|1.219884000e+06|1.068190750e+06|8.438226250e+05|1.292558500e+06|2.007597027e+03|2.021630529e+03|2.029844852e+03|2.020270971e+03|2.006102119e+03|2.034439824e+03|1.917963992e+02|2.058247525e+02|2.140361203e+02|2.044648045e+02|1.902955382e+02|2.186340708e+02|7.368827674e+03|7.513785821e+03|7.618832144e+03|7.505230612e+03|7.334978203e+03|7.675483022e+03|2.017071710e+03|2.148045772e+03|2.269663355e+03|2.139739133e+03|1.959693814e+03|2.319784453e+03|2.922884055e+11|2.931549798e+11|2.942484562e+11|2.933846835e+11|2.920636416e+11|2.947057910e+11|1.480761344e+09|8.995012608e+09|1.592057856e+10|8.803994624e+09|-1.533315584e+09|1.914130432e+10|1.162458423e+04|1.163683984e+04|1.165383789e+04|1.163879102e+04|1.162077637e+04|1.165680762e+04
7.287658892e+05|7.294824159e+05|5.619667789e+05|6.104119021e+05|7.801022375e+06|7.875611250e+06|7.924282250e+06|7.856072500e+06|7.777269000e+06|7.934876000e+06|8.780041250e+05|1.062153750e+06|1.251986500e+06|1.044991188e+06|8.212552500e+05|1.268727250e+06|2.008377258e+03|2.021299844e+03|2.032486267e+03|2.018786429e+03|2.004218187e+03|2.033354671e+03|1.925769764e+02|2.054837586e+02|2.166814114e+02|2.029804734e+02|1.884115343e+02|2.175494124e+02|7.357456805e+03|7.512323768e+03|7.637507610e+03|7.476491604e+03|7.305601886e+03|7.647381322e+03|2.025120369e+03|2.109898771e+03|2.263427567e+03|2.114741165e+03|1.935770196e+03|2.293712133e+03|2.911351276e+11|2.918810911e+11|2.928946708e+11|2.920355267e+11|2.907905393e+11|2.932805468e+11|-1.173962752e+09|7.707918336e+09|1.618653184e+10|8.079629824e+09|-2.460412928e+09|1.861967462e+10|1.161126245e+04|1.162627295e+04|1.163964917e+04|1.162755273e+04|1.160808789e+04|1.164701465e+04
7.698637181e+05|7.700657957e+05|6.338542056e+05|6.980377812e+05|7.779636000e+06|7.844638250e+06|7.920240125e+06|7.842065500e+06|7.758083000e+06|7.926050500e+06|8.666217500e+05|1.060050000e+06|1.262520875e+06|1.051741250e+06|8.003271875e+05|1.303155125e+06|2.008489653e+03|2.021463385e+03|2.034805685e+03|2.020581350e+03|2.005214715e+03|2.035947985e+03|1.926808878e+02|2.056682140e+02|2.189963480e+02|2.047746187e+02|1.894091228e+02|2.201401147e+02|7.351192786e+03|7.492105959e+03|7.655177672e+03|7.488307890e+03|7.307232469e+03|7.669383311e+03|1.991893848e+03|2.172176792e+03|2.306722197e+03|2.133063454e+03|1.930313711e+03|2.335813196e+03|2.897837097e+11|2.907719598e+11|2.918337495e+11|2.909160079e+11|2.896246866e+11|2.922073620e+11|-1.458192384e+09|6.674137088e+09|1.660302131e+10|8.009033216e+09|-3.249926400e+09|1.926799360e+10|1.160010327e+04|1.161304932e+04|1.162733374e+04|1.161475293e+04|1.159568164e+04|1.163382227e+04
8.095442347e+05|8.100595671e+05|6.062506661e+05|6.631289256e+05|7.777171875e+06|7.840820250e+06|7.929872500e+06|7.841538000e+06|7.752391500e+06|7.930685000e+06|8.602910000e+05|1.084824750e+06|1.286268375e+06|1.100747750e+06|8.496383750e+05|1.351857000e+06|2.014680884e+03|2.024277032e+03|2.034591443e+03|2.023292024e+03|2.009810475e+03|2.036773574e+03|1.988608974e+02|2.084767573e+02|2.187866111e+02|2.074843777e+02|1.940023856e+02|2.209663699e+02|7.399670489e+03|7.536716745e+03|7.662021526e+03|7.513980649e+03|7.349887052e+03|7.678074246e+03|2.041374536e+03|2.149964585e+03|2.326273980e+03|2.173934252e+03|1.993398131e+03|2.354470373e+03|2.884970988e+11|2.899517276e+11|2.913513226e+11|2.902357443e+11|2.885068718e+11|2.919645839e+11|-1.464950784e+09|9.290760192e+09|2.085079040e+10|9.837205504e+09|-2.349593344e+09|2.202400768e+10|1.159028809e+04|1.160239697e+04|1.161700000e+04|1.160517383e+04|1.158645215e+04|1.162389355e+04
8.432982345e+05|8.452616049e+05|6.820246002e+05|7.481989578e+05|7.760194375e+06|7.830610750e+06|7.887148500e+06|7.814815500e+06|7.733835500e+06|7.895794500e+06|8.632196250e+05|1.110058500e+06|1.298214750e+06|1.063298750e+06|8.010256250e+05|1.325572125e+06|2.014214285e+03|2.023776241e+03|2.034751693e+03|2.022217559e+03|2.008544499e+03|2.035890620e+03|1.984045290e+02|2.079615764e+02|2.189470417e+02|2.064114364e+02|1.927388794e+02|2.200839935e+02|7.387868747e+03|7.515461072e+03|7.641200088e+03|7.492785926e+03|7.330092302e+03|7.655479549e+03|2.049636392e+03|2.163300247e+03|2.304430350e+03|2.149592155e+03|1.974106263e+03|2.325078047e+03|2.881222656e+11|2.890704486e+11|2.901137244e+11|2.892092867e+11|2.878667162e+11|2.905518899e+11|-4.847075328e+09|8.853487616e+09|1.911997645e+10|8.265103872e+09|-4.331107840e+09|2.086131712e+10|1.158306201e+04|1.159553076e+04|1.160674438e+04|1.159650000e+04|1.157930859e+04|1.161369141e+04
8.747152957e+05|8.742457683e+05|6.701759242e+05|7.458595962e+05|7.720746250e+06|7.786598500e+06|7.865474000e+06|7.780242500e+06|7.703925000e+06|7.856560500e+06|8.028256250e+05|1.016184000e+06|1.238052750e+06|1.024895750e+06|7.399737500e+05|1.309817625e+06|2.011401037e+03|2.023740052e+03|2.033752086e+03|2.021363638e+03|2.007879615e+03|2.034847662e+03|1.955996112e+02|2.079330140e+02|2.179510901e+02|2.055583976e+02|1.920739177e+02|2.190428775e+02|7.351008689e+03|7.487423536e+03|7.619885050e+03|7.470228593e+03|7.311376584e+03|7.629080602e+03|1.985768635e+03|2.146912528e+03|2.298688324e+03|2.125923711e+03|1.937400200e+03|2.314447223e+03|2.864577249e+11|2.877528637e+11|2.888158822e+11|2.877586145e+11|2.862480097e+11|2.892692193e+11|-6.091497472e+09|5.218058240e+09|1.763466854e+10|6.619552768e+09|-6.523467264e+09|1.976257126e+10|1.156714648e+04|1.158241992e+04|1.159844800e+04|1.158345996e+04|1.156214844e+04|1.160477344e+04
