#R_planet
9.291455381e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
3.124791903e+05|3.387299608e+05|2.459468727e+05|2.601624147e+05|8.007202375e+06|8.095629250e+06|8.173724000e+06|8.101577500e+06|8.002521000e+06|8.200635000e+06|8.792958750e+05|1.042088500e+06|1.199856500e+06|1.055510250e+06|8.555640000e+05|1.255456500e+06|2.110717830e+03|2.122394073e+03|2.132956510e+03|2.122775787e+03|2.110023817e+03|2.135527757e+03|2.949046567e+02|3.065826905e+02|3.171473507e+02|3.069684191e+02|2.942157039e+02|3.197211343e+02|8.458492122e+03|8.615792510e+03|8.769936721e+03|8.627775986e+03|8.447961374e+03|8.807590598e+03|3.015925921e+03|3.192881681e+03|3.348265348e+03|3.195412243e+03|2.994483187e+03|3.396341299e+03|2.755600466e+11|2.769096868e+11|2.780463350e+11|2.769377034e+11|2.755585638e+11|2.783167775e+11|-2.652262400e+10|-1.996721357e+10|-1.386378035e+10|-1.894666445e+10|-2.651745485e+10|-1.137587814e+10|1.134261670e+04|1.135220312e+04|1.136062891e+04|1.135116406e+04|1.134096582e+04|1.136136133e+04
4.751322425e+05|4.801307249e+05|3.724811397e+05|3.974338693e+05|7.973820875e+06|8.046663000e+06|8.132209500e+06|8.064260000e+06|7.970530500e+06|8.157991000e+06|8.569491250e+05|1.043471000e+06|1.288807250e+06|1.076721625e+06|8.490728125e+05|1.304370500e+06|2.112977869e+03|2.122153391e+03|2.133074221e+03|2.124518295e+03|2.112773071e+03|2.136263519e+03|2.971783627e+02|3.063566848e+02|3.172629363e+02|3.087116421e+02|2.969676568e+02|3.204556273e+02|8.460266637e+03|8.589292614e+03|8.747415164e+03|8.627492408e+03|8.460496186e+03|8.794488630e+03|3.025951858e+03|3.174035227e+03|3.364706790e+03|3.212626623e+03|3.020962602e+03|3.404290645e+03|2.735893422e+11|2.745815368e+11|2.757307924e+11|2.747487355e+11|2.734039695e+11|2.760935014e+11|-2.753007616e+10|-1.969181491e+10|-1.049742541e+10|-1.816291533e+10|-2.766965350e+10|-8.656177152e+09|1.131989136e+04|1.132814795e+04|1.133476758e+04|1.132683984e+04|1.131781250e+04|1.133586621e+04
5.654466423e+05|5.683376102e+05|4.414325776e+05|4.839008559e+05|7.974743125e+06|8.046117500e+06|8.123275750e+06|8.065639000e+06|7.969360000e+06|8.161918000e+06|9.111332500e+05|1.078790250e+06|1.386628000e+06|1.164843250e+06|8.760277500e+05|1.453658875e+06|2.118441879e+03|2.127258603e+03|2.136608227e+03|2.129337445e+03|2.117173733e+03|2.141501156e+03|3.026371280e+02|3.114482303e+02|3.208046868e+02|3.135305752e+02|3.013656299e+02|3.256955204e+02|8.523876703e+03|8.646854353e+03|8.790572783e+03|8.678211220e+03|8.505015222e+03|8.851407218e+03|3.133426755e+03|3.249900566e+03|3.436193988e+03|3.290165072e+03|3.085539595e+03|3.494790550e+03|2.722708890e+11|2.733267517e+11|2.742575759e+11|2.735110881e+11|2.721685504e+11|2.748536259e+11|-2.786243789e+10|-1.858540339e+10|-4.719140864e+09|-1.501057434e+10|-2.794790912e+10|-2.073239936e+09|1.129796973e+04|1.130876758e+04|1.131654102e+04|1.130776172e+04|1.129722168e+04|1.131830273e+04
6.324784815e+05|6.336872620e+05|4.968435643e+05|5.348095992e+05|7.906923125e+06|7.994391250e+06|8.077548125e+06|8.002073000e+06|7.902741000e+06|8.101403500e+06|7.894091250e+05|1.036529500e+06|1.330993750e+06|1.065926000e+06|7.741476250e+05|1.357704500e+06|2.114441083e+03|2.124811681e+03|2.134349429e+03|2.125184207e+03|2.112629371e+03|2.137739042e+03|2.986355534e+02|3.090040583e+02|3.185490014e+02|3.093784970e+02|2.968237515e+02|3.219332426e+02|8.445313027e+03|8.597425180e+03|8.730150417e+03|8.604106452e+03|8.426720834e+03|8.781492070e+03|2.992881924e+03|3.204391435e+03|3.380911315e+03|3.205063835e+03|2.985012403e+03|3.425115268e+03|2.704262922e+11|2.713480724e+11|2.727335690e+11|2.716915794e+11|2.702952530e+11|2.730879222e+11|-3.026974310e+10|-2.132849459e+10|-9.698705408e+09|-1.861812429e+10|-3.111847936e+10|-6.117769728e+09|1.128577539e+04|1.129519678e+04|1.130543457e+04|1.129499414e+04|1.128452832e+04|1.130545605e+04
6.891597325e+05|6.913813416e+05|5.445125681e+05|6.095449274e+05|7.903477500e+06|7.984947000e+06|8.097111375e+06|8.005735000e+06|7.892674000e+06|8.118795500e+06|8.969843750e+05|1.099159250e+06|1.424690750e+06|1.148131625e+06|8.603448125e+05|1.435918250e+06|2.116575215e+03|2.127717645e+03|2.140281601e+03|2.129373685e+03|2.115731264e+03|2.143016106e+03|3.007717523e+02|3.119086605e+02|3.244838274e+02|3.135664882e+02|2.999225512e+02|3.272104251e+02|8.472176328e+03|8.618169118e+03|8.798800544e+03|8.649214966e+03|8.453244475e+03|8.845185456e+03|3.080758838e+03|3.245864451e+03|3.429788422e+03|3.273850327e+03|3.051082666e+03|3.496617988e+03|2.691607306e+11|2.704602071e+11|2.721222410e+11|2.707339510e+11|2.689985249e+11|2.724694589e+11|-2.864786637e+10|-1.777968742e+10|-5.032763392e+09|-1.559011738e+10|-2.818155930e+10|-2.998675456e+09|1.127018774e+04|1.127985938e+04|1.128823022e+04|1.127951172e+04|1.126841797e+04|1.129060645e+04
7.361198427e+05|7.369546666e+05|5.739714541e+05|6.194883683e+05|7.884897250e+06|7.959158750e+06|8.060810125e+06|7.971532000e+06|7.869326500e+06|8.073735500e+06|8.381920000e+05|1.013387000e+06|1.313130375e+06|1.098201125e+06|8.089671250e+05|1.387435000e+06|2.117954515e+03|2.128710486e+03|2.140201893e+03|2.128711561e+03|2.115101104e+03|2.142322018e+03|3.021460425e+02|3.129102898e+02|3.243891086e+02|3.129030749e+02|2.992901737e+02|3.265159761e+02|8.479257227e+03|8.613072588e+03|8.781256472e+03|8.625403333e+03|8.435574233e+03|8.815232433e+03|3.055118972e+03|3.218325650e+03|3.405709728e+03|3.245436357e+03|3.028316220e+03|3.462556494e+03|2.681210880e+11|2.692885135e+11|2.704697426e+11|2.693366579e+11|2.678827254e+11|2.707906232e+11|-3.009373389e+10|-2.084281549e+10|-7.911383040e+09|-1.778828698e+10|-3.100139110e+10|-4.575184384e+09|1.125385791e+04|1.126647754e+04|1.127909155e+04|1.126617969e+04|1.125334766e+04|1.127900977e+04
7.785401501e+05|7.782845620e+05|6.206175705e+05|6.869728134e+05|7.825378125e+06|7.912165750e+06|8.052930125e+06|7.945655500e+06|7.818310000e+06|8.073002000e+06|8.585295000e+05|1.060961250e+06|1.358406500e+06|1.168955625e+06|8.390265625e+05|1.498885000e+06|2.112790978e+03|2.123016100e+03|2.140966500e+03|2.127919947e+03|2.111489660e+03|2.144350234e+03|2.969843627e+02|3.072163124e+02|3.251633321e+02|3.121137355e+02|2.956822831e+02|3.285451879e+02|8.391206133e+03|8.529797708e+03|8.772683486e+03|8.605378016e+03|8.373792708e+03|8.836963324e+03|3.012021824e+03|3.218704632e+03|3.473350812e+03|3.255619868e+03|2.982146893e+03|3.529092844e+03|2.669429105e+11|2.680451482e+11|2.699463598e+11|2.683270595e+11|2.666679828e+11|2.699860541e+11|-2.925172326e+10|-1.873740595e+10|-5.463035904e+09|-1.391160422e+10|-2.871848141e+10|8.952738560e+08|1.124620288e+04|1.125894434e+04|1.127073730e+04|1.125680762e+04|1.124205371e+04|1.127155859e+04
8.171232826e+05|8.170771729e+05|6.421280523e+05|7.199502734e+05|7.830857375e+06|7.918108250e+06|8.022011375e+06|7.938870500e+06|7.825396000e+06|8.052345000e+06|8.580015000e+05|1.063912750e+06|1.361642875e+06|1.149808500e+06|8.262878125e+05|1.473329250e+06|2.114086593e+03|2.129839850e+03|2.141769611e+03|2.130879845e+03|2.115979885e+03|2.145779806e+03|2.982659511e+02|3.140410088e+02|3.259696819e+02|3.150732244e+02|3.001725034e+02|3.299739454e+02|8.415141418e+03|8.610201051e+03|8.779895188e+03|8.631813657e+03|8.423298017e+03|8.840329298e+03|3.071458264e+03|3.234503533e+03|3.447909235e+03|3.278029903e+03|3.038905885e+03|3.517153921e+03|2.657678377e+11|2.673559142e+11|2.685630259e+11|2.672406692e+11|2.656686572e+11|2.688127140e+11|-3.065093734e+10|-1.905812275e+10|-2.387099648e+09|-1.562129510e+10|-3.062991667e+10|-6.126718080e+08|1.122819604e+04|1.124075098e+04|1.125653589e+04|1.124166797e+04|1.122599609e+04|1.125734082e+04
8.528984251e+05|8.534635849e+05|6.640961581e+05|7.220247958e+05|7.795721625e+06|7.891870250e+06|7.997920875e+06|7.906729000e+06|7.785184500e+06|8.028273500e+06|8.458377500e+05|1.091680500e+06|1.441264250e+06|1.174222500e+06|8.196617500e+05|1.528783000e+06|2.115647112e+03|2.129619747e+03|2.145152825e+03|2.129801973e+03|2.113514782e+03|2.146089164e+03|2.998292182e+02|3.138146914e+02|3.293498285e+02|3.139954553e+02|2.977065818e+02|3.302843288e+02|8.406989419e+03|8.591451260e+03|8.809494686e+03|8.605053350e+03|8.378460526e+03|8.831646175e+03|3.049245649e+03|3.219754181e+03|3.480920869e+03|3.269048247e+03|3.009631666e+03|3.528464829e+03|2.645256765e+11|2.660826153e+11|2.674405376e+11|2.660397875e+11|2.644135608e+11|2.676660470e+11|-2.908457779e+10|-2.017905050e+10|-8.852357120e+08|-1.396446310e+10|-3.033166234e+10|2.402736640e+09|1.121474731e+04|1.123048096e+04|1.124427808e+04|1.123077246e+04|1.121542285e+04|1.124611914e+04
8.832035004e+05|8.830679054e+05|6.791827445e+05|7.422952604e+05|7.800181000e+06|7.889082750e+06|8.007639000e+06|7.917087500e+06|7.781776000e+06|8.052398500e+06|8.376881250e+05|1.134099750e+06|1.424466750e+06|1.195209875e+06|8.158040625e+05|1.574615625e+06|2.119709692e+03|2.132610192e+03|2.147290188e+03|2.133842696e+03|2.116381162e+03|2.151304231e+03|3.039143277e+02|3.167961848e+02|3.314901959e+02|3.180370549e+02|3.005747798e+02|3.354993300e+02|8.458988487e+03|8.618304188e+03|8.854097499e+03|8.652283789e+03|8.405878557e+03|8.898689021e+03|3.084065617e+03|3.244308770e+03|3.550940759e+03|3.319033664e+03|3.032447968e+03|3.605619360e+03|2.635386225e+11|2.648745165e+11|2.667998904e+11|2.654160814e+11|2.633426534e+11|2.674895094e+11|-2.878074470e+10|-1.588672102e+10|-4.413620224e+09|-1.404162150e+10|-3.009106944e+10|2.007828096e+09|1.120239233e+04|1.121878125e+04|1.123810669e+04|1.121862793e+04|1.120075781e+04|1.123649707e+04
