#RRR|Lz25|Lz50|Lz75|Lzmean|Lzsum|Isum
7.126367852e+04|8.229153638e+23|2.208320683e+24|5.875075698e+24|5.297191382e+24|5.297191382e+26|1.988500153e+31
1.272884516e+05|1.455613149e+24|5.711275583e+24|1.156025465e+25|1.142983431e+25|1.142983431e+27|5.728324378e+31
1.662941788e+05|1.962817273e+24|5.827016671e+24|1.387691213e+25|1.033754144e+25|1.033754144e+27|9.680431862e+31
1.966880314e+05|3.957711309e+24|1.004852207e+25|1.926958477e+25|1.412495966e+25|1.412495966e+27|1.351549170e+32
2.236192958e+05|3.611609930e+24|1.153463782e+25|2.610136688e+25|2.067220478e+25|2.067220478e+27|1.747329137e+32
2.449299154e+05|3.330294813e+24|8.403838813e+24|2.076131241e+25|1.451421999e+25|1.451421999e+27|2.090558118e+32
2.664052001e+05|5.348404379e+24|1.402613418e+25|3.074839465e+25|2.407756526e+25|2.407756526e+27|2.481523864e+32
2.878698617e+05|6.546886105e+24|1.591235520e+25|3.216571398e+25|2.509446936e+25|2.509446936e+27|2.883225936e+32
3.049410909e+05|4.165231076e+24|1.003831296e+25|2.659637767e+25|2.150494094e+25|2.150494094e+27|3.241775514e+32
3.223451460e+05|5.495575750e+24|1.282313963e+25|3.430307603e+25|4.761780992e+25|4.761780992e+27|3.625708040e+32
3.393429938e+05|6.142367887e+24|1.305159239e+25|2.629849862e+25|2.002153862e+25|2.002153862e+27|4.015969992e+32
3.568394481e+05|6.461625501e+24|1.879424118e+25|3.611305669e+25|3.627316218e+25|3.627316218e+27|4.454330733e+32
3.710496275e+05|6.848263296e+24|1.318090738e+25|3.215492061e+25|2.618181431e+25|2.618181431e+27|4.800833737e+32
3.855730886e+05|7.469594706e+24|1.427351985e+25|2.745280328e+25|2.837139809e+25|2.837139809e+27|5.194582862e+32
3.985581115e+05|7.293707133e+24|1.561224731e+25|3.490888885e+25|3.109235738e+25|3.109235738e+27|5.547682413e+32
4.130896234e+05|6.821010937e+24|1.494919720e+25|3.253095453e+25|3.007810839e+25|3.007810839e+27|5.938819360e+32
4.281663959e+05|8.342551017e+24|2.166704413e+25|4.713164855e+25|4.077062211e+25|4.077062211e+27|6.399175483e+32
4.400429552e+05|8.690916285e+24|1.671089128e+25|3.805275284e+25|3.101184835e+25|3.101184835e+27|6.738756027e+32
4.526286230e+05|9.955139016e+24|2.323873293e+25|4.441922131e+25|3.795081731e+25|3.795081731e+27|7.140172109e+32
4.641357218e+05|9.400801532e+24|2.237693472e+25|4.133283890e+25|3.663475753e+25|3.663475753e+27|7.519273761e+32
4.744295134e+05|1.025959301e+25|1.785874000e+25|3.645296252e+25|3.315960885e+25|3.315960885e+27|7.852751611e+32
4.848769095e+05|9.295236676e+24|2.573696126e+25|5.102722924e+25|4.873280209e+25|4.873280209e+27|8.198483544e+32
4.963045481e+05|8.427961712e+24|2.203828506e+25|4.560411808e+25|5.252476946e+25|5.252476946e+27|8.572212910e+32
5.075817797e+05|1.161508547e+25|2.425046488e+25|4.764531695e+25|3.325452435e+25|3.325452435e+27|8.992925769e+32
5.188255643e+05|9.485044024e+24|2.190068722e+25|4.104305027e+25|4.619458249e+25|4.619458249e+27|9.405447853e+32
5.302281238e+05|9.639959930e+24|2.498214184e+25|4.850633793e+25|4.459798847e+25|4.459798847e+27|9.798609256e+32
5.410698656e+05|1.181522091e+25|2.168383168e+25|4.169690061e+25|3.973782331e+25|3.973782331e+27|1.018780067e+33
5.503323025e+05|1.392687030e+25|2.604730955e+25|5.314529241e+25|5.647128841e+25|5.647128841e+27|1.055042002e+33
5.611335862e+05|1.258663371e+25|2.478828574e+25|6.076383202e+25|4.887637171e+25|4.887637171e+27|1.097953100e+33
5.700229956e+05|9.846299899e+24|2.418386596e+25|5.484447535e+25|5.067558266e+25|5.067558266e+27|1.135823013e+33
5.804584409e+05|1.010013548e+25|2.953448554e+25|5.761553118e+25|4.676030227e+25|4.676030227e+27|1.175458622e+33
5.910039903e+05|1.348274333e+25|3.000475783e+25|5.897257824e+25|4.837646465e+25|4.837646465e+27|1.217952017e+33
6.005725584e+05|1.389302691e+25|3.032485569e+25|5.975671610e+25|4.884332698e+25|4.884332698e+27|1.259567540e+33
6.095809761e+05|9.811972041e+24|2.188721543e+25|5.995087591e+25|5.477018306e+25|5.477018306e+27|1.292492376e+33
6.181276683e+05|1.161055571e+25|2.605175497e+25|5.547525931e+25|5.924285386e+25|5.924285386e+27|1.331624099e+33
6.262638338e+05|9.607131091e+24|2.647158842e+25|5.889502208e+25|4.821146381e+25|4.821146381e+27|1.368285151e+33
6.349480228e+05|1.408602019e+25|2.626961372e+25|5.146645821e+25|4.798316030e+25|4.798316030e+27|1.407944171e+33
6.423928461e+05|1.506812968e+25|3.612892876e+25|7.892910140e+25|7.128144333e+25|7.128144333e+27|1.439639436e+33
6.509553078e+05|1.478755894e+25|2.851086141e+25|6.638372474e+25|6.729541641e+25|6.729541641e+27|1.479067716e+33
6.606018797e+05|1.755952104e+25|3.237852688e+25|5.376608988e+25|5.196806392e+25|5.196806392e+27|1.517890359e+33
6.690859177e+05|1.262116091e+25|2.291266863e+25|6.661033831e+25|5.919121515e+25|5.919121515e+27|1.563407183e+33
6.769227186e+05|1.124475108e+25|3.046417650e+25|6.494242652e+25|5.158513146e+25|5.158513146e+27|1.597012012e+33
6.852205585e+05|1.621655015e+25|3.384613016e+25|7.119482447e+25|6.970594505e+25|6.970594505e+27|1.640456714e+33
6.930325189e+05|1.873559323e+25|3.284180857e+25|6.383541159e+25|5.198952128e+25|5.198952128e+27|1.676450901e+33
7.005222155e+05|1.305847822e+25|2.976642159e+25|7.184383302e+25|5.816512397e+25|5.816512397e+27|1.710293699e+33
7.090883845e+05|1.297131394e+25|2.773881070e+25|5.314730202e+25|4.075321892e+25|4.075321892e+27|1.748918781e+33
7.175340706e+05|1.440049035e+25|4.454438657e+25|7.952921898e+25|6.591269109e+25|6.591269109e+27|1.799714025e+33
7.250690825e+05|1.911600611e+25|3.573704374e+25|6.991347763e+25|7.124555064e+25|7.124555064e+27|1.835950551e+33
7.340334111e+05|1.386596214e+25|2.542974016e+25|5.517810221e+25|6.140983176e+25|6.140983176e+27|1.878746014e+33
7.425766242e+05|1.707767728e+25|3.883145243e+25|8.537149577e+25|6.633477570e+25|6.633477570e+27|1.929532752e+33
7.500551505e+05|1.865612218e+25|3.981138766e+25|8.642414133e+25|7.890068166e+25|7.890068166e+27|1.964603114e+33
7.564347247e+05|1.641923014e+25|3.530784929e+25|6.612722601e+25|5.501329490e+25|5.501329490e+27|1.999230008e+33
7.635289043e+05|1.737370553e+25|3.816353614e+25|7.348027661e+25|6.853818540e+25|6.853818540e+27|2.038919641e+33
7.704771641e+05|1.759497745e+25|4.120153881e+25|8.179906986e+25|8.527788986e+25|8.527788986e+27|2.066907185e+33
7.769704428e+05|2.562257967e+25|4.286919091e+25|7.433569853e+25|8.986273168e+25|8.986273168e+27|2.111245479e+33
7.843668719e+05|1.258288048e+25|3.620939939e+25|7.194387769e+25|5.488465472e+25|5.488465472e+27|2.147409539e+33
7.913094222e+05|1.923288359e+25|3.953177032e+25|8.146587635e+25|9.380137317e+25|9.380137317e+27|2.184519069e+33
7.985125766e+05|1.502059135e+25|3.048670311e+25|6.554392852e+25|6.153798598e+25|6.153798598e+27|2.213325989e+33
8.055067796e+05|2.129564886e+25|4.667243862e+25|8.797783141e+25|8.761731105e+25|8.761731105e+27|2.266943286e+33
8.121592882e+05|1.721460806e+25|4.585828495e+25|8.946310009e+25|8.596683119e+25|8.596683119e+27|2.296433596e+33
8.196295399e+05|1.903752770e+25|4.482474373e+25|9.227371476e+25|7.750873484e+25|7.750873484e+27|2.346057747e+33
8.265982512e+05|2.002438847e+25|4.242353521e+25|1.008776854e+26|1.044595269e+26|1.044595269e+28|2.390658339e+33
8.336589322e+05|1.622303426e+25|3.044559029e+25|7.364823681e+25|6.073934062e+25|6.073934062e+27|2.424579344e+33
8.401518461e+05|1.955749855e+25|4.776302715e+25|9.129204321e+25|9.486444584e+25|9.486444584e+27|2.463696265e+33
8.463116487e+05|1.706158110e+25|4.103898056e+25|7.767399779e+25|6.896976911e+25|6.896976911e+27|2.501249845e+33
8.514379820e+05|2.136431806e+25|4.653410149e+25|8.944891682e+25|6.574588384e+25|6.574588384e+27|2.526511109e+33
8.571687384e+05|2.197031222e+25|4.168136977e+25|8.957544422e+25|7.886992605e+25|7.886992605e+27|2.559398389e+33
8.638996127e+05|1.899700804e+25|5.145823746e+25|9.485461602e+25|7.237414549e+25|7.237414549e+27|2.603695100e+33
8.722942004e+05|1.679174074e+25|3.574326669e+25|9.125173881e+25|6.737947170e+25|6.737947170e+27|2.655876328e+33
8.801441028e+05|1.775671215e+25|3.911931528e+25|6.691386544e+25|5.992392764e+25|5.992392764e+27|2.703863642e+33
8.867883470e+05|1.746959126e+25|3.988077424e+25|9.702806915e+25|7.030781152e+25|7.030781152e+27|2.753014782e+33
8.925606884e+05|2.143145637e+25|4.343165336e+25|9.826841647e+25|9.759376984e+25|9.759376984e+27|2.783574710e+33
8.988935540e+05|1.797799987e+25|4.920961168e+25|8.055456395e+25|6.229667265e+25|6.229667265e+27|2.818858744e+33
9.056112198e+05|2.062432800e+25|4.535913929e+25|1.064478598e+26|1.137215210e+26|1.137215210e+28|2.862544869e+33
9.111423024e+05|2.074918100e+25|4.417646952e+25|8.905157899e+25|9.094171827e+25|9.094171827e+27|2.891930729e+33
9.173678592e+05|2.194917903e+25|4.128192118e+25|7.556303521e+25|7.372764024e+25|7.372764024e+27|2.931644510e+33
9.242075131e+05|2.209700798e+25|4.736275138e+25|9.630673783e+25|8.789108436e+25|8.789108436e+27|2.981353654e+33
9.290767402e+05|1.737932113e+25|4.802288124e+25|9.193333963e+25|7.749761199e+25|7.749761199e+27|3.005403683e+33
9.353946568e+05|2.825374025e+25|4.869519965e+25|9.283400284e+25|8.591813720e+25|8.591813720e+27|3.057010575e+33
9.412749658e+05|2.597792515e+25|5.216814656e+25|1.052899242e+26|8.389131099e+25|8.389131099e+27|3.095556451e+33
9.468927676e+05|2.687232358e+25|5.450289472e+25|9.538829045e+25|1.028059636e+26|1.028059636e+28|3.131081507e+33
9.524000872e+05|2.019524682e+25|4.245049712e+25|9.303288465e+25|1.040289285e+26|1.040289285e+28|3.164438888e+33
9.577464678e+05|2.463357135e+25|4.664934054e+25|9.387019027e+25|8.586259267e+25|8.586259267e+27|3.198523359e+33
9.638514780e+05|2.247126374e+25|4.507421771e+25|7.724114162e+25|7.472097164e+25|7.472097164e+27|3.247497064e+33
9.704823857e+05|2.447074457e+25|6.171937433e+25|1.111307131e+26|1.084655124e+26|1.084655124e+28|3.282574095e+33
9.768055998e+05|2.527144448e+25|4.809138444e+25|1.016094082e+26|9.104230279e+25|9.104230279e+27|3.330322651e+33
9.832899928e+05|1.732643442e+25|4.314561325e+25|9.511495498e+25|8.390736767e+25|8.390736767e+27|3.381351956e+33
9.892092845e+05|2.089506921e+25|4.969453427e+25|9.151607121e+25|7.433975653e+25|7.433975653e+27|3.420432001e+33
9.940978206e+05|2.579010833e+25|5.067026980e+25|9.896873935e+25|9.531967927e+25|9.531967927e+27|3.450991557e+33
9.987660882e+05|1.668549396e+25|4.501178406e+25|1.005046002e+26|7.974299825e+25|7.974299825e+27|3.478311816e+33
1.003748378e+06|2.485889605e+25|4.806324460e+25|9.148051101e+25|1.045500433e+26|1.045500433e+28|3.514787044e+33
1.009624883e+06|1.647963639e+25|4.180814337e+25|9.314278527e+25|8.548824639e+25|8.548824639e+27|3.547314593e+33
1.015682688e+06|2.856722809e+25|5.816418344e+25|1.111693308e+26|1.016646398e+26|1.016646398e+28|3.611559508e+33
1.021562620e+06|3.334740298e+25|6.361065040e+25|1.094197025e+26|9.685906094e+25|9.685906094e+27|3.646150677e+33
1.027133758e+06|2.037802720e+25|5.250231619e+25|9.225971038e+25|7.555529974e+25|7.555529974e+27|3.689753365e+33
1.032890374e+06|1.986140459e+25|4.488704551e+25|1.181719915e+26|8.789540119e+25|8.789540119e+27|3.723688971e+33
1.039067097e+06|2.027776865e+25|4.156562893e+25|9.124919067e+25|7.308142924e+25|7.308142924e+27|3.772096403e+33
1.044492396e+06|2.788752928e+25|5.170482450e+25|1.233056022e+26|1.048976358e+26|1.048976358e+28|3.813645330e+33
1.049768839e+06|2.435625377e+25|4.605158348e+25|1.065327523e+26|8.528652839e+25|8.528652839e+27|3.857898960e+33
1.055235681e+06|2.302249493e+25|5.978312340e+25|1.365775359e+26|1.210729566e+26|1.210729566e+28|3.894478028e+33
1.060918382e+06|2.895877411e+25|5.660409382e+25|1.261173900e+26|1.205606170e+26|1.205606170e+28|3.920743901e+33
1.066796535e+06|2.782250874e+25|5.577462634e+25|1.012149113e+26|8.461761092e+25|8.461761092e+27|3.974213599e+33
1.071155790e+06|2.187470415e+25|5.219048665e+25|1.172181835e+26|1.097497922e+26|1.097497922e+28|4.006766629e+33
1.076183218e+06|3.534091485e+25|5.772262956e+25|9.959611284e+25|8.920296407e+25|8.920296407e+27|4.044442945e+33
1.081393596e+06|2.525715073e+25|5.886861013e+25|1.154060972e+26|8.611080192e+25|8.611080192e+27|4.091801060e+33
1.086894205e+06|2.651603007e+25|5.115083423e+25|9.445185547e+25|8.612709163e+25|8.612709163e+27|4.127450653e+33
1.091268036e+06|1.684948736e+25|5.137591681e+25|1.311007822e+26|1.050173241e+26|1.050173241e+28|4.152429722e+33
1.096350143e+06|2.840220866e+25|5.190439124e+25|1.113306516e+26|9.393534122e+25|9.393534122e+27|4.195455623e+33
1.102157574e+06|2.840403790e+25|5.959639572e+25|1.246014895e+26|9.167974407e+25|9.167974407e+27|4.233555892e+33
1.107648870e+06|2.075934970e+25|4.923719300e+25|1.050401599e+26|1.044887603e+26|1.044887603e+28|4.282291066e+33
1.112949029e+06|2.698248887e+25|5.907273386e+25|1.151466324e+26|1.298421826e+26|1.298421826e+28|4.323487404e+33
1.118318395e+06|2.617182401e+25|5.987420075e+25|1.058898695e+26|9.609843577e+25|9.609843577e+27|4.376132892e+33
