#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
3.163884459e+05|2.903505320e+11|2.945244544e+11|2.992456411e+11|0.000000|0.000000|0.000000
4.807698293e+05|2.890063470e+11|2.926902206e+11|2.967120872e+11|0.000000|0.000000|0.000000
5.712772607e+05|2.877514578e+11|2.912447427e+11|2.950150970e+11|0.000000|0.000000|0.000000
6.401636185e+05|2.865596160e+11|2.899417779e+11|2.935764922e+11|0.000000|0.000000|0.000000
6.951506011e+05|2.854648616e+11|2.887778759e+11|2.923358724e+11|0.000000|0.000000|0.000000
7.453397629e+05|2.843567041e+11|2.876208371e+11|2.911314004e+11|0.000000|0.000000|0.000000
7.868146761e+05|2.833638540e+11|2.865972962e+11|2.900838309e+11|0.000000|0.000000|0.000000
8.260066561e+05|2.823625472e+11|2.855746579e+11|2.890503024e+11|0.000000|0.000000|0.000000
8.607341120e+05|2.814247897e+11|2.846239454e+11|2.880989746e+11|0.000000|0.000000|0.000000
8.941381031e+05|2.804785892e+11|2.836703271e+11|2.871523216e+11|0.000000|0.000000|0.000000
9.243336408e+05|2.795864592e+11|2.827755733e+11|2.862698972e+11|0.000000|0.000000|0.000000
9.535903189e+05|2.786891296e+11|2.818792509e+11|2.853906966e+11|0.000000|0.000000|0.000000
9.795448899e+05|2.778662493e+11|2.810600784e+11|2.845907618e+11|0.000000|0.000000|0.000000
1.005314613e+06|2.770245456e+11|2.802245777e+11|2.837779406e+11|0.000000|0.000000|0.000000
1.031175764e+06|2.761553911e+11|2.793640829e+11|2.829436140e+11|0.000000|0.000000|0.000000
1.053592967e+06|2.753823565e+11|2.786004585e+11|2.822053007e+11|0.000000|0.000000|0.000000
1.074539574e+06|2.746437225e+11|2.778721609e+11|2.815027549e+11|0.000000|0.000000|0.000000
1.098162821e+06|2.737919760e+11|2.770338007e+11|2.806957572e+11|0.000000|0.000000|0.000000
1.118391316e+06|2.730469990e+11|2.763016944e+11|2.799923683e+11|0.000000|0.000000|0.000000
1.137460023e+06|2.723316531e+11|2.755996312e+11|2.793188736e+11|0.000000|0.000000|0.000000
1.156884869e+06|2.715900066e+11|2.748726267e+11|2.786223965e+11|0.000000|0.000000|0.000000
1.175722832e+06|2.708584008e+11|2.741562575e+11|2.779369418e+11|0.000000|0.000000|0.000000
1.195272670e+06|2.700863849e+11|2.734010983e+11|2.772151623e+11|0.000000|0.000000|0.000000
1.212553055e+06|2.693932574e+11|2.727237278e+11|2.765683426e+11|0.000000|0.000000|0.000000
1.228037830e+06|2.687636674e+11|2.721089194e+11|2.759817044e+11|0.000000|0.000000|0.000000
1.244265383e+06|2.680953365e+11|2.714567304e+11|2.753598048e+11|0.000000|0.000000|0.000000
1.261951601e+06|2.673570539e+11|2.707367764e+11|2.746737144e+11|0.000000|0.000000|0.000000
1.278505433e+06|2.666567830e+11|2.700543335e+11|2.740237300e+11|0.000000|0.000000|0.000000
1.295145845e+06|2.659439019e+11|2.693600075e+11|2.733627356e+11|0.000000|0.000000|0.000000
1.307554712e+06|2.654065060e+11|2.688368492e+11|2.728648686e+11|0.000000|0.000000|0.000000
1.322098127e+06|2.647704116e+11|2.682178643e+11|2.722759753e+11|0.000000|0.000000|0.000000
1.338832946e+06|2.640301759e+11|2.674978638e+11|2.715911691e+11|0.000000|0.000000|0.000000
1.351778304e+06|2.634515173e+11|2.669352472e+11|2.710561715e+11|0.000000|0.000000|0.000000
1.365491706e+06|2.628328197e+11|2.663339016e+11|2.704844368e+11|0.000000|0.000000|0.000000
1.379080570e+06|2.622139886e+11|2.657326172e+11|2.699128327e+11|0.000000|0.000000|0.000000
1.392984793e+06|2.615749116e+11|2.651118457e+11|2.693227580e+11|0.000000|0.000000|0.000000
1.406549559e+06|2.609457424e+11|2.645008663e+11|2.687420250e+11|0.000000|0.000000|0.000000
1.419332754e+06|2.603477134e+11|2.639202687e+11|2.681901837e+11|0.000000|0.000000|0.000000
1.432516247e+06|2.597257992e+11|2.633166164e+11|2.676164274e+11|0.000000|0.000000|0.000000
1.444083181e+06|2.591758596e+11|2.627829295e+11|2.671091568e+11|0.000000|0.000000|0.000000
